Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,80.68,80.940002,79.989998,80.120003,1562500,80.120003
2016-09-30,81.290001,81.639999,79.339996,80.779999,3001800,80.779999
2016-09-29,82.919998,83.279999,81.25,81.25,1625300,81.25
2016-09-28,83.25,83.300003,82.459999,83.199997,1310000,83.199997
2016-09-27,82.75,83.739998,82.459999,83.25,1583500,83.25
2016-09-26,83.07,83.559998,82.669998,82.720001,1340000,82.720001
2016-09-23,83.550003,83.779999,82.970001,83.330002,1829200,83.330002
2016-09-22,83.260002,83.949997,83.050003,83.589996,2270400,83.589996
2016-09-21,82.199997,83.150002,81.790001,83.019997,2813200,83.019997
2016-09-20,83.650002,83.68,82.07,82.080002,2484400,82.080002
2016-09-19,83.910004,84.959999,83.07,83.260002,2335400,83.260002
2016-09-16,83.959999,84.389999,83.010002,84.110001,3459900,84.110001
2016-09-15,83.540001,84.540001,83.059998,84.199997,2435200,84.199997
2016-09-14,85.379997,85.480003,83.419998,83.849998,5896200,83.849998
2016-09-13,86.199997,86.550003,84.980003,85.25,2722600,85.25
2016-09-12,85.010002,87.139999,84.949997,86.949997,2380700,86.949997
2016-09-09,86.629997,86.82,85.220001,85.309998,2470500,85.309998
2016-09-08,87.400002,87.669998,87.139999,87.269997,2195200,87.269997
2016-09-07,87.599998,88.440002,87.449997,87.75,1513600,87.75
2016-09-06,87.300003,87.800003,87.00,87.629997,1652300,87.629997
2016-09-02,87.550003,87.870003,87.25,87.440002,1217400,87.440002
2016-09-01,87.010002,87.720001,86.580002,87.150002,1331100,87.150002
2016-08-31,86.129997,87.080002,85.730003,86.970001,2682000,86.970001
2016-08-30,86.309998,86.870003,85.68,86.040001,1736800,86.040001
2016-08-29,85.82,86.449997,85.309998,86.309998,1352400,86.309998
2016-08-26,85.669998,86.57,85.150002,85.75,1872100,85.75
2016-08-25,88.150002,88.260002,85.389999,85.510002,3351500,85.510002
2016-08-24,88.900002,89.089996,88.099998,88.389999,1338100,88.389999
2016-08-23,89.139999,89.230003,88.830002,88.989998,638100,88.989998
2016-08-22,88.800003,88.93,88.470001,88.75,1011800,88.75
2016-08-19,88.529999,89.00,88.260002,88.849998,2089400,88.849998
2016-08-18,88.540001,88.989998,88.110001,88.970001,1444700,88.970001
2016-08-17,89.290001,89.519997,88.360001,88.940002,1496100,88.600002
2016-08-16,88.989998,90.120003,88.989998,89.459999,1555400,89.118011
2016-08-15,88.949997,89.410004,88.639999,89.389999,1797000,89.048279
2016-08-12,89.139999,89.190002,88.330002,88.910004,1319300,88.570118
2016-08-11,87.970001,89.050003,87.470001,88.949997,1669300,88.609959
2016-08-10,88.790001,88.830002,87.660004,87.900002,1621800,87.563977
2016-08-09,88.779999,89.360001,88.370003,88.620003,1491700,88.281226
2016-08-08,89.709999,89.709999,88.470001,88.669998,1596300,88.33103
2016-08-05,89.370003,90.480003,89.25,89.349998,1527200,89.008431
2016-08-04,89.709999,89.809998,88.440002,88.980003,1897400,88.63985
2016-08-03,89.339996,89.889999,88.370003,89.889999,2565200,89.546368
2016-08-02,88.639999,90.540001,87.580002,89.43,5179200,89.088127
2016-08-01,85.279999,86.32,85.110001,85.540001,2930400,85.212998
2016-07-29,84.339996,85.379997,84.120003,85.190002,1935900,84.864338
2016-07-28,85.050003,85.059998,84.239998,84.82,2434600,84.49575
2016-07-27,85.709999,85.800003,84.660004,85.419998,1839800,85.093454
2016-07-26,85.279999,86.040001,84.620003,85.709999,1646100,85.382347
2016-07-25,85.900002,85.93,85.010002,85.410004,1858200,85.083498
2016-07-22,86.010002,86.209999,85.190002,85.860001,1331500,85.531775
2016-07-21,86.379997,86.900002,85.529999,85.809998,1666600,85.481963
2016-07-20,86.389999,87.050003,86.010002,86.639999,1248800,86.308792
2016-07-19,85.760002,86.150002,85.099998,85.919998,1978400,85.591543
2016-07-18,85.730003,86.120003,85.550003,86.029999,1113600,85.701123
2016-07-15,86.260002,86.519997,84.919998,85.550003,2384000,85.222962
2016-07-14,85.349998,86.120003,85.260002,85.949997,2035700,85.621427
2016-07-13,84.529999,85.349998,84.330002,84.93,2492100,84.60533
2016-07-12,82.25,84.410004,82.239998,84.18,2838400,83.858197
2016-07-11,81.970001,82.599998,81.849998,82.18,1429300,81.865842
2016-07-08,81.709999,82.080002,81.25,81.919998,1597500,81.606834
2016-07-07,81.089996,81.529999,80.529999,80.989998,2508900,80.680389
2016-07-06,79.940002,81.550003,79.599998,81.190002,2457700,80.879629
2016-07-05,79.860001,80.690002,79.389999,80.360001,2377200,80.0528
2016-07-01,79.290001,80.43,79.110001,80.160004,2763300,79.853568
2016-06-30,77.610001,79.330002,77.43,79.32,3196300,79.016775
2016-06-29,76.080002,77.50,76.029999,77.260002,1926800,76.964652
2016-06-28,74.32,75.449997,74.059998,75.32,2811300,75.032066
2016-06-27,75.139999,75.18,73.440002,73.849998,2212200,73.567684
2016-06-24,75.080002,75.849998,75.040001,75.440002,4480600,75.15161
2016-06-23,77.660004,77.769997,77.029999,77.550003,2647000,77.253545
2016-06-22,76.57,77.480003,76.07,77.129997,1935200,76.835144
2016-06-21,76.489998,76.779999,76.050003,76.57,1277300,76.277288
2016-06-20,76.25,77.220001,76.129997,76.370003,2448100,76.078055
