Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,214.529999,219.160004,213.50,216.899994,531400,216.899994
2016-09-30,213.00,215.889999,210.860001,214.529999,635800,214.529999
2016-09-29,213.779999,216.070007,212.149994,212.949997,520900,212.949997
2016-09-28,213.089996,216.070007,212.75,214.210007,621700,214.210007
2016-09-27,212.050003,214.610001,210.100006,213.470001,484500,213.470001
2016-09-26,213.369995,213.369995,208.820007,211.440002,746000,211.440002
2016-09-23,216.279999,218.490005,216.039993,216.990005,304500,216.990005
2016-09-22,216.259995,218.600006,215.259995,218.059998,438500,218.059998
2016-09-21,215.039993,216.860001,213.020004,215.630005,471900,215.630005
2016-09-20,216.860001,217.720001,211.850006,213.740005,592300,213.740005
2016-09-19,215.759995,218.639999,215.199997,216.039993,414400,216.039993
2016-09-16,213.789993,215.440002,211.669998,214.479996,630200,214.479996
2016-09-15,212.360001,216.850006,211.520004,215.399994,500600,215.399994
2016-09-14,213.520004,216.720001,212.179993,213.210007,551700,213.210007
2016-09-13,215.979996,219.990005,211.919998,213.410004,886500,213.410004
2016-09-12,207.270004,217.339996,206.830002,216.490005,878700,216.490005
2016-09-09,214.490005,215.889999,208.619995,208.660004,721200,208.660004
2016-09-08,215.339996,219.220001,214.759995,217.259995,759600,217.259995
2016-09-07,212.830002,216.080002,212.369995,215.699997,707300,215.699997
2016-09-06,210.00,214.089996,209.490005,213.080002,847600,213.080002
2016-09-02,210.960007,213.759995,208.320007,209.899994,588600,209.899994
2016-09-01,204.639999,210.190002,203.199997,210.190002,1365200,210.190002
2016-08-31,199.960007,204.940002,199.089996,204.580002,877800,204.580002
2016-08-30,199.179993,200.850006,197.919998,200.699997,611200,200.699997
2016-08-29,199.130005,200.550003,197.509995,198.809998,437200,198.809998
2016-08-26,200.190002,202.039993,196.399994,198.649994,841200,198.649994
2016-08-25,199.399994,201.979996,199.020004,200.360001,677600,200.360001
2016-08-24,201.309998,201.75,197.699997,198.220001,827300,198.220001
2016-08-23,201.600006,201.990005,199.479996,201.529999,835100,201.529999
2016-08-22,198.660004,201.309998,197.679993,200.539993,1057500,200.539993
2016-08-19,200.949997,200.949997,193.669998,200.139999,3174000,200.139999
2016-08-18,203.00,204.300003,199.919998,202.309998,1594500,202.309998
2016-08-17,208.699997,209.00,200.789993,203.710007,1494000,203.710007
2016-08-16,213.710007,215.619995,210.419998,211.850006,547900,211.850006
2016-08-15,216.850006,217.100006,212.050003,215.070007,876600,215.070007
2016-08-12,218.669998,220.809998,217.419998,219.029999,368800,219.029999
2016-08-11,219.100006,221.720001,218.649994,219.940002,331800,219.940002
2016-08-10,221.759995,221.759995,217.029999,218.740005,347800,218.740005
2016-08-09,222.910004,223.910004,219.059998,220.399994,369700,220.399994
2016-08-08,222.789993,224.529999,221.839996,222.910004,460100,222.910004
