Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,30.18,30.40,29.799999,29.92,9847100,29.92
2016-09-30,29.68,30.209999,29.66,30.15,13210900,30.15
2016-09-29,29.66,29.82,29.299999,29.58,11534000,29.58
2016-09-28,29.73,29.98,29.469999,29.74,14034800,29.74
2016-09-27,29.35,29.76,29.26,29.639999,17381900,29.639999
2016-09-26,29.49,29.620001,29.219999,29.35,12610300,29.35
2016-09-23,30.33,30.42,29.610001,29.66,13971800,29.66
2016-09-22,30.76,31.07,30.17,30.290001,15660400,30.290001
2016-09-21,30.43,30.67,30.00,30.57,21288300,30.57
2016-09-20,30.60,30.709999,30.190001,30.389999,13183700,30.389999
2016-09-19,30.440001,30.780001,30.27,30.299999,13655500,30.299999
2016-09-16,30.379999,30.440001,29.889999,30.049999,16245800,30.049999
2016-09-15,29.58,30.389999,29.52,30.15,15579400,30.15
2016-09-14,29.379999,29.50,29.27,29.43,12243000,29.43
2016-09-13,29.290001,29.620001,29.09,29.379999,13010400,29.379999
2016-09-12,28.639999,29.77,28.530001,29.59,16269100,29.59
2016-09-09,29.50,29.65,28.67,28.860001,14681900,28.860001
2016-09-08,29.860001,29.969999,29.639999,29.790001,8170400,29.790001
2016-09-07,30.030001,30.25,29.870001,29.91,11248800,29.91
2016-09-06,30.040001,30.219999,29.790001,29.98,14689400,29.98
2016-09-02,30.389999,30.41,29.82,30.02,11528100,30.02
2016-09-01,29.940001,30.290001,29.83,30.290001,10705200,30.290001
2016-08-31,29.889999,29.91,29.549999,29.84,10595700,29.84
2016-08-30,30.190001,30.200001,29.700001,29.99,12069300,29.99
2016-08-29,29.92,30.27,29.60,30.049999,9799100,30.049999
2016-08-26,29.780001,30.16,29.700001,29.969999,12175200,29.969999
2016-08-25,29.629999,29.959999,29.59,29.65,10441700,29.65
2016-08-24,29.950001,30.00,29.610001,29.700001,12402100,29.700001
2016-08-23,29.25,30.15,29.200001,29.950001,23549500,29.950001
2016-08-22,29.50,29.530001,28.870001,29.15,29150800,29.049999
2016-08-19,28.99,29.74,28.639999,29.639999,53886000,29.538318
2016-08-18,27.60,27.709999,27.26,27.68,20765000,27.585043
2016-08-17,27.43,27.43,27.00,27.290001,10255300,27.196381
2016-08-16,27.43,27.52,27.209999,27.219999,6704700,27.12662
2016-08-15,27.40,27.75,27.35,27.469999,10768500,27.375762
2016-08-12,26.860001,27.219999,26.860001,27.18,9852900,27.086758
2016-08-11,26.559999,26.99,26.41,26.82,7599100,26.727992
2016-08-10,26.799999,26.860001,26.370001,26.41,6234300,26.319399
2016-08-09,26.950001,26.950001,26.709999,26.790001,6923700,26.698097
2016-08-08,26.85,26.92,26.719999,26.83,5746100,26.737958
2016-08-05,26.50,26.870001,26.379999,26.809999,6914600,26.718027
2016-08-04,26.200001,26.370001,26.139999,26.370001,4926200,26.279537
2016-08-03,25.90,26.219999,25.860001,26.200001,5615600,26.11012
2016-08-02,26.23,26.25,25.68,25.969999,10462200,25.880908
2016-08-01,26.41,26.459999,26.190001,26.27,6456700,26.17988
2016-07-29,26.58,26.68,26.16,26.290001,8805600,26.199812
2016-07-28,26.82,26.950001,26.58,26.620001,8239100,26.52868
2016-07-27,26.879999,27.110001,26.620001,26.90,10220900,26.807718
2016-07-26,26.66,26.83,26.459999,26.809999,11877000,26.718027
2016-07-25,26.440001,26.58,26.25,26.49,6859600,26.399125
2016-07-22,26.389999,26.41,26.08,26.370001,5292100,26.279537
2016-07-21,26.610001,26.66,26.059999,26.23,14638500,26.140016
2016-07-20,26.57,26.77,26.42,26.65,9809500,26.558576
2016-07-19,26.50,26.82,26.32,26.389999,15996700,26.299467
2016-07-18,26.530001,26.639999,26.360001,26.60,13473000,26.508748
2016-07-15,26.15,26.34,25.950001,26.34,11635400,26.24964
2016-07-14,26.08,26.24,25.74,26.10,14888600,26.010463
2016-07-13,25.49,25.969999,25.42,25.91,15989700,25.821114
