Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,112.900002,113.230003,111.75,112.25,2565600,112.25
2016-09-30,113.790001,114.889999,113.300003,113.330002,2807000,113.330002
2016-09-29,112.25,113.739998,111.529999,113.480003,2444400,113.480003
2016-09-28,112.400002,112.769997,111.639999,112.629997,1483700,112.629997
2016-09-27,113.220001,113.220001,112.230003,112.580002,1428000,112.03
2016-09-26,112.50,113.07,111.709999,112.690002,1557200,112.139463
2016-09-23,112.150002,113.400002,111.50,112.989998,2459800,112.437993
2016-09-22,111.220001,112.43,110.940002,112.279999,2059400,111.731462
2016-09-21,108.620003,110.349998,108.019997,110.099998,1472200,109.562112
2016-09-20,110.089996,110.290001,108.610001,108.650002,1396800,108.119199
2016-09-19,108.599998,109.389999,108.330002,109.199997,1509800,108.666507
2016-09-16,108.459999,108.589996,107.57,108.00,2797100,107.472373
2016-09-15,108.519997,109.370003,108.010002,109.080002,1535600,108.547099
2016-09-14,108.529999,109.43,107.760002,108.370003,1915400,107.840568
2016-09-13,110.879997,110.949997,107.910004,108.110001,2444000,107.581836
2016-09-12,109.449997,111.830002,109.00,111.269997,2629100,110.726394
2016-09-09,115.300003,115.690002,110.190002,110.190002,2960700,109.651676
2016-09-08,116.309998,116.779999,116.230003,116.25,3568700,115.682068
2016-09-07,116.839996,117.150002,116.349998,116.830002,1415900,116.259236
2016-09-06,115.599998,117.309998,115.209999,117.150002,2391100,116.577673
2016-09-02,114.330002,115.529999,114.239998,115.089996,1747300,114.527732
2016-09-01,113.699997,113.849998,112.839996,113.82,1157700,113.263939
2016-08-31,113.139999,113.860001,112.730003,113.379997,2493100,112.826087
2016-08-30,113.900002,114.00,112.669998,113.220001,1458900,112.666872
2016-08-29,113.739998,114.18,113.589996,113.839996,1229500,113.283838
2016-08-26,114.440002,115.00,112.290001,113.230003,1665700,112.676826
2016-08-25,114.610001,115.040001,114.099998,114.25,1208000,113.691839
2016-08-24,115.230003,115.480003,114.349998,114.57,1360900,114.010275
2016-08-23,115.209999,116.360001,115.019997,115.220001,1924700,114.657101
2016-08-22,113.639999,114.889999,113.080002,114.620003,1434200,114.060034
2016-08-19,114.18,114.57,113.25,113.610001,3096700,113.054966
2016-08-18,114.519997,114.919998,113.75,114.349998,1098200,113.791349
2016-08-17,114.410004,114.669998,113.050003,114.559998,1448200,114.000322
2016-08-16,115.199997,115.529999,113.870003,114.120003,1813200,113.562477
2016-08-15,116.620003,117.110001,115.760002,115.790001,878700,115.224316
2016-08-12,115.919998,116.940002,115.690002,116.50,933700,115.930847
2016-08-11,116.220001,116.669998,115.599998,115.889999,1070800,115.323826
2016-08-10,116.330002,116.330002,115.839996,116.239998,1001100,115.672115
2016-08-09,115.779999,116.139999,115.470001,115.919998,1312300,115.353679
2016-08-08,116.540001,116.800003,115.580002,115.730003,1549000,115.164612
2016-08-05,116.57,117.25,116.040001,116.580002,2224100,116.010458
2016-08-04,115.989998,117.00,115.709999,116.419998,1773800,115.851236
