Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,139.839996,141.020004,138.850006,140.570007,3009100,140.570007
2016-09-30,151.360001,151.869995,149.889999,150.339996,2169300,150.339996
2016-09-29,149.770004,151.600006,149.699997,150.509995,2038100,150.509995
2016-09-28,149.330002,150.229996,148.789993,149.779999,1336900,149.779999
2016-09-27,148.399994,149.449997,148.059998,148.839996,1270300,148.839996
2016-09-26,147.410004,148.880005,147.00,148.350006,1182100,148.350006
2016-09-23,147.380005,148.110001,147.130005,147.460007,865100,147.460007
2016-09-22,150.130005,150.559998,147.800003,148.149994,1241500,148.149994
2016-09-21,147.460007,148.940002,147.25,148.740005,1065700,148.740005
2016-09-20,147.779999,148.300003,146.990005,147.070007,1071500,147.070007
2016-09-19,146.669998,147.809998,146.50,146.800003,1276600,146.800003
2016-09-16,145.740005,146.559998,144.880005,145.800003,5399500,145.800003
2016-09-15,146.550003,147.070007,146.029999,146.580002,2951100,146.580002
2016-09-14,147.720001,148.600006,145.509995,146.820007,2866000,146.820007
2016-09-13,149.830002,150.589996,146.279999,147.710007,3540900,147.710007
2016-09-12,150.919998,152.679993,149.25,150.580002,8369500,150.580002
2016-09-09,155.070007,155.070007,151.509995,151.529999,2265900,151.529999
2016-09-08,157.440002,157.690002,155.820007,155.889999,1191000,155.889999
2016-09-07,156.720001,157.619995,156.339996,157.399994,702600,157.399994
2016-09-06,157.360001,157.839996,156.369995,157.399994,1176900,157.399994
2016-09-02,157.00,157.360001,156.330002,157.089996,1058100,157.089996
2016-09-01,156.130005,156.550003,155.550003,156.300003,1303200,156.300003
2016-08-31,156.070007,156.740005,155.339996,155.619995,1035900,155.619995
2016-08-30,155.740005,157.240005,155.309998,156.649994,1137400,156.649994
2016-08-29,154.570007,157.509995,154.570007,155.889999,866000,155.889999
2016-08-26,155.809998,156.00,153.570007,154.25,1096200,154.25
2016-08-25,155.089996,156.160004,155.089996,155.729996,801200,155.729996
2016-08-24,155.190002,155.789993,154.729996,155.210007,878700,155.210007
2016-08-23,156.00,156.850006,155.380005,155.429993,805400,155.429993
2016-08-22,155.139999,155.910004,154.699997,155.479996,574700,155.479996
2016-08-19,154.149994,155.940002,153.690002,155.679993,981900,155.679993
2016-08-18,153.699997,155.00,153.389999,154.970001,996700,154.970001
2016-08-17,152.850006,154.050003,151.610001,153.720001,1073300,153.720001
2016-08-16,152.660004,154.910004,152.509995,152.770004,1885700,152.770004
2016-08-15,150.169998,151.729996,150.009995,151.520004,735400,151.520004
2016-08-12,150.00,152.080002,149.399994,149.839996,1301500,149.839996
2016-08-11,149.589996,149.869995,148.649994,149.050003,616400,149.050003
2016-08-10,149.25,149.25,148.550003,149.029999,528700,149.029999
2016-08-09,148.839996,149.279999,148.490005,149.100006,699800,149.100006
2016-08-08,149.699997,149.699997,148.350006,148.759995,628400,148.759995
2016-08-05,149.490005,150.00,148.720001,149.210007,934200,149.210007
2016-08-04,148.169998,149.529999,147.570007,149.00,822700,149.00
2016-08-03,148.75,148.75,147.789993,148.210007,858500,148.210007
2016-08-02,149.020004,149.149994,147.539993,148.229996,622400,148.229996
2016-08-01,147.75,149.360001,147.119995,149.149994,964000,149.149994
2016-07-29,148.809998,150.75,148.270004,149.419998,1499600,149.419998
2016-07-28,151.490005,152.690002,148.479996,148.990005,1513200,148.990005
2016-07-27,149.949997,150.080002,148.639999,149.009995,1128200,149.009995
2016-07-26,149.00,150.550003,148.199997,149.850006,1264500,149.850006
2016-07-25,148.440002,148.800003,147.779999,148.520004,621000,148.520004
2016-07-22,148.490005,148.880005,147.809998,148.630005,361000,148.630005
2016-07-21,149.50,149.50,147.820007,148.300003,462100,148.300003
2016-07-20,149.229996,150.00,149.00,149.350006,613200,149.350006
2016-07-19,148.610001,149.419998,148.259995,149.380005,812500,149.380005
2016-07-18,149.360001,149.679993,148.649994,149.190002,953800,149.190002
2016-07-15,149.399994,149.690002,148.440002,149.350006,812000,149.350006
2016-07-14,148.429993,149.649994,148.039993,148.899994,1066000,148.899994
2016-07-13,147.960007,148.00,146.720001,147.919998,790800,147.919998
2016-07-12,145.529999,147.880005,145.330002,147.699997,2176000,147.699997
2016-07-11,145.470001,145.559998,143.509995,144.860001,1035300,144.860001
2016-07-08,140.970001,144.720001,140.399994,144.350006,1462100,144.350006
2016-07-07,139.860001,140.440002,138.960007,139.669998,667900,139.669998
2016-07-06,138.380005,139.490005,137.309998,139.360001,845400,139.360001
2016-07-05,140.020004,140.639999,137.880005,138.490005,899300,138.490005
2016-07-01,141.610001,142.690002,140.570007,140.940002,1095400,140.940002
2016-06-30,139.580002,142.089996,138.830002,142.039993,1512700,142.039993
2016-06-29,136.789993,139.589996,136.179993,139.259995,1421600,139.259995
2016-06-28,136.089996,136.800003,134.339996,136.720001,1475300,135.859997
2016-06-27,138.949997,139.139999,134.149994,134.820007,1489900,133.971955
2016-06-24,141.020004,142.729996,139.270004,140.119995,1907300,139.238604
2016-06-23,145.080002,146.220001,145.009995,146.020004,1236900,145.101501
2016-06-22,143.610001,143.779999,142.850006,143.50,960600,142.597348
2016-06-21,144.259995,144.460007,142.539993,143.149994,1111700,142.249544
2016-06-20,144.800003,146.070007,143.869995,144.039993,1245700,143.133945
2016-06-17,144.520004,144.520004,142.699997,143.309998,1093400,142.408541
2016-06-16,143.149994,144.520004,141.369995,144.360001,692000,143.451939
2016-06-15,144.759995,145.759995,143.529999,143.649994,775700,142.746399
2016-06-14,143.960007,144.419998,142.850006,143.899994,884400,142.994826
2016-06-13,145.929993,146.360001,143.899994,144.029999,828400,143.124013
2016-06-10,145.800003,146.589996,145.059998,146.389999,714800,145.469169
2016-06-09,145.869995,146.850006,145.100006,146.600006,585500,145.677854
2016-06-08,145.75,147.199997,145.009995,146.889999,800200,145.966024
2016-06-07,145.399994,145.940002,145.020004,145.25,890100,144.33634
2016-06-06,143.869995,145.880005,143.869995,145.559998,722800,144.644388
2016-06-03,143.389999,143.50,142.270004,143.25,508100,142.348921
2016-06-02,143.440002,143.50,142.279999,143.50,672100,142.597348
2016-06-01,142.160004,144.160004,141.25,144.00,821100,143.094203
2016-05-31,143.679993,143.679993,142.270004,142.639999,684900,141.742757
2016-05-27,143.110001,143.529999,142.850006,143.059998,439200,142.160113
2016-05-26,144.00,144.240005,143.009995,143.070007,439900,142.17006
2016-05-25,143.839996,144.779999,143.490005,143.679993,670700,142.776209
2016-05-24,141.919998,143.580002,141.570007,143.300003,603500,142.398609
2016-05-23,141.740005,142.440002,141.559998,141.669998,831700,140.778857
2016-05-20,142.539993,142.860001,141.089996,141.440002,630700,140.550308
2016-05-19,141.740005,142.630005,140.490005,141.699997,664100,140.808668
2016-05-18,142.00,143.589996,141.119995,141.699997,677700,140.808668
2016-05-17,143.50,144.279999,142.220001,142.880005,1629500,141.981253
2016-05-16,141.990005,143.929993,141.880005,143.550003,835800,142.647037
2016-05-13,143.00,143.649994,141.210007,141.830002,675700,140.937855
2016-05-12,144.199997,144.449997,142.649994,143.339996,1015500,142.438351
2016-05-11,144.270004,144.710007,142.339996,142.419998,706200,141.52414
2016-05-10,143.160004,144.380005,142.330002,144.320007,915900,143.412197
2016-05-09,144.059998,144.990005,142.309998,142.610001,868100,141.712947
2016-05-06,143.669998,145.639999,143.00,144.570007,1527900,143.660625
2016-05-05,143.539993,144.380005,142.720001,143.25,1289900,142.348921
2016-05-04,142.380005,143.240005,142.029999,142.850006,1905800,141.951443
2016-05-03,144.210007,145.009995,141.990005,143.139999,3726300,142.239612
2016-05-02,144.820007,147.080002,144.820007,145.869995,1360000,144.952435
2016-04-29,147.589996,148.649994,145.440002,145.889999,1646900,144.972314
2016-04-28,147.809998,152.160004,146.869995,148.539993,2074200,147.605639
2016-04-27,147.589996,148.789993,146.020004,148.309998,1373600,147.37709
2016-04-26,148.199997,148.729996,146.990005,147.490005,941600,146.562255
2016-04-25,147.300003,148.029999,146.669998,147.960007,863200,147.0293
2016-04-22,149.050003,149.50,147.559998,148.119995,718800,147.188282
2016-04-21,148.770004,149.429993,147.919998,148.320007,665600,147.387036
2016-04-20,149.330002,149.330002,148.199997,148.830002,917200,147.893823
2016-04-19,147.440002,149.199997,146.639999,149.199997,1088900,148.261491
2016-04-18,144.660004,146.520004,144.130005,146.470001,683500,145.548667
2016-04-15,145.130005,145.210007,144.25,145.029999,682100,144.117723
2016-04-14,144.929993,145.179993,144.190002,145.080002,1020000,144.167411
2016-04-13,144.970001,145.210007,143.649994,144.399994,872200,143.491681
2016-04-12,143.779999,144.839996,142.839996,144.229996,612700,143.322752
2016-04-11,143.470001,144.360001,143.130005,143.360001,935600,142.458229
2016-04-08,143.399994,143.940002,142.080002,142.520004,514000,141.623517
2016-04-07,143.100006,143.199997,141.559998,141.850006,730700,140.957733
2016-04-06,142.380005,143.720001,141.649994,143.690002,722200,142.786155
2016-04-05,142.00,143.389999,141.520004,142.699997,940700,141.802377
2016-04-04,143.729996,144.080002,142.00,142.699997,1530100,141.802377
2016-04-01,143.50,145.539993,141.899994,145.309998,1333000,144.39596
2016-03-31,145.130005,145.679993,143.320007,144.050003,1234000,143.143892
2016-03-30,145.00,147.160004,144.369995,145.25,1350300,144.33634
2016-03-29,142.25,145.970001,141.529999,145.029999,1984200,143.26314
2016-03-28,142.360001,143.639999,141.960007,143.130005,1723500,141.386293
2016-03-24,144.039993,144.360001,141.320007,141.759995,1161200,140.032973
2016-03-23,142.460007,143.929993,141.529999,143.929993,2508700,142.176535
2016-03-22,140.00,143.889999,139.740005,143.070007,2740700,141.327027
2016-03-21,141.259995,141.860001,139.729996,140.690002,1903300,138.976017
2016-03-18,141.100006,142.740005,140.309998,141.589996,2901300,139.865046
2016-03-17,137.100006,141.399994,136.199997,140.960007,2250000,139.242731
2016-03-16,133.289993,136.449997,133.160004,136.059998,1554500,134.402418
2016-03-15,135.070007,135.479996,133.630005,134.050003,1712100,132.41691
2016-03-14,135.979996,136.669998,135.259995,136.25,2628800,134.590105
2016-03-11,135.979996,137.779999,135.00,136.470001,1283500,134.807426
2016-03-10,135.470001,136.089996,133.020004,134.600006,4220200,132.960213
2016-03-09,135.110001,135.50,133.690002,134.679993,9906800,133.039225
2016-03-08,133.919998,135.089996,131.940002,134.220001,13888000,132.584838
2016-03-07,134.690002,136.00,133.779999,135.00,897500,133.355334
2016-03-04,135.669998,136.240005,133.580002,134.789993,1233000,133.147886
2016-03-03,134.509995,135.949997,134.009995,134.880005,1090900,133.236801
2016-03-02,133.410004,134.979996,132.649994,134.220001,932500,132.584838
2016-03-01,133.779999,135.229996,131.910004,134.389999,1309500,132.752765
2016-02-29,133.429993,134.759995,132.410004,132.470001,1835900,130.856157
2016-02-26,133.660004,134.470001,133.009995,133.639999,825900,132.011902
2016-02-25,132.100006,133.00,130.449997,132.990005,633200,131.369826
2016-02-24,128.789993,131.729996,126.379997,131.550003,747200,129.947367
2016-02-23,132.050003,132.610001,130.570007,131.210007,975600,129.611513
2016-02-22,132.869995,133.910004,132.279999,132.919998,895500,131.300672
2016-02-19,130.699997,131.899994,128.880005,131.529999,1166100,129.927607
2016-02-18,132.389999,132.960007,130.580002,131.169998,1077800,129.571992
2016-02-17,132.690002,133.160004,131.270004,132.509995,1185700,130.895663
2016-02-16,131.940002,131.990005,129.690002,131.350006,920700,129.749807
2016-02-12,128.809998,130.960007,127.269997,130.350006,1109700,128.761989
2016-02-11,128.559998,130.00,126.110001,127.209999,2109800,125.660236
2016-02-10,132.850006,134.50,130.119995,130.449997,1388200,128.860762
2016-02-09,129.279999,133.460007,128.820007,132.460007,1657400,130.846285
2016-02-08,134.009995,134.169998,128.789993,130.75,2566200,129.15711
2016-02-05,136.160004,136.910004,134.960007,135.600006,2063700,133.94803
2016-02-04,133.289993,137.00,132.960007,136.160004,3233000,134.501205
2016-02-03,132.789993,133.889999,130.830002,133.380005,2951900,131.755075
2016-02-02,131.059998,132.339996,129.039993,130.809998,3685000,129.216377
2016-02-01,125.440002,131.679993,125.019997,131.259995,3288300,129.660892
