Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,15.59,15.73,15.50,15.63,69606600,15.63
2016-09-30,15.26,15.73,15.17,15.65,119428700,15.65
2016-09-29,15.38,15.50,15.06,15.16,78997700,15.16
2016-09-28,15.36,15.39,15.15,15.38,66076400,15.38
2016-09-27,15.01,15.34,14.81,15.29,81992600,15.29
2016-09-26,15.40,15.44,15.02,15.09,94972100,15.09
2016-09-23,15.53,15.67,15.50,15.52,51604400,15.52
2016-09-22,15.69,15.71,15.50,15.60,75611300,15.60
2016-09-21,15.71,15.83,15.39,15.65,95464600,15.65
2016-09-20,15.74,15.76,15.51,15.60,68210400,15.60
2016-09-19,15.55,15.78,15.55,15.59,66186400,15.59
2016-09-16,15.66,15.68,15.48,15.49,90926200,15.49
2016-09-15,15.64,15.75,15.58,15.67,67322600,15.67
2016-09-14,15.67,15.84,15.56,15.63,75528100,15.63
2016-09-13,15.67,15.86,15.55,15.72,89317600,15.72
2016-09-12,15.65,15.94,15.48,15.90,109724000,15.90
2016-09-09,15.91,16.15,15.74,15.74,135182500,15.74
2016-09-08,15.77,15.94,15.68,15.86,69292700,15.86
2016-09-07,15.72,15.85,15.65,15.70,63310300,15.70
2016-09-06,16.049999,16.059999,15.70,15.78,96542200,15.78
2016-09-02,15.94,16.059999,15.82,16.00,100997300,16.00
2016-09-01,16.15,16.15,15.75,15.98,128812600,15.98
2016-08-31,16.209999,16.24,15.88,16.139999,127664300,16.139999
2016-08-30,15.84,16.23,15.80,16.190001,121280600,16.115001
2016-08-29,15.81,16.01,15.78,15.84,120144900,15.766622
2016-08-26,15.61,15.90,15.58,15.79,126886300,15.716853
2016-08-25,15.42,15.54,15.40,15.53,67714400,15.458057
2016-08-24,15.37,15.50,15.36,15.40,65484900,15.32866
2016-08-23,15.26,15.41,15.26,15.35,67817900,15.278892
2016-08-22,15.20,15.25,15.12,15.18,60877100,15.109679
2016-08-19,15.13,15.25,15.05,15.22,59834800,15.149494
2016-08-18,15.11,15.24,15.06,15.16,62804300,15.089772
2016-08-17,15.16,15.24,15.08,15.15,93407300,15.079818
2016-08-16,14.97,15.19,14.93,15.17,80307500,15.099725
2016-08-15,14.97,15.03,14.95,15.02,48592100,14.950421
2016-08-12,14.77,14.91,14.70,14.91,63031300,14.84093
2016-08-11,14.83,14.97,14.75,14.88,68945400,14.811069
2016-08-10,15.16,15.18,14.78,14.81,79080700,14.741393
2016-08-09,15.11,15.19,15.07,15.19,49973300,15.119632
2016-08-08,15.08,15.17,14.92,15.13,71960300,15.059911
2016-08-05,14.75,15.06,14.75,15.05,120947800,14.980281
2016-08-04,14.48,14.54,14.36,14.48,46176600,14.412921
2016-08-03,14.11,14.48,14.10,14.48,65305400,14.412921
2016-08-02,14.28,14.45,14.09,14.13,83776300,14.064543
2016-08-01,14.52,14.60,14.26,14.33,61460900,14.263617
2016-07-29,14.56,14.70,14.48,14.49,63276500,14.422875
2016-07-28,14.57,14.69,14.46,14.68,72049500,14.611996
2016-07-27,14.57,14.70,14.45,14.63,100986000,14.562227
2016-07-26,14.32,14.55,14.31,14.53,60205600,14.46269
2016-07-25,14.31,14.39,14.28,14.37,46420800,14.303431
2016-07-22,14.26,14.40,14.18,14.38,46604800,14.313385
2016-07-21,14.43,14.47,14.26,14.27,65376300,14.203895
2016-07-20,14.35,14.43,14.26,14.40,79277900,14.333292
2016-07-19,14.06,14.37,14.03,14.26,96940100,14.193941
2016-07-18,13.84,14.23,13.82,14.11,187187100,14.044635
2016-07-15,13.78,13.79,13.52,13.66,78652500,13.59672
2016-07-14,13.73,13.78,13.64,13.65,97852100,13.586766
2016-07-13,13.50,13.58,13.32,13.44,74595600,13.377739
2016-07-12,13.41,13.60,13.40,13.54,89070600,13.477276
2016-07-11,13.29,13.40,13.20,13.21,67267300,13.148805
2016-07-08,13.28,13.32,13.11,13.17,92698900,13.10899
2016-07-07,12.87,13.11,12.84,13.01,101100300,12.949732
2016-07-06,12.52,12.92,12.45,12.86,94983300,12.800426
2016-07-05,12.93,12.94,12.63,12.74,98246500,12.680982
2016-07-01,13.19,13.27,13.02,13.10,88888100,13.039315
2016-06-30,13.37,13.38,13.07,13.27,125773900,13.208528
2016-06-29,13.07,13.22,12.92,13.19,118484000,13.128897
2016-06-28,12.57,12.72,12.35,12.70,150136300,12.641167
2016-06-27,12.77,12.77,12.05,12.18,250847700,12.123577
2016-06-24,13.05,13.44,12.97,13.00,231499200,12.939778
2016-06-23,13.84,14.05,13.82,14.04,82494600,13.97496
2016-06-22,13.60,13.78,13.59,13.61,77980500,13.546952
2016-06-21,13.62,13.65,13.45,13.62,73810800,13.556906
2016-06-20,13.74,13.85,13.51,13.54,89874000,13.477276
2016-06-17,13.38,13.53,13.28,13.40,89022300,13.337924
2016-06-16,13.23,13.33,13.02,13.31,90152000,13.248342
2016-06-15,13.38,13.66,13.28,13.34,100659100,13.278203
2016-06-14,13.56,13.73,13.17,13.26,85377800,13.198574
2016-06-13,13.64,13.91,13.58,13.60,74851700,13.536999
2016-06-10,13.98,14.00,13.75,13.83,90725700,13.765933
2016-06-09,14.32,14.32,14.08,14.19,74814900,14.124265
2016-06-08,14.35,14.46,14.30,14.43,58292900,14.363154
2016-06-07,14.54,14.60,14.34,14.35,67447100,14.283524
2016-06-06,14.44,14.70,14.37,14.52,80949300,14.452737
2016-06-03,14.46,14.50,14.19,14.42,148600900,14.3532
2016-06-02,14.95,14.98,14.77,14.94,64327300,14.87079
2016-06-01,14.60,14.90,14.45,14.86,62612100,14.791161
2016-05-31,15.03,15.05,14.73,14.79,85635900,14.671717
2016-05-27,14.76,14.88,14.69,14.88,62411300,14.760997
2016-05-26,14.98,14.99,14.69,14.70,65356600,14.582436
2016-05-25,14.83,15.15,14.83,14.92,123498700,14.800677
2016-05-24,14.60,14.75,14.53,14.68,96183700,14.562597
2016-05-23,14.54,14.60,14.40,14.47,66303200,14.354276
2016-05-20,14.64,14.70,14.43,14.52,81214000,14.403877
2016-05-19,14.60,14.87,14.43,14.53,106156900,14.413796
2016-05-18,14.02,14.75,14.01,14.69,151871700,14.572516
2016-05-17,13.89,14.13,13.82,14.01,76273800,13.897955
2016-05-16,13.82,14.02,13.80,13.93,57848600,13.818595
2016-05-13,14.15,14.37,13.87,13.88,86193900,13.768995
2016-05-12,14.30,14.47,14.05,14.14,72567100,14.026916
2016-05-11,14.25,14.50,14.19,14.20,68088900,14.086435
2016-05-10,14.08,14.33,14.05,14.30,59870500,14.185636
2016-05-09,14.08,14.19,13.91,13.99,55399600,13.878115
2016-05-06,13.83,14.14,13.80,14.11,76595100,13.997155
2016-05-05,14.15,14.32,14.00,14.05,73145900,13.937635
2016-05-04,14.09,14.27,14.00,14.13,99269700,14.016995
2016-05-03,14.51,14.51,14.15,14.36,110549000,14.245155
2016-05-02,14.58,14.78,14.40,14.77,68882800,14.651877
2016-04-29,14.73,14.85,14.43,14.56,122128100,14.443557
2016-04-28,14.92,15.08,14.76,14.79,78639300,14.671717
2016-04-27,15.02,15.30,14.98,15.02,115789000,14.899878
2016-04-26,15.02,15.14,14.80,15.09,84812400,14.969318
2016-04-25,15.02,15.14,14.81,14.96,70489500,14.840357
2016-04-22,14.87,15.14,14.87,15.11,83456600,14.989157
2016-04-21,14.93,15.14,14.75,14.90,121589000,14.780837
2016-04-20,14.56,14.94,14.53,14.93,115628700,14.810597
2016-04-19,14.26,14.54,14.24,14.45,107153600,14.334436
2016-04-18,13.85,14.24,13.82,14.17,81998200,14.056675
2016-04-15,14.27,14.29,13.95,14.00,87958700,13.888035
2016-04-14,13.71,14.28,13.70,14.14,179383300,14.026916
2016-04-13,13.55,13.85,13.53,13.79,138647200,13.679714
2016-04-12,13.00,13.33,12.93,13.27,100791600,13.163873
2016-04-11,12.92,13.09,12.88,12.97,79411500,12.866273
2016-04-08,13.03,13.14,12.86,12.88,76548100,12.776992
2016-04-07,13.15,13.21,12.75,12.85,105704500,12.747232
2016-04-06,13.20,13.30,13.11,13.27,62558500,13.163873
2016-04-05,13.30,13.34,13.16,13.19,78445900,13.084512
2016-04-04,13.54,13.65,13.41,13.51,59709600,13.401954
2016-04-01,13.47,13.65,13.32,13.56,73130900,13.451554
2016-03-31,13.49,13.71,13.45,13.52,79592100,13.411874
2016-03-30,13.49,13.66,13.46,13.48,85897000,13.372193
2016-03-29,13.54,13.54,13.26,13.42,101606800,13.312673
2016-03-28,13.73,13.74,13.54,13.62,54498500,13.511074
2016-03-24,13.41,13.69,13.27,13.68,94836500,13.570594
2016-03-23,13.77,13.83,13.60,13.62,95789700,13.511074
2016-03-22,13.67,13.84,13.63,13.76,83252100,13.649954
2016-03-21,13.80,14.03,13.72,13.84,104695700,13.729315
2016-03-18,13.68,13.88,13.55,13.79,146616200,13.679714
2016-03-17,13.22,13.48,13.05,13.40,122212300,13.292833
2016-03-16,13.51,13.81,13.09,13.31,149645400,13.203554
2016-03-15,13.51,13.60,13.39,13.57,80404000,13.461473
2016-03-14,13.72,13.74,13.49,13.64,87746800,13.530914
2016-03-11,13.44,13.84,13.37,13.79,120400600,13.679714
2016-03-10,13.23,13.40,13.00,13.27,123532800,13.163873
2016-03-09,13.17,13.27,13.00,13.14,92253800,13.034913
2016-03-08,13.40,13.47,13.05,13.06,125894800,12.955553
2016-03-07,13.45,13.62,13.37,13.53,97650300,13.421793
2016-03-04,13.76,13.89,13.49,13.54,171410900,13.431714
2016-03-03,13.38,13.55,13.25,13.50,105082700,13.392034
2016-03-02,13.20,13.51,13.13,13.41,139622500,13.302753
2016-03-01,12.64,13.21,12.62,13.19,153558200,13.034913
2016-02-29,12.70,12.86,12.51,12.52,123661100,12.372791
2016-02-26,12.49,12.95,12.40,12.70,160314400,12.550674
2016-02-25,12.14,12.33,12.09,12.32,103054600,12.175142
2016-02-24,11.96,12.15,11.65,12.13,159552800,11.987377
2016-02-23,12.47,12.48,12.10,12.16,104498700,12.017024
2016-02-22,12.13,12.54,12.13,12.54,88865500,12.392556
2016-02-19,12.22,12.24,11.98,12.13,121045600,11.987377
