Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,47.299999,47.68,47.040001,47.639999,2600200,47.639999
2016-09-30,47.139999,47.77,47.009998,47.599998,3176100,47.599998
2016-09-29,47.830002,47.830002,46.720001,46.919998,3310900,46.919998
2016-09-28,47.389999,47.939999,47.16,47.919998,3488500,47.919998
2016-09-27,47.299999,47.470001,47.009998,47.330002,3377000,47.330002
2016-09-26,47.34,47.419998,47.009998,47.200001,2418400,47.200001
2016-09-23,47.98,47.990002,47.349998,47.490002,3310700,47.490002
2016-09-22,48.080002,48.259998,48.00,48.200001,5580400,48.200001
2016-09-21,47.389999,47.990002,47.32,47.919998,2752000,47.919998
2016-09-20,47.43,47.75,47.369999,47.389999,4296100,47.389999
2016-09-19,47.360001,47.779999,47.119999,47.25,3026200,47.25
2016-09-16,47.09,47.400002,46.75,47.279999,14557000,47.279999
2016-09-15,45.540001,47.279999,45.419998,47.07,6337500,47.07
2016-09-14,45.349998,45.860001,45.23,45.43,3772200,45.43
2016-09-13,45.400002,45.950001,45.169998,45.380001,5529700,45.380001
2016-09-12,44.869999,45.849998,44.689999,45.73,4486100,45.73
2016-09-09,45.73,45.98,45.080002,45.09,4613300,45.09
2016-09-08,45.830002,46.380001,45.75,46.07,5145200,46.07
2016-09-07,45.849998,46.130001,45.77,45.900002,3992300,45.900002
2016-09-06,46.240002,46.400002,45.48,45.950001,5956600,45.950001
2016-09-02,46.380001,46.439999,46.080002,46.279999,3081400,46.279999
2016-09-01,46.75,46.779999,45.91,46.18,4249300,46.18
2016-08-31,46.84,46.93,46.52,46.73,3553700,46.73
2016-08-30,47.73,47.73,46.779999,46.889999,3304300,46.759999
2016-08-29,47.290001,47.540001,47.150002,47.41,3494500,47.278558
2016-08-26,47.240002,47.540001,46.919998,47.18,3197900,47.049196
2016-08-25,46.990002,47.599998,46.91,47.099998,5112700,46.969416
2016-08-24,48.029999,48.34,46.970001,47.060001,3513500,46.92953
2016-08-23,48.07,48.349998,47.939999,47.98,2280500,47.846977
2016-08-22,47.669998,48.09,47.669998,47.98,2887300,47.846977
2016-08-19,47.869999,48.060001,47.59,47.950001,3084600,47.817062
2016-08-18,47.900002,48.240002,47.849998,48.009998,3314000,47.876893
2016-08-17,48.299999,48.349998,47.549999,47.98,3768800,47.846977
2016-08-16,48.25,48.360001,48.049999,48.240002,3383100,48.106259
2016-08-15,48.700001,48.98,48.389999,48.41,2312200,48.275786
2016-08-12,49.119999,49.119999,48.450001,48.59,2273600,48.455287
2016-08-11,48.610001,49.490002,48.599998,49.029999,3499900,48.894066
2016-08-10,48.200001,48.700001,48.029999,48.599998,4132200,48.465257
2016-08-09,48.060001,48.27,47.959999,48.150002,1897700,48.016508
2016-08-08,48.080002,48.310001,47.93,47.98,2609600,47.846977
2016-08-05,48.299999,48.400002,48.02,48.060001,2323800,47.926757
2016-08-04,48.09,48.349998,47.75,48.080002,4607900,47.946702
2016-08-03,48.389999,48.43,47.959999,48.119999,2531100,47.986589
2016-08-02,48.470001,48.689999,48.220001,48.48,4180200,48.345591
2016-08-01,48.060001,48.759998,47.990002,48.50,4063900,48.365536
2016-07-29,48.18,48.34,47.82,48.02,5489200,47.886867
2016-07-28,48.310001,48.490002,47.959999,48.220001,3776900,48.086314
2016-07-27,48.009998,48.50,47.470001,48.32,5926400,48.186035
2016-07-26,46.549999,48.09,46.470001,48.009998,6844600,47.876893
2016-07-25,46.389999,46.439999,45.869999,46.099998,2601100,45.972189
2016-07-22,46.18,46.32,45.669998,46.32,2980500,46.19158
2016-07-21,46.639999,46.720001,45.869999,46.099998,2355900,45.972189
2016-07-20,46.48,46.860001,46.459999,46.700001,1663200,46.570527
2016-07-19,46.439999,46.529999,45.900002,46.200001,3484900,46.071914
2016-07-18,46.810001,46.860001,46.34,46.549999,2811800,46.420942
2016-07-15,47.080002,47.200001,46.560001,46.77,2961700,46.640333
2016-07-14,47.09,47.209999,46.740002,46.950001,2907000,46.819834
2016-07-13,47.130001,47.220001,46.740002,46.82,2485200,46.690194
2016-07-12,46.50,47.139999,46.389999,46.849998,3544600,46.720109
2016-07-11,46.869999,46.900002,46.369999,46.490002,4482500,46.36111
2016-07-08,46.310001,46.669998,46.169998,46.650002,3256800,46.520667
2016-07-07,45.919998,46.360001,45.860001,46.119999,2485400,45.992134
2016-07-06,45.23,46.110001,44.990002,45.990002,4877000,45.862497
2016-07-05,45.25,45.580002,45.150002,45.310001,3980800,45.184382
2016-07-01,45.18,45.50,45.029999,45.450001,2377200,45.323993
2016-06-30,44.990002,45.240002,44.759998,45.220001,5242500,45.094631
2016-06-29,43.779999,44.84,43.779999,44.82,4085100,44.695738
2016-06-28,42.700001,43.41,42.310001,43.380001,6167400,43.259732
2016-06-27,43.549999,43.549999,42.220001,42.349998,7807600,42.232585
2016-06-24,44.84,44.84,43.720001,43.849998,11205000,43.728427
2016-06-23,45.18,45.959999,45.16,45.959999,3274700,45.832577
2016-06-22,45.09,45.16,44.779999,44.939999,5368900,44.815405
2016-06-21,45.049999,45.110001,44.59,45.009998,2810200,44.88521
2016-06-20,44.830002,45.049999,44.540001,44.959999,7286300,44.83535
2016-06-17,44.630001,44.669998,44.00,44.439999,5158100,44.316791
2016-06-16,44.139999,44.619999,44.009998,44.57,3558800,44.446432
2016-06-15,44.599998,44.630001,44.18,44.209999,2429400,44.087429
2016-06-14,44.310001,44.599998,44.060001,44.439999,3924800,44.316791
2016-06-13,44.119999,44.779999,44.119999,44.41,3145200,44.286875
2016-06-10,44.41,44.59,44.060001,44.490002,3331000,44.366655
2016-06-09,44.529999,44.790001,44.220001,44.75,3770100,44.625933
2016-06-08,43.860001,44.619999,43.810001,44.599998,4372500,44.476347
2016-06-07,43.939999,44.189999,43.77,43.93,3446900,43.808207
2016-06-06,43.50,43.970001,43.419998,43.970001,7498700,43.848097
2016-06-03,43.150002,43.580002,43.07,43.48,3582700,43.359453
2016-06-02,43.310001,43.599998,43.110001,43.43,4482900,43.309593
2016-06-01,43.029999,43.400002,42.84,43.330002,4804700,43.209872
2016-05-31,43.310001,43.439999,42.919998,43.16,7448900,42.9107
2016-05-27,43.470001,43.549999,43.150002,43.310001,7582500,43.059836
2016-05-26,43.630001,43.740002,43.25,43.43,14075700,43.179141
2016-05-25,43.93,43.93,43.16,43.50,9703300,43.248737
2016-05-24,42.82,43.919998,42.790001,43.66,18388300,43.407812
2016-05-23,42.950001,43.080002,42.57,42.700001,4981100,42.453358
2016-05-20,43.349998,43.509998,42.889999,42.919998,11681600,42.672085
2016-05-19,44.369999,44.650002,43.049999,43.16,18350100,42.9107
2016-05-18,44.59,45.080002,44.040001,45.080002,36029500,44.819612
2016-05-17,45.349998,45.779999,44.220001,44.599998,33325900,44.342381
2016-05-16,45.389999,45.880001,45.299999,45.470001,25229800,45.207359
2016-05-13,45.560001,45.91,45.23,45.52,24874100,45.257069
2016-05-12,46.560001,46.950001,45.220001,45.630001,21637800,45.366435
2016-05-11,45.299999,46.509998,45.240002,46.389999,34540700,46.122043
2016-05-10,45.049999,45.669998,44.82,45.50,21345800,45.237184
2016-05-09,45.040001,45.52,45.040001,45.150002,20858400,44.889208
2016-05-06,45.200001,45.459999,44.610001,45.07,21284100,44.809668
2016-05-05,45.080002,45.459999,44.91,45.299999,21337300,45.038339
2016-05-04,44.27,45.25,44.150002,45.119999,15993100,44.859378
2016-05-03,44.360001,44.950001,44.310001,44.389999,16850800,44.133595
2016-05-02,44.389999,44.720001,44.240002,44.709999,6968800,44.451747
2016-04-29,44.119999,44.610001,43.84,44.220001,8992200,43.964579
2016-04-28,44.049999,44.669998,43.950001,44.259998,16267800,44.004345
2016-04-27,44.34,44.779999,44.07,44.18,11937900,43.924809
2016-04-26,44.00,44.75,43.529999,43.970001,14621000,43.716023
2016-04-25,43.310001,43.689999,43.25,43.630001,16409400,43.377987
2016-04-22,43.099998,43.59,43.00,43.32,33386700,43.069776
2016-04-21,43.290001,43.459999,42.869999,43.009998,4023500,42.761565
2016-04-20,43.369999,43.52,43.09,43.259998,5090500,43.010121
2016-04-19,43.080002,43.50,42.970001,43.369999,5773200,43.119487
