Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,53.939999,54.700001,53.560001,54.66,9684700,54.66
2016-09-30,53.93,54.369999,53.900002,53.919998,13326700,53.919998
2016-09-29,55.259998,55.27,53.759998,53.869999,17228500,53.869999
2016-09-28,55.810001,55.810001,54.93,55.09,13768400,55.09
2016-09-27,55.68,55.889999,55.50,55.740002,8619900,55.740002
2016-09-26,56.259998,56.310001,55.400002,55.48,8599800,55.48
2016-09-23,56.299999,56.950001,56.259998,56.48,8569100,56.48
2016-09-22,56.029999,56.650002,55.869999,56.419998,10611000,56.419998
2016-09-21,55.860001,56.119999,55.259998,55.93,11651400,55.93
2016-09-20,55.349998,56.279999,55.16,55.560001,9940200,55.560001
2016-09-19,55.950001,55.970001,55.02,55.080002,10517400,55.080002
2016-09-16,56.220001,56.41,55.529999,55.599998,12082900,55.599998
2016-09-15,55.349998,56.34,55.27,55.970001,9835200,55.970001
2016-09-14,55.849998,56.09,55.110001,55.23,9007200,55.23
2016-09-13,56.080002,56.130001,55.09,55.599998,9473400,55.599998
2016-09-12,55.299999,56.439999,55.02,56.32,9958900,56.32
2016-09-09,56.599998,57.009998,55.66,55.66,12349600,55.66
2016-09-08,56.630001,57.25,56.279999,56.810001,11571500,56.810001
2016-09-07,57.02,57.450001,56.419998,56.57,11719300,56.57
2016-09-06,56.689999,57.130001,56.119999,56.959999,11710600,56.959999
2016-09-02,56.93,56.93,55.110001,56.349998,34001000,56.349998
2016-09-01,57.599998,57.619999,56.490002,56.759998,12873900,56.759998
2016-08-31,57.369999,57.509998,56.919998,57.389999,12533900,57.389999
2016-08-30,58.970001,58.970001,57.16,57.240002,16800500,57.240002
2016-08-29,58.889999,59.139999,58.459999,58.759998,6573300,58.759998
2016-08-26,58.759998,59.400002,58.540001,58.77,7845200,58.77
2016-08-25,58.59,59.41,58.360001,58.759998,9116500,58.759998
2016-08-24,59.799999,60.00,58.400002,58.59,13198700,58.59
2016-08-23,59.509998,60.040001,59.299999,59.860001,10583000,59.860001
2016-08-22,59.650002,59.68,59.009998,59.259998,11133600,59.259998
2016-08-19,58.740002,59.349998,58.529999,59.290001,12134900,59.290001
2016-08-18,58.27,59.48,58.259998,58.68,14693300,58.68
2016-08-17,59.50,59.52,58.07,58.299999,21007400,58.299999
2016-08-16,60.02,60.389999,59.299999,59.41,13273700,59.41
2016-08-15,60.740002,60.860001,60.009998,60.029999,12142900,60.029999
2016-08-12,61.23,61.299999,60.610001,60.630001,9376500,60.630001
2016-08-11,60.700001,61.130001,60.25,60.970001,14576300,60.970001
2016-08-10,61.77,61.830002,60.50,60.580002,14455100,60.580002
2016-08-09,60.650002,62.25,60.57,61.610001,25005600,61.610001
2016-08-08,63.50,63.650002,60.00,60.299999,60132800,60.299999
2016-08-05,62.00,64.769997,61.560001,63.279999,86212600,63.279999
2016-08-04,74.959999,75.620003,74.57,75.32,3474900,75.32
2016-08-03,74.93,75.059998,74.25,74.800003,4349600,74.800003
