Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,23.68,23.690001,23.389999,23.50,4789400,23.50
2016-09-30,23.35,23.91,23.24,23.799999,8659100,23.799999
2016-09-29,23.74,23.82,23.16,23.299999,7264900,23.299999
2016-09-28,23.73,23.77,23.57,23.75,6608800,23.75
2016-09-27,23.73,23.780001,23.41,23.719999,12215500,23.719999
2016-09-26,23.59,23.809999,23.51,23.73,7405100,23.73
2016-09-23,23.639999,23.83,23.540001,23.709999,7389200,23.709999
2016-09-22,23.83,23.889999,23.469999,23.73,9646200,23.73
2016-09-21,23.360001,23.780001,23.35,23.73,6854400,23.73
2016-09-20,23.73,23.76,23.26,23.309999,12077300,23.309999
2016-09-19,23.60,23.77,23.459999,23.51,7583400,23.51
2016-09-16,23.57,23.68,23.379999,23.50,13210500,23.50
2016-09-15,23.15,23.77,23.139999,23.620001,13201200,23.620001
2016-09-14,23.33,23.43,22.950001,23.110001,17870900,23.110001
2016-09-13,23.60,23.73,23.15,23.26,11420000,23.26
2016-09-12,23.370001,23.809999,23.10,23.75,7434600,23.75
2016-09-09,24.280001,24.280001,23.51,23.51,7608000,23.51
2016-09-08,24.34,24.51,24.290001,24.48,5532700,24.48
2016-09-07,24.280001,24.450001,24.25,24.41,6154200,24.41
2016-09-06,24.27,24.389999,24.190001,24.33,4772300,24.33
2016-09-02,24.40,24.43,24.120001,24.26,5493000,24.26
2016-09-01,24.07,24.35,23.85,24.33,9097600,24.33
2016-08-31,24.24,24.290001,23.82,23.82,9502100,23.82
2016-08-30,24.299999,24.33,24.07,24.209999,3579700,24.209999
2016-08-29,24.030001,24.360001,24.02,24.299999,6903300,24.299999
2016-08-26,23.85,24.040001,23.700001,23.969999,6738000,23.969999
2016-08-25,23.610001,23.98,23.51,23.77,7799500,23.77
2016-08-24,24.09,24.129999,23.559999,23.629999,4874900,23.629999
2016-08-23,24.16,24.33,24.08,24.110001,4338300,24.110001
2016-08-22,24.17,24.17,24.01,24.120001,3185500,24.120001
2016-08-19,23.92,24.18,23.879999,24.17,4710700,24.17
2016-08-18,23.90,24.110001,23.809999,23.959999,5172900,23.959999
2016-08-17,23.90,23.940001,23.780001,23.90,6397000,23.90
