Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,48.740002,49.490002,48.740002,49.130001,4336600,49.130001
2016-09-30,48.549999,49.23,48.459999,48.82,4481500,48.82
2016-09-29,48.50,48.75,48.099998,48.259998,4540800,48.259998
2016-09-28,48.59,48.84,48.07,48.779999,6648300,48.779999
2016-09-27,47.279999,48.549999,47.25,48.349998,7849800,48.349998
2016-09-26,47.959999,48.25,45.799999,46.470001,10295600,46.470001
2016-09-23,46.529999,47.540001,46.369999,47.259998,8279900,47.259998
2016-09-22,46.189999,46.869999,46.189999,46.84,4370300,46.84
2016-09-21,46.299999,46.349998,45.459999,45.82,4510900,45.82
2016-09-20,46.099998,46.540001,45.93,46.189999,4927700,46.189999
2016-09-19,46.380001,46.630001,45.639999,45.900002,4709300,45.900002
2016-09-16,46.48,46.639999,45.990002,46.25,7241200,46.25
2016-09-15,46.220001,46.630001,46.099998,46.470001,6364700,46.470001
2016-09-14,45.669998,46.389999,45.290001,46.23,6272700,46.23
2016-09-13,45.619999,45.880001,45.02,45.630001,9740700,45.630001
2016-09-12,44.150002,45.369999,44.110001,45.220001,3510000,45.220001
2016-09-09,44.75,44.849998,44.32,44.369999,4629800,44.369999
2016-09-08,45.189999,45.450001,44.75,44.860001,6043100,44.860001
2016-09-07,45.599998,45.849998,45.220001,45.299999,5083000,45.299999
2016-09-06,45.880001,46.27,45.700001,45.869999,5301400,45.869999
2016-09-02,46.689999,47.150002,46.080002,46.389999,12104300,46.389999
2016-09-01,48.049999,48.700001,48.009998,48.700001,4118500,48.700001
2016-08-31,47.220001,47.919998,47.189999,47.799999,5859200,47.799999
2016-08-30,47.18,47.459999,47.049999,47.41,2694300,47.41
2016-08-29,47.080002,47.43,47.00,47.18,2366100,47.18
2016-08-26,47.299999,47.669998,46.900002,47.099998,5077000,47.099998
2016-08-25,46.93,47.310001,46.860001,47.189999,2753800,47.189999
2016-08-24,47.470001,47.68,47.240002,47.290001,5564600,47.290001
2016-08-23,47.200001,47.98,47.16,47.790001,5136500,47.440002
2016-08-22,46.540001,46.950001,46.310001,46.91,3481900,46.566446
2016-08-19,46.450001,46.700001,46.080002,46.630001,3132500,46.288498
2016-08-18,46.860001,46.900002,46.34,46.77,3709100,46.427472
2016-08-17,46.509998,47.009998,46.23,46.990002,3467900,46.645862
2016-08-16,46.139999,46.650002,46.080002,46.580002,3012400,46.238865
2016-08-15,45.900002,46.369999,45.799999,46.150002,3446500,45.812014
2016-08-12,45.919998,46.18,45.810001,46.040001,3423900,45.702819
2016-08-11,45.709999,46.32,45.619999,45.919998,4630700,45.583695
2016-08-10,45.200001,45.450001,45.009998,45.439999,4842700,45.107211
2016-08-09,45.759998,46.34,45.02,45.049999,7587400,44.720067
2016-08-08,46.82,47.110001,46.41,46.48,2823000,46.139595
2016-08-05,46.34,47.119999,46.310001,47.049999,2566300,46.70542
2016-08-04,45.66,46.41,45.66,46.16,2772300,45.821939
2016-08-03,45.099998,46.09,45.080002,45.630001,2826400,45.295821
2016-08-02,46.18,46.650002,45.080002,45.259998,7242700,44.928528
2016-08-01,46.580002,46.91,46.52,46.709999,4294000,46.36791
2016-07-29,46.700001,46.950001,46.48,46.720001,3887100,46.377839
2016-07-28,46.220001,46.650002,45.990002,46.50,2588700,46.159449
2016-07-27,46.330002,46.48,46.060001,46.32,3431500,45.980767
2016-07-26,46.459999,46.740002,46.099998,46.169998,2750000,45.831864
2016-07-25,45.91,46.50,45.900002,46.310001,2964800,45.970842
2016-07-22,45.529999,46.009998,45.41,45.939999,3842100,45.603549
2016-07-21,45.93,46.09,45.169998,45.32,2972700,44.98809
2016-07-20,45.98,46.169998,45.619999,46.02,4223900,45.682965
2016-07-19,45.669998,45.880001,45.02,45.130001,3866800,44.799483
2016-07-18,45.43,45.970001,45.419998,45.619999,3072100,45.285893
2016-07-15,45.779999,45.799999,44.75,45.32,6204300,44.98809
2016-07-14,47.080002,47.41,46.310001,46.32,4010400,45.980767
2016-07-13,47.049999,47.380001,46.549999,46.650002,3609100,46.308352
2016-07-12,46.130001,47.080002,46.099998,46.709999,4911900,46.36791
2016-07-11,44.959999,45.689999,44.950001,45.630001,5547500,45.295821
2016-07-08,44.50,44.970001,44.43,44.52,4181700,44.19395
2016-07-07,43.639999,44.369999,43.549999,43.82,4953500,43.499076
2016-07-06,43.50,43.77,43.060001,43.18,6195600,42.863764
2016-07-05,44.41,44.41,43.560001,43.75,6251900,43.429589
2016-07-01,44.720001,45.310001,44.650002,44.860001,5651700,44.53146
2016-06-30,44.119999,44.349998,43.77,44.200001,6542300,43.876294
2016-06-29,43.810001,45.119999,43.360001,44.470001,7537000,44.144317
2016-06-28,45.150002,46.16,42.939999,43.73,14384200,43.409735
2016-06-27,43.66,44.099998,43.34,43.639999,10886700,43.320394
2016-06-24,45.459999,47.189999,44.959999,45.650002,10970200,45.315675
2016-06-23,50.00,50.00,49.25,49.360001,4211000,48.998504
2016-06-22,48.860001,49.389999,48.75,48.860001,3174400,48.502165
2016-06-21,48.75,49.00,48.59,48.650002,3073600,48.293704
2016-06-20,49.52,49.650002,48.369999,48.50,5553500,48.144801
2016-06-17,47.470001,47.860001,47.41,47.810001,5882300,47.459856
2016-06-16,46.77,47.52,46.369999,47.470001,3061300,47.122346
2016-06-15,47.189999,47.799999,47.080002,47.259998,4193800,46.913881
2016-06-14,46.07,46.619999,46.029999,46.52,4327400,46.179303
2016-06-13,46.50,47.240002,46.380001,46.639999,3660100,46.298423
2016-06-10,47.130001,47.34,46.919998,47.150002,3790300,46.80469
2016-06-09,47.689999,48.34,47.580002,48.029999,3516700,47.678242
2016-06-08,47.41,47.849998,47.23,47.68,3046400,47.330807
2016-06-07,47.509998,47.93,47.43,47.50,5054500,47.152125
2016-06-06,47.099998,47.389999,46.830002,47.07,4198500,46.725274
2016-06-03,47.91,48.009998,47.220001,47.75,3349400,47.400294
2016-06-02,47.880001,48.34,47.700001,48.330002,3438100,47.976048
2016-06-01,47.279999,48.119999,47.169998,48.049999,4547200,47.698096
2016-05-31,48.599998,48.830002,47.52,47.740002,6066500,47.390369
2016-05-27,48.18,48.959999,48.02,48.599998,5430600,48.244068
2016-05-26,48.68,48.77,47.299999,47.59,10709400,47.241466
2016-05-25,50.23,50.23,49.50,49.630001,5194800,49.266527
2016-05-24,50.220001,51.049999,50.16,50.830002,2411700,50.110302
2016-05-23,50.240002,50.310001,49.830002,49.91,2182700,49.203326
2016-05-20,49.900002,50.310001,49.790001,50.029999,3087900,49.321626
2016-05-19,49.939999,50.09,49.25,49.549999,3408700,48.848423
2016-05-18,49.939999,50.509998,49.82,50.330002,3569500,49.617381
2016-05-17,50.119999,50.299999,49.779999,49.93,2483100,49.223043
2016-05-16,49.689999,50.18,49.639999,49.990002,4432500,49.282195
2016-05-13,50.560001,51.099998,49.59,49.599998,4532300,48.897714
2016-05-12,50.880001,51.290001,50.509998,51.049999,4010200,50.327184
2016-05-11,50.279999,51.139999,50.240002,50.279999,4072400,49.568086
2016-05-10,49.130001,50.490002,48.369999,50.389999,6062100,49.676529
2016-05-09,49.299999,49.939999,49.240002,49.740002,3313200,49.035735
2016-05-06,48.419998,49.290001,48.16,49.220001,3628400,48.523097
2016-05-05,49.009998,49.18,48.32,48.389999,3216300,47.704847
2016-05-04,49.110001,49.389999,48.950001,49.16,3200300,48.463945
2016-05-03,49.049999,49.93,48.93,49.490002,3738600,48.789275
2016-05-02,49.330002,49.82,49.32,49.529999,3542200,48.828705
2016-04-29,49.150002,49.790001,48.25,49.049999,5878700,48.355502
2016-04-28,48.790001,49.48,48.610001,48.709999,4475600,48.020316
2016-04-27,49.209999,49.759998,49.110001,49.490002,3450200,48.789275
2016-04-26,49.169998,49.689999,48.830002,49.130001,3125500,48.434371
2016-04-25,48.740002,49.700001,48.66,49.240002,3606200,48.542814
2016-04-22,49.099998,49.990002,48.130001,48.509998,4882800,47.823147
2016-04-21,49.689999,50.040001,49.060001,49.18,5332800,48.483662
2016-04-20,50.610001,50.75,49.91,50.040001,3742000,49.331486
2016-04-19,51.080002,51.240002,50.52,50.599998,3253100,49.883555
2016-04-18,51.860001,51.970001,50.200001,50.84,5266800,50.120158
2016-04-15,51.529999,51.740002,50.919998,51.02,4737800,50.29761
2016-04-14,51.66,51.98,51.040001,51.57,2772600,50.839822
2016-04-13,51.52,51.790001,51.169998,51.68,4515500,50.948265
2016-04-12,51.279999,51.389999,50.82,51.23,3538600,50.504636
2016-04-11,51.459999,51.669998,50.759998,50.799999,3977100,50.080724
2016-04-08,51.709999,51.709999,51.02,51.139999,2961700,50.41591
2016-04-07,51.84,51.84,50.959999,51.18,2975400,50.455345
2016-04-06,51.919998,52.07,51.419998,51.990002,3963900,51.253877
2016-04-05,52.189999,52.310001,51.32,51.50,5511500,50.770813
2016-04-04,52.799999,53.209999,52.529999,53.029999,3586900,52.279149
2016-04-01,52.200001,52.900002,52.009998,52.75,5386100,52.003115
2016-03-31,52.290001,53.049999,52.150002,52.77,7717400,52.022832
2016-03-30,50.779999,52.389999,50.779999,52.369999,9520100,51.628494
2016-03-29,49.110001,49.77,49.040001,49.639999,4381100,48.937148
2016-03-28,48.98,49.43,48.790001,49.02,4199500,48.325928
2016-03-24,48.209999,49.02,47.900002,48.919998,4340800,48.227342
2016-03-23,48.889999,49.09,47.91,48.060001,5313800,47.379522
2016-03-22,47.939999,48.84,47.939999,48.75,7003800,48.05975
2016-03-21,49.630001,49.810001,49.32,49.779999,2934000,49.075166
2016-03-18,48.950001,49.91,48.91,49.630001,6237300,48.927292
2016-03-17,48.84,49.330002,48.459999,48.970001,4459200,48.276637
2016-03-16,47.740002,49.040001,47.540001,48.830002,3834600,48.13862
2016-03-15,47.709999,48.380001,47.599998,47.91,2472600,47.231644
2016-03-14,48.080002,48.650002,47.990002,48.119999,3275300,47.43867
2016-03-11,46.869999,47.919998,46.650002,47.91,3653300,47.231644
2016-03-10,46.389999,47.400002,45.740002,46.299999,4791400,45.644439
2016-03-09,46.509998,46.68,45.98,46.470001,3975300,45.812034
2016-03-08,46.880001,47.139999,46.32,46.360001,5538900,45.703591
2016-03-07,47.540001,47.799999,46.84,47.049999,4610000,46.38382
2016-03-04,48.029999,48.189999,47.43,47.970001,5087300,47.290796
2016-03-03,47.389999,48.060001,46.830002,48.049999,7237700,47.369661
2016-03-02,48.689999,48.869999,47.939999,48.16,3922100,47.478104
2016-03-01,48.59,48.970001,48.02,48.959999,4368500,48.266776
2016-02-29,48.330002,48.82,47.939999,47.959999,4115600,47.280935
2016-02-26,48.66,48.860001,47.73,48.34,4829900,47.655556
2016-02-25,48.040001,48.619999,47.959999,48.509998,4297400,47.823147
2016-02-24,46.98,48.07,46.599998,48.029999,5282400,47.349944
2016-02-23,47.75,48.580002,47.630001,48.099998,6061300,47.418952
2016-02-22,46.389999,47.779999,46.389999,47.73,6756000,47.054192
2016-02-19,45.360001,46.549999,44.830002,46.389999,4931600,45.733165
2016-02-18,45.939999,46.060001,45.16,45.34,4359700,44.698033
2016-02-17,45.23,46.150002,45.130001,45.919998,5846200,45.269819
2016-02-16,44.619999,45.599998,44.060001,45.02,5145100,44.08681
2016-02-12,43.279999,44.150002,42.84,44.060001,4835000,43.14671
2016-02-11,42.709999,43.689999,42.669998,43.189999,6704100,42.294741
2016-02-10,43.439999,44.57,43.310001,43.41,7325100,42.510182
2016-02-09,40.77,43.639999,40.52,42.970001,9800500,42.079304
2016-02-08,42.299999,42.490002,40.82,41.919998,12096500,41.051066
2016-02-05,44.849998,45.029999,42.880001,43.040001,9093600,42.147853
2016-02-04,45.50,45.720001,44.82,45.509998,7697700,44.566651
2016-02-03,45.610001,45.93,44.939999,45.389999,8651700,44.44914
2016-02-02,47.25,47.310001,44.509998,45.080002,16123000,44.145568
2016-02-01,48.099998,49.130001,47.77,48.970001,7056300,47.954934
2016-01-29,46.939999,48.130001,46.91,48.130001,8603700,47.132346
