Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,104.150002,104.480003,103.010002,104.269997,2562800,104.269997
2016-09-30,103.419998,105.239998,102.699997,104.529999,4644300,104.529999
2016-09-29,105.830002,106.300003,102.279999,102.769997,5502700,102.769997
2016-09-28,107.620003,107.620003,105.449997,105.830002,4705000,105.830002
2016-09-27,106.379997,107.50,105.690002,107.400002,3265400,107.400002
2016-09-26,109.00,109.419998,105.970001,106.309998,4075600,106.309998
2016-09-23,110.870003,111.139999,109.290001,109.43,3063900,109.43
2016-09-22,110.00,110.849998,108.540001,110.57,4433000,110.57
2016-09-21,109.00,109.910004,107.57,109.580002,3110500,109.580002
2016-09-20,108.419998,109.199997,108.099998,108.419998,2567800,108.419998
2016-09-19,108.669998,109.160004,107.589996,107.730003,2704600,107.730003
2016-09-16,107.129997,108.879997,106.699997,108.540001,5913500,108.540001
2016-09-15,106.129997,107.709999,105.440002,107.349998,3474400,107.349998
2016-09-14,104.769997,106.559998,104.650002,106.059998,3990000,106.059998
2016-09-13,105.68,106.349998,103.50,104.529999,3584000,104.529999
2016-09-12,104.489998,107.150002,104.18,106.849998,5494800,106.849998
2016-09-09,106.800003,106.970001,104.419998,104.470001,4207600,104.470001
2016-09-08,106.50,107.889999,106.290001,107.650002,2805800,107.650002
2016-09-07,106.730003,107.910004,106.300003,106.959999,3091900,106.959999
2016-09-06,105.779999,107.199997,105.300003,106.709999,3533900,106.709999
2016-09-02,107.00,107.00,105.260002,105.489998,3264500,105.489998
2016-09-01,107.040001,107.300003,105.379997,106.370003,3477600,106.370003
2016-08-31,107.169998,107.790001,106.300003,106.739998,3084100,106.739998
2016-08-30,107.889999,108.510002,106.739998,107.019997,3178400,107.019997
2016-08-29,109.080002,109.440002,107.68,107.949997,2588800,107.949997
2016-08-26,107.93,110.129997,107.50,108.790001,4724900,108.790001
2016-08-25,110.769997,111.00,106.650002,107.910004,5627800,107.910004
2016-08-24,113.860001,115.50,110.07,110.599998,4764000,110.599998
2016-08-23,114.489998,115.519997,113.919998,114.010002,2302800,114.010002
2016-08-22,112.82,114.470001,112.529999,114.199997,2672500,114.199997
2016-08-19,111.830002,112.93,111.599998,112.160004,2914600,112.160004
2016-08-18,112.470001,112.949997,111.949997,112.129997,2158000,112.129997
2016-08-17,112.169998,112.839996,111.669998,112.550003,3733700,112.550003
2016-08-16,114.080002,114.650002,112.099998,112.169998,4254100,112.169998
2016-08-15,113.839996,114.800003,113.309998,114.620003,2978500,114.620003
2016-08-12,113.169998,113.860001,112.510002,113.389999,3374100,113.389999
2016-08-11,112.809998,113.940002,112.269997,113.809998,2766200,113.809998
2016-08-10,113.75,114.199997,111.940002,112.529999,2695100,112.529999
2016-08-09,114.019997,114.559998,113.449997,113.800003,2436500,113.800003
2016-08-08,115.489998,115.529999,112.75,113.629997,5853700,113.629997
2016-08-05,116.769997,117.900002,115.360001,115.529999,4972900,115.529999
