Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,61.619999,61.720001,60.779999,61.419998,1386000,61.419998
2016-09-30,61.869999,62.060001,61.189999,61.75,2518300,61.75
2016-09-29,62.43,62.43,61.43,61.529999,892800,61.529999
2016-09-28,62.310001,62.529999,61.860001,62.450001,1079400,62.450001
2016-09-27,61.93,62.41,61.84,62.150002,1190300,62.150002
2016-09-26,62.389999,62.50,61.740002,61.939999,1381500,61.939999
2016-09-23,62.650002,63.18,62.580002,62.75,1740000,62.75
2016-09-22,62.810001,63.080002,62.580002,62.98,1322400,62.98
2016-09-21,62.099998,62.48,61.700001,62.369999,1305500,62.369999
2016-09-20,61.689999,62.380001,61.549999,62.110001,1771200,62.110001
2016-09-19,62.290001,62.52,61.43,61.48,1357200,61.48
2016-09-16,62.799999,62.82,61.82,62.02,3560100,62.02
2016-09-15,62.16,63.130001,62.009998,62.77,1728200,62.77
2016-09-14,61.790001,62.369999,61.490002,62.189999,1888200,62.189999
2016-09-13,62.400002,62.549999,61.27,61.939999,1825900,61.939999
2016-09-12,62.099998,62.93,61.619999,62.810001,1759500,62.810001
2016-09-09,63.66,63.970001,62.139999,62.220001,3834200,62.220001
2016-09-08,64.309998,64.690002,63.700001,64.139999,1980700,64.139999
2016-09-07,64.949997,65.279999,64.739998,65.00,689800,65.00
2016-09-06,64.730003,64.989998,64.389999,64.959999,848600,64.959999
2016-09-02,65.269997,65.32,64.440002,64.769997,997800,64.769997
2016-09-01,64.75,65.139999,64.050003,65.010002,1328500,65.010002
2016-08-31,64.739998,64.919998,63.009998,64.540001,1165700,64.540001
2016-08-30,64.970001,65.169998,64.470001,64.75,1310700,64.75
2016-08-29,64.43,65.239998,64.029999,65.00,1503900,65.00
2016-08-26,64.330002,64.889999,64.110001,64.639999,1272700,64.639999
2016-08-25,64.410004,64.860001,63.77,64.470001,1364800,64.470001
2016-08-24,64.190002,64.970001,64.129997,64.50,1589400,64.50
2016-08-23,65.029999,65.709999,64.559998,64.599998,1177400,64.599998
2016-08-22,64.639999,65.080002,64.199997,64.620003,1788400,64.620003
2016-08-19,65.150002,65.160004,64.440002,64.709999,2094700,64.709999
2016-08-18,65.349998,65.50,64.910004,65.150002,1909200,65.150002
2016-08-17,66.239998,66.25,64.919998,65.360001,2470600,65.360001
2016-08-16,66.580002,66.68,65.690002,65.980003,1489400,65.980003
2016-08-15,66.459999,66.790001,66.080002,66.610001,2515200,66.610001
2016-08-12,66.720001,66.980003,66.18,66.449997,2079000,66.449997
2016-08-11,66.629997,67.260002,66.50,67.059998,1409300,67.059998
2016-08-10,67.190002,67.349998,66.360001,66.940002,1272600,66.940002
2016-08-09,67.389999,67.50,66.870003,66.910004,1674800,66.910004
2016-08-08,66.849998,67.480003,66.529999,67.330002,1883900,67.330002
2016-08-05,66.300003,67.440002,65.720001,66.870003,2353900,66.870003
2016-08-04,65.970001,67.029999,65.919998,66.300003,2503400,66.300003
2016-08-03,63.689999,66.739998,62.650002,66.300003,7635900,66.300003
2016-08-02,62.060001,62.470001,61.369999,61.950001,3354300,61.950001
2016-08-01,62.330002,62.709999,62.00,62.220001,1847300,62.220001
2016-07-29,62.310001,62.709999,62.02,62.389999,1849700,62.389999
2016-07-28,62.009998,62.610001,61.939999,62.240002,1414700,62.240002
2016-07-27,62.139999,62.279999,61.459999,61.950001,1356100,61.950001
2016-07-26,62.110001,62.380001,61.779999,62.25,883100,62.25
2016-07-25,61.790001,62.099998,61.419998,62.07,1173100,62.07
2016-07-22,62.130001,62.16,61.25,61.950001,1463700,61.950001
2016-07-21,61.75,62.34,61.68,61.990002,1565100,61.990002
2016-07-20,61.029999,62.279999,60.849998,62.040001,1762500,62.040001
2016-07-19,60.549999,61.099998,60.50,60.630001,1326400,60.630001
2016-07-18,60.48,60.93,60.400002,60.889999,1045100,60.889999
2016-07-15,61.029999,61.25,60.529999,60.580002,1617300,60.580002
2016-07-14,60.860001,60.959999,60.080002,60.799999,1574300,60.799999
2016-07-13,61.150002,61.200001,60.23,60.360001,2283100,60.360001
2016-07-12,60.07,61.259998,60.02,60.740002,2206900,60.740002
2016-07-11,60.59,61.529999,60.080002,60.099998,1697700,60.099998
2016-07-08,59.990002,60.790001,59.540001,60.619999,2362800,60.619999
2016-07-07,58.73,59.73,58.040001,59.610001,3551600,59.610001
2016-07-06,58.110001,58.889999,57.59,58.790001,1862500,58.790001
2016-07-05,58.25,58.52,57.830002,58.259998,2206100,58.259998
2016-07-01,58.48,59.139999,58.259998,58.91,1823100,58.91
2016-06-30,57.669998,58.740002,57.369999,58.599998,3063100,58.599998
2016-06-29,55.299999,57.720001,55.209999,57.48,2746700,57.48
2016-06-28,54.040001,55.200001,53.790001,55.080002,1444800,55.080002
2016-06-27,54.720001,54.799999,53.330002,53.709999,1705000,53.709999
2016-06-24,54.75,55.990002,54.349998,55.130001,3054200,55.130001
2016-06-23,56.279999,57.32,56.049999,56.889999,3153100,56.889999
2016-06-22,54.720001,55.549999,54.52,55.279999,2421200,55.279999
2016-06-21,54.00,54.970001,53.799999,54.810001,2766300,54.810001
2016-06-20,54.27,54.709999,53.709999,53.75,1915400,53.75
2016-06-17,54.400002,54.419998,53.580002,53.849998,2488200,53.849998
2016-06-16,54.279999,54.41,53.380001,54.360001,2230900,54.360001
2016-06-15,55.740002,55.849998,54.419998,54.509998,1900200,54.509998
2016-06-14,55.619999,55.939999,55.34,55.50,2831300,55.50
2016-06-13,55.720001,56.41,55.48,55.720001,1257000,55.720001
2016-06-10,56.240002,56.959999,55.400002,55.610001,1655100,55.610001
2016-06-09,56.93,57.360001,56.450001,56.959999,1286600,56.959999
2016-06-08,57.009998,57.32,56.830002,57.09,2071300,57.09
2016-06-07,55.23,57.130001,55.23,56.970001,2909300,56.970001
2016-06-06,55.209999,55.540001,54.91,55.200001,1889000,55.200001
2016-06-03,55.259998,55.610001,55.00,55.220001,1038600,55.220001
2016-06-02,55.459999,55.860001,54.990002,55.610001,2189800,55.610001
2016-06-01,55.580002,55.84,55.389999,55.619999,2750000,55.619999
2016-05-31,55.50,55.939999,55.299999,55.610001,2196300,55.610001
2016-05-27,55.150002,55.419998,54.830002,55.279999,933300,55.279999
2016-05-26,55.169998,55.259998,54.700001,54.98,990500,54.98
2016-05-25,55.060001,55.66,55.049999,55.310001,1241200,55.310001
2016-05-24,54.369999,55.169998,54.369999,55.040001,1173100,55.040001
2016-05-23,54.48,55.009998,54.099998,54.139999,1600100,54.139999
2016-05-20,53.639999,54.889999,53.389999,54.560001,3171400,54.560001
2016-05-19,53.25,53.779999,52.84,53.619999,1877800,53.619999
2016-05-18,53.099998,53.709999,52.880001,53.400002,1961900,53.400002
2016-05-17,54.27,54.450001,52.93,53.200001,2554700,53.200001
2016-05-16,53.75,54.59,53.75,54.459999,1398600,54.459999
2016-05-13,54.27,54.610001,53.720001,53.740002,1809200,53.740002
2016-05-12,54.700001,54.880001,53.849998,54.459999,1688000,54.459999
2016-05-11,55.18,55.610001,54.32,54.34,1386100,54.34
2016-05-10,55.610001,55.799999,54.900002,55.240002,2699100,55.240002
2016-05-09,53.830002,55.560001,53.50,55.43,3293100,55.43
2016-05-06,54.23,54.919998,52.889999,53.630001,6962300,53.630001
2016-05-05,55.720001,56.369999,55.349998,55.459999,2431700,55.459999
2016-05-04,56.529999,56.860001,55.529999,55.720001,1668000,55.720001
2016-05-03,56.50,57.080002,56.200001,56.919998,1586300,56.919998
2016-05-02,56.240002,56.98,56.009998,56.959999,1776700,56.959999
2016-04-29,57.110001,57.310001,55.419998,56.139999,2793000,56.139999
2016-04-28,57.57,58.310001,57.080002,57.650002,1349800,57.650002
2016-04-27,58.34,58.57,57.360001,57.810001,1387900,57.810001
2016-04-26,58.66,58.869999,57.68,58.16,1094400,58.16
2016-04-25,58.419998,58.889999,57.919998,58.57,1340200,58.57
2016-04-22,58.330002,58.790001,57.73,58.509998,1601400,58.509998
2016-04-21,58.169998,58.849998,58.080002,58.459999,1780200,58.459999
2016-04-20,58.040001,58.599998,58.02,58.360001,1473100,58.360001
2016-04-19,58.139999,58.439999,57.59,58.040001,1827900,58.040001
2016-04-18,56.689999,58.279999,56.580002,58.080002,2439100,58.080002
2016-04-15,56.509998,57.040001,56.189999,57.02,2044300,57.02
2016-04-14,55.939999,56.52,55.779999,56.439999,1272800,56.439999
2016-04-13,55.48,55.950001,55.169998,55.91,1251400,55.91
2016-04-12,55.049999,55.59,54.599998,55.50,1463500,55.50
2016-04-11,56.560001,56.970001,54.959999,55.110001,1959500,55.110001
2016-04-08,56.200001,56.66,55.689999,56.450001,2954300,56.450001
2016-04-07,55.799999,56.48,55.650002,55.98,3348900,55.98
2016-04-06,54.16,55.27,54.060001,55.23,1600800,55.23
2016-04-05,54.150002,54.349998,53.599998,54.029999,1413900,54.029999
2016-04-04,54.139999,54.98,54.040001,54.599998,2807000,54.599998
2016-04-01,52.790001,54.32,52.599998,54.080002,2717700,54.080002
2016-03-31,52.560001,53.369999,52.52,52.959999,1905700,52.959999
2016-03-30,52.860001,53.00,52.52,52.720001,1166200,52.720001
2016-03-29,51.540001,52.509998,51.509998,52.48,2687600,52.48
2016-03-28,51.720001,51.939999,51.259998,51.57,2229300,51.57
2016-03-24,52.490002,52.900002,51.130001,51.459999,3631800,51.459999
2016-03-23,54.540001,54.549999,52.220001,52.66,3651800,52.66
2016-03-22,52.709999,54.849998,52.709999,54.560001,3069000,54.560001
2016-03-21,53.189999,53.41,52.700001,53.139999,1653100,53.139999
2016-03-18,52.529999,53.599998,52.43,53.48,2439900,53.48
2016-03-17,52.59,52.880001,51.91,52.299999,1653800,52.299999
2016-03-16,52.029999,53.040001,51.799999,52.650002,1430200,52.650002
2016-03-15,52.970001,53.200001,51.919998,52.080002,1953300,52.080002
2016-03-14,54.00,54.650002,53.150002,53.299999,2100800,53.299999
2016-03-11,53.869999,54.060001,53.18,54.009998,2443700,54.009998
2016-03-10,53.650002,54.450001,52.830002,53.400002,2560400,53.400002
2016-03-09,53.029999,53.709999,52.98,53.540001,3756800,53.540001
2016-03-08,52.57,53.779999,52.279999,52.790001,4017500,52.790001
2016-03-07,51.240002,53.419998,51.209999,52.610001,3698100,52.610001
2016-03-04,50.209999,52.150002,49.900002,51.639999,5134600,51.639999
2016-03-03,51.119999,51.290001,49.59,50.00,5546600,50.00
2016-03-02,51.52,51.849998,50.66,51.299999,2255400,51.299999
2016-03-01,51.48,51.529999,51.07,51.48,2217000,51.48
2016-02-29,51.93,52.16,51.049999,51.060001,1753500,51.060001
2016-02-26,51.82,52.169998,51.330002,52.009998,2068500,52.009998
2016-02-25,51.869999,52.119999,51.09,51.360001,1800100,51.360001
2016-02-24,50.169998,51.849998,50.009998,51.790001,2989000,51.790001
2016-02-23,51.16,51.400002,50.23,50.650002,3252600,50.650002
2016-02-22,51.700001,52.50,51.439999,52.459999,3879200,52.459999
2016-02-19,51.799999,52.259998,50.369999,51.459999,4605200,51.459999
2016-02-18,53.00,53.459999,50.900002,52.150002,7097300,52.150002
2016-02-17,50.099998,53.50,49.889999,52.810001,15699700,52.810001
2016-02-16,55.389999,56.009998,55.029999,55.459999,3397100,55.459999
2016-02-12,54.369999,54.98,53.759998,54.900002,1735800,54.900002
2016-02-11,53.580002,54.330002,53.389999,53.950001,1664000,53.950001
2016-02-10,54.220001,55.509998,53.970001,54.549999,1929000,54.549999
2016-02-09,53.639999,54.669998,53.389999,53.709999,2443900,53.709999
2016-02-08,54.889999,54.970001,52.91,54.290001,2514700,54.290001
2016-02-05,58.360001,58.43,55.040001,55.310001,2342500,55.310001
2016-02-04,57.189999,59.07,57.049999,58.490002,2270300,58.490002
2016-02-03,57.259998,57.810001,55.919998,57.209999,1393000,57.209999
2016-02-02,56.830002,57.130001,55.91,56.639999,1708700,56.639999
2016-02-01,57.380001,57.98,56.759998,57.619999,1776400,57.619999
2016-01-29,56.27,58.02,56.02,58.009998,2118900,58.009998
2016-01-28,56.720001,57.040001,55.389999,55.959999,2274900,55.959999
2016-01-27,56.59,57.41,55.970001,56.299999,1504400,56.299999
2016-01-26,56.200001,56.709999,55.91,56.52,2201100,56.52
2016-01-25,56.959999,57.259998,56.02,56.18,2027200,56.18
2016-01-22,56.66,57.490002,56.349998,57.380001,1527900,57.380001
2016-01-21,56.110001,56.610001,55.110001,55.830002,1379400,55.830002
2016-01-20,55.77,56.560001,53.91,56.029999,2048700,56.029999
2016-01-19,57.360001,57.759998,56.02,56.389999,2498600,56.389999
2016-01-15,56.669998,57.18,55.849998,56.77,2362800,56.77
2016-01-14,58.529999,58.75,57.529999,58.189999,1817700,58.189999
2016-01-13,59.299999,59.919998,58.23,58.330002,2560500,58.330002
2016-01-12,57.400002,59.169998,57.200001,59.16,2051400,59.16
2016-01-11,58.970001,59.48,56.549999,57.259998,2547500,57.259998
2016-01-08,58.09,59.34,57.849998,58.740002,2971600,58.740002
2016-01-07,57.310001,58.84,57.220001,57.669998,2553300,57.669998
2016-01-06,57.299999,57.950001,57.110001,57.619999,1839900,57.619999
2016-01-05,58.09,58.650002,57.810001,58.080002,1415200,58.080002
2016-01-04,59.049999,59.25,57.759998,58.16,3212900,58.16
2015-12-31,60.509998,61.009998,60.080002,60.169998,1513800,60.169998
2015-12-30,61.82,61.959999,60.59,60.630001,1181300,60.630001
2015-12-29,60.939999,61.939999,60.919998,61.849998,1270300,61.849998
2015-12-28,60.599998,60.650002,59.91,60.619999,1213500,60.619999
2015-12-24,60.689999,60.950001,60.310001,60.689999,501200,60.689999
2015-12-23,60.740002,61.240002,60.439999,60.75,1261400,60.75
2015-12-22,61.330002,61.50,59.310001,60.43,1355700,60.43
2015-12-21,59.43,60.009998,59.060001,59.68,1499900,59.68
2015-12-18,60.080002,60.189999,58.919998,59.02,3325100,59.02
2015-12-17,61.16,61.34,60.369999,60.380001,2278300,60.380001
2015-12-16,60.709999,61.240002,60.279999,61.16,2203000,61.16
2015-12-15,60.349998,60.830002,59.919998,60.419998,1669100,60.419998
2015-12-14,60.099998,60.599998,59.110001,59.939999,2200100,59.939999
2015-12-11,59.060001,60.290001,59.00,60.00,2992100,60.00
2015-12-10,59.66,60.439999,59.119999,60.110001,1508300,60.110001
2015-12-09,59.650002,60.889999,59.650002,60.00,2365100,60.00
2015-12-08,59.450001,60.540001,59.310001,60.259998,1941000,60.259998
2015-12-07,59.830002,60.119999,59.389999,59.959999,1503900,59.959999
2015-12-04,59.279999,60.310001,58.91,60.130001,2104500,60.130001
2015-12-03,60.299999,60.34,58.990002,59.23,2533700,59.23
2015-12-02,60.580002,61.18,60.200001,60.330002,3751800,60.330002
2015-12-01,59.75,60.209999,59.279999,60.16,3106500,60.16
2015-11-30,59.82,60.110001,59.290001,59.599998,2703300,59.599998
2015-11-27,59.41,59.959999,59.380001,59.610001,856600,59.610001
2015-11-25,59.150002,59.860001,58.950001,59.509998,2153700,59.509998
2015-11-24,58.619999,59.209999,58.619999,59.18,3652900,59.18
2015-11-23,58.700001,59.279999,58.50,58.900002,2185700,58.900002
2015-11-20,58.439999,58.810001,58.09,58.75,3104600,58.75
2015-11-19,58.259998,58.709999,57.889999,57.900002,2543700,57.900002
2015-11-18,57.360001,58.68,57.349998,58.32,2859000,58.32
2015-11-17,57.66,57.939999,57.259998,57.360001,2802400,57.360001
2015-11-16,56.68,57.349998,56.450001,57.27,2790200,57.27
2015-11-13,57.529999,58.07,55.82,56.549999,4348500,56.549999
2015-11-12,58.299999,59.00,57.66,57.700001,2583900,57.700001
2015-11-11,59.66,59.66,58.439999,58.52,3294400,58.52
2015-11-10,59.310001,59.549999,58.57,59.299999,2494600,59.299999
2015-11-09,59.82,60.169998,59.029999,59.380001,2846800,59.380001
2015-11-06,61.16,61.580002,59.529999,60.169998,4328500,60.169998
2015-11-05,61.599998,61.779999,60.93,61.279999,4024400,61.279999
2015-11-04,61.00,62.73,60.509998,61.630001,9102400,61.630001
2015-11-03,65.879997,66.589996,65.309998,66.089996,3131400,66.089996
2015-11-02,66.800003,66.940002,65.68,66.160004,2779600,66.160004
2015-10-30,67.540001,67.599998,66.160004,66.290001,1581700,66.290001
2015-10-29,67.32,68.309998,66.629997,67.32,1839400,67.32
2015-10-28,66.449997,67.519997,65.300003,67.470001,1925500,67.470001
2015-10-27,64.830002,66.870003,64.360001,66.480003,2406700,66.480003
2015-10-26,64.629997,65.050003,64.339996,64.989998,1638500,64.989998
2015-10-23,64.300003,64.830002,63.299999,64.629997,3661400,64.629997
2015-10-22,65.879997,66.099998,61.950001,63.16,3559100,63.16
2015-10-21,66.360001,66.809998,65.410004,65.699997,1431900,65.699997
2015-10-20,65.43,65.720001,65.00,65.690002,1155100,65.690002
2015-10-19,65.07,66.00,64.839996,65.440002,1675900,65.440002
2015-10-16,65.00,65.279999,64.080002,65.25,1371100,65.25
2015-10-15,64.25,64.639999,63.439999,64.50,1916500,64.50
2015-10-14,65.059998,65.709999,64.389999,64.529999,1269700,64.529999
2015-10-13,64.690002,65.879997,64.610001,65.07,2153700,65.07
2015-10-12,63.869999,65.239998,63.82,65.199997,2160500,65.199997
2015-10-09,63.41,64.160004,63.02,64.080002,1404000,64.080002
2015-10-08,62.540001,63.490002,62.389999,63.419998,1231600,63.419998
2015-10-07,61.720001,62.98,61.32,62.869999,1481600,62.869999
2015-10-06,62.279999,62.450001,61.240002,61.48,1567600,61.48
2015-10-05,61.66,62.220001,61.459999,62.119999,1473100,62.119999
2015-10-02,59.32,61.349998,58.540001,61.34,2497700,61.34
2015-10-01,60.169998,60.299999,58.709999,60.150002,2755200,60.150002
2015-09-30,59.990002,61.279999,59.52,59.959999,3379000,59.959999
2015-09-29,58.75,60.68,58.509998,59.48,2945900,59.48
2015-09-28,60.630001,60.75,58.009998,58.150002,3230900,58.150002
2015-09-25,62.619999,62.849998,60.439999,60.709999,2274400,60.709999
2015-09-24,63.150002,63.150002,61.540001,62.330002,3040800,62.330002
2015-09-23,63.279999,64.050003,62.68,63.02,928400,63.02
2015-09-22,62.48,64.00,62.09,62.919998,2275900,62.919998
2015-09-21,63.639999,64.449997,62.849998,63.48,1672500,63.48
2015-09-18,63.990002,64.470001,63.060001,63.240002,2898300,63.240002
2015-09-17,63.639999,65.559998,63.400002,64.519997,2520300,64.519997
2015-09-16,62.50,63.950001,62.419998,63.389999,1785300,63.389999
2015-09-15,61.919998,63.009998,61.709999,62.639999,1731000,62.639999
2015-09-14,62.50,62.50,61.639999,61.75,1460300,61.75
2015-09-11,61.740002,62.639999,61.50,62.52,1567400,62.52
2015-09-10,61.52,62.860001,61.209999,61.810001,2637300,61.810001
2015-09-09,62.959999,63.23,61.290001,61.43,1735500,61.43
2015-09-08,61.59,62.959999,61.450001,62.380001,2486800,62.380001
2015-09-04,60.02,60.509998,59.540001,59.830002,1500400,59.830002
2015-09-03,61.220001,61.610001,60.650002,60.810001,1478700,60.810001
2015-09-02,60.82,61.599998,60.080002,60.959999,1797300,60.959999
2015-09-01,60.790001,61.209999,59.389999,59.869999,2649700,59.869999
2015-08-31,62.860001,63.27,61.669998,61.759998,2180500,61.759998
2015-08-28,61.220001,63.200001,61.119999,63.130001,2615800,63.130001
2015-08-27,62.299999,62.549999,60.73,61.439999,3010500,61.439999
2015-08-26,61.610001,61.860001,59.759998,61.630001,3307400,61.630001
2015-08-25,61.919998,62.369999,60.189999,60.240002,3597300,60.240002
2015-08-24,58.75,62.150002,57.419998,60.630001,5898100,60.630001
2015-08-21,62.77,63.310001,61.700001,61.720001,2946300,61.720001
2015-08-20,64.550003,65.040001,63.110001,63.27,1794500,63.27
2015-08-19,65.599998,65.870003,64.739998,65.00,2769100,65.00
2015-08-18,64.50,65.650002,64.32,65.599998,2497000,65.599998
2015-08-17,64.269997,64.769997,64.00,64.540001,2361100,64.540001
2015-08-14,62.759998,64.290001,62.529999,64.25,3598600,64.25
2015-08-13,63.009998,63.52,62.48,62.889999,2569700,62.889999
2015-08-12,62.029999,63.610001,62.00,63.119999,2919800,63.119999
2015-08-11,62.279999,62.959999,62.119999,62.810001,3337600,62.810001
2015-08-10,63.779999,64.139999,62.610001,63.209999,2971000,63.209999
2015-08-07,65.260002,65.330002,63.34,63.59,3763800,63.59
2015-08-06,67.419998,67.550003,65.230003,65.300003,4588400,65.300003
2015-08-05,66.00,67.589996,63.25,67.300003,11450900,67.300003
2015-08-04,70.650002,71.279999,70.019997,70.32,1943700,70.32
2015-08-03,71.910004,72.059998,69.949997,70.900002,2290100,70.900002
2015-07-31,72.389999,72.730003,71.419998,71.720001,2021300,71.720001
2015-07-30,72.690002,72.699997,71.50,71.959999,3574400,71.959999
2015-07-29,68.279999,75.00,68.00,73.400002,5535900,73.400002
2015-07-28,68.00,68.610001,67.699997,68.489998,1371600,68.489998
2015-07-27,68.120003,68.120003,67.260002,67.660004,1932200,67.660004
2015-07-24,70.309998,70.419998,67.949997,68.120003,2338600,68.120003
2015-07-23,72.029999,72.129997,69.800003,70.00,2303900,70.00
2015-07-22,71.580002,72.25,71.550003,72.050003,992600,72.050003
2015-07-21,73.209999,73.519997,71.209999,71.540001,1047200,71.540001
2015-07-20,71.419998,72.629997,71.129997,71.949997,1664700,71.949997
2015-07-17,71.150002,71.410004,70.839996,71.330002,1241100,71.330002
2015-07-16,71.760002,71.980003,71.25,71.300003,1751100,71.300003
2015-07-15,71.32,72.010002,71.099998,71.599998,1503300,71.599998
2015-07-14,70.540001,71.650002,70.279999,71.300003,1587800,71.300003
2015-07-13,70.120003,70.760002,70.00,70.629997,2503700,70.629997
2015-07-10,68.93,70.150002,68.709999,69.919998,1064400,69.919998
2015-07-09,68.800003,69.00,68.239998,68.470001,1377700,68.470001
2015-07-08,68.400002,68.669998,67.720001,67.809998,1484000,67.809998
2015-07-07,68.410004,68.650002,67.370003,68.589996,1277700,68.589996
2015-07-06,68.050003,68.620003,67.68,68.230003,2039200,68.230003
2015-07-02,69.410004,70.150002,68.120003,68.480003,1696000,68.480003
2015-07-01,69.389999,69.470001,68.559998,69.400002,2174700,69.400002
2015-06-30,68.970001,69.389999,68.339996,69.059998,3168800,69.059998
2015-06-29,68.860001,69.059998,68.18,68.230003,2058100,68.230003
2015-06-26,69.370003,69.900002,68.849998,69.110001,1295900,69.110001
2015-06-25,69.25,69.449997,68.900002,69.190002,1187900,69.190002
2015-06-24,69.940002,69.949997,68.440002,69.120003,1311400,69.120003
2015-06-23,70.279999,70.610001,69.739998,69.919998,1327000,69.919998
2015-06-22,69.809998,70.660004,69.800003,70.269997,1575700,70.269997
2015-06-19,69.290001,69.599998,68.870003,69.43,2882900,69.43
2015-06-18,68.279999,69.830002,68.00,69.389999,1693500,69.389999
2015-06-17,67.790001,68.07,67.389999,67.809998,1123200,67.809998
