Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,48.66,51.259998,48.50,50.400002,16802600,50.400002
2016-09-30,48.830002,49.759998,45.439999,47.709999,53220600,47.709999
2016-09-29,55.209999,55.93,54.990002,55.00,4853500,55.00
2016-09-28,54.490002,54.959999,54.169998,54.889999,5011700,54.889999
2016-09-27,54.169998,54.75,53.919998,54.400002,2797800,54.400002
2016-09-26,54.349998,54.349998,53.610001,54.150002,4180800,54.150002
2016-09-23,54.139999,54.560001,53.709999,54.41,4730500,54.41
2016-09-22,54.029999,54.32,53.619999,54.209999,4996400,54.209999
2016-09-21,52.98,53.490002,52.919998,53.450001,3875900,53.450001
2016-09-20,53.599998,53.68,52.950001,52.959999,5153500,52.959999
2016-09-19,53.720001,54.02,53.009998,53.330002,4467700,53.330002
2016-09-16,53.939999,53.970001,52.860001,53.32,7784700,53.32
2016-09-15,53.259998,54.41,52.91,54.099998,6539000,54.099998
2016-09-14,54.029999,54.98,53.950001,54.029999,4650700,54.029999
2016-09-13,55.720001,55.77,54.48,55.00,6670000,55.00
2016-09-12,55.169998,56.52,55.049999,56.400002,5566200,56.400002
2016-09-09,56.360001,56.360001,55.23,55.23,4444400,55.23
2016-09-08,57.93,57.939999,56.060001,56.16,5475600,56.16
2016-09-07,58.689999,59.00,58.220001,58.380001,3824300,58.380001
2016-09-06,58.27,58.66,58.119999,58.66,2583000,58.66
2016-09-02,57.950001,58.610001,57.880001,58.360001,3670000,58.360001
2016-09-01,57.75,57.869999,56.950001,57.59,3350200,57.59
2016-08-31,57.73,57.91,57.060001,57.439999,3329100,57.439999
2016-08-30,58.09,58.189999,57.509998,57.91,2430100,57.91
2016-08-29,57.75,58.099998,57.450001,57.849998,2169800,57.849998
2016-08-26,57.619999,58.200001,57.330002,57.869999,3394000,57.869999
2016-08-25,57.700001,57.970001,57.34,57.57,2349500,57.57
2016-08-24,58.029999,58.25,57.349998,57.669998,4697900,57.669998
2016-08-23,57.599998,58.66,57.529999,58.150002,5375200,58.150002
2016-08-22,56.98,57.810001,56.849998,57.740002,2510300,57.740002
2016-08-19,57.02,57.650002,56.93,57.139999,3318100,57.139999
2016-08-18,56.790001,57.00,56.32,56.939999,3386700,56.939999
2016-08-17,57.25,57.450001,56.419998,57.00,5413000,57.00
2016-08-16,57.650002,57.98,57.279999,57.299999,3664400,57.299999
2016-08-15,58.00,58.310001,57.290001,57.880001,5675800,57.880001
2016-08-12,57.16,58.25,57.060001,58.200001,3788800,58.200001
2016-08-11,57.82,57.919998,57.119999,57.330002,3232100,57.330002
2016-08-10,57.889999,57.889999,57.310001,57.529999,2878100,57.529999
2016-08-09,58.200001,58.470001,57.59,57.669998,4352000,57.669998
2016-08-08,59.639999,59.709999,58.240002,58.310001,5272100,58.310001
2016-08-05,58.09,60.470001,56.849998,59.709999,8793700,59.709999
2016-08-04,58.220001,58.970001,57.889999,58.77,5096900,58.77
2016-08-03,57.849998,58.310001,57.50,58.150002,2503600,58.150002
2016-08-02,58.150002,58.509998,57.529999,57.849998,3796800,57.849998
2016-08-01,57.580002,58.48,57.360001,58.450001,2993500,58.450001
2016-07-29,58.029999,58.080002,57.169998,57.490002,2937900,57.490002
2016-07-28,58.310001,58.630001,57.529999,57.889999,2459900,57.889999
2016-07-27,58.549999,58.549999,57.880001,58.25,2685000,58.25
2016-07-26,58.34,58.91,58.330002,58.619999,3349000,58.619999
2016-07-25,58.25,58.400002,57.880001,58.400002,3175500,58.400002
2016-07-22,58.59,58.59,57.529999,58.360001,3820100,58.360001
2016-07-21,58.540001,58.830002,58.220001,58.310001,3195200,58.310001
2016-07-20,57.740002,58.82,57.50,58.720001,3589200,58.720001
2016-07-19,57.849998,58.040001,57.48,57.669998,4218100,57.669998
2016-07-18,57.84,58.029999,57.630001,57.98,3645500,57.98
2016-07-15,57.52,58.07,56.52,57.759998,6336400,57.759998
2016-07-14,59.07,59.41,58.73,58.939999,2711200,58.939999
2016-07-13,58.689999,58.860001,58.049999,58.490002,3024100,58.490002
2016-07-12,57.990002,58.68,57.950001,58.360001,3313100,58.360001
2016-07-11,58.080002,58.709999,58.080002,58.439999,2851000,58.439999
2016-07-08,57.389999,58.16,57.110001,57.93,3657400,57.93
2016-07-07,56.84,57.470001,56.610001,56.84,2161200,56.84
2016-07-06,55.98,56.84,55.419998,56.77,5234600,56.77
2016-07-05,56.700001,56.869999,56.09,56.400002,6498700,56.400002
2016-07-01,57.16,58.169998,57.00,57.200001,8307100,57.200001
2016-06-30,57.369999,57.48,56.700001,57.240002,5863100,57.240002
2016-06-29,56.740002,57.509998,56.299999,57.09,6184000,57.09
2016-06-28,56.380001,56.689999,55.619999,56.00,6468500,56.00
2016-06-27,57.419998,57.549999,55.169998,55.48,7965400,55.48
2016-06-24,60.00,60.040001,57.959999,58.009998,9228100,58.009998
2016-06-23,62.439999,62.709999,61.630001,62.700001,2894100,62.700001
2016-06-22,61.48,62.150002,61.43,61.720001,3895600,61.720001
2016-06-21,61.459999,61.849998,61.189999,61.599998,3178900,61.599998
2016-06-20,60.50,61.759998,60.419998,61.299999,3638400,61.299999
2016-06-17,59.880001,60.02,58.939999,59.549999,3821400,59.549999
2016-06-16,59.25,59.860001,58.59,59.709999,3225800,59.709999
2016-06-15,60.860001,60.860001,59.509998,59.630001,3783900,59.630001
2016-06-14,59.98,60.720001,59.880001,60.599998,3393600,60.599998
2016-06-13,59.919998,60.98,59.759998,60.049999,3205300,60.049999
2016-06-10,60.259998,60.790001,59.799999,60.27,4264200,60.27
2016-06-09,60.889999,61.16,60.389999,60.990002,4381400,60.990002
2016-06-08,60.720001,61.759998,60.610001,61.619999,3670800,61.619999
2016-06-07,60.740002,61.060001,60.259998,60.73,3233200,60.73
2016-06-06,60.049999,60.419998,59.470001,60.349998,4511100,60.349998
2016-06-03,61.32,61.330002,60.099998,60.119999,3859800,60.119999
2016-06-02,61.16,61.349998,60.689999,61.34,2946800,61.34
2016-06-01,61.43,61.549999,60.900002,61.130001,3064700,61.130001
