Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,137.639999,138.419998,134.770004,137.660004,1432700,137.660004
2016-09-30,134.399994,137.830002,133.570007,137.350006,1751900,137.350006
2016-09-29,129.720001,134.729996,129.550003,133.660004,2280500,133.660004
2016-09-28,124.089996,130.139999,122.059998,130.039993,1974700,130.039993
2016-09-27,124.230003,124.800003,121.559998,122.889999,1504200,122.889999
2016-09-26,125.669998,129.25,125.559998,126.510002,1471100,126.510002
2016-09-23,126.510002,128.679993,124.260002,125.029999,1217100,125.029999
2016-09-22,130.220001,131.009995,127.440002,127.669998,916800,127.669998
2016-09-21,124.599998,128.429993,124.459999,128.309998,1422500,128.309998
2016-09-20,123.599998,125.139999,122.50,122.769997,1589400,122.769997
2016-09-19,126.580002,127.529999,123.959999,124.019997,1492100,124.019997
2016-09-16,123.040001,125.660004,122.510002,125.389999,1816000,125.389999
2016-09-15,124.150002,126.459999,123.43,125.349998,851400,125.349998
2016-09-14,124.370003,125.790001,122.150002,123.449997,1469900,123.449997
2016-09-13,128.110001,128.300003,123.669998,124.519997,1735800,124.519997
2016-09-12,130.029999,132.229996,128.759995,130.779999,1186200,130.779999
2016-09-09,132.210007,133.470001,130.399994,130.470001,1230200,130.470001
2016-09-08,134.910004,136.119995,133.429993,134.169998,1520000,134.169998
2016-09-07,133.029999,134.529999,132.699997,133.610001,1680200,133.610001
2016-09-06,131.990005,132.550003,128.720001,132.529999,1324200,132.529999
2016-09-02,132.220001,132.610001,130.389999,131.490005,1050800,131.490005
2016-09-01,128.570007,130.539993,128.039993,130.50,1059100,130.50
2016-08-31,131.589996,132.070007,128.259995,129.199997,1632700,129.199997
2016-08-30,133.800003,134.190002,131.050003,132.270004,1432500,132.270004
2016-08-29,132.309998,133.550003,132.050003,132.970001,1177900,132.970001
2016-08-26,132.899994,134.710007,131.360001,132.839996,1214200,132.839996
2016-08-25,132.50,132.699997,130.729996,132.029999,1155500,132.029999
2016-08-24,133.149994,134.399994,131.830002,132.380005,1307800,132.380005
2016-08-23,133.410004,135.119995,132.559998,134.020004,1300300,134.020004
2016-08-22,132.880005,133.610001,131.229996,133.240005,1070900,133.240005
2016-08-19,134.899994,135.369995,132.660004,134.00,1541800,134.00
2016-08-18,133.660004,135.479996,133.130005,135.440002,1769300,135.440002
2016-08-17,132.699997,133.160004,130.839996,132.789993,1595600,132.789993
2016-08-16,130.869995,133.009995,130.199997,131.779999,7567700,131.779999
2016-08-15,134.649994,137.399994,134.169998,136.440002,1051900,136.440002
2016-08-12,132.710007,134.029999,131.259995,133.729996,833700,133.729996
2016-08-11,129.710007,133.050003,128.809998,132.130005,950600,132.130005
2016-08-10,129.889999,130.910004,128.020004,128.50,829900,128.50
2016-08-09,130.779999,131.589996,128.300003,129.460007,1020300,129.460007
2016-08-08,130.220001,132.330002,129.50,129.880005,1121300,129.880005
2016-08-05,126.519997,129.210007,125.540001,128.919998,1259500,128.919998
2016-08-04,125.75,128.190002,124.720001,125.900002,1362200,125.900002
2016-08-03,121.779999,126.43,118.400002,126.010002,2824200,126.010002
2016-08-02,119.720001,121.330002,117.800003,121.290001,2060500,121.290001
2016-08-01,123.309998,123.440002,117.879997,118.089996,2323800,118.089996
2016-07-29,117.870003,124.349998,117.870003,124.199997,1473800,124.199997
2016-07-28,119.400002,121.720001,118.379997,119.660004,1414200,119.660004
2016-07-27,121.00,122.839996,118.400002,119.610001,1419900,119.610001
2016-07-26,117.68,120.800003,117.059998,120.739998,1552900,120.739998
2016-07-25,121.400002,121.93,116.760002,118.470001,1738800,118.470001
2016-07-22,121.650002,123.099998,121.459999,122.839996,1160200,122.839996
2016-07-21,121.559998,123.309998,120.809998,121.160004,958100,121.160004
2016-07-20,120.529999,122.260002,118.510002,121.559998,901900,121.559998
2016-07-19,122.220001,122.220001,120.459999,121.480003,833900,121.480003
2016-07-18,122.440002,123.339996,120.309998,122.150002,812500,122.150002
2016-07-15,123.910004,124.610001,122.199997,122.980003,1015800,122.980003
2016-07-14,122.629997,123.309998,121.199997,123.300003,975000,123.300003
2016-07-13,123.00,123.489998,119.860001,121.040001,1419900,121.040001
2016-07-12,120.559998,123.760002,120.07,122.349998,1244400,122.349998
2016-07-11,119.300003,119.629997,117.290001,118.279999,868100,118.279999
2016-07-08,117.470001,119.120003,115.580002,118.389999,1245600,118.389999
2016-07-07,120.010002,120.330002,115.120003,115.830002,1282800,115.830002
2016-07-06,116.449997,118.629997,115.410004,118.330002,1524900,118.330002
2016-07-05,116.699997,117.099998,114.330002,116.559998,1170100,116.559998
2016-07-01,119.440002,120.690002,118.190002,119.029999,1315400,119.029999
2016-06-30,120.43,120.43,118.00,119.269997,1783000,119.269997
2016-06-29,120.260002,121.129997,119.830002,120.50,1753200,120.50
2016-06-28,118.559998,120.220001,117.389999,118.809998,1858700,118.809998
2016-06-27,119.529999,120.650002,114.940002,115.480003,1760000,115.480003
2016-06-24,124.220001,126.010002,120.57,121.059998,1965700,121.059998
2016-06-23,126.93,130.029999,126.440002,129.949997,1600700,129.949997
2016-06-22,126.400002,126.779999,123.889999,125.739998,1024400,125.739998
2016-06-21,122.07,125.849998,121.209999,125.550003,1130200,125.550003
2016-06-20,122.75,123.559998,121.910004,122.449997,1040400,122.449997
2016-06-17,119.129997,121.00,119.050003,120.809998,1456400,120.809998
2016-06-16,120.239998,120.239998,116.82,117.839996,1440200,117.839996
2016-06-15,121.529999,123.830002,120.260002,122.160004,996200,122.160004
2016-06-14,119.330002,122.620003,119.089996,122.459999,1254800,122.459999
2016-06-13,119.489998,121.389999,118.860001,119.669998,1295200,119.669998
2016-06-10,122.879997,123.720001,119.129997,119.779999,990900,119.779999
2016-06-09,124.349998,125.769997,124.150002,124.470001,976600,124.470001
2016-06-08,127.75,129.070007,125.82,126.290001,1807100,126.290001
2016-06-07,121.720001,126.470001,121.080002,126.260002,1629100,126.260002
2016-06-06,121.099998,121.110001,119.150002,120.510002,1090800,120.510002
2016-06-03,121.309998,121.57,118.809998,119.349998,768400,119.349998
2016-06-02,120.00,121.279999,118.769997,120.980003,858800,120.980003
2016-06-01,121.339996,121.769997,119.839996,121.300003,949900,121.300003
2016-05-31,122.779999,123.879997,120.559998,121.339996,853600,121.339996
2016-05-27,121.43,122.389999,120.239998,122.190002,1076100,122.190002
2016-05-26,121.339996,123.010002,120.129997,122.400002,1647700,122.400002
2016-05-25,118.589996,121.239998,118.00,120.25,1275100,120.25
2016-05-24,118.690002,119.410004,116.769997,117.68,868700,117.68
2016-05-23,116.769997,118.559998,116.610001,117.639999,954000,117.639999
2016-05-20,117.449997,118.010002,114.839996,117.769997,1207900,117.769997
2016-05-19,114.730003,116.949997,111.93,116.889999,1399100,116.889999
2016-05-18,118.57,119.480003,115.879997,116.839996,1731000,116.839996
2016-05-17,118.720001,118.919998,117.169998,118.830002,1235200,118.830002
2016-05-16,118.00,119.790001,117.720001,118.160004,906900,118.160004
2016-05-13,116.889999,118.07,115.589996,115.830002,648300,115.830002
2016-05-12,118.639999,120.279999,116.599998,117.529999,1162600,117.529999
2016-05-11,116.510002,117.980003,114.639999,116.529999,860400,116.529999
2016-05-10,114.010002,117.190002,113.589996,117.089996,903500,117.089996
2016-05-09,113.980003,114.690002,112.139999,113.529999,1245500,113.529999
2016-05-06,115.400002,117.82,114.019997,114.660004,1206700,114.660004
2016-05-05,115.019997,118.389999,114.419998,116.910004,2112800,116.910004
2016-05-04,113.349998,115.260002,110.50,111.550003,1612200,111.550003
2016-05-03,115.370003,116.260002,111.760002,112.830002,1717400,112.830002
2016-05-02,116.220001,117.790001,114.839996,117.059998,1338800,117.059998
2016-04-29,119.220001,121.110001,114.699997,116.169998,1714600,116.169998
2016-04-28,120.690002,122.529999,118.660004,119.029999,1393500,119.029999
2016-04-27,120.129997,122.50,119.550003,121.510002,1884800,121.510002
2016-04-26,113.769997,119.129997,113.400002,118.959999,1933800,118.959999
2016-04-25,113.910004,114.699997,112.080002,113.199997,1324600,113.199997
2016-04-22,112.300003,114.75,112.300003,114.260002,1124300,114.260002
2016-04-21,112.379997,113.739998,110.260002,112.010002,1580700,112.010002
2016-04-20,108.959999,112.980003,108.099998,111.989998,1352000,111.989998
2016-04-19,108.830002,111.540001,108.00,110.029999,1787200,110.029999
2016-04-18,100.739998,107.699997,99.239998,107.339996,1890700,107.339996
2016-04-15,107.00,107.00,104.290001,104.650002,1620500,104.650002
2016-04-14,107.419998,108.190002,106.32,107.800003,831000,107.800003
