Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,67.559998,68.68,67.50,67.839996,2390100,67.839996
2016-09-30,66.760002,67.43,66.690002,66.970001,2932100,66.970001
2016-09-29,67.089996,67.470001,66.139999,66.370003,1885000,66.370003
2016-09-28,67.230003,67.790001,66.470001,67.190002,2702000,67.190002
2016-09-27,66.50,67.32,66.330002,67.260002,1765900,67.260002
2016-09-26,66.709999,66.989998,66.019997,66.519997,2440400,66.519997
2016-09-23,66.580002,67.639999,66.550003,66.769997,2661600,66.769997
2016-09-22,67.379997,67.639999,66.580002,66.849998,2486500,66.849998
2016-09-21,66.959999,67.279999,66.519997,67.00,3077300,67.00
2016-09-20,67.82,67.919998,66.690002,66.699997,2555800,66.699997
2016-09-19,68.540001,68.540001,66.959999,67.330002,4735800,67.330002
2016-09-16,67.559998,67.559998,66.75,67.25,6014000,67.25
2016-09-15,67.029999,67.849998,66.870003,67.559998,3244500,67.559998
2016-09-14,66.989998,67.360001,66.760002,67.029999,2934400,67.029999
2016-09-13,67.669998,67.669998,66.419998,67.089996,2543500,67.089996
2016-09-12,68.150002,68.370003,67.330002,68.169998,3133900,68.169998
2016-09-09,69.080002,69.980003,68.220001,68.43,4149400,68.43
2016-09-08,69.25,69.839996,68.760002,69.68,3225700,69.68
2016-09-07,69.43,69.769997,69.010002,69.410004,1815100,69.410004
2016-09-06,70.050003,70.260002,69.470001,69.690002,1643000,69.690002
2016-09-02,70.18,70.610001,69.629997,70.089996,1918900,70.089996
2016-09-01,69.739998,70.040001,69.059998,69.730003,1930500,69.730003
2016-08-31,69.949997,69.970001,69.230003,69.599998,2182600,69.599998
2016-08-30,70.540001,70.900002,70.099998,70.239998,2590400,70.239998
2016-08-29,71.089996,71.089996,69.599998,70.449997,1652600,70.449997
2016-08-26,70.50,71.07,69.349998,69.650002,1845100,69.650002
2016-08-25,70.349998,70.949997,69.959999,70.239998,2412000,70.239998
2016-08-24,70.260002,70.690002,70.080002,70.370003,2708700,70.370003
2016-08-23,70.00,70.900002,69.480003,70.440002,4437500,70.440002
2016-08-22,69.699997,70.00,69.230003,69.949997,2395200,69.949997
2016-08-19,69.00,69.959999,68.959999,69.779999,2524000,69.779999
2016-08-18,68.639999,69.459999,68.309998,69.449997,3814000,69.449997
2016-08-17,68.129997,68.910004,67.769997,68.620003,2120000,68.620003
2016-08-16,68.449997,68.790001,67.919998,68.029999,1915500,68.029999
2016-08-15,67.860001,68.989998,67.739998,68.639999,2802700,68.639999
2016-08-12,68.940002,69.029999,67.43,67.660004,3060300,67.660004
2016-08-11,69.029999,69.25,68.169998,68.989998,3072200,68.989998
2016-08-10,68.93,69.160004,68.739998,69.080002,1284700,68.700003
2016-08-09,69.400002,69.470001,68.760002,68.800003,1232400,68.421544
2016-08-08,69.120003,69.599998,69.040001,69.300003,1792200,68.918794
2016-08-05,69.199997,69.370003,68.93,69.220001,1767000,68.839232
2016-08-04,69.00,69.199997,68.550003,68.849998,1496700,68.471265
2016-08-03,68.800003,69.150002,68.379997,68.910004,1330800,68.53094
2016-08-02,69.139999,69.269997,67.919998,68.730003,2466800,68.35193
2016-08-01,69.440002,69.849998,68.900002,69.349998,6030800,68.968514
2016-07-29,69.169998,69.599998,68.959999,69.169998,2200000,68.789504
2016-07-28,69.25,69.510002,68.470001,69.239998,1895300,68.859119
2016-07-27,69.220001,69.760002,68.620003,69.120003,2157900,68.739784
2016-07-26,69.260002,69.870003,69.120003,69.160004,4216600,68.779565
2016-07-25,68.300003,68.93,67.989998,68.879997,2424800,68.501099
2016-07-22,67.889999,68.629997,67.650002,68.43,1780100,68.053577
2016-07-21,67.790001,67.949997,67.260002,67.849998,2464300,67.476766
2016-07-20,67.540001,67.980003,67.290001,67.68,1624800,67.307703
2016-07-19,67.690002,67.889999,67.360001,67.489998,1875000,67.118745
2016-07-18,67.160004,68.07,66.959999,68.059998,1939400,67.68561
2016-07-15,67.18,67.309998,66.82,67.160004,2485900,66.790566
2016-07-14,66.519997,67.370003,66.300003,66.860001,1913800,66.492214
2016-07-13,66.050003,66.379997,65.870003,66.089996,1671200,65.726445
2016-07-12,64.629997,66.419998,64.529999,65.940002,4543400,65.577276
2016-07-11,63.900002,64.650002,63.759998,64.239998,2331900,63.886623
2016-07-08,62.57,64.080002,61.790001,63.689999,6361100,63.339649
2016-07-07,61.91,62.849998,61.75,61.919998,3444500,61.579385
2016-07-06,62.560001,62.560001,61.119999,61.849998,4026600,61.509771
2016-07-05,64.040001,64.139999,62.889999,62.959999,2231400,62.613665
2016-07-01,64.739998,64.970001,64.059998,64.360001,3382700,64.005966
2016-06-30,63.959999,65.050003,63.41,64.800003,4671900,64.443548
2016-06-29,63.189999,64.139999,62.970001,63.939999,3180400,63.588274
2016-06-28,64.169998,64.400002,61.619999,62.75,5246500,62.404821
2016-06-27,65.209999,65.220001,63.23,64.080002,3080800,63.727507
2016-06-24,66.739998,67.370003,65.900002,66.00,10310100,65.636944
2016-06-23,68.699997,69.209999,68.489998,69.209999,2156100,68.829285
2016-06-22,67.419998,68.300003,67.419998,68.07,3159600,67.695557
2016-06-21,67.629997,67.989998,67.150002,67.550003,1795700,67.17842
2016-06-20,67.709999,68.379997,67.540001,67.550003,2740000,67.17842
2016-06-17,67.029999,67.529999,66.57,67.330002,3297100,66.959629
2016-06-16,65.449997,67.00,65.230003,66.919998,2482100,66.551881
2016-06-15,65.910004,66.269997,65.489998,65.760002,2248400,65.398266
2016-06-14,66.610001,66.760002,65.339996,65.849998,2790600,65.487767
2016-06-13,67.480003,67.889999,66.610001,66.75,2687700,66.382818
2016-06-10,67.900002,68.059998,67.269997,67.559998,2766200,67.18836
