Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,84.199997,84.480003,83.57,84.07,694900,84.07
2016-09-30,83.540001,84.93,82.870003,84.629997,1208200,84.629997
2016-09-29,84.730003,84.980003,83.339996,83.550003,658800,83.150002
2016-09-28,84.879997,85.059998,84.089996,84.940002,664900,84.533347
2016-09-27,84.519997,85.089996,84.120003,84.879997,820700,84.473629
2016-09-26,84.900002,85.279999,84.489998,84.610001,853500,84.204925
2016-09-23,85.550003,85.970001,84.989998,85.440002,766300,85.030953
2016-09-22,85.080002,85.889999,85.07,85.730003,900300,85.319565
2016-09-21,83.239998,84.93,83.190002,84.860001,1204300,84.453728
2016-09-20,83.57,83.830002,82.910004,83.099998,668100,82.702152
2016-09-19,83.32,84.089996,83.220001,83.279999,795700,82.88129
2016-09-16,82.93,83.370003,82.389999,83.25,1142300,82.851435
2016-09-15,82.110001,83.43,81.75,83.050003,974700,82.652396
2016-09-14,82.410004,82.470001,81.639999,82.089996,1399600,81.696985
2016-09-13,81.620003,83.889999,80.93,82.309998,1934800,81.915933
2016-09-12,80.599998,82.470001,80.599998,82.269997,1373300,81.876124
2016-09-09,83.339996,83.349998,80.919998,80.919998,1114300,80.532588
2016-09-08,84.099998,84.50,83.839996,84.129997,1294400,83.727219
2016-09-07,83.330002,84.309998,83.300003,84.260002,1250200,83.856602
2016-09-06,83.010002,83.349998,82.669998,83.339996,1524500,82.941001
2016-09-02,82.669998,83.220001,82.300003,83.040001,2303200,82.642442
2016-09-01,82.93,82.93,81.970001,82.360001,1629300,81.965697
2016-08-31,82.660004,83.029999,81.650002,82.82,1644100,82.423494
2016-08-30,84.330002,84.68,83.279999,83.540001,896800,83.140048
2016-08-29,83.00,84.559998,82.959999,84.330002,1197000,83.926267
2016-08-26,83.43,83.769997,82.660004,82.980003,1614300,82.582731
2016-08-25,83.110001,83.660004,82.800003,83.169998,1688100,82.771816
2016-08-24,84.480003,84.75,83.339996,83.449997,1466900,83.050475
2016-08-23,85.300003,85.449997,84.379997,84.480003,1363500,84.07555
2016-08-22,84.849998,85.559998,84.529999,85.099998,904700,84.692577
2016-08-19,84.839996,84.970001,84.169998,84.910004,971400,84.503492
2016-08-18,84.540001,85.389999,84.540001,85.18,711800,84.772196
2016-08-17,85.199997,85.519997,84.260002,84.690002,953900,84.284544
2016-08-16,85.650002,85.980003,85.019997,85.25,568100,84.84186
2016-08-15,85.809998,86.129997,85.620003,85.68,718100,85.269802
2016-08-12,85.82,86.040001,85.510002,85.790001,657200,85.379276
2016-08-11,85.629997,86.190002,85.349998,86.059998,798000,85.64798
2016-08-10,85.360001,85.410004,84.870003,85.360001,587700,84.951334
2016-08-09,85.150002,85.68,84.970001,85.519997,675100,85.110564
2016-08-08,85.730003,85.830002,84.800003,84.93,1042800,84.523392
2016-08-05,86.059998,86.389999,85.610001,85.68,874100,85.269802
2016-08-04,85.860001,85.949997,85.269997,85.800003,942500,85.38923
2016-08-03,85.379997,85.989998,85.050003,85.650002,865600,85.239947
2016-08-02,86.169998,86.230003,84.870003,85.239998,1057500,84.831906
2016-08-01,86.50,86.849998,86.150002,86.239998,971400,85.827118
2016-07-29,85.120003,86.440002,85.089996,86.360001,1471100,85.946547
2016-07-28,84.169998,85.50,83.970001,85.309998,919800,84.90157
2016-07-27,84.510002,84.739998,83.790001,84.309998,1144900,83.906358
2016-07-26,84.410004,84.949997,83.879997,84.919998,1278200,84.513438
2016-07-25,84.660004,84.860001,84.129997,84.449997,794400,84.045687
2016-07-22,84.220001,85.160004,83.800003,85.00,1129800,84.593057
2016-07-21,83.360001,85.110001,83.150002,84.019997,1675100,83.617746
2016-07-20,83.50,83.860001,83.169998,83.559998,964600,83.159949
2016-07-19,83.089996,83.779999,82.690002,83.150002,936200,82.751916
2016-07-18,83.449997,83.75,82.720001,83.040001,1039800,82.642442
2016-07-15,83.809998,83.970001,82.980003,83.300003,974500,82.901199
2016-07-14,83.57,83.919998,83.370003,83.559998,1007400,83.159949
2016-07-13,83.370003,83.790001,82.870003,83.099998,847900,82.702152
2016-07-12,83.019997,83.290001,82.480003,83.010002,1242100,82.612586
2016-07-11,82.650002,82.980003,82.300003,82.82,1130800,82.423494
2016-07-08,81.779999,82.419998,81.400002,82.230003,1516600,81.836322
2016-07-07,81.190002,81.690002,80.970001,81.230003,1170300,80.841109
2016-07-06,80.910004,81.400002,80.269997,81.190002,1496200,80.8013
2016-07-05,81.080002,81.349998,80.470001,81.07,1045200,80.681872
2016-07-01,80.889999,81.339996,80.629997,81.239998,1147700,80.851056
2016-06-30,80.00,81.410004,79.93,81.410004,1406400,80.622166
