Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,65.690002,65.889999,63.720001,64.099998,2879800,64.099998
2016-09-30,65.50,66.360001,64.720001,66.07,3478800,66.07
2016-09-29,66.18,66.360001,65.290001,65.459999,1519800,65.459999
2016-09-28,66.220001,66.300003,65.449997,66.209999,1729200,66.209999
2016-09-27,66.089996,66.580002,65.839996,66.330002,1783500,66.330002
2016-09-26,66.089996,66.349998,65.949997,66.150002,1673100,66.150002
2016-09-23,66.580002,66.82,66.199997,66.50,1792700,66.50
2016-09-22,65.980003,66.879997,65.970001,66.720001,1650400,66.720001
2016-09-21,64.980003,65.870003,64.970001,65.830002,1529600,65.830002
2016-09-20,65.989998,65.989998,64.940002,64.989998,1873200,64.989998
2016-09-19,64.480003,64.849998,63.380001,63.599998,1776300,63.599998
2016-09-16,63.950001,64.559998,63.57,64.440002,2480600,64.440002
2016-09-15,63.189999,64.349998,63.09,64.07,1691300,64.07
2016-09-14,64.129997,64.269997,63.25,63.34,2097500,63.34
2016-09-13,64.220001,64.510002,63.73,63.950001,2228300,63.950001
2016-09-12,63.080002,64.970001,63.080002,64.709999,2062700,64.709999
2016-09-09,63.919998,64.309998,63.529999,63.650002,1761100,63.650002
2016-09-08,64.639999,64.639999,64.169998,64.43,1144100,64.43
2016-09-07,64.059998,64.769997,64.059998,64.330002,1236400,64.330002
2016-09-06,64.010002,64.400002,63.360001,64.059998,1420900,64.059998
2016-09-02,64.349998,65.019997,64.349998,64.779999,1390500,64.779999
2016-09-01,64.510002,64.650002,63.830002,64.190002,2346000,64.190002
2016-08-31,64.980003,64.980003,64.019997,64.629997,1699000,64.629997
2016-08-30,64.32,64.839996,64.32,64.660004,1404200,64.660004
2016-08-29,63.759998,64.559998,63.759998,64.410004,1205800,64.410004
2016-08-26,64.169998,64.410004,63.299999,63.68,2155000,63.68
2016-08-25,64.300003,64.599998,64.050003,64.239998,1309700,64.239998
2016-08-24,65.50,65.75,64.459999,64.510002,2249000,64.510002
2016-08-23,65.510002,65.879997,65.120003,65.449997,2324800,65.449997
2016-08-22,64.629997,65.610001,64.519997,65.169998,3533200,65.169998
2016-08-19,63.98,64.940002,62.759998,64.480003,6543300,64.480003
2016-08-18,67.339996,67.980003,67.230003,67.650002,1715800,67.650002
2016-08-17,68.260002,68.480003,66.75,67.199997,2817200,67.199997
2016-08-16,68.220001,68.50,67.190002,68.260002,2292800,68.260002
2016-08-15,69.199997,69.349998,68.32,68.330002,2174400,68.330002
2016-08-12,70.080002,70.110001,68.980003,69.150002,1797300,69.150002
2016-08-11,70.160004,70.559998,69.510002,70.089996,2211700,70.089996
2016-08-10,72.089996,72.25,69.940002,70.110001,2725600,70.110001
2016-08-09,73.360001,74.150002,71.400002,72.309998,3928400,72.309998
2016-08-08,76.93,76.940002,75.25,75.360001,1930600,75.360001
2016-08-05,76.25,76.970001,76.190002,76.959999,869700,76.959999
2016-08-04,76.089996,76.330002,75.769997,75.910004,672600,75.910004
2016-08-03,75.889999,76.139999,75.730003,76.080002,817200,76.080002
2016-08-02,76.93,77.00,75.800003,76.00,913800,76.00
2016-08-01,77.629997,77.900002,76.870003,77.00,595300,77.00
2016-07-29,76.620003,77.610001,76.389999,77.540001,1035000,77.540001
2016-07-28,76.449997,76.860001,76.129997,76.760002,597400,76.760002
2016-07-27,78.00,78.00,76.300003,76.550003,1729000,76.550003
2016-07-26,77.849998,78.400002,77.720001,78.18,573400,78.18
2016-07-25,77.68,78.07,77.50,77.940002,843500,77.940002
2016-07-22,77.709999,78.330002,77.400002,77.910004,3519300,77.910004
2016-07-21,77.650002,78.010002,77.260002,77.580002,678700,77.580002
2016-07-20,77.580002,77.849998,77.230003,77.620003,839700,77.620003
2016-07-19,77.32,77.620003,77.040001,77.349998,592600,77.349998
2016-07-18,77.699997,77.919998,77.18,77.510002,704700,77.510002
2016-07-15,77.970001,78.050003,77.480003,77.730003,526000,77.730003
2016-07-14,78.449997,78.50,77.68,77.730003,922500,77.730003
2016-07-13,77.970001,78.290001,77.690002,77.989998,733900,77.989998
2016-07-12,78.589996,78.769997,77.809998,77.849998,892400,77.849998
2016-07-11,78.360001,78.650002,78.199997,78.440002,754600,78.440002
2016-07-08,77.360001,78.209999,77.269997,78.07,743900,78.07
2016-07-07,76.68,77.18,76.480003,76.919998,1150500,76.919998
2016-07-06,76.449997,76.809998,76.059998,76.68,1080500,76.68
2016-07-05,76.879997,77.040001,76.080002,76.370003,672300,76.370003
2016-07-01,77.50,77.739998,77.059998,77.32,542700,77.32
2016-06-30,76.849998,77.330002,76.110001,77.32,926500,77.32
2016-06-29,75.290001,76.790001,75.129997,76.68,747500,76.68
2016-06-28,74.300003,74.959999,73.980003,74.610001,944800,74.610001
2016-06-27,75.18,75.339996,73.529999,73.779999,1031900,73.779999
2016-06-24,75.150002,76.57,74.989998,75.699997,1626300,75.699997
2016-06-23,76.760002,77.150002,76.50,77.150002,509300,77.150002
2016-06-22,75.82,76.410004,75.459999,76.18,622500,76.18
2016-06-21,76.110001,76.110001,75.410004,75.650002,565500,75.650002
2016-06-20,75.82,76.389999,75.379997,75.769997,793200,75.769997
2016-06-17,75.709999,75.790001,74.839996,75.110001,1299400,75.110001
2016-06-16,75.190002,75.790001,74.790001,75.68,863200,75.68
2016-06-15,75.760002,76.169998,75.370003,75.449997,780400,75.449997
2016-06-14,75.330002,75.690002,74.93,75.629997,486400,75.629997
2016-06-13,75.639999,76.160004,75.540001,75.559998,923700,75.559998
2016-06-10,76.730003,76.900002,75.760002,76.080002,687800,76.080002
2016-06-09,76.809998,77.300003,76.410004,77.209999,613900,77.209999
2016-06-08,77.080002,77.449997,76.470001,76.900002,977000,76.900002
2016-06-07,77.029999,77.160004,76.730003,76.940002,741700,76.940002
2016-06-06,77.010002,77.32,76.010002,77.00,1116500,77.00
2016-06-03,77.730003,77.730003,77.080002,77.150002,804200,77.150002
2016-06-02,77.529999,77.93,77.18,77.93,758600,77.93
2016-06-01,77.110001,77.699997,76.650002,77.529999,734700,77.529999
2016-05-31,76.970001,77.419998,76.860001,77.32,993900,77.32
2016-05-27,77.150002,77.459999,76.889999,77.050003,630200,77.050003
2016-05-26,77.050003,77.330002,76.75,76.949997,886700,76.949997
2016-05-25,77.419998,77.980003,76.870003,77.150002,1126200,77.150002
2016-05-24,77.010002,77.50,76.709999,77.349998,830100,77.349998
2016-05-23,77.239998,77.519997,76.580002,76.779999,855900,76.779999
2016-05-20,77.610001,77.989998,76.779999,77.370003,1434100,77.370003
2016-05-19,76.720001,78.00,76.449997,77.339996,879300,77.339996
2016-05-18,76.830002,77.150002,76.089996,76.849998,2396500,76.849998
2016-05-17,76.93,77.800003,76.50,76.760002,1305000,76.760002
2016-05-16,75.400002,77.129997,75.160004,77.07,1255100,77.07
2016-05-13,75.580002,76.080002,75.139999,75.419998,606200,75.419998
2016-05-12,76.50,76.660004,74.809998,75.589996,876800,75.589996
2016-05-11,76.589996,77.160004,76.300003,76.32,745800,76.32
2016-05-10,76.190002,76.629997,75.839996,76.489998,1057100,76.489998
2016-05-09,75.620003,76.279999,75.440002,76.040001,1069500,76.040001
2016-05-06,75.699997,75.919998,75.019997,75.699997,1277700,75.699997
