Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,43.959999,44.34,43.389999,44.200001,4241200,44.200001
2016-09-30,43.549999,44.25,42.889999,44.110001,5969800,44.110001
2016-09-29,41.75,43.990002,41.549999,43.040001,9428300,43.040001
2016-09-28,38.75,41.849998,37.98,41.580002,10634800,41.580002
2016-09-27,39.00,39.00,37.849998,38.380001,8866400,38.380001
2016-09-26,39.810001,40.299999,39.259998,39.639999,6357400,39.639999
2016-09-23,41.57,41.98,39.189999,39.540001,8050100,39.540001
2016-09-22,42.91,43.110001,41.759998,41.880001,4600200,41.880001
2016-09-21,41.240002,42.220001,41.150002,42.169998,4746400,42.169998
2016-09-20,40.84,41.700001,40.470001,40.66,3887500,40.66
2016-09-19,41.540001,41.849998,40.799999,40.849998,3869200,40.849998
2016-09-16,40.00,41.130001,39.919998,40.990002,5589600,40.990002
2016-09-15,40.389999,41.25,40.259998,40.900002,4470500,40.900002
2016-09-14,40.970001,41.799999,39.91,40.18,6536100,40.18
2016-09-13,42.389999,42.41,40.900002,41.139999,7034900,41.139999
2016-09-12,42.689999,43.669998,42.02,43.189999,5414700,43.129999
2016-09-09,44.66,44.869999,43.209999,43.360001,6411600,43.299765
2016-09-08,44.799999,45.52,44.209999,45.279999,6448900,45.217096
2016-09-07,44.549999,44.900002,43.77,44.200001,4112800,44.138598
2016-09-06,44.099998,44.630001,43.59,44.209999,5178800,44.148582
2016-09-02,44.18,45.07,44.040001,44.27,5105900,44.2085
2016-09-01,43.18,43.919998,42.830002,43.700001,6026800,43.639292
2016-08-31,43.939999,44.169998,42.740002,43.330002,6948600,43.269808
2016-08-30,45.009998,45.619999,44.029999,44.439999,5286700,44.378262
2016-08-29,44.389999,45.060001,44.220001,45.009998,5571300,44.94747
2016-08-26,44.580002,45.23,44.099998,44.43,4760500,44.368278
2016-08-25,44.509998,45.00,43.939999,44.380001,4122700,44.318348
2016-08-24,44.84,45.380001,44.310001,44.509998,4770200,44.448165
2016-08-23,43.709999,45.450001,43.709999,45.23,5730900,45.167166
2016-08-22,43.650002,44.439999,43.400002,44.099998,4682800,44.038735
2016-08-19,44.470001,44.73,43.860001,44.330002,4460600,44.268418
2016-08-18,43.66,45.009998,43.66,44.759998,6775400,44.697817
2016-08-17,42.470001,43.41,42.009998,43.310001,7074400,43.249835
2016-08-16,42.73,42.77,41.580002,42.470001,7562300,42.411002
2016-08-15,42.150002,42.68,41.849998,41.959999,3928800,41.901708
2016-08-12,41.57,42.099998,41.369999,41.669998,4589800,41.61211
2016-08-11,40.09,41.66,39.599998,41.310001,7407000,41.252613
2016-08-10,40.150002,40.419998,39.400002,39.57,4835300,39.515029
2016-08-09,40.50,40.77,39.650002,39.900002,4908000,39.844572
