Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,51.380001,51.630001,51.23,51.43,706600,51.43
2016-09-30,51.650002,51.709999,51.459999,51.52,868400,51.52
2016-09-29,51.419998,51.73,51.32,51.34,979400,51.34
2016-09-28,51.419998,51.470001,51.110001,51.450001,782900,51.450001
2016-09-27,50.799999,51.419998,50.48,51.41,925300,51.41
2016-09-26,50.75,50.91,50.639999,50.790001,955100,50.790001
2016-09-23,50.869999,50.970001,50.59,50.869999,575700,50.869999
2016-09-22,51.00,51.169998,50.82,50.900002,913500,50.900002
2016-09-21,50.48,50.810001,50.16,50.75,783800,50.75
2016-09-20,50.369999,50.75,49.990002,50.189999,1059900,50.189999
2016-09-19,50.50,50.549999,49.939999,50.049999,843700,50.049999
2016-09-16,49.900002,50.529999,49.869999,50.310001,1523400,50.310001
2016-09-15,50.16,50.490002,50.080002,50.419998,671300,50.419998
2016-09-14,50.439999,50.689999,50.00,50.130001,750700,50.130001
2016-09-13,50.759998,51.139999,50.389999,50.490002,1021500,50.490002
2016-09-12,50.400002,51.41,50.27,51.240002,1133500,51.240002
2016-09-09,51.139999,51.779999,50.57,50.57,1030400,50.57
2016-09-08,51.540001,51.860001,51.310001,51.470001,986100,51.470001
2016-09-07,51.50,51.900002,51.419998,51.59,942900,51.59
2016-09-06,51.360001,51.740002,50.98,51.740002,1107500,51.740002
2016-09-02,51.299999,51.639999,51.049999,51.32,775400,51.32
2016-09-01,50.939999,51.23,50.509998,51.169998,1144400,51.169998
2016-08-31,51.119999,51.150002,50.43,50.650002,1227100,50.650002
2016-08-30,51.130001,51.290001,50.990002,51.240002,746200,51.240002
2016-08-29,51.169998,51.169998,50.50,51.07,571800,51.07
2016-08-26,51.080002,51.400002,50.939999,51.07,1029800,51.07
2016-08-25,51.419998,51.419998,51.099998,51.220001,589000,51.220001
2016-08-24,51.240002,51.50,51.099998,51.419998,594700,51.419998
2016-08-23,51.259998,51.360001,51.09,51.200001,638500,51.200001
2016-08-22,50.889999,51.200001,50.889999,51.110001,718600,51.110001
2016-08-19,50.73,51.189999,50.470001,51.18,915300,51.18
2016-08-18,50.93,51.049999,50.580002,50.77,1052200,50.77
2016-08-17,51.009998,51.25,50.849998,51.009998,692900,51.009998
2016-08-16,50.919998,51.200001,50.830002,51.09,607300,51.09
