Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,10.98,11.20,10.67,10.69,25448200,10.69
2016-09-30,10.83,11.11,10.80,10.86,26316000,10.86
2016-09-29,10.74,11.05,10.56,10.69,25104200,10.69
2016-09-28,10.41,10.92,10.27,10.91,29659400,10.91
2016-09-27,10.33,10.36,9.99,10.21,24600900,10.21
2016-09-26,10.69,10.87,10.47,10.51,24040000,10.51
2016-09-23,10.88,11.05,10.62,10.63,21789600,10.63
2016-09-22,10.84,11.13,10.82,10.98,36567100,10.98
2016-09-21,10.14,10.58,10.12,10.54,30307900,10.54
2016-09-20,9.97,10.13,9.80,9.95,24367500,9.95
2016-09-19,10.12,10.20,9.87,10.01,27218400,10.01
2016-09-16,9.60,9.99,9.51,9.94,35595100,9.94
2016-09-15,9.81,9.95,9.43,9.78,40449700,9.78
2016-09-14,10.09,10.18,9.70,9.80,47942600,9.80
2016-09-13,10.65,10.68,9.97,10.15,52740800,10.15
2016-09-12,10.01,11.14,9.90,11.08,59607100,11.08
2016-09-09,10.48,10.55,10.17,10.27,28813400,10.27
2016-09-08,10.62,10.71,10.28,10.62,29196500,10.62
2016-09-07,10.71,10.83,10.49,10.60,18379900,10.60
2016-09-06,10.60,10.81,10.52,10.72,21223100,10.72
2016-09-02,10.63,10.83,10.39,10.48,23624400,10.48
2016-09-01,10.32,10.47,10.18,10.35,20759200,10.35
2016-08-31,10.43,10.52,10.18,10.29,32012200,10.29
2016-08-30,10.94,10.97,10.45,10.56,28167300,10.56
2016-08-29,10.82,11.12,10.80,10.98,18306900,10.98
2016-08-26,11.24,11.58,10.82,10.89,32777300,10.89
2016-08-25,11.08,11.30,10.89,11.09,31325000,11.09
2016-08-24,11.82,11.86,11.04,11.08,44040600,11.08
2016-08-23,11.95,12.20,11.79,11.98,25074100,11.98
2016-08-22,11.75,11.93,11.51,11.83,20362900,11.83
2016-08-19,12.06,12.08,11.89,11.97,17288300,11.97
2016-08-18,12.20,12.27,12.04,12.23,20883100,12.23
2016-08-17,11.98,12.05,11.78,12.00,20372000,12.00
2016-08-16,12.36,12.36,12.05,12.08,20214300,12.08
2016-08-15,11.95,12.28,11.93,12.17,20601800,12.17
2016-08-12,12.00,12.18,11.72,11.82,23264100,11.82
2016-08-11,12.15,12.20,11.93,12.11,21594100,12.11
2016-08-10,12.47,12.50,12.00,12.02,21346500,12.02
2016-08-09,12.28,12.50,12.03,12.09,20165800,12.09
2016-08-08,12.49,12.73,12.28,12.29,29715400,12.29
2016-08-05,12.32,12.37,11.88,12.23,36713600,12.23
2016-08-04,12.23,12.60,12.20,12.32,23465700,12.32
2016-08-03,12.20,12.58,12.03,12.39,24941700,12.39
2016-08-02,12.64,12.70,12.21,12.40,24142200,12.40
2016-08-01,13.01,13.04,12.41,12.48,26279400,12.48
2016-07-29,12.76,13.04,12.63,12.96,28956300,12.96
2016-07-28,13.13,13.20,12.72,12.94,24785400,12.94
2016-07-27,12.89,13.59,12.80,13.06,51487600,13.06
2016-07-26,11.60,12.84,11.25,12.68,71538400,12.68
2016-07-25,12.62,12.62,12.17,12.38,29515400,12.38
2016-07-22,12.78,12.88,12.53,12.67,23434900,12.67
2016-07-21,12.50,12.89,12.44,12.87,34135700,12.87
2016-07-20,12.11,12.40,11.69,12.30,39267700,12.30
2016-07-19,12.92,12.95,12.40,12.45,27143600,12.45
2016-07-18,12.91,13.15,12.60,13.14,22242700,13.14
2016-07-15,13.03,13.25,12.91,13.11,24296500,13.11
2016-07-14,13.03,13.22,12.68,12.95,31588300,12.95
2016-07-13,12.80,13.00,12.42,12.96,44432200,12.96
2016-07-12,12.05,12.98,12.02,12.90,59009700,12.90
2016-07-11,11.40,11.89,11.37,11.65,33360500,11.65
2016-07-08,10.93,11.24,10.81,11.20,36040100,11.20
2016-07-07,11.07,11.41,10.56,10.67,38483300,10.67
2016-07-06,10.45,10.90,10.27,10.89,29891300,10.89
2016-07-05,11.10,11.18,10.34,10.50,38153800,10.50
2016-07-01,11.04,11.50,10.94,11.35,27441700,11.35
2016-06-30,10.85,11.18,10.61,11.14,33685300,11.14
2016-06-29,10.87,11.08,10.76,10.77,29320200,10.77
2016-06-28,10.62,10.92,10.52,10.69,41865600,10.69
2016-06-27,10.56,10.56,9.99,10.13,30018000,10.13
2016-06-24,11.02,11.11,10.51,10.58,54028500,10.58
2016-06-23,11.72,11.93,11.62,11.77,33441200,11.77
2016-06-22,11.81,11.90,11.36,11.50,36900100,11.50
2016-06-21,11.48,11.66,11.25,11.61,28845000,11.61
2016-06-20,11.47,11.91,11.42,11.55,38890200,11.55
2016-06-17,11.03,11.40,10.98,11.14,40800100,11.14
2016-06-16,10.81,10.82,10.32,10.78,39528400,10.78
2016-06-15,10.64,11.30,10.60,11.00,62845100,11.00
2016-06-14,10.30,10.45,9.82,10.21,33249900,10.21
2016-06-13,10.25,10.71,10.25,10.40,25648100,10.40
2016-06-10,10.53,10.68,10.26,10.36,38323800,10.36
2016-06-09,11.21,11.21,10.78,10.90,49003600,10.90
2016-06-08,11.64,11.92,11.56,11.58,37432800,11.58
2016-06-07,11.32,11.47,11.17,11.24,32146300,11.24
2016-06-06,11.38,11.68,11.37,11.65,43488500,11.65
2016-06-03,11.00,11.28,10.91,11.11,34801500,11.11
2016-06-02,10.49,10.71,10.35,10.66,29646100,10.66
2016-06-01,11.08,11.08,10.27,10.60,43762700,10.60
2016-05-31,11.06,11.50,11.03,11.08,34439900,11.08
2016-05-27,11.35,11.42,10.96,11.14,28617000,11.14
2016-05-26,11.91,12.04,11.28,11.34,31390600,11.34
2016-05-25,11.39,11.73,11.11,11.65,45708800,11.65
2016-05-24,11.41,11.51,11.03,11.11,37960500,11.11
2016-05-23,10.80,11.45,10.72,11.38,41996300,11.38
2016-05-20,11.13,11.36,10.87,11.08,42726700,11.08
2016-05-19,10.33,11.02,10.22,10.98,48054300,10.98
2016-05-18,11.23,11.48,10.35,10.54,55619700,10.54
2016-05-17,11.30,11.90,11.09,11.51,60441200,11.51
2016-05-16,10.78,11.46,10.78,11.04,43789700,11.04
2016-05-13,10.96,11.37,10.29,10.41,43793100,10.41
2016-05-12,11.67,11.98,10.83,11.03,48043300,11.03
2016-05-11,11.02,11.94,11.00,11.61,46766900,11.61
2016-05-10,10.79,10.98,10.51,10.86,25960600,10.86
2016-05-09,11.20,11.24,10.37,10.52,51361700,10.52
2016-05-06,11.14,12.12,11.13,11.79,51550300,11.79
2016-05-05,12.09,12.22,11.08,11.29,50166300,11.29
2016-05-04,12.14,12.51,11.58,11.80,48190000,11.80
2016-05-03,13.04,13.08,12.00,12.01,58883700,12.01
2016-05-02,14.03,14.04,13.31,13.55,46207700,13.55
2016-04-29,13.11,14.06,13.05,14.00,74593000,14.00
2016-04-28,12.66,13.36,12.61,12.66,62677300,12.66
2016-04-27,11.69,12.67,11.59,12.65,58402300,12.65
2016-04-26,11.29,11.60,10.56,11.48,56657500,11.48
2016-04-25,11.59,11.76,11.16,11.35,35788300,11.35
2016-04-22,11.76,12.05,11.43,11.67,53047800,11.67
2016-04-21,12.59,12.70,11.47,11.52,66031800,11.52
2016-04-20,11.95,12.69,11.82,12.36,61970000,12.36
2016-04-19,11.07,12.02,11.06,12.01,63163200,12.01
2016-04-18,10.48,11.09,10.22,11.02,41040800,11.02
2016-04-15,10.47,10.93,10.35,10.86,29413300,10.86
2016-04-14,10.85,11.07,10.54,10.73,37776300,10.73
2016-04-13,10.74,11.23,10.72,10.82,55023400,10.82
2016-04-12,10.03,10.48,9.90,10.43,59356000,10.43
2016-04-11,9.58,9.88,9.51,9.76,33180500,9.76
2016-04-08,9.17,9.53,9.02,9.33,37149700,9.33
2016-04-07,9.28,9.51,8.76,8.85,61229800,8.85
2016-04-06,9.47,9.65,9.10,9.61,37254400,9.61
2016-04-05,9.26,9.62,9.22,9.34,32380200,9.34
2016-04-04,9.91,10.09,9.39,9.42,38727500,9.42
2016-04-01,9.92,10.00,9.59,9.89,41414900,9.89
2016-03-31,10.13,10.46,10.13,10.34,32935800,10.34
2016-03-30,10.36,10.59,9.99,10.29,46871200,10.29
2016-03-29,9.71,10.30,9.41,10.14,44196000,10.14
2016-03-28,10.25,10.48,9.73,10.14,35325200,10.14
2016-03-24,9.37,10.15,9.10,10.11,52654300,10.11
2016-03-23,10.57,10.72,9.73,9.75,48678100,9.75
2016-03-22,10.56,11.20,10.43,10.99,31084100,10.99
2016-03-21,10.65,10.93,10.35,10.80,31281000,10.80
2016-03-18,11.04,11.45,10.44,10.76,79254300,10.76
2016-03-17,10.43,11.07,10.06,10.90,52971300,10.90
2016-03-16,9.25,10.28,9.22,10.22,49299200,10.22
2016-03-15,9.45,9.49,9.03,9.27,36391800,9.27
2016-03-14,9.47,10.14,9.37,9.97,39997600,9.97
2016-03-11,9.85,9.88,9.41,9.55,40933700,9.55
2016-03-10,8.86,9.65,8.75,9.60,55763200,9.60
2016-03-09,8.91,9.23,8.47,9.15,49123200,9.15
2016-03-08,9.37,9.42,8.56,8.66,58450100,8.66
2016-03-07,9.77,10.20,9.51,9.86,63752200,9.86
2016-03-04,9.32,10.50,9.17,9.74,104910200,9.74
2016-03-03,8.66,9.20,8.46,9.11,66759700,9.11
2016-03-02,7.82,9.02,7.79,8.97,84921100,8.97
2016-03-01,7.84,7.88,7.26,7.76,54255000,7.76
2016-02-29,7.69,7.84,7.51,7.63,49138900,7.63
2016-02-26,7.70,7.80,7.31,7.43,48368800,7.43
2016-02-25,7.14,7.34,6.79,7.12,35430500,7.12
2016-02-24,6.74,7.26,6.55,7.20,57160500,7.20
2016-02-23,7.55,7.74,7.15,7.24,59132700,7.24
2016-02-22,7.27,7.97,7.27,7.93,75370000,7.93
2016-02-19,6.98,7.17,6.75,6.92,38903000,6.92
2016-02-18,7.40,7.42,6.65,7.15,59753200,7.15
2016-02-17,6.63,7.60,6.60,7.16,103893300,7.16
2016-02-16,5.82,6.38,5.80,6.37,77117300,6.37
2016-02-12,5.12,5.75,5.08,5.53,44606700,5.53
2016-02-11,4.81,5.08,4.65,4.89,38089300,4.89
2016-02-10,4.95,5.13,4.78,4.98,33858400,4.98
2016-02-09,5.12,5.40,4.97,5.00,44787500,5.00
2016-02-08,5.46,5.93,5.17,5.27,64931800,5.27
2016-02-05,5.57,5.98,5.45,5.68,71788500,5.68
2016-02-04,5.10,6.03,5.09,5.72,116330400,5.72
2016-02-03,4.43,4.85,4.35,4.85,44286700,4.85
2016-02-02,4.60,4.65,4.26,4.35,31670500,4.35
2016-02-01,4.50,4.82,4.33,4.74,48326100,4.74
2016-01-29,4.44,4.75,4.37,4.60,42051000,4.60
2016-01-28,4.80,4.88,4.21,4.42,66871300,4.42
2016-01-27,4.06,5.08,4.02,4.65,96210300,4.65
2016-01-26,4.40,4.42,3.83,4.20,92191400,4.20
2016-01-25,3.87,4.00,3.81,3.94,51509400,3.94
2016-01-22,4.59,4.66,3.80,3.94,108842500,3.94
2016-01-21,4.14,4.43,3.97,4.33,61102000,4.33
2016-01-20,3.77,4.13,3.52,4.07,88547300,4.07
2016-01-19,4.58,4.58,3.92,3.96,59831200,3.96
2016-01-15,3.80,4.35,3.77,4.35,73161600,4.35
2016-01-14,3.81,4.23,3.78,4.20,77708600,4.20
2016-01-13,4.18,4.28,3.70,3.74,64602100,3.74
2016-01-12,4.31,4.58,3.65,4.11,141597300,4.11
2016-01-11,5.40,5.42,4.23,4.31,117668200,4.31
2016-01-08,5.67,5.71,5.36,5.41,44313100,5.41
2016-01-07,5.98,6.04,5.43,5.61,66615400,5.61
2016-01-06,6.37,6.47,6.13,6.17,45365100,6.17
2016-01-05,6.62,6.73,6.51,6.71,37753400,6.71
2016-01-04,6.60,6.76,6.30,6.55,43095300,6.55
2015-12-31,6.69,6.93,6.68,6.77,24444700,6.77
2015-12-30,6.74,6.94,6.68,6.77,26421100,6.77
2015-12-29,7.15,7.29,6.86,6.97,35517300,6.97
2015-12-28,7.33,7.33,6.81,6.85,42708400,6.85
2015-12-24,7.53,7.64,7.26,7.57,23225200,7.57
2015-12-23,6.70,7.53,6.70,7.45,76684000,7.45
2015-12-22,6.28,6.46,6.23,6.42,41029100,6.42
2015-12-21,6.31,6.48,6.13,6.24,42811200,6.24
2015-12-18,6.29,6.48,6.08,6.21,95926300,6.21
2015-12-17,6.57,6.64,6.10,6.12,53127500,6.12
2015-12-16,6.63,6.86,6.53,6.69,50323800,6.69
2015-12-15,6.57,6.79,6.46,6.52,47266100,6.52
2015-12-14,6.85,6.95,6.43,6.46,57263400,6.46
2015-12-11,7.16,7.29,6.83,6.90,69255200,6.90
2015-12-10,7.07,7.45,6.93,7.36,47513600,7.36
2015-12-09,6.96,7.48,6.90,6.99,60700200,6.99
2015-12-08,7.06,7.06,6.63,6.74,57811500,6.74
2015-12-07,7.63,7.63,7.19,7.23,45849100,7.23
2015-12-04,7.65,7.92,7.54,7.85,45599500,7.85
2015-12-03,7.85,7.98,7.63,7.68,45469100,7.68
2015-12-02,8.23,8.23,7.80,7.83,45182200,7.83
2015-12-01,8.25,8.41,8.13,8.33,32791100,8.33
2015-11-30,8.11,8.48,8.03,8.18,34106200,8.18
2015-11-27,8.13,8.25,8.03,8.10,14910900,8.10
2015-11-25,8.16,8.49,8.00,8.10,29689500,8.10
2015-11-24,8.19,8.40,8.01,8.30,48025100,8.30
2015-11-23,8.20,8.20,7.94,8.00,36508600,8.00
2015-11-20,8.44,8.58,8.00,8.25,34819700,8.25
2015-11-19,8.80,8.85,8.40,8.41,27405200,8.41
2015-11-18,8.53,8.80,8.45,8.77,32434000,8.77
2015-11-17,8.94,8.97,8.33,8.39,32672500,8.39
2015-11-16,8.71,8.92,8.61,8.86,30302100,8.86
2015-11-13,8.97,8.99,8.64,8.68,32314300,8.68
2015-11-12,8.86,9.18,8.60,8.77,47069000,8.77
2015-11-11,9.91,9.92,9.02,9.31,40818900,9.31
2015-11-10,10.37,10.37,9.80,9.83,35554900,9.83
2015-11-09,10.73,10.88,10.13,10.49,28849300,10.49
2015-11-06,11.17,11.25,10.61,10.75,35330300,10.75
2015-11-05,11.77,11.86,11.21,11.48,36803900,11.48
2015-11-04,12.65,12.75,11.77,12.02,30393800,12.02
2015-11-03,11.82,12.68,11.81,12.41,35032300,12.41
2015-11-02,11.79,12.05,11.61,11.82,23081000,11.82
2015-10-30,11.70,12.05,11.56,11.77,21816300,11.77
2015-10-29,11.58,12.00,11.53,11.63,19680300,11.63
2015-10-28,11.42,12.36,11.40,11.78,32522500,11.78
2015-10-27,11.82,11.99,11.32,11.61,23378700,11.61
2015-10-26,12.14,12.31,11.98,12.02,13577900,12.02
2015-10-23,12.19,12.28,11.78,12.13,25782800,12.13
2015-10-22,11.54,12.80,11.53,12.02,36187300,12.02
2015-10-21,12.29,12.35,11.87,11.95,24713500,11.95
2015-10-20,11.93,12.39,11.83,12.24,23307600,12.24
2015-10-19,12.21,12.40,11.77,12.03,25838700,12.03
2015-10-16,13.06,13.06,12.25,12.44,28007400,12.44
2015-10-15,12.92,13.20,12.84,13.00,25938300,13.00
2015-10-14,12.83,13.09,12.47,13.06,27640200,13.06
2015-10-13,12.31,13.15,12.12,12.73,30954800,12.73
2015-10-12,13.54,13.54,12.53,12.94,30719200,12.89
2015-10-09,13.89,14.20,13.17,13.49,51723400,13.437875
2015-10-08,12.95,13.62,12.71,13.46,52374300,13.407991
2015-10-07,12.23,13.44,12.23,13.01,93597700,12.95973
2015-10-06,11.43,11.93,11.30,11.83,53934000,11.784289
2015-10-05,10.54,11.29,10.51,11.18,38489400,11.136801
2015-10-02,9.71,10.66,9.62,10.62,39607300,10.578964
2015-10-01,9.91,10.14,9.51,9.82,31312800,9.782055
2015-09-30,9.27,9.78,9.25,9.69,42200500,9.652558
2015-09-29,8.97,9.26,8.96,9.11,27293100,9.074799
2015-09-28,9.80,9.80,8.62,8.91,49501600,8.875572
2015-09-25,10.06,10.08,9.60,9.80,46429900,9.762133
2015-09-24,9.70,10.14,9.57,9.99,46986600,9.951399
2015-09-23,10.62,10.67,9.96,10.00,34038800,9.96136
2015-09-22,9.97,10.78,9.72,10.59,91540300,10.54908
2015-09-21,10.77,10.90,10.51,10.53,43161300,10.489312
2015-09-18,11.34,11.43,10.54,10.88,79177900,10.83796
2015-09-17,11.66,12.59,11.56,12.05,48932900,12.003439
2015-09-16,11.45,11.87,11.39,11.84,29949900,11.794251
2015-09-15,11.13,11.48,11.11,11.29,28015800,11.246376
2015-09-14,11.17,11.54,10.88,11.16,28249300,11.116878
2015-09-11,11.31,11.64,11.10,11.40,41622600,11.35595
2015-09-10,10.82,11.34,10.78,11.27,54185300,11.226453
2015-09-09,10.77,11.18,10.41,10.73,44865100,10.688539
2015-09-08,10.21,10.58,10.08,10.40,66046100,10.359814
2015-09-04,9.79,9.91,9.51,9.71,30074200,9.672481
2015-09-03,10.02,10.35,9.86,10.13,40838100,10.090858
2015-09-02,10.05,10.05,9.50,9.90,36488400,9.861746
2015-09-01,10.11,10.39,9.65,9.77,42543100,9.732249
2015-08-31,10.35,10.83,10.17,10.64,58259700,10.598887
2015-08-28,11.33,11.48,10.31,10.50,110214000,10.459428
2015-08-27,8.63,10.48,8.56,10.19,107966700,10.150626
2015-08-26,8.25,8.29,7.76,7.92,52995000,7.889397
2015-08-25,9.25,9.26,8.24,8.24,37157600,8.20816
2015-08-24,8.67,9.42,8.16,8.68,35840500,8.646461
2015-08-21,9.74,9.80,9.48,9.58,29974400,9.542983
2015-08-20,9.99,10.12,9.59,9.71,45135700,9.672481
2015-08-19,9.85,9.87,9.59,9.73,41990400,9.692403
2015-08-18,9.97,10.05,9.81,9.92,44885100,9.881669
2015-08-17,9.92,10.30,9.92,10.24,29758400,10.200433
2015-08-14,10.09,10.36,10.01,10.03,19115600,9.991244
2015-08-13,10.19,10.28,9.96,10.07,27176600,10.031089
