Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,31.41,31.700001,31.360001,31.59,809600,31.59
2016-09-30,31.43,31.60,31.18,31.42,693200,31.42
2016-09-29,31.73,31.84,31.23,31.309999,355400,31.309999
2016-09-28,31.709999,31.91,31.540001,31.700001,396600,31.700001
2016-09-27,31.41,31.790001,31.360001,31.780001,361500,31.780001
2016-09-26,31.43,31.60,31.360001,31.43,440100,31.43
2016-09-23,31.42,31.59,31.370001,31.549999,449800,31.549999
2016-09-22,31.67,31.719999,31.48,31.51,541700,31.51
2016-09-21,31.23,31.559999,31.17,31.459999,419500,31.459999
2016-09-20,31.41,31.48,31.00,31.139999,444600,31.139999
2016-09-19,31.17,31.370001,31.10,31.33,758400,31.33
2016-09-16,30.879999,31.17,30.629999,31.00,1098300,31.00
2016-09-15,30.32,30.98,30.32,30.959999,779600,30.959999
2016-09-14,30.940001,30.940001,30.389999,30.459999,1137900,30.459999
2016-09-13,30.870001,31.01,30.66,30.83,789100,30.83
2016-09-12,30.700001,31.219999,30.51,31.09,821800,31.09
2016-09-09,30.83,31.120001,30.58,30.700001,1307700,30.700001
2016-09-08,31.02,31.139999,30.93,31.02,476300,31.02
2016-09-07,31.139999,31.139999,30.719999,31.049999,514500,31.049999
2016-09-06,31.09,31.129999,30.91,31.10,563900,31.10
2016-09-02,30.940001,31.059999,30.76,31.049999,452600,31.049999
2016-09-01,30.77,30.91,30.440001,30.860001,466700,30.860001
2016-08-31,30.73,30.959999,30.620001,30.83,558600,30.83
2016-08-30,31.25,31.309999,30.799999,30.84,492800,30.84
2016-08-29,31.09,31.40,31.09,31.23,323100,31.23
2016-08-26,31.110001,31.389999,30.92,31.07,336700,31.07
2016-08-25,31.27,31.40,31.030001,31.15,485100,31.15
2016-08-24,30.60,31.309999,30.60,31.299999,1126000,31.299999
2016-08-23,30.74,30.860001,30.50,30.620001,558800,30.620001
2016-08-22,30.77,30.870001,30.549999,30.68,892000,30.68
2016-08-19,30.379999,30.90,30.34,30.879999,1123300,30.879999
2016-08-18,30.700001,31.139999,30.34,30.41,776000,30.41
2016-08-17,30.27,30.82,30.209999,30.639999,1770500,30.639999
2016-08-16,30.82,30.84,30.370001,30.549999,1037600,30.429999
2016-08-15,30.92,31.08,30.860001,30.98,755700,30.85831
2016-08-12,31.24,31.34,30.77,30.92,1469900,30.798546
2016-08-11,31.629999,31.700001,31.299999,31.360001,886000,31.236818
2016-08-10,31.530001,31.879999,31.469999,31.59,683600,31.465914
2016-08-09,31.49,31.66,31.379999,31.540001,549200,31.416112
2016-08-08,31.83,31.950001,31.370001,31.42,776700,31.296582
2016-08-05,31.82,31.959999,31.719999,31.799999,772100,31.675089
2016-08-04,31.68,31.99,31.60,31.65,582400,31.525678
2016-08-03,31.889999,31.950001,31.25,31.60,1457400,31.475875
2016-08-02,32.119999,32.119999,31.76,31.870001,1212000,31.744815
2016-08-01,32.509998,32.740002,32.169998,32.259998,1117500,32.133281
2016-07-29,32.889999,32.900002,32.459999,32.580002,718600,32.452027
2016-07-28,32.439999,33.169998,32.400002,32.900002,1027500,32.77077
2016-07-27,32.740002,32.740002,30.73,32.439999,1794800,32.312574
2016-07-26,32.18,32.759998,32.110001,32.740002,1175700,32.611399
2016-07-25,32.400002,32.700001,31.93,32.27,1407600,32.143244
2016-07-22,32.91,33.25,32.75,33.23,809000,33.099472
2016-07-21,32.75,33.189999,32.75,32.849998,625400,32.720963
2016-07-20,32.599998,32.900002,32.279999,32.860001,866700,32.730926
2016-07-19,32.41,32.66,32.41,32.630001,659400,32.50183
2016-07-18,32.189999,32.700001,32.060001,32.57,892100,32.442065
2016-07-15,32.240002,32.240002,31.969999,32.029999,566300,31.904185
2016-07-14,32.34,32.50,32.060001,32.07,496800,31.944029
2016-07-13,32.599998,32.599998,32.00,32.099998,534000,31.973909
2016-07-12,32.25,32.610001,32.130001,32.610001,716500,32.481908
2016-07-11,31.84,32.040001,31.66,32.02,597500,31.894226
2016-07-08,31.690001,31.870001,31.549999,31.799999,411200,31.675089
2016-07-07,31.35,31.74,31.26,31.440001,480400,31.316504
2016-07-06,30.950001,31.40,30.879999,31.34,654800,31.216896
2016-07-05,31.07,31.309999,30.73,30.959999,681400,30.838388
2016-07-01,30.99,31.219999,30.83,31.049999,485100,30.928035
2016-06-30,30.200001,30.969999,30.200001,30.950001,829600,30.828429
2016-06-29,30.16,30.450001,29.860001,30.17,1099500,30.051492
2016-06-28,29.26,29.99,29.09,29.690001,959500,29.573378
2016-06-27,29.51,29.549999,29.00,29.08,991100,28.965774
2016-06-24,30.27,30.639999,29.35,29.83,3288500,29.712828
2016-06-23,31.459999,31.549999,31.190001,31.549999,688800,31.426071
2016-06-22,30.91,31.32,30.860001,31.16,643100,31.037603
2016-06-21,30.82,31.02,30.68,30.90,553100,30.778624
2016-06-20,30.799999,30.940001,30.68,30.76,806800,30.639175
2016-06-17,31.110001,31.24,30.540001,30.559999,1146200,30.43996
2016-06-16,31.059999,31.290001,30.799999,31.25,625200,31.12725
2016-06-15,31.18,31.41,31.08,31.120001,694900,30.997761
2016-06-14,31.27,31.50,30.950001,31.23,786800,31.107328
2016-06-13,30.870001,31.68,30.870001,31.35,885000,31.226857
2016-06-10,31.18,31.32,30.889999,30.969999,560100,30.848349
2016-06-09,31.459999,31.549999,31.299999,31.41,522500,31.286621
2016-06-08,31.50,31.58,31.059999,31.530001,502700,31.406151
2016-06-07,31.23,31.60,31.23,31.57,579400,31.445993
2016-06-06,31.23,31.43,30.940001,31.24,552600,31.117289
2016-06-03,31.040001,31.16,30.879999,31.10,438800,30.977839
2016-06-02,30.99,31.58,30.93,31.23,787600,31.107328
2016-06-01,30.940001,31.059999,30.809999,30.98,550700,30.85831
2016-05-31,30.879999,31.16,30.65,31.15,906400,31.027642
2016-05-27,30.85,30.889999,30.59,30.889999,352600,30.768663
2016-05-26,30.59,30.780001,30.43,30.639999,351000,30.519645
2016-05-25,30.690001,30.74,30.379999,30.58,597900,30.459882
2016-05-24,30.18,30.700001,30.18,30.629999,443900,30.509684
2016-05-23,29.959999,30.17,29.85,30.01,412900,29.892121
2016-05-20,29.860001,30.16,29.690001,29.940001,673600,29.822396
2016-05-19,29.43,29.84,29.27,29.74,663600,29.623181
2016-05-18,29.469999,29.83,29.360001,29.559999,503800,29.443888
2016-05-17,30.360001,30.49,29.549999,29.58,1609000,29.344282
2016-05-16,30.26,30.629999,30.26,30.48,493100,30.237109
2016-05-13,30.42,30.879999,30.18,30.23,548700,29.989101
2016-05-12,30.690001,30.85,29.98,30.35,552900,30.108146
2016-05-11,30.629999,30.90,30.540001,30.610001,465000,30.366074
2016-05-10,30.700001,30.74,30.35,30.690001,722200,30.445437
2016-05-09,30.440001,30.74,30.379999,30.57,654300,30.326392
2016-05-06,30.48,30.73,30.200001,30.379999,593300,30.137906
2016-05-05,30.52,30.870001,30.280001,30.48,676000,30.237109
2016-05-04,30.84,31.00,30.370001,30.41,751200,30.167667
2016-05-03,30.02,31.17,30.02,31.16,1477000,30.911691
2016-05-02,30.200001,30.889999,30.09,30.559999,945600,30.316472
2016-04-29,30.799999,30.799999,30.07,30.209999,743400,29.96926
2016-04-28,30.77,31.129999,30.540001,30.75,1100600,30.504958
2016-04-27,30.91,31.379999,30.16,30.83,2506200,30.58432
2016-04-26,33.48,33.950001,30.889999,31.309999,3292400,31.060495
2016-04-25,33.330002,34.09,32.880001,33.919998,1224800,33.649695
2016-04-22,32.849998,33.369999,32.849998,33.310001,509200,33.044559
2016-04-21,33.040001,33.290001,32.740002,32.779999,536400,32.51878
2016-04-20,32.919998,33.139999,32.669998,33.00,541200,32.737028
2016-04-19,32.84,33.16,32.689999,32.970001,660400,32.707268
2016-04-18,32.68,32.84,32.59,32.830002,262600,32.568385
2016-04-15,32.830002,32.830002,32.48,32.68,398400,32.419579
2016-04-14,32.970001,33.00,32.689999,32.82,368200,32.558462
2016-04-13,32.73,32.990002,32.48,32.919998,547900,32.657664
2016-04-12,32.509998,32.75,32.139999,32.48,856400,32.221172
2016-04-11,32.16,32.540001,32.040001,32.389999,645600,32.131889
2016-04-08,32.369999,32.599998,31.91,32.060001,646600,31.80452
2016-04-07,32.599998,32.599998,31.43,32.119999,1617600,31.86404
2016-04-06,32.310001,32.700001,31.719999,32.689999,687800,32.429497
2016-04-05,32.740002,32.759998,32.23,32.400002,775900,32.141811
2016-04-04,33.02,33.34,32.59,32.630001,678000,32.369978
2016-04-01,32.77,33.040001,32.400002,32.98,1036200,32.717187
2016-03-31,33.73,33.77,32.709999,32.950001,1011900,32.687427
2016-03-30,33.459999,33.950001,33.220001,33.779999,843300,33.510811
2016-03-29,33.049999,33.169998,32.790001,33.130001,560600,32.865993
2016-03-28,33.25,33.43,33.049999,33.290001,387200,33.024718
2016-03-24,33.200001,33.330002,32.919998,33.110001,598600,32.846152
2016-03-23,33.75,33.75,33.130001,33.369999,826200,33.104079
2016-03-22,33.150002,33.740002,33.00,33.709999,1182600,33.441369
2016-03-21,32.450001,33.43,32.310001,33.360001,747400,33.09416
2016-03-18,32.509998,32.779999,32.060001,32.459999,788500,32.20133
2016-03-17,31.959999,32.459999,31.959999,32.400002,410100,32.141811
2016-03-16,31.58,32.150002,31.58,32.02,511600,31.764838
2016-03-15,31.73,31.82,31.48,31.75,499300,31.496989
2016-03-14,31.969999,32.119999,31.84,31.950001,754300,31.695396
2016-03-11,31.59,32.119999,31.59,32.07,520600,31.814439
2016-03-10,32.02,32.259998,30.99,31.379999,648000,31.129937
2016-03-09,31.780001,32.139999,31.780001,32.00,529400,31.744997
2016-03-08,32.169998,32.23,31.469999,31.57,774500,31.318423
2016-03-07,32.27,32.560001,31.90,32.43,654300,32.171571
2016-03-04,32.209999,32.610001,32.139999,32.360001,635800,32.102129
2016-03-03,31.76,32.380001,31.65,32.299999,743200,32.042606
2016-03-02,31.83,32.099998,31.60,31.799999,629900,31.54659
2016-03-01,31.139999,32.16,30.959999,31.92,1152100,31.665635
2016-02-29,31.049999,31.33,30.75,30.959999,874600,30.713284
2016-02-26,31.209999,31.40,30.82,31.049999,579300,30.802567
2016-02-25,31.23,31.49,30.450001,31.02,823600,30.772807
2016-02-24,30.969999,31.290001,30.60,31.24,656200,30.991053
2016-02-23,30.950001,31.52,30.74,31.15,971000,30.90177
2016-02-22,31.700001,31.82,30.780001,31.18,1038500,30.931532
2016-02-19,30.33,31.110001,29.129999,30.83,1508600,30.58432
2016-02-18,31.00,31.41,30.440001,30.469999,889800,30.227189
2016-02-17,30.33,30.950001,30.030001,30.879999,1130900,30.633921
2016-02-16,29.629999,30.42,29.33,30.26,1159400,29.899819
2016-02-12,28.59,29.60,27.98,29.299999,2193800,28.951245
2016-02-11,27.809999,29.190001,26.610001,28.620001,2011200,28.279341
2016-02-10,28.940001,29.17,28.50,28.530001,1937400,28.190412
2016-02-09,27.43,28.85,27.32,28.76,1952800,28.417674
