Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,24.690001,25.25,24.610001,25.17,2549800,25.17
2016-09-30,24.75,24.969999,24.65,24.74,3193700,24.74
2016-09-29,24.82,24.969999,24.58,24.620001,1678700,24.620001
2016-09-28,24.780001,25.049999,24.75,24.889999,2215300,24.889999
2016-09-27,24.360001,24.82,24.33,24.799999,2340800,24.799999
2016-09-26,24.40,24.469999,24.16,24.309999,2780700,24.309999
2016-09-23,24.68,24.809999,24.48,24.49,3154500,24.49
2016-09-22,24.450001,24.82,24.370001,24.74,3609000,24.74
2016-09-21,24.27,24.379999,24.09,24.299999,6218000,24.299999
2016-09-20,24.33,24.459999,24.209999,24.24,5293600,24.24
2016-09-19,24.379999,24.459999,24.17,24.290001,2653900,24.290001
2016-09-16,24.16,24.32,23.879999,24.280001,13342600,24.280001
2016-09-15,24.09,24.459999,23.969999,24.32,7581000,24.32
2016-09-14,24.23,24.440001,24.059999,24.190001,4872700,24.190001
2016-09-13,24.50,24.58,24.049999,24.200001,4672900,24.200001
2016-09-12,23.92,24.809999,23.91,24.66,6808400,24.66
2016-09-09,24.809999,24.92,24.08,24.120001,5681900,23.940001
2016-09-08,24.639999,25.08,24.52,25.040001,9624400,24.853135
2016-09-07,24.709999,24.809999,24.540001,24.559999,3882600,24.376716
2016-09-06,24.809999,24.809999,24.299999,24.709999,4204900,24.525596
2016-09-02,25.02,25.02,24.709999,24.75,3242600,24.565299
2016-09-01,24.799999,24.940001,24.700001,24.75,3862100,24.565299
2016-08-31,24.77,25.040001,24.77,24.85,7977000,24.664553
2016-08-30,25.200001,25.200001,24.85,24.85,2936200,24.664553
2016-08-29,25.17,25.280001,25.01,25.049999,3976100,24.863059
2016-08-26,25.24,25.299999,24.90,25.00,2267200,24.813433
2016-08-25,25.35,25.440001,25.040001,25.10,1622400,24.912687
2016-08-24,25.48,25.57,25.26,25.34,2153400,25.150896
2016-08-23,25.85,25.92,25.42,25.450001,2601100,25.260076
2016-08-22,25.799999,25.98,25.67,25.709999,2349400,25.518134
2016-08-19,25.879999,25.90,25.59,25.809999,3069700,25.617388
2016-08-18,26.23,26.23,25.75,25.82,3746600,25.627313
2016-08-17,26.190001,26.27,26.01,26.190001,3888600,25.994553
2016-08-16,26.280001,26.299999,26.120001,26.129999,2663400,25.934999
2016-08-15,26.629999,26.65,26.290001,26.299999,1770700,26.103731
2016-08-12,26.549999,26.82,26.50,26.57,1742200,26.371716
2016-08-11,26.32,26.68,26.200001,26.639999,2178800,26.441194
2016-08-10,26.25,26.309999,25.959999,26.18,2636000,25.984627
2016-08-09,26.190001,26.27,25.99,26.18,3209200,25.984627
