Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,63.759998,64.019997,63.380001,63.880001,2753200,63.880001
2016-09-30,63.919998,64.18,63.689999,63.880001,3328400,63.880001
2016-09-29,64.050003,64.389999,63.650002,63.66,3006600,63.66
2016-09-28,64.150002,64.190002,63.759998,64.080002,2474900,64.080002
2016-09-27,64.059998,64.080002,63.560001,63.919998,2693100,63.919998
2016-09-26,64.449997,64.480003,63.799999,63.900002,3176500,63.900002
2016-09-23,64.889999,65.239998,64.650002,64.650002,3252600,64.650002
2016-09-22,65.260002,65.57,64.790001,65.059998,4140200,65.059998
2016-09-21,64.059998,65.370003,63.150002,65.260002,5468900,65.260002
2016-09-20,65.199997,65.400002,64.660004,64.699997,3527600,64.699997
2016-09-19,65.050003,65.510002,64.959999,65.209999,2546000,65.209999
2016-09-16,65.260002,65.459999,64.830002,65.190002,3705300,65.190002
2016-09-15,65.220001,65.720001,65.139999,65.540001,2821300,65.540001
2016-09-14,65.809998,66.010002,65.209999,65.480003,3010700,65.480003
2016-09-13,66.489998,66.529999,65.550003,65.599998,3536400,65.599998
2016-09-12,65.00,66.419998,65.00,66.279999,4290800,66.279999
2016-09-09,66.970001,66.980003,65.050003,65.050003,6391300,65.050003
2016-09-08,67.599998,68.07,67.309998,67.470001,4110500,67.470001
2016-09-07,70.449997,70.639999,67.610001,67.849998,6769900,67.849998
2016-09-06,71.040001,71.330002,70.360001,70.900002,3566500,70.900002
2016-09-02,70.57,71.120003,70.449997,70.940002,2446600,70.940002
2016-09-01,70.669998,70.800003,69.660004,70.110001,4253500,70.110001
2016-08-31,70.559998,70.910004,70.379997,70.82,3776200,70.82
2016-08-30,71.389999,71.580002,70.349998,70.510002,4402700,70.510002
2016-08-29,70.989998,71.57,70.989998,71.419998,2489600,71.419998
2016-08-26,71.339996,71.68,70.690002,70.870003,1975300,70.870003
2016-08-25,70.82,71.959999,70.760002,71.389999,3197300,71.389999
2016-08-24,71.00,71.059998,70.459999,71.00,2494700,71.00
2016-08-23,71.559998,71.629997,70.93,71.099998,2270300,71.099998
2016-08-22,71.529999,71.82,71.269997,71.559998,2277400,71.559998
2016-08-19,71.260002,71.50,70.919998,71.449997,2543700,71.449997
2016-08-18,70.559998,71.400002,70.510002,71.269997,2517000,71.269997
2016-08-17,70.510002,70.870003,70.220001,70.559998,3923300,70.559998
2016-08-16,70.57,70.989998,70.370003,70.50,2642300,70.50
2016-08-15,71.029999,71.169998,70.779999,71.040001,2096200,71.040001
2016-08-12,71.160004,71.449997,71.010002,71.169998,1871300,71.169998
2016-08-11,71.099998,71.279999,70.860001,71.07,2212700,71.07
2016-08-10,70.959999,71.300003,70.830002,71.059998,2189600,71.059998
2016-08-09,70.75,71.059998,70.529999,70.93,2333000,70.93
2016-08-08,70.489998,70.879997,70.150002,70.629997,2428700,70.629997
2016-08-05,70.50,70.800003,70.300003,70.550003,2539200,70.550003
2016-08-04,70.00,70.510002,69.919998,70.489998,4234700,70.489998
2016-08-03,71.120003,71.139999,69.230003,69.779999,5387400,69.779999
2016-08-02,71.550003,71.720001,70.82,70.970001,4370300,70.970001
2016-08-01,71.980003,72.150002,71.400002,71.629997,3417600,71.629997
2016-07-29,71.190002,72.220001,71.169998,71.889999,2728800,71.889999
2016-07-28,70.510002,71.440002,70.50,71.339996,2724500,71.339996
2016-07-27,71.480003,71.589996,70.400002,70.550003,4578300,70.550003
2016-07-26,71.650002,72.510002,71.190002,71.279999,2592100,71.279999
2016-07-25,71.209999,71.720001,71.150002,71.690002,2574700,71.690002
2016-07-22,71.440002,71.639999,71.07,71.220001,3079200,71.220001
2016-07-21,71.709999,71.720001,70.989998,71.209999,3008800,71.209999
2016-07-20,72.650002,72.699997,71.639999,71.699997,2841000,71.699997
2016-07-19,72.209999,72.660004,72.00,72.639999,1996200,72.639999
2016-07-18,72.190002,72.400002,71.970001,72.279999,2217100,72.279999
2016-07-15,72.25,72.279999,71.849998,72.019997,2848900,72.019997
2016-07-14,71.690002,72.32,71.68,72.089996,2689500,72.089996
2016-07-13,71.489998,71.970001,71.360001,71.940002,2852100,71.940002
2016-07-12,71.470001,71.809998,71.120003,71.419998,3486500,71.419998
2016-07-11,72.269997,72.300003,71.699997,71.809998,3559900,71.809998
2016-07-08,72.389999,72.480003,71.559998,72.459999,4234100,72.459999
2016-07-07,72.440002,72.769997,71.769997,72.019997,4383900,72.019997
2016-07-06,72.269997,72.949997,71.860001,72.559998,7086800,72.079997
2016-07-05,71.879997,72.660004,71.730003,72.110001,4806000,71.632977
2016-07-01,71.190002,72.190002,70.860001,71.940002,6075900,71.464103
2016-06-30,68.00,71.779999,68.00,71.32,12380000,70.848202
2016-06-29,66.169998,67.910004,65.639999,67.860001,7759700,67.411092
2016-06-28,66.25,66.25,65.160004,65.760002,4961400,65.324985
2016-06-27,65.830002,66.400002,65.629997,66.190002,4252300,65.752141
2016-06-24,65.660004,66.849998,65.410004,66.139999,4836000,65.702469
2016-06-23,66.75,66.879997,66.260002,66.769997,2107800,66.328298
2016-06-22,66.589996,66.790001,66.199997,66.400002,2630200,65.960751
2016-06-21,66.07,66.660004,65.989998,66.519997,3132800,66.079952
2016-06-20,65.970001,66.410004,65.870003,65.879997,2321600,65.444186
2016-06-17,65.629997,65.82,65.089996,65.809998,3331300,65.37465
2016-06-16,64.839996,65.790001,64.769997,65.779999,2147100,65.34485
2016-06-15,64.970001,65.25,64.709999,64.889999,2042400,64.460738
2016-06-14,64.639999,65.129997,64.290001,65.040001,2671400,64.609747
2016-06-13,65.019997,65.489998,64.730003,64.849998,2407800,64.421001
2016-06-10,65.059998,65.50,65.010002,65.410004,2677100,64.977302
2016-06-09,64.43,65.389999,64.349998,65.339996,2460600,64.907758
2016-06-08,64.00,64.489998,63.830002,64.419998,2323200,63.993846
2016-06-07,63.68,64.169998,63.630001,64.019997,2000500,63.59649
2016-06-06,63.66,63.889999,63.27,63.580002,1649200,63.159406
2016-06-03,63.200001,63.84,63.189999,63.689999,1979900,63.268675
2016-06-02,63.07,63.259998,62.84,63.23,1593600,62.811719
2016-06-01,62.77,63.330002,62.650002,63.169998,2538500,62.752115
2016-05-31,62.959999,63.349998,62.549999,62.779999,3160700,62.364695
2016-05-27,62.709999,63.23,62.650002,62.869999,1634100,62.4541
2016-05-26,62.529999,63.119999,62.419998,62.869999,1776300,62.4541
2016-05-25,62.509998,62.75,62.200001,62.360001,2631400,61.947475
2016-05-24,61.689999,62.720001,61.599998,62.400002,4197400,61.987212
2016-05-23,62.549999,63.029999,62.490002,62.700001,2127200,62.285226
2016-05-20,62.91,62.91,62.279999,62.450001,3313300,62.03688
2016-05-19,62.279999,62.950001,62.060001,62.919998,2577100,62.503768
2016-05-18,62.720001,62.82,61.93,62.389999,3036900,61.977276
2016-05-17,64.300003,64.43,62.740002,62.990002,3497200,62.573309
2016-05-16,64.389999,64.790001,64.230003,64.57,2274800,64.142855
2016-05-13,64.610001,65.110001,64.169998,64.519997,2763800,64.093183
2016-05-12,64.129997,64.779999,64.080002,64.720001,2563800,64.291864
2016-05-11,63.73,64.370003,63.700001,64.010002,3449800,63.586562
2016-05-10,62.880001,63.799999,62.73,63.73,3245700,63.308411
2016-05-09,62.209999,62.880001,62.00,62.73,2418900,62.315027
2016-05-06,62.07,62.27,61.459999,62.110001,2271900,61.699129
2016-05-05,61.799999,62.290001,61.779999,62.080002,3084800,61.669329
2016-05-04,61.330002,62.060001,61.209999,61.740002,2648100,61.331578
2016-05-03,61.919998,62.200001,61.470001,61.650002,2731500,61.242173
2016-05-02,61.59,62.360001,61.52,62.220001,2848500,61.808402
2016-04-29,61.060001,61.470001,60.889999,61.34,2703200,60.934222
2016-04-28,60.700001,61.66,60.389999,61.259998,2166100,60.85475
2016-04-27,60.900002,61.470001,60.57,61.130001,2685500,60.725613
2016-04-26,61.119999,61.279999,60.580002,60.709999,2164200,60.308389
2016-04-25,60.450001,61.27,60.349998,61.09,2258700,60.685876
2016-04-22,60.23,60.59,60.040001,60.560001,3207100,60.159384
2016-04-21,61.580002,61.66,60.099998,60.119999,3570000,59.722292
2016-04-20,62.369999,62.369999,61.599998,61.639999,2464800,61.232237
2016-04-19,62.700001,62.740002,62.040001,62.380001,2135100,61.967344
2016-04-18,62.450001,62.619999,62.110001,62.529999,3185900,62.116349
2016-04-15,62.240002,62.470001,61.950001,62.450001,2960500,62.03688
2016-04-14,62.68,62.82,62.060001,62.110001,2687300,61.699129
2016-04-13,63.450001,63.52,62.50,62.689999,2559100,62.27529
2016-04-12,63.119999,63.59,62.970001,63.459999,3606400,63.040197
2016-04-11,63.419998,63.68,62.709999,62.880001,3295900,62.464036
2016-04-08,63.200001,63.439999,62.919998,63.299999,3470900,62.881256
2016-04-07,63.139999,63.560001,62.779999,63.119999,4445900,62.702446
2016-04-06,64.419998,64.489998,63.790001,64.139999,5110500,63.258742
2016-04-05,65.370003,65.489998,64.220001,64.279999,4835500,63.396818
2016-04-04,65.00,65.379997,64.139999,65.360001,6174600,64.461981
2016-04-01,62.900002,65.00,62.900002,64.959999,7433900,64.067476
2016-03-31,63.209999,63.73,63.209999,63.349998,8874500,62.479596
2016-03-30,63.360001,63.470001,62.560001,63.310001,4861200,62.440148
2016-03-29,61.919998,63.150002,61.799999,62.939999,6390900,62.075229
2016-03-28,61.450001,62.150002,61.450001,61.880001,3444500,61.029795
2016-03-24,60.799999,61.889999,60.669998,61.360001,4916300,60.51694
2016-03-23,60.529999,61.360001,60.139999,61.009998,5265200,60.171746
2016-03-22,61.110001,61.220001,60.59,60.790001,4229400,59.954771
2016-03-21,61.549999,61.66,60.990002,61.299999,4670600,60.457763
2016-03-18,61.810001,61.82,61.360001,61.790001,8676300,60.941032
2016-03-17,61.57,62.07,61.299999,61.779999,3229300,60.931167
2016-03-16,61.110001,61.580002,60.50,61.389999,2458800,60.546526
2016-03-15,60.639999,61.310001,60.290001,61.240002,2387400,60.398589
2016-03-14,60.990002,61.07,60.700001,60.889999,1920300,60.053396
2016-03-11,60.889999,61.259998,60.700001,61.060001,2794600,60.221062
2016-03-10,60.59,60.740002,60.040001,60.529999,2638800,59.698342
2016-03-09,60.110001,60.919998,60.029999,60.439999,3051400,59.609578
2016-03-08,59.330002,60.099998,59.220001,59.950001,3333500,59.126313
2016-03-07,59.799999,60.00,59.41,59.619999,2242700,58.800845
2016-03-04,59.709999,60.240002,59.549999,60.200001,2667300,59.372878
2016-03-03,59.490002,59.84,59.110001,59.790001,2272600,58.968511
2016-03-02,59.150002,59.540001,58.700001,59.529999,2862700,58.712081
2016-03-01,59.25,59.459999,58.900002,59.369999,2869900,58.55428
2016-02-29,58.93,59.34,58.66,58.849998,2804200,58.041424
2016-02-26,60.049999,60.150002,58.68,59.00,2774700,58.189364
2016-02-25,59.040001,60.18,58.939999,60.139999,3195700,59.313701
2016-02-24,58.529999,59.00,58.189999,58.959999,2683800,58.149913
2016-02-23,58.290001,58.919998,58.259998,58.82,2675300,58.011837
2016-02-22,58.959999,59.09,58.259998,58.369999,3887400,57.568019
2016-02-19,58.529999,59.139999,58.200001,58.720001,2626300,57.913213
2016-02-18,58.110001,58.75,57.84,58.599998,3141200,57.794859
2016-02-17,57.990002,58.43,57.57,58.139999,5210800,57.34118
2016-02-16,57.00,57.700001,56.34,57.66,4095500,56.867775
2016-02-12,56.169998,56.939999,56.02,56.889999,3569800,56.108354
2016-02-11,55.400002,56.27,55.360001,55.98,3302500,55.210858
2016-02-10,56.16,57.009998,55.98,56.09,2991400,55.319347
2016-02-09,55.299999,56.23,54.84,55.939999,3983100,55.171406
2016-02-08,55.130001,55.889999,54.860001,55.720001,3279100,54.954431
2016-02-05,55.119999,55.52,54.91,55.369999,3245300,54.609238
2016-02-04,55.380001,55.509998,54.84,55.119999,3089100,54.362673
2016-02-03,55.939999,56.209999,55.16,55.669998,3277500,54.905115
2016-02-02,56.119999,56.380001,55.66,55.799999,3177700,55.03333
2016-02-01,56.560001,56.900002,56.27,56.669998,2415700,55.891376
2016-01-29,55.209999,56.619999,55.209999,56.509998,4407700,55.733574
2016-01-28,55.349998,55.700001,54.98,55.209999,3283400,54.451437
2016-01-27,55.259998,55.599998,54.639999,54.939999,2553500,54.185146
2016-01-26,54.860001,55.48,54.860001,55.130001,2716600,54.372538
2016-01-25,55.279999,55.330002,54.720001,54.799999,2848000,54.04707
2016-01-22,54.759998,55.540001,54.299999,55.330002,3452200,54.569791
2016-01-21,54.59,54.779999,53.529999,54.119999,4912300,53.376413
2016-01-20,54.77,55.139999,53.700001,54.560001,4257600,53.81037
2016-01-19,55.299999,55.630001,55.110001,55.419998,4203700,54.65855
2016-01-15,54.27,54.91,54.169998,54.740002,6695500,53.987897
2016-01-14,55.34,55.639999,55.099998,55.349998,4465100,54.589512
2016-01-13,56.490002,56.540001,55.18,55.299999,4001800,54.5402
2016-01-12,56.209999,56.450001,55.82,56.369999,3511300,55.595498
2016-01-11,55.389999,56.040001,55.32,55.91,4830800,55.14182
2016-01-08,55.169998,55.939999,55.060001,55.290001,4295600,54.530339
2016-01-07,55.700001,55.959999,54.919998,55.110001,5417400,54.352812
2016-01-06,56.799999,57.200001,56.50,56.73,4709400,55.516598
2016-01-05,57.68,57.91,56.959999,57.200001,3653800,55.976546
2016-01-04,56.84,57.48,56.66,57.459999,4257500,56.230983
2015-12-31,58.07,58.259998,57.209999,57.66,2341900,56.426706
2015-12-30,58.98,59.049999,58.48,58.560001,1880600,57.307458
2015-12-29,58.77,59.009998,58.740002,58.880001,2187300,57.620613
2015-12-28,58.540001,58.810001,58.43,58.580002,2344500,57.32703
