Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,25.16,25.540001,24.90,25.50,3017600,25.50
2016-09-30,25.299999,25.440001,25.030001,25.25,3848500,25.25
2016-09-29,25.48,25.60,25.139999,25.16,4287300,25.16
2016-09-28,25.620001,25.700001,25.370001,25.59,2039800,25.59
2016-09-27,25.51,25.700001,25.27,25.68,2394800,25.68
2016-09-26,25.700001,25.75,25.360001,25.459999,2911500,25.459999
2016-09-23,26.02,26.200001,25.799999,25.809999,1583000,25.809999
2016-09-22,26.200001,26.299999,26.030001,26.15,2046400,26.15
2016-09-21,25.74,26.139999,25.57,26.139999,5574400,26.139999
2016-09-20,26.25,26.27,25.700001,25.709999,3801200,25.709999
2016-09-19,26.219999,26.26,26.00,26.10,2689100,26.10
2016-09-16,25.98,26.16,25.92,26.120001,2837000,26.120001
2016-09-15,25.940001,26.24,25.860001,26.110001,3206400,26.110001
2016-09-14,25.91,26.360001,25.879999,26.110001,3335900,26.110001
2016-09-13,26.280001,26.280001,25.809999,25.98,4859900,25.98
2016-09-12,25.559999,26.530001,25.540001,26.48,6950500,26.48
2016-09-09,25.790001,25.799999,25.540001,25.700001,3554000,25.700001
2016-09-08,26.09,26.129999,25.75,25.959999,3523200,25.959999
2016-09-07,26.16,26.25,25.780001,26.190001,3390100,26.190001
2016-09-06,26.49,26.530001,26.02,26.09,2565100,26.09
2016-09-02,26.559999,26.76,26.34,26.40,1957900,26.40
2016-09-01,26.530001,26.629999,26.299999,26.52,2033900,26.52
2016-08-31,26.700001,26.90,26.35,26.540001,2742800,26.540001
2016-08-30,27.09,27.129999,26.690001,26.76,1916900,26.76
2016-08-29,27.15,27.440001,27.110001,27.190001,1510800,27.190001
2016-08-26,27.360001,27.67,27.08,27.16,2545500,27.16
2016-08-25,27.75,27.77,27.25,27.379999,1832900,27.379999
2016-08-24,27.82,27.92,27.66,27.76,2135600,27.76
2016-08-23,27.790001,27.879999,27.51,27.799999,2273000,27.799999
2016-08-22,27.969999,28.24,27.620001,27.700001,3869300,27.700001
2016-08-19,27.02,27.959999,27.02,27.90,5686200,27.90
2016-08-18,27.23,27.469999,27.00,27.110001,2250000,27.110001
2016-08-17,27.16,27.379999,26.889999,27.32,3917000,27.32
2016-08-16,27.24,27.370001,27.01,27.16,2133700,27.16
2016-08-15,27.18,27.35,27.139999,27.23,3225500,27.23
2016-08-12,27.139999,27.33,26.98,27.110001,3215700,27.110001
2016-08-11,26.700001,27.370001,26.65,27.26,6880800,27.15
2016-08-10,26.10,26.73,26.00,26.389999,5805600,26.28351
2016-08-09,25.469999,25.799999,25.379999,25.58,2984000,25.476779
2016-08-08,25.65,25.99,25.35,25.540001,4856700,25.436941
2016-08-05,25.48,25.66,25.110001,25.42,3697200,25.317424
2016-08-04,25.16,25.469999,25.059999,25.290001,4468000,25.18795
2016-08-03,24.24,25.780001,24.139999,25.01,14925700,24.909079
2016-08-02,26.469999,26.98,25.51,25.65,4937500,25.546496
2016-08-01,26.719999,27.049999,26.360001,26.549999,4763400,26.442864
2016-07-29,25.68,26.700001,25.559999,26.66,4801100,26.55242
2016-07-28,26.059999,26.200001,25.639999,25.65,4234100,25.546496
2016-07-27,26.50,26.58,26.049999,26.07,4487800,25.964801
2016-07-26,26.84,27.030001,26.52,26.549999,2817800,26.442864
2016-07-25,26.860001,26.940001,26.719999,26.85,1869000,26.741654
2016-07-22,26.83,26.93,26.549999,26.870001,1846900,26.761574
2016-07-21,27.049999,27.42,26.77,26.870001,2953600,26.761574
2016-07-20,26.77,27.450001,26.75,27.02,3593300,26.910968
2016-07-19,26.50,26.90,26.290001,26.74,1976600,26.632098
2016-07-18,26.60,26.629999,26.389999,26.52,1967800,26.412986
2016-07-15,26.83,26.870001,26.50,26.549999,1872100,26.442864
2016-07-14,26.99,27.190001,26.700001,26.700001,3099700,26.59226
2016-07-13,27.030001,27.049999,26.700001,26.719999,2710100,26.612178
2016-07-12,26.48,27.049999,26.40,26.969999,3276100,26.861169
2016-07-11,26.299999,26.559999,26.209999,26.26,2846700,26.154035
2016-07-08,25.870001,26.379999,25.83,26.27,2700000,26.163995
2016-07-07,25.51,25.77,25.24,25.51,4238500,25.407061
2016-07-06,24.940001,25.65,24.889999,25.530001,4152300,25.426981
2016-07-05,25.60,25.700001,24.709999,25.00,3469200,24.899119
2016-07-01,25.35,25.719999,25.18,25.60,10425100,25.496698
2016-06-30,25.799999,25.969999,25.00,25.129999,7912200,25.028594
2016-06-29,26.129999,26.34,25.950001,26.299999,2617500,26.193873
2016-06-28,25.559999,25.959999,25.49,25.82,3613500,25.71581
2016-06-27,25.280001,25.450001,24.959999,25.42,6449900,25.317424
2016-06-24,25.639999,25.889999,25.459999,25.620001,6443400,25.516618
2016-06-23,26.59,26.66,26.23,26.469999,2742600,26.363187
2016-06-22,26.620001,26.77,26.299999,26.34,2253200,26.233712
2016-06-21,26.73,26.82,26.57,26.629999,2582400,26.522541
2016-06-20,26.540001,27.09,26.530001,26.77,3881800,26.661977
2016-06-17,26.01,26.389999,25.780001,26.23,5079800,26.124155
2016-06-16,26.01,26.08,25.66,26.040001,2723600,25.934923
2016-06-15,25.950001,26.639999,25.85,26.110001,3769500,26.004641
2016-06-14,26.059999,26.219999,25.40,25.93,4950200,25.825367
2016-06-13,26.83,26.879999,26.139999,26.139999,5976900,26.034518
2016-06-10,26.549999,26.879999,26.52,26.860001,2777700,26.751614
2016-06-09,26.90,26.90,26.43,26.83,2625900,26.721735
2016-06-08,27.110001,27.18,26.74,26.969999,2698600,26.861169
2016-06-07,27.09,27.43,26.959999,27.129999,3169600,27.020523
2016-06-06,27.290001,27.40,27.049999,27.280001,2870900,27.169919
2016-06-03,27.75,27.870001,27.219999,27.370001,2331700,27.259556
2016-06-02,27.620001,27.799999,27.459999,27.76,3324900,27.647982
2016-06-01,27.40,28.25,27.35,27.65,6057500,27.538425
2016-05-31,27.059999,27.17,26.870001,27.07,3505000,26.960766
2016-05-27,27.27,27.33,26.93,27.030001,2294900,26.920928
2016-05-26,27.18,27.299999,26.870001,27.26,3272600,27.15
2016-05-25,26.780001,27.209999,26.629999,27.059999,3405100,26.950806
2016-05-24,26.889999,27.110001,26.77,26.790001,3142700,26.681897
2016-05-23,27.530001,27.610001,26.940001,26.969999,2274700,26.861169
2016-05-20,27.09,27.610001,26.98,27.52,2874500,27.408951
2016-05-19,26.790001,27.209999,26.58,26.99,2603000,26.881089
2016-05-18,26.90,27.10,26.610001,26.690001,3479400,26.5823
2016-05-17,27.030001,27.360001,26.809999,27.049999,2932600,26.940846
2016-05-16,26.98,27.25,26.85,27.09,3433800,26.980686
2016-05-13,26.74,27.18,26.639999,26.90,4102100,26.791452
2016-05-12,27.02,27.040001,26.530001,26.959999,3790900,26.741653
2016-05-11,27.58,27.58,26.82,26.85,3924100,26.632545
2016-05-10,27.809999,28.110001,27.700001,27.969999,1634300,27.743473
2016-05-09,27.59,27.950001,27.51,27.780001,2179000,27.555013
2016-05-06,27.950001,28.02,27.50,27.66,2440200,27.435984
2016-05-05,28.23,28.280001,27.870001,28.01,2526200,27.78315
2016-05-04,28.60,28.74,28.08,28.370001,3617000,28.140235
2016-05-03,29.16,29.16,28.620001,28.75,3520900,28.517157
2016-05-02,29.09,29.389999,28.82,29.309999,2979700,29.072621
2016-04-29,29.450001,29.48,28.57,29.030001,4410000,28.79489
2016-04-28,29.48,30.42,29.33,29.530001,8887800,29.29084
2016-04-27,28.00,28.08,27.50,27.790001,2732400,27.564932
2016-04-26,27.700001,28.059999,27.52,28.02,2800500,27.793069
2016-04-25,28.40,28.469999,27.620001,27.690001,3692700,27.465742
2016-04-22,29.59,30.09,28.17,28.549999,7008900,28.318776
2016-04-21,28.41,28.50,28.10,28.18,3157600,27.951773
2016-04-20,28.379999,28.549999,28.15,28.18,4008500,27.951773
2016-04-19,28.07,28.469999,27.959999,28.280001,2992400,28.050964
2016-04-18,27.76,28.209999,27.74,28.02,2011000,27.793069
2016-04-15,27.370001,27.85,27.129999,27.809999,2832400,27.584769
2016-04-14,27.559999,27.73,27.16,27.32,2496600,27.098738
2016-04-13,27.18,27.549999,26.889999,27.51,2876600,27.287199
2016-04-12,26.959999,27.219999,26.610001,26.98,2368300,26.761491
2016-04-11,27.219999,27.49,27.01,27.030001,3010300,26.811087
2016-04-08,27.969999,28.08,26.969999,27.190001,4210700,26.969791
2016-04-07,27.83,28.629999,27.610001,27.870001,6465500,27.644284
2016-04-06,26.83,27.290001,26.65,27.10,3110500,26.88052
2016-04-05,27.629999,27.68,26.799999,26.85,4882400,26.632545
2016-04-04,28.370001,28.51,27.879999,27.91,2108800,27.68396
2016-04-01,28.16,28.67,28.049999,28.43,2116700,28.199749
2016-03-31,28.48,28.709999,28.200001,28.34,3226400,28.110477
2016-03-30,28.48,28.68,28.299999,28.48,2842100,28.249343
2016-03-29,28.27,28.610001,28.08,28.35,3324600,28.120397
2016-03-28,28.219999,28.52,27.969999,28.299999,1808600,28.0708
2016-03-24,28.08,28.309999,27.66,28.16,1755700,27.931935
2016-03-23,28.85,28.85,28.059999,28.059999,3038500,27.832744
2016-03-22,29.219999,29.290001,28.67,28.93,2046100,28.695699
2016-03-21,29.26,29.43,29.00,29.309999,2122000,29.072621
2016-03-18,29.379999,30.00,29.25,29.52,2160600,29.280921
2016-03-17,28.99,29.299999,28.780001,29.25,2076700,29.013107
2016-03-16,29.120001,29.42,28.74,28.99,2008600,28.755213
2016-03-15,29.15,29.280001,28.940001,29.25,1888000,29.013107
2016-03-14,29.219999,29.540001,29.07,29.33,1766800,29.092459
2016-03-11,29.10,29.459999,28.92,29.41,1709800,29.171811
2016-03-10,28.33,28.860001,28.200001,28.74,2960600,28.507237
2016-03-09,28.85,28.91,28.18,28.23,3737500,28.001368
2016-03-08,29.139999,29.24,28.540001,28.60,2867400,28.368372
2016-03-07,29.10,29.52,29.030001,29.370001,4186600,29.132136
2016-03-04,29.780001,29.889999,29.120001,29.379999,2578400,29.142053
2016-03-03,29.040001,29.65,28.940001,29.629999,3266200,29.390029
2016-03-02,29.10,29.190001,28.77,29.01,3433700,28.775051
2016-03-01,28.620001,29.530001,28.57,29.370001,3515400,29.132136
2016-02-29,28.139999,28.84,28.139999,28.49,3519600,28.259262
2016-02-26,28.34,28.49,27.99,28.209999,2736500,27.981529
2016-02-25,27.34,28.110001,27.34,28.07,3240800,27.842664
2016-02-24,26.42,27.719999,25.870001,27.620001,4883800,27.396309
2016-02-23,26.85,27.10,26.40,26.469999,2825800,26.255621
2016-02-22,27.01,27.17,26.610001,26.940001,2727200,26.721816
2016-02-19,26.879999,27.09,25.98,26.530001,5590700,26.315137
2016-02-18,27.780001,27.879999,27.01,27.08,4337200,26.860682
2016-02-17,27.84,28.450001,27.73,27.879999,6224500,27.654202
2016-02-16,27.00,27.73,26.809999,27.469999,5101800,27.247523
2016-02-12,25.57,26.76,25.120001,26.58,7297500,26.364731
2016-02-11,24.559999,25.59,24.559999,25.16,6607500,24.956232
2016-02-10,24.309999,25.530001,24.209999,25.040001,9933200,24.728097
2016-02-09,23.459999,24.799999,23.379999,24.030001,9271200,23.730677
2016-02-08,24.49,24.57,23.25,23.82,8490700,23.523292
2016-02-05,29.389999,29.389999,24.799999,24.959999,25471700,24.649091
2016-02-04,30.059999,30.18,29.09,29.389999,5739500,29.023911
2016-02-03,30.34,30.58,29.33,30.450001,3389600,30.070708
2016-02-02,30.93,31.360001,29.90,30.040001,2766200,29.665816
2016-02-01,30.200001,31.34,30.01,31.18,2560000,30.791615
2016-01-29,29.85,30.709999,29.84,30.57,3705300,30.189212
2016-01-28,30.780001,30.860001,29.370001,29.620001,3685800,29.251047
2016-01-27,30.02,30.75,29.76,30.049999,2843800,29.675689
2016-01-26,29.32,30.370001,29.219999,30.24,3119900,29.863323
2016-01-25,29.110001,29.32,28.92,29.08,3000900,28.717773
2016-01-22,29.379999,29.76,29.030001,29.25,3758900,28.885655
2016-01-21,28.360001,29.280001,28.190001,28.879999,2821000,28.520263
2016-01-20,28.040001,28.530001,27.190001,28.27,4632500,27.917863
2016-01-19,29.389999,29.50,28.200001,28.530001,3818300,28.174624
2016-01-15,29.059999,29.48,28.66,29.049999,4757000,28.688146
2016-01-14,29.93,30.26,28.860001,29.879999,4577100,29.507807
2016-01-13,30.82,30.82,29.73,29.76,3768300,29.389303
2016-01-12,30.950001,31.200001,29.969999,30.620001,2934700,30.238591
2016-01-11,29.73,30.629999,29.18,30.49,5760800,30.110209
2016-01-08,30.60,30.75,28.940001,29.00,3923500,28.638769
2016-01-07,29.42,30.719999,29.299999,30.440001,4827100,30.060833
2016-01-06,29.48,30.17,29.40,29.940001,3783500,29.567061
2016-01-05,29.43,30.129999,29.309999,30.01,4542400,29.636189
2016-01-04,28.92,29.370001,28.709999,29.280001,4393000,28.915282
2015-12-31,29.09,29.790001,29.01,29.43,3638300,29.063413
2015-12-30,29.379999,29.459999,29.049999,29.08,1630100,28.717773
2015-12-29,29.00,29.48,29.00,29.379999,2045400,29.014035
2015-12-28,28.76,28.959999,28.57,28.879999,1540000,28.520263
2015-12-24,29.01,29.139999,28.65,28.959999,856700,28.599266
2015-12-23,29.51,29.52,28.91,29.16,2220100,28.796776
2015-12-22,28.690001,29.17,28.41,29.09,2477700,28.727648
2015-12-21,29.09,29.15,28.440001,28.58,3011800,28.224001
2015-12-18,29.27,29.66,28.91,28.99,4834000,28.628893
2015-12-17,29.52,29.60,29.24,29.35,2344700,28.98441
2015-12-16,29.25,29.549999,28.91,29.50,2892000,29.132541
2015-12-15,29.780001,29.780001,29.120001,29.139999,2369400,28.777025
2015-12-14,29.50,29.73,29.139999,29.379999,2744900,29.014035
2015-12-11,30.049999,30.129999,29.40,29.50,2484100,29.132541
2015-12-10,30.59,30.84,30.370001,30.43,1578600,30.050957
2015-12-09,30.719999,31.18,30.360001,30.620001,2171600,30.238591
2015-12-08,30.610001,31.200001,30.48,30.950001,1542000,30.56448
2015-12-07,30.969999,31.030001,29.83,30.85,2932100,30.465725
2015-12-04,30.540001,31.18,30.530001,31.15,1913300,30.761988
2015-12-03,30.940001,31.120001,30.030001,30.17,2154600,29.794195
2015-12-02,31.16,31.59,30.74,30.85,1792400,30.465725
2015-12-01,30.93,31.209999,30.780001,31.16,1987100,30.771863
2015-11-30,31.17,31.280001,30.59,30.67,2079000,30.287967
2015-11-27,31.57,31.610001,31.01,31.25,573800,30.860743
2015-11-25,31.629999,31.700001,31.23,31.530001,1294800,31.137255
2015-11-24,31.370001,31.66,31.15,31.48,2028300,31.087877
2015-11-23,31.459999,32.099998,31.23,31.610001,2357700,31.216259
2015-11-20,30.950001,31.60,30.950001,31.370001,1977900,30.979249
