Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,42.75,42.860001,42.389999,42.50,1836500,42.50
2016-09-30,42.57,42.939999,42.41,42.82,3564800,42.82
2016-09-29,42.790001,43.029999,42.130001,42.349998,1893200,42.349998
2016-09-28,42.849998,42.950001,42.459999,42.919998,1640100,42.919998
2016-09-27,42.299999,42.810001,42.200001,42.709999,1892500,42.709999
2016-09-26,42.50,42.619999,42.27,42.380001,1881900,42.380001
2016-09-23,42.740002,43.09,42.740002,42.77,2434500,42.77
2016-09-22,42.580002,43.200001,42.400002,43.130001,4350800,43.130001
2016-09-21,42.25,42.82,42.099998,42.50,7195600,42.50
2016-09-20,42.25,42.25,41.919998,41.970001,2893700,41.970001
2016-09-19,42.009998,42.25,41.790001,42.040001,3699400,42.040001
2016-09-16,42.060001,42.060001,41.610001,41.799999,4650000,41.799999
2016-09-15,41.610001,42.279999,41.560001,42.150002,2841400,42.150002
2016-09-14,41.810001,42.009998,41.610001,41.799999,3815900,41.799999
2016-09-13,41.549999,42.009998,41.400002,41.860001,4636200,41.860001
2016-09-12,40.799999,42.110001,40.400002,42.009998,5811700,42.009998
2016-09-09,40.790001,41.439999,40.509998,41.049999,4016800,41.049999
2016-09-08,41.490002,41.700001,40.950001,40.98,3970200,40.98
2016-09-07,40.549999,41.509998,40.43,41.50,3019500,41.50
2016-09-06,40.889999,40.889999,40.560001,40.740002,2533500,40.740002
2016-09-02,40.810001,41.040001,40.689999,40.990002,1910600,40.990002
2016-09-01,41.189999,41.200001,40.310001,40.689999,3428300,40.689999
2016-08-31,40.950001,41.119999,40.650002,41.07,3248200,41.07
2016-08-30,40.130001,40.98,40.09,40.93,4057300,40.93
2016-08-29,39.959999,40.41,39.959999,40.34,3046400,40.13
2016-08-26,40.110001,40.369999,39.68,39.869999,2941800,39.662446
2016-08-25,40.029999,40.279999,39.93,40.080002,2477800,39.871355
2016-08-24,40.220001,40.220001,39.919998,40.040001,2246200,39.831563
2016-08-23,40.43,40.549999,40.099998,40.119999,2461800,39.911144
2016-08-22,40.25,40.439999,40.040001,40.380001,2509300,40.169793
2016-08-19,40.029999,40.330002,39.810001,40.25,2572100,40.040469
2016-08-18,39.900002,40.240002,39.900002,40.220001,2624300,40.010626
2016-08-17,39.990002,40.18,39.84,40.00,1907800,39.79177
2016-08-16,40.00,40.400002,39.970001,39.990002,2124900,39.781824
2016-08-15,40.279999,40.439999,40.139999,40.209999,1430400,40.000676
2016-08-12,40.02,40.220001,39.740002,40.09,2735600,39.881302
2016-08-11,40.299999,40.560001,40.209999,40.25,1593600,40.040469
2016-08-10,40.119999,40.419998,39.939999,40.27,3086400,40.060365
2016-08-09,40.560001,40.740002,40.310001,40.400002,2267100,40.189689
2016-08-08,40.790001,40.93,40.490002,40.630001,2288200,40.418491
2016-08-05,40.529999,40.830002,40.41,40.650002,3008900,40.438388
2016-08-04,40.540001,40.709999,40.099998,40.240002,4542200,40.030522
2016-08-03,40.279999,40.549999,40.00,40.549999,5001700,40.338906
2016-08-02,39.900002,40.150002,39.669998,40.119999,7446300,39.911144
2016-08-01,39.880001,40.189999,39.490002,40.009998,7797800,39.801716
2016-07-29,40.810001,40.82,38.919998,39.849998,16921700,39.642549
2016-07-28,43.66,44.169998,43.66,43.93,2274300,43.701312
2016-07-27,44.09,44.290001,43.799999,43.810001,1811800,43.581937
2016-07-26,44.330002,44.66,44.119999,44.200001,1668200,43.969907
2016-07-25,44.709999,44.810001,44.220001,44.380001,1496300,44.14897
2016-07-22,43.560001,44.779999,43.560001,44.77,3297000,44.536939
2016-07-21,43.759998,43.779999,43.310001,43.470001,1828800,43.243707
2016-07-20,43.849998,43.91,43.580002,43.73,2304300,43.502352
2016-07-19,43.450001,43.91,43.360001,43.759998,1812200,43.532195
2016-07-18,43.830002,44.389999,43.66,43.740002,3444700,43.512302
2016-07-15,43.959999,43.990002,43.599998,43.75,1958400,43.522248
2016-07-14,44.16,44.330002,43.709999,43.799999,2542900,43.571987
2016-07-13,43.810001,43.919998,43.27,43.43,1889400,43.203915
2016-07-12,44.209999,44.380001,43.799999,43.84,2424900,43.61178
2016-07-11,43.720001,43.990002,43.630001,43.779999,2051000,43.552091
2016-07-08,43.139999,43.700001,43.139999,43.580002,3485200,43.353135
2016-07-07,42.700001,43.25,42.470001,42.720001,2208500,42.497612
2016-07-06,42.790001,42.970001,42.32,42.73,3817100,42.507558
2016-07-05,43.810001,43.84,42.880001,43.07,2285000,42.845788
2016-07-01,44.16,44.599998,44.09,44.259998,2455900,44.029592
2016-06-30,43.310001,44.400002,43.00,44.380001,3910000,44.14897
2016-06-29,42.580002,43.18,42.23,43.16,2416800,42.93532
2016-06-28,41.700001,42.16,41.369999,42.110001,2397700,41.890786
2016-06-27,41.73,41.740002,40.84,40.98,2992900,40.766668
2016-06-24,42.639999,43.849998,42.360001,42.400002,4610300,42.179278
2016-06-23,44.799999,44.990002,44.650002,44.959999,1583000,44.725949
2016-06-22,44.32,44.619999,44.02,44.060001,1710800,43.830636
2016-06-21,44.34,44.50,44.02,44.220001,1419700,43.989803
2016-06-20,44.619999,44.93,44.060001,44.099998,1861000,43.870425
2016-06-17,44.02,44.099998,43.639999,44.00,3944700,43.770947
2016-06-16,43.029999,43.919998,42.900002,43.82,2463700,43.591884
2016-06-15,43.990002,44.130001,43.310001,43.330002,2417700,43.104437
2016-06-14,43.900002,44.310001,43.759998,43.91,3080700,43.681415
2016-06-13,43.689999,44.419998,43.639999,44.07,2502000,43.840582
2016-06-10,43.970001,44.16,43.599998,43.77,1932700,43.542145
2016-06-09,44.419998,44.57,44.240002,44.48,1867300,44.248448
2016-06-08,44.540001,44.82,44.43,44.52,1328300,44.28824
2016-06-07,44.57,44.91,44.450001,44.549999,1786400,44.318083
2016-06-06,44.349998,44.75,44.34,44.439999,1603700,44.208655
2016-06-03,44.400002,44.580002,44.009998,44.32,1684400,44.089281
2016-06-02,45.009998,45.130001,44.810001,44.970001,1945700,44.735899
2016-06-01,44.849998,45.23,44.57,45.130001,1577500,44.895066
2016-05-31,45.41,45.57,44.869999,45.169998,3512600,44.934854
2016-05-27,44.91,45.299999,44.59,45.200001,1551200,44.964701
2016-05-26,45.439999,45.439999,44.880001,45.029999,1483300,44.586678
2016-05-25,45.610001,45.889999,45.189999,45.450001,2055200,45.002545
2016-05-24,44.970001,45.66,44.849998,45.470001,1889200,45.022348
2016-05-23,44.990002,45.09,44.650002,44.68,1748700,44.240125
2016-05-20,44.419998,45.18,44.34,45.00,2734500,44.556974
2016-05-19,44.130001,44.220001,43.720001,44.049999,2201400,43.616326
2016-05-18,43.66,44.549999,43.66,44.400002,3113200,43.962883
2016-05-17,43.93,44.369999,43.560001,43.740002,2909100,43.309381
2016-05-16,44.380001,44.650002,44.240002,44.299999,1970900,43.863865
2016-05-13,44.57,44.799999,44.259998,44.439999,2916600,44.002486
2016-05-12,44.540001,44.709999,44.259998,44.50,2488500,44.061897
2016-05-11,44.669998,44.869999,44.259998,44.259998,1878700,43.824258
2016-05-10,44.439999,44.889999,44.32,44.740002,1838000,44.299536
2016-05-09,43.889999,44.290001,43.630001,44.169998,1964200,43.735144
2016-05-06,43.869999,44.07,43.459999,43.869999,2245900,43.438098
2016-05-05,43.970001,44.549999,43.959999,44.18,1861900,43.745047
2016-05-04,44.209999,44.57,43.919998,44.09,1656100,43.655933
2016-05-03,44.459999,44.82,44.220001,44.57,2201200,44.131207
2016-05-02,44.669998,45.09,44.459999,44.959999,2828600,44.517367
2016-04-29,43.25,44.459999,42.970001,44.380001,4388100,43.943079
2016-04-28,44.630001,44.669998,43.700001,43.759998,4829600,43.32918
2016-04-27,45.110001,45.27,44.93,44.990002,2127200,44.547074
2016-04-26,44.98,45.16,44.82,45.049999,1623400,44.606481
2016-04-25,44.950001,45.009998,44.310001,44.799999,2293700,44.358942
2016-04-22,44.900002,45.290001,44.860001,45.09,2779100,44.646088
2016-04-21,46.040001,46.09,44.759998,44.82,3818300,44.378746
2016-04-20,46.189999,46.689999,45.990002,46.560001,2191700,46.101617
2016-04-19,46.389999,46.52,45.98,46.080002,1956000,45.626343
2016-04-18,45.779999,46.200001,45.709999,46.09,1565100,45.636243
2016-04-15,45.900002,46.09,45.689999,45.919998,1775700,45.467915
2016-04-14,46.200001,46.509998,45.91,46.02,2254600,45.566933
2016-04-13,45.799999,46.23,45.529999,46.189999,2074100,45.735257
2016-04-12,45.009998,45.439999,44.639999,45.41,2370200,44.962938
2016-04-11,45.139999,45.68,44.75,44.84,3386300,44.39855
2016-04-08,45.50,45.619999,44.84,45.029999,2060300,44.586678
2016-04-07,45.610001,45.93,44.799999,45.119999,2230100,44.675792
2016-04-06,45.849998,46.25,45.59,46.110001,1895000,45.656047
2016-04-05,45.73,46.209999,45.689999,45.759998,1947300,45.30949
2016-04-04,46.75,46.869999,46.240002,46.32,2094700,45.863978
2016-04-01,45.849998,46.91,45.639999,46.799999,2439900,46.339252
2016-03-31,46.310001,46.400002,46.02,46.080002,3271100,45.626343
2016-03-30,46.419998,46.860001,46.07,46.310001,2296400,45.854079
2016-03-29,46.110001,46.18,45.630001,46.169998,2936400,45.715454
2016-03-28,45.709999,46.419998,45.599998,46.200001,2351800,45.745161
2016-03-24,45.439999,45.650002,45.119999,45.580002,3171600,45.131266
2016-03-23,45.82,46.009998,45.610001,45.860001,2590000,45.408508
2016-03-22,45.259998,46.009998,45.029999,45.799999,2399900,45.349097
2016-03-21,45.650002,45.939999,45.07,45.389999,2676700,44.943134
2016-03-18,46.23,46.43,45.470001,45.91,5347700,45.458015
2016-03-17,45.110001,46.290001,44.790001,46.130001,3041600,45.67585
2016-03-16,44.529999,45.240002,44.349998,45.09,2775400,44.646088
2016-03-15,44.310001,44.650002,44.130001,44.639999,1999600,44.200518
2016-03-14,44.439999,44.990002,43.57,44.650002,2887200,44.210421
2016-03-11,44.139999,44.740002,44.02,44.709999,2395100,44.269828
2016-03-10,43.299999,43.790001,42.77,43.639999,3158500,43.210363
2016-03-09,43.290001,43.52,42.799999,43.209999,2170100,42.784596
2016-03-08,43.310001,43.75,43.009998,43.259998,2773500,42.834103
2016-03-07,43.360001,44.080002,43.32,43.869999,2216300,43.438098
2016-03-04,43.48,44.139999,43.27,43.759998,2568400,43.32918
2016-03-03,43.400002,43.57,42.990002,43.380001,2812300,42.952924
2016-03-02,43.59,43.889999,43.360001,43.619999,2487600,42.982625
2016-03-01,42.50,43.650002,42.450001,43.59,2788100,42.953065
2016-02-29,42.68,42.82,42.110001,42.119999,2747500,41.504543
2016-02-26,43.060001,43.330002,42.59,42.830002,2384800,42.204172
2016-02-25,42.119999,42.73,41.959999,42.73,1790300,42.105631
2016-02-24,41.23,42.040001,40.98,41.900002,1678400,41.28776
2016-02-23,42.290001,42.400002,41.540001,41.720001,1784800,41.11039
2016-02-22,41.779999,42.52,41.779999,42.50,1892600,41.878992
2016-02-19,41.619999,41.900002,41.380001,41.779999,1864000,41.169511
2016-02-18,41.900002,41.990002,41.549999,41.77,1827400,41.159659
2016-02-17,41.630001,42.080002,41.540001,41.91,2726300,41.297613
2016-02-16,41.450001,41.57,40.630001,41.169998,2773700,40.568424
2016-02-12,39.439999,40.830002,39.34,40.790001,3049000,40.193979
2016-02-11,38.450001,39.02,38.380001,38.630001,3604200,38.065541
