Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,52.43,52.73,50.830002,51.00,2808300,51.00
2016-09-30,52.91,53.080002,51.959999,52.59,1746600,52.59
2016-09-29,52.560001,53.400002,52.259998,52.48,1780900,52.48
2016-09-28,52.200001,52.900002,51.970001,52.84,1103000,52.84
2016-09-27,51.720001,52.299999,51.560001,52.139999,1116500,52.139999
2016-09-26,52.049999,52.380001,51.580002,51.689999,1157900,51.689999
2016-09-23,51.68,52.549999,51.57,52.52,1659800,52.52
2016-09-22,52.779999,53.00,51.720001,51.950001,1710600,51.950001
2016-09-21,50.689999,54.119999,50.66,52.419998,9445800,52.419998
2016-09-20,52.18,52.32,50.360001,50.439999,1920000,50.439999
2016-09-19,52.060001,52.630001,51.450001,52.009998,1494500,52.009998
2016-09-16,51.060001,51.950001,50.98,51.700001,3121200,51.700001
2016-09-15,50.040001,51.82,50.040001,51.439999,1959400,51.439999
2016-09-14,51.240002,51.68,50.650002,50.869999,1469600,50.869999
2016-09-13,51.029999,52.099998,50.66,51.279999,2025400,51.279999
2016-09-12,49.509998,51.610001,49.110001,51.470001,2076700,51.470001
2016-09-09,52.080002,52.310001,50.560001,50.57,2603700,50.57
2016-09-08,52.700001,52.950001,51.650002,52.380001,1845000,52.030002
2016-09-07,52.540001,53.080002,52.299999,52.709999,2013200,52.357795
2016-09-06,53.330002,53.599998,52.360001,52.419998,2553800,52.069732
2016-09-02,53.169998,53.380001,52.759998,53.09,960700,52.735257
2016-09-01,52.880001,53.27,52.330002,52.889999,1110500,52.536593
2016-08-31,52.50,53.00,51.919998,52.700001,1424100,52.347864
2016-08-30,52.439999,53.279999,52.439999,52.75,1077400,52.397529
2016-08-29,51.400002,52.700001,50.959999,52.330002,1943500,51.980337
2016-08-26,53.529999,53.990002,52.41,52.57,1371500,52.218731
2016-08-25,53.389999,53.959999,53.09,53.240002,1053400,52.884256
2016-08-24,54.049999,54.43,53.18,53.380001,945400,53.02332
2016-08-23,54.200001,54.650002,53.84,54.040001,1558900,53.67891
2016-08-22,53.650002,54.139999,53.049999,53.93,1084600,53.569644
2016-08-19,53.220001,54.119999,52.880001,53.650002,1817000,53.291517
2016-08-18,54.540001,55.00,50.099998,53.540001,11641000,53.182251
2016-08-17,54.290001,54.75,53.959999,54.48,1843100,54.115969
2016-08-16,54.779999,55.310001,54.279999,54.290001,985100,53.92724
2016-08-15,53.900002,55.23,53.740002,55.150002,1664400,54.781494
2016-08-12,53.75,54.07,53.41,53.720001,1308500,53.361049
2016-08-11,53.57,54.130001,53.419998,53.779999,1095600,53.420645
2016-08-10,53.470001,53.77,53.139999,53.27,847000,52.914055
2016-08-09,53.900002,53.919998,53.290001,53.32,1002300,52.96372
2016-08-08,54.029999,54.580002,53.68,53.959999,1615000,53.599443
2016-08-05,53.23,54.330002,53.040001,53.490002,1878600,53.132586
2016-08-04,51.630001,53.540001,51.610001,53.130001,2097600,52.774991
2016-08-03,51.580002,52.02,51.099998,51.630001,1586500,51.285014
2016-08-02,51.709999,51.709999,50.919998,51.459999,1775000,51.116148
2016-08-01,52.799999,53.23,51.610001,51.66,3531600,51.314812
2016-07-29,50.00,57.330002,49.130001,52.919998,11220500,52.566391
2016-07-28,48.490002,51.43,47.630001,51.009998,5061400,50.669154
2016-07-27,50.380001,51.110001,50.07,50.580002,3487100,50.24203
2016-07-26,50.18,50.450001,49.799999,50.240002,1574000,49.904302
2016-07-25,50.110001,50.360001,49.849998,49.990002,1448000,49.655973
2016-07-22,50.32,50.459999,49.689999,50.119999,1857000,49.785101
2016-07-21,49.450001,50.77,49.330002,50.169998,3638000,49.834766
2016-07-20,47.380001,49.400002,47.029999,49.349998,2708000,49.020246
2016-07-19,48.470001,48.650002,48.049999,48.259998,1014800,47.937529
2016-07-18,48.349998,49.00,48.25,48.740002,1718900,48.414325
2016-07-15,48.43,48.43,47.799999,48.099998,2371000,47.778598
2016-07-14,48.799999,49.009998,47.830002,48.540001,1982300,48.215661
2016-07-13,49.580002,49.639999,48.720001,48.91,1919300,48.583187
2016-07-12,49.25,50.43,49.169998,49.619999,3673500,49.288442
2016-07-11,48.650002,49.009998,48.540001,48.650002,1799900,48.324926
2016-07-08,47.990002,49.369999,47.990002,48.73,2700300,48.40439
2016-07-07,47.509998,48.400002,47.389999,47.82,2134300,47.50047
2016-07-06,47.599998,47.889999,46.41,47.490002,8283300,47.172677
2016-07-05,49.66,50.66,47.490002,48.369999,12343500,48.046795
2016-07-01,45.41,54.77,45.34,54.25,23131700,53.887506
2016-06-30,44.400002,45.32,43.959999,45.299999,2150000,44.997308
2016-06-29,43.41,44.48,43.130001,44.330002,2068500,44.033792
2016-06-28,42.880001,43.139999,42.330002,42.900002,2455100,42.613347
2016-06-27,43.00,43.00,41.630001,42.389999,3428900,42.106753
2016-06-24,44.919998,45.639999,43.52,43.549999,4654700,43.259002
2016-06-23,46.82,47.029999,46.450001,46.860001,1350000,46.546886
2016-06-22,45.50,46.349998,45.099998,46.139999,2095700,45.831696
2016-06-21,46.200001,46.34,45.860001,46.16,1347900,45.851562
