Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,22.59,22.834999,22.549999,22.65,11685200,22.65
2016-09-30,23.08,23.290001,22.59,22.75,16210100,22.75
2016-09-29,22.959999,23.309999,22.875,22.90,9053500,22.90
2016-09-28,23.00,23.190001,22.82,23.040001,7072600,23.040001
2016-09-27,22.690001,23.025,22.561001,22.92,13124800,22.92
2016-09-26,22.860001,22.965,22.639999,22.790001,8107100,22.790001
2016-09-23,23.129999,23.264999,22.91,22.98,7247100,22.98
2016-09-22,23.139999,23.530001,23.139999,23.24,10239200,23.24
2016-09-21,22.60,23.120001,22.57,23.120001,10676100,23.120001
2016-09-20,22.754999,22.945,22.620001,22.620001,9668400,22.620001
2016-09-19,22.370001,23.00,22.360001,22.68,12007900,22.68
2016-09-16,22.07,22.32,21.959999,22.26,16349100,22.26
2016-09-15,21.32,22.139999,21.290001,22.129999,12893200,22.129999
2016-09-14,21.129999,21.415001,21.09,21.360001,10976800,21.360001
2016-09-13,21.10,21.370001,21.049999,21.16,12002500,21.16
2016-09-12,20.719999,21.415001,20.629999,21.290001,12750200,21.290001
2016-09-09,21.15,21.469999,20.92,20.92,15765000,20.92
2016-09-08,22.00,22.200001,21.32,21.379999,29248100,21.379999
2016-09-07,22.01,22.32,21.51,22.09,20543800,22.09
2016-09-06,22.18,22.18,21.75,21.860001,8539800,21.860001
2016-09-02,22.17,22.299999,21.940001,22.209999,6567500,22.209999
2016-09-01,21.43,22.32,21.08,22.16,18914000,22.16
2016-08-31,21.540001,21.68,21.16,21.48,9559800,21.48
2016-08-30,21.84,21.959999,21.450001,21.58,9164000,21.58
2016-08-29,21.76,22.129999,21.73,21.84,5890900,21.84
2016-08-26,21.90,22.09,21.610001,21.780001,5290400,21.780001
2016-08-25,21.629999,21.934999,21.450001,21.84,7169400,21.84
2016-08-24,21.92,22.049999,21.67,21.690001,4513200,21.690001
2016-08-23,22.030001,22.07,21.875,21.93,7915500,21.93
2016-08-22,21.82,21.975,21.629999,21.940001,4439600,21.940001
2016-08-19,21.780001,21.959999,21.74,21.879999,6041300,21.879999
2016-08-18,21.540001,21.889999,21.540001,21.860001,6718100,21.860001
2016-08-17,22.059999,22.190001,21.48,21.639999,9769600,21.639999
2016-08-16,21.90,22.17,21.809999,22.065001,6101600,22.065001
2016-08-15,21.93,22.190001,21.90,22.01,7158500,22.01
2016-08-12,21.68,21.959999,21.495001,21.889999,10561300,21.889999
2016-08-11,21.59,21.860001,21.52,21.780001,7576600,21.780001
2016-08-10,21.73,21.75,21.43,21.549999,5689400,21.549999
2016-08-09,21.73,21.860001,21.620001,21.700001,8058600,21.700001
2016-08-08,22.00,22.17,21.58,21.65,7776200,21.65
2016-08-05,21.84,22.200001,21.77,21.91,9491100,21.91
2016-08-04,21.48,21.92,21.459999,21.76,8926500,21.76
2016-08-03,20.77,21.52,20.68,21.51,13898100,21.51
2016-08-02,21.030001,21.10,20.645,20.77,11025700,20.77
2016-08-01,21.139999,21.59,20.629999,21.08,13895700,21.08
2016-07-29,20.32,21.90,20.10,21.02,31460900,21.02
2016-07-28,20.299999,20.43,20.15,20.309999,4357500,20.309999
2016-07-27,20.50,20.665001,20.257999,20.35,6553300,20.35
2016-07-26,20.190001,20.459999,20.145,20.450001,7947600,20.450001
2016-07-25,20.35,20.49,20.190001,20.209999,9714900,20.209999
2016-07-22,19.82,20.049999,19.74,20.049999,8366500,20.049999
2016-07-21,20.030001,20.16,19.705,19.75,9055400,19.75
2016-07-20,19.799999,20.08,19.725,20.059999,5314000,20.059999
2016-07-19,19.690001,19.940001,19.68,19.790001,5534700,19.790001
2016-07-18,19.719999,19.98,19.65,19.790001,5880900,19.790001
2016-07-15,20.08,20.17,19.690001,19.77,8745500,19.77
2016-07-14,19.620001,20.166,19.620001,19.99,14920200,19.99
2016-07-13,19.690001,19.76,19.299999,19.50,6867600,19.50
