Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,15.46,15.69,15.46,15.65,7276500,15.65
2016-09-30,15.47,15.73,15.44,15.53,11457300,15.53
2016-09-29,15.46,15.60,15.33,15.39,9794700,15.39
2016-09-28,15.40,15.49,15.17,15.49,9742200,15.49
2016-09-27,15.00,15.37,14.95,15.34,9061300,15.34
2016-09-26,15.00,15.12,14.93,15.02,7484500,15.02
2016-09-23,15.10,15.19,15.03,15.09,8102200,15.09
2016-09-22,14.98,15.17,14.93,15.12,9938700,15.12
2016-09-21,14.63,15.00,14.62,14.99,13734100,14.99
2016-09-20,14.64,14.67,14.52,14.54,8222200,14.54
2016-09-19,14.58,14.74,14.54,14.56,7980900,14.56
2016-09-16,14.74,14.80,14.49,14.53,18459500,14.53
2016-09-15,14.19,14.60,14.14,14.50,11822000,14.50
2016-09-14,14.18,14.35,14.09,14.27,8594800,14.27
2016-09-13,14.35,14.44,14.06,14.18,15057500,14.18
2016-09-12,13.85,14.57,13.78,14.49,15824300,14.49
2016-09-09,14.52,14.53,14.07,14.07,16645900,13.946
2016-09-08,14.60,14.69,14.55,14.63,10292000,14.501065
2016-09-07,14.63,14.75,14.51,14.69,6809000,14.560535
2016-09-06,14.54,14.67,14.53,14.63,7582500,14.501065
2016-09-02,14.61,14.70,14.45,14.49,8327200,14.362298
2016-09-01,14.39,14.50,14.28,14.50,10854000,14.37221
2016-08-31,14.34,14.42,14.21,14.37,11282700,14.243356
2016-08-30,14.43,14.46,14.28,14.38,10540800,14.253268
2016-08-29,14.41,14.58,14.39,14.43,8023600,14.302828
2016-08-26,14.37,14.69,14.37,14.39,15567800,14.26318
2016-08-25,13.64,14.48,13.55,14.37,36143400,14.243356
2016-08-24,14.67,14.73,14.39,14.40,19757300,14.273091
2016-08-23,14.43,14.65,14.43,14.57,14074900,14.441593
2016-08-22,14.36,14.39,14.26,14.37,13103100,14.243356
2016-08-19,14.46,14.51,14.39,14.42,9503700,14.292915
2016-08-18,14.52,14.60,14.46,14.51,9054600,14.382122
2016-08-17,14.40,14.51,14.33,14.50,10371400,14.37221
2016-08-16,14.46,14.52,14.38,14.41,9366400,14.283003
2016-08-15,14.31,14.59,14.31,14.52,12748600,14.392034
2016-08-12,14.29,14.38,14.25,14.28,9991300,14.154149
2016-08-11,14.20,14.33,14.15,14.30,8173800,14.173973
2016-08-10,14.28,14.30,14.14,14.19,11868700,14.064942
2016-08-09,14.29,14.34,14.24,14.25,12412400,14.124414
2016-08-08,14.30,14.34,14.20,14.26,11586400,14.134326
2016-08-05,14.24,14.36,14.19,14.28,10185600,14.154149
2016-08-04,14.33,14.38,14.10,14.15,14859900,14.025294
2016-08-03,14.05,14.35,14.04,14.31,10143200,14.183885
2016-08-02,13.92,14.18,13.85,14.06,10680600,13.936088
2016-08-01,14.06,14.24,14.02,14.18,13847600,14.055031
2016-07-29,13.91,14.13,13.79,14.01,15759100,13.886529
2016-07-28,13.95,13.98,13.82,13.94,16140900,13.817145
2016-07-27,14.26,14.26,13.90,13.99,17620300,13.866705
2016-07-26,14.16,14.27,14.12,14.18,9362900,14.055031
2016-07-25,14.10,14.20,14.09,14.16,6971300,14.035207
2016-07-22,14.01,14.14,13.91,14.11,10287300,13.985647
