Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,15.50,15.66,15.39,15.58,7361600,15.58
2016-09-30,15.78,15.87,15.55,15.57,13911500,15.57
2016-09-29,15.56,15.89,15.43,15.65,11941500,15.65
2016-09-28,15.54,15.74,15.46,15.60,10152500,15.60
2016-09-27,15.99,16.00,15.72,15.74,8724900,15.54
2016-09-26,16.200001,16.25,16.01,16.01,8064400,15.80657
2016-09-23,16.280001,16.40,16.190001,16.25,7430300,16.04352
2016-09-22,16.15,16.40,16.030001,16.309999,8204500,16.102757
2016-09-21,16.059999,16.129999,15.70,15.98,15728000,15.77695
2016-09-20,16.16,16.16,16.00,16.030001,7068700,15.826316
2016-09-19,16.049999,16.200001,15.88,16.02,8139600,15.816443
2016-09-16,16.040001,16.10,15.77,16.00,13412700,15.796697
2016-09-15,16.110001,16.299999,16.01,16.10,7096500,15.895426
2016-09-14,16.049999,16.35,15.97,16.18,14535300,15.97441
2016-09-13,16.040001,16.18,15.84,16.02,13111700,15.816443
2016-09-12,16.09,16.360001,16.07,16.190001,12503800,15.984283
2016-09-09,16.68,16.690001,16.18,16.200001,12837500,15.994156
2016-09-08,16.99,17.02,16.790001,16.809999,12824400,16.596404
2016-09-07,17.02,17.16,16.76,17.059999,16419500,16.843227
2016-09-06,17.43,17.530001,17.01,17.07,11537600,16.8531
2016-09-02,17.639999,17.82,17.34,17.41,7009000,17.18878
2016-09-01,17.879999,17.879999,17.299999,17.57,10995600,17.346747
2016-08-31,18.059999,18.209999,17.65,17.82,11878100,17.593571
2016-08-30,18.07,18.10,17.790001,18.09,4619400,17.86014
2016-08-29,18.040001,18.23,17.969999,18.01,5060100,17.781157
2016-08-26,18.27,18.32,17.84,17.959999,8149400,17.731791
2016-08-25,18.190001,18.290001,18.110001,18.139999,5505300,17.909504
2016-08-24,18.34,18.41,18.129999,18.27,6411900,18.037853
2016-08-23,18.49,18.559999,18.290001,18.309999,6566900,18.077344
2016-08-22,18.190001,18.370001,18.139999,18.370001,4998900,18.136583
2016-08-19,18.01,18.209999,17.950001,18.200001,5832200,17.968743
2016-08-18,17.91,18.120001,17.91,18.10,8524300,17.870013
2016-08-17,18.17,18.17,17.58,17.93,7786300,17.702173
2016-08-16,18.10,18.25,17.99,18.15,5681600,17.919377
2016-08-15,18.040001,18.24,17.99,18.18,4580500,17.948997
2016-08-12,17.85,18.129999,17.809999,18.02,5260100,17.79103
2016-08-11,18.25,18.33,17.90,17.99,7495700,17.761411
2016-08-10,18.24,18.35,18.07,18.200001,9872200,17.968743
2016-08-09,18.25,18.32,18.030001,18.18,10432900,17.948997
2016-08-08,17.91,18.280001,17.85,18.24,11280900,18.008234
2016-08-05,17.50,17.93,17.41,17.84,6868300,17.613317
2016-08-04,17.540001,17.68,17.24,17.379999,7311300,17.159161
2016-08-03,17.440001,17.700001,17.32,17.549999,6686400,17.327001
2016-08-02,17.889999,17.99,17.42,17.440001,9901400,17.2184
2016-08-01,17.65,17.92,17.610001,17.889999,9116400,17.662681
2016-07-29,17.25,17.84,17.17,17.74,17298100,17.514587
2016-07-28,17.15,17.559999,16.969999,17.280001,11305700,17.060433
2016-07-27,17.459999,17.459999,16.91,17.139999,18265200,16.922211
2016-07-26,17.879999,17.950001,17.290001,17.60,13128200,17.376367
2016-07-25,17.940001,18.17,17.790001,17.959999,10795500,17.731791
2016-07-22,17.530001,17.99,17.450001,17.91,17487400,17.682427
2016-07-21,17.10,17.690001,17.01,17.51,13577900,17.28751
2016-07-20,17.23,17.290001,16.99,17.120001,11199500,16.902466
2016-07-19,16.969999,17.27,16.76,17.25,9508300,17.030814
2016-07-18,16.969999,17.200001,16.93,17.09,8023100,16.872847
2016-07-15,16.77,17.01,16.48,16.98,8776700,16.764244
2016-07-14,16.58,16.809999,16.42,16.709999,10338500,16.497674
2016-07-13,16.91,16.959999,16.219999,16.48,15258800,16.270597
2016-07-12,17.209999,17.299999,16.969999,17.16,9559600,16.941957
2016-07-11,16.90,17.18,16.809999,16.99,7672000,16.774117
2016-07-08,16.639999,17.01,16.58,16.76,9307300,16.54704
2016-07-07,16.309999,16.969999,16.25,16.41,8267800,16.201487
2016-07-06,15.98,16.27,15.79,16.26,7110700,16.053393
2016-07-05,16.309999,16.360001,15.93,16.09,6812700,15.885553
2016-07-01,16.280001,16.549999,16.219999,16.450001,6167100,16.24098
2016-06-30,16.059999,16.209999,15.79,16.209999,10087600,16.004027
2016-06-29,15.33,16.120001,15.24,16.049999,15163500,15.846061
2016-06-28,14.85,15.39,14.85,15.15,11770600,14.957497
2016-06-27,15.52,15.54,14.77,14.79,16062500,14.404612
2016-06-24,16.42,16.469999,15.70,15.70,19918800,15.2909
2016-06-23,16.99,17.120001,16.84,16.950001,7334400,16.508329
2016-06-22,16.690001,16.90,16.57,16.799999,8352000,16.362237
2016-06-21,16.58,16.76,16.450001,16.65,9840500,16.216146
2016-06-20,16.58,16.85,16.51,16.549999,9176400,16.118751
2016-06-17,15.95,16.49,15.95,16.440001,21600200,16.011618
2016-06-16,15.88,16.059999,15.67,16.040001,9284100,15.622042
2016-06-15,15.53,16.27,15.49,15.98,10308600,15.563604
2016-06-14,15.35,15.60,15.32,15.54,8465300,15.135069
2016-06-13,15.40,15.68,15.36,15.38,5847700,14.979239
2016-06-10,15.43,15.51,15.31,15.40,6432400,14.998717
2016-06-09,15.64,15.74,15.51,15.59,5943400,15.183767
2016-06-08,15.75,15.83,15.55,15.69,9308300,15.281161
2016-06-07,15.68,15.95,15.66,15.74,7618100,15.329858
2016-06-06,15.69,16.48,15.50,15.68,7827100,15.271422
2016-06-03,15.72,15.93,15.37,15.65,9276300,15.242203
2016-06-02,15.37,16.01,15.30,15.77,13732000,15.359077
2016-06-01,15.28,15.48,15.26,15.44,6759000,15.037675
2016-05-31,15.29,15.49,15.16,15.40,7987000,14.998717
2016-05-27,15.21,15.43,15.15,15.30,4546600,14.901323
2016-05-26,15.34,15.38,15.12,15.20,6489000,14.803929
2016-05-25,15.10,15.51,14.99,15.35,12336400,14.950021
2016-05-24,14.91,15.13,14.82,15.07,11310900,14.677316
2016-05-23,14.61,14.82,14.51,14.78,8153300,14.394873
2016-05-20,14.72,14.81,14.43,14.58,7921100,14.200084
2016-05-19,14.84,14.88,14.30,14.66,17185500,14.278
2016-05-18,15.57,15.57,14.81,15.00,18472600,14.60914
2016-05-17,15.58,15.79,15.44,15.49,10817700,15.086372
2016-05-16,15.63,15.79,15.60,15.63,6985300,15.222724
2016-05-13,15.87,15.94,15.56,15.61,7811400,15.203245
2016-05-12,16.139999,16.280001,15.69,15.89,9750500,15.47595
2016-05-11,16.65,16.690001,15.98,16.07,10739300,15.651259
2016-05-10,16.530001,16.719999,16.50,16.67,5775800,16.235625
2016-05-09,16.389999,16.52,16.27,16.41,5451600,15.9824
2016-05-06,16.139999,16.42,16.10,16.360001,7615500,15.933703
2016-05-05,16.16,16.379999,16.040001,16.18,6031800,15.758393
2016-05-04,15.94,16.27,15.93,16.16,8367500,15.738914
2016-05-03,15.83,16.129999,15.76,16.110001,9678300,15.690217
2016-05-02,15.90,16.139999,15.82,16.01,8380400,15.592823
2016-04-29,15.37,16.10,15.14,15.82,11999000,15.407773
2016-04-28,15.77,16.15,15.75,15.82,15191100,15.407773
2016-04-27,15.47,15.98,15.42,15.94,11896300,15.524646
2016-04-26,15.33,15.64,15.28,15.51,10353900,15.105851
2016-04-25,15.25,15.40,15.17,15.27,10830100,14.872105
2016-04-22,15.66,15.81,15.00,15.34,19606300,14.940281
2016-04-21,15.45,15.86,15.45,15.59,13442300,15.183767
2016-04-20,15.85,15.91,15.53,15.54,9957500,15.135069
2016-04-19,15.96,16.01,15.74,15.86,7523800,15.446731
2016-04-18,16.08,16.139999,15.82,15.86,8361400,15.446731
2016-04-15,16.10,16.379999,16.09,16.209999,7311300,15.78761
2016-04-14,16.129999,16.290001,16.040001,16.09,9574100,15.670738
2016-04-13,15.98,16.120001,15.87,16.10,6260600,15.680478
2016-04-12,15.63,15.89,15.55,15.86,7524700,15.446731
2016-04-11,15.39,15.73,15.34,15.53,7662000,15.12533
2016-04-08,15.38,15.67,15.25,15.26,7815900,14.862366
2016-04-07,15.38,15.47,15.15,15.29,9886800,14.891584
2016-04-06,15.38,15.58,15.19,15.48,10167500,15.076633
2016-04-05,15.55,15.58,15.20,15.44,14426400,15.037675
2016-04-04,16.00,16.040001,15.59,15.68,11262300,15.271422
2016-04-01,16.469999,16.469999,16.00,16.059999,11392800,15.641519
2016-03-31,16.450001,16.73,16.360001,16.700001,8362200,16.264844
2016-03-30,16.549999,16.77,16.450001,16.459999,5843800,16.031096
2016-03-29,16.200001,16.540001,15.95,16.459999,7475400,16.031096
2016-03-28,16.219999,16.440001,16.02,16.34,5753900,15.719435
2016-03-24,16.07,16.25,15.77,16.18,7300600,15.565512
2016-03-23,16.48,16.51,16.01,16.18,11951700,15.565512
2016-03-22,16.73,16.77,16.34,16.48,11057200,15.854117
2016-03-21,16.99,17.26,16.67,16.82,8196800,16.181205
2016-03-18,16.809999,17.08,16.76,16.969999,19795700,16.325508
2016-03-17,16.98,16.98,16.120001,16.75,14295600,16.113864
2016-03-16,16.450001,16.969999,16.450001,16.91,9350400,16.267787
2016-03-15,16.65,16.73,16.370001,16.559999,7031800,15.931079
2016-03-14,16.799999,17.17,16.65,16.870001,15992700,16.229307
2016-03-11,16.290001,16.67,16.17,16.629999,9953200,15.99842
2016-03-10,16.32,16.50,15.73,16.049999,10025400,15.440448
2016-03-09,16.32,16.370001,15.99,16.17,9644100,15.555891
2016-03-08,16.73,16.84,16.219999,16.27,10673800,15.652094
2016-03-07,16.389999,16.85,16.299999,16.84,9775700,16.200446
2016-03-04,16.18,16.58,16.129999,16.49,7293200,15.863738
2016-03-03,15.99,16.23,15.95,16.110001,11328900,15.49817
2016-03-02,15.82,16.00,15.78,15.95,8003400,15.344246
2016-03-01,15.48,15.88,15.46,15.85,9658500,15.248044
2016-02-29,15.42,15.54,15.24,15.31,8786800,14.728553
2016-02-26,15.54,15.74,15.34,15.39,9182900,14.805514
2016-02-25,15.14,15.51,14.99,15.51,7223100,14.920957
2016-02-24,14.86,15.12,14.64,15.05,7536800,14.478427
2016-02-23,15.23,15.46,14.93,14.96,7504700,14.391845
2016-02-22,15.21,15.59,15.14,15.32,8763800,14.738172
