Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,37.509998,37.509998,36.48,36.52,1331400,36.52
2016-09-30,37.880001,38.009998,37.52,37.529999,1322200,37.529999
2016-09-29,38.23,38.23,37.540001,37.75,1148700,37.75
2016-09-28,38.07,38.470001,37.779999,38.439999,1390900,38.439999
2016-09-27,37.900002,38.16,37.709999,37.959999,1200900,37.959999
2016-09-26,37.599998,38.040001,37.400002,37.860001,1058300,37.860001
2016-09-23,37.389999,37.82,37.099998,37.650002,989700,37.650002
2016-09-22,37.189999,37.59,37.189999,37.419998,1227000,37.419998
2016-09-21,36.68,36.98,36.049999,36.919998,1191600,36.919998
2016-09-20,36.689999,36.939999,36.59,36.599998,1387100,36.599998
2016-09-19,36.029999,36.52,35.919998,36.490002,1181500,36.490002
2016-09-16,35.779999,36.09,35.650002,35.82,5534800,35.82
2016-09-15,35.560001,36.200001,35.419998,36.049999,2183100,36.049999
2016-09-14,36.09,36.369999,35.52,35.630001,1918300,35.630001
2016-09-13,36.560001,36.560001,35.950001,36.009998,1948000,36.009998
2016-09-12,36.32,36.970001,36.25,36.77,2048200,36.77
2016-09-09,37.880001,37.889999,36.41,36.41,2250200,36.41
2016-09-08,39.02,39.040001,38.209999,38.279999,3019600,38.279999
2016-09-07,39.59,39.75,39.310001,39.619999,1415100,39.134998
2016-09-06,38.889999,39.599998,38.860001,39.580002,1587200,39.095491
2016-09-02,38.700001,39.459999,38.59,38.790001,1247200,38.315161
2016-09-01,38.48,38.709999,38.299999,38.549999,2144400,38.078097
2016-08-31,38.330002,38.52,38.049999,38.41,2909200,37.939811
2016-08-30,38.450001,38.52,38.279999,38.400002,1422200,37.929935
2016-08-29,38.330002,38.630001,38.259998,38.459999,1130300,37.989199
2016-08-26,38.43,38.959999,37.990002,38.25,2749400,37.78177
2016-08-25,38.02,38.509998,38.02,38.389999,1490900,37.920056
2016-08-24,38.02,38.080002,37.720001,38.00,1270300,37.53483
2016-08-23,38.07,38.23,37.919998,38.110001,1313800,37.643485
2016-08-22,37.689999,37.959999,37.27,37.939999,1289100,37.475564
2016-08-19,37.459999,37.709999,37.41,37.669998,1897400,37.208868
2016-08-18,36.869999,37.439999,36.869999,37.43,1346800,36.971808
2016-08-17,37.029999,37.169998,36.57,36.959999,1485500,36.507561
2016-08-16,37.060001,37.130001,36.82,36.869999,1124600,36.418662
2016-08-15,37.16,37.389999,37.040001,37.09,1242700,36.63597
2016-08-12,37.040001,37.580002,37.040001,37.16,1280900,36.705113
2016-08-11,36.77,37.080002,36.48,37.040001,2339300,36.586583
2016-08-10,36.860001,37.240002,36.540001,36.700001,2016900,36.250745
2016-08-09,36.84,36.849998,36.380001,36.77,2020800,36.319888
2016-08-08,37.790001,37.790001,36.650002,36.790001,2595800,36.339643
2016-08-05,38.07,38.16,37.130001,37.779999,3741800,37.317522
2016-08-04,40.209999,40.330002,37.759998,37.950001,3371400,37.485443
2016-08-03,40.50,40.540001,39.93,40.240002,1995700,39.747412
2016-08-02,40.889999,41.23,40.259998,40.48,1097900,39.984472
2016-08-01,41.23,41.50,40.919998,41.02,1267600,40.517862
2016-07-29,41.150002,41.439999,40.990002,41.209999,3015900,40.705535
2016-07-28,40.869999,41.299999,40.509998,41.240002,974400,40.73517
2016-07-27,41.130001,41.240002,40.68,41.00,1087300,40.498107
2016-07-26,41.130001,41.290001,40.91,41.25,1355500,40.745046
2016-07-25,41.009998,41.139999,40.73,41.110001,1288700,40.606761
2016-07-22,40.330002,41.18,40.25,41.060001,1135300,40.557373
2016-07-21,40.09,40.279999,39.990002,40.27,579000,39.777043
2016-07-20,40.029999,40.189999,39.959999,40.189999,903500,39.698021
2016-07-19,39.68,40.09,39.529999,39.990002,2199700,39.500472
2016-07-18,39.919998,39.939999,39.669998,39.709999,737400,39.223897
2016-07-15,40.220001,40.290001,39.549999,39.84,1887900,39.352307
2016-07-14,40.77,41.060001,40.209999,40.259998,1123800,39.767163
2016-07-13,41.080002,41.18,40.369999,40.52,1246800,40.023983
2016-07-12,40.50,41.040001,40.310001,40.959999,1474200,40.458595
2016-07-11,40.00,40.330002,39.860001,40.310001,1091400,39.816554
2016-07-08,39.599998,40.09,39.25,39.849998,3934100,39.362183
2016-07-07,40.02,40.07,39.23,39.279999,1543800,38.79916
2016-07-06,40.32,40.610001,39.689999,40.00,2164300,39.510348
2016-07-05,39.91,40.560001,39.91,40.439999,1821600,39.94496
2016-07-01,39.919998,40.00,39.720001,39.939999,1795900,39.451081
2016-06-30,39.549999,39.84,39.34,39.830002,1802300,39.342431
2016-06-29,38.759998,39.610001,38.759998,39.549999,1933300,39.065856
2016-06-28,38.240002,38.720001,38.18,38.57,1862000,38.097853
2016-06-27,37.599998,38.049999,37.279999,37.98,1735000,37.515075
2016-06-24,37.360001,37.939999,37.360001,37.73,4617100,37.268135
2016-06-23,38.549999,38.740002,38.450001,38.599998,874000,38.127484
2016-06-22,38.200001,38.41,38.169998,38.27,990000,37.801526
2016-06-21,38.259998,38.400002,38.049999,38.23,1070900,37.762014
2016-06-20,38.25,38.490002,38.060001,38.110001,1232900,37.643485
2016-06-17,38.25,38.41,37.91,38.25,1810600,37.78177
2016-06-16,38.360001,38.470001,38.040001,38.349998,1562800,37.880544
2016-06-15,38.060001,38.599998,37.93,38.560001,2233600,38.087977
2016-06-14,37.790001,38.23,37.580002,38.040001,2581000,37.574342
2016-06-13,37.220001,38.139999,37.150002,37.939999,3079000,37.475564
2016-06-10,36.880001,37.27,36.720001,37.189999,2448300,36.734745
2016-06-09,36.98,37.150002,36.669998,37.110001,1563800,36.655726
2016-06-08,36.689999,37.09,36.630001,37.029999,2123000,36.576703
2016-06-07,36.66,36.849998,36.599998,36.700001,2020100,36.250745
2016-06-06,36.779999,36.900002,36.400002,36.43,2424200,35.98405
2016-06-03,36.810001,37.080002,36.43,36.709999,2229400,36.260621
2016-06-02,36.119999,36.650002,36.099998,36.619999,2141200,36.171722
2016-06-01,36.549999,36.84,36.459999,36.650002,2354800,35.722295
2016-05-31,36.799999,36.889999,36.349998,36.740002,5351900,35.810017
2016-05-27,36.82,37.310001,36.540001,36.799999,3479900,35.868495
2016-05-26,36.650002,37.00,36.650002,36.82,1600800,35.88799
2016-05-25,36.790001,36.880001,36.41,36.549999,1198800,35.624824
2016-05-24,36.220001,36.73,36.099998,36.619999,1859100,35.693051
2016-05-23,36.16,36.200001,35.709999,36.00,1713200,35.088746
2016-05-20,36.540001,36.669998,36.029999,36.189999,1968700,35.273936
2016-05-19,36.32,36.50,35.759998,36.330002,2543000,35.410395
