Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,119.370003,120.940002,119.120003,119.889999,1578900,119.889999
2016-09-30,119.830002,120.739998,119.279999,119.839996,1962300,119.839996
2016-09-29,119.57,120.529999,118.989998,119.040001,1515100,119.040001
2016-09-28,118.730003,120.07,118.540001,120.010002,1473100,120.010002
2016-09-27,117.690002,119.459999,117.290001,119.00,1582200,118.350002
2016-09-26,117.540001,118.629997,117.00,117.730003,1134000,117.086942
2016-09-23,119.349998,119.43,117.699997,117.809998,1112800,117.166499
2016-09-22,120.110001,120.559998,119.620003,119.690002,998200,119.036235
2016-09-21,118.800003,119.209999,117.779999,119.059998,1537700,118.409672
2016-09-20,117.910004,118.949997,117.800003,118.400002,1731900,117.753281
2016-09-19,117.00,117.980003,116.709999,117.160004,999200,116.520056
2016-09-16,116.940002,116.970001,115.82,116.190002,1743800,115.555353
2016-09-15,116.07,117.639999,115.830002,117.349998,974100,116.709013
2016-09-14,115.720001,116.510002,115.519997,116.120003,1591900,115.485736
2016-09-13,116.790001,117.389999,115.449997,115.690002,2287200,115.058084
2016-09-12,115.139999,118.040001,114.910004,117.760002,1542400,117.116777
2016-09-09,118.089996,118.32,115.779999,115.779999,1800400,115.147589
2016-09-08,119.160004,119.889999,118.919998,119.019997,1268300,118.369889
2016-09-07,119.50,119.769997,119.040001,119.660004,1062000,119.0064
2016-09-06,121.029999,121.309998,119.07,119.82,2116900,119.165523
2016-09-02,123.50,123.50,119.949997,121.120003,1519400,120.458425
2016-09-01,118.860001,119.650002,118.040001,119.639999,1427200,118.986505
2016-08-31,119.940002,119.980003,118.75,118.849998,1604700,118.20082
2016-08-30,120.480003,120.480003,119.870003,120.169998,1162400,119.513609
2016-08-29,119.709999,120.669998,119.580002,120.489998,1057700,119.831861
2016-08-26,119.639999,120.779999,119.07,119.629997,1347500,118.976558
2016-08-25,119.120003,119.720001,118.860001,119.400002,1172000,118.747818
2016-08-24,119.720001,119.949997,119.25,119.529999,1217900,118.877106
2016-08-23,119.75,120.50,119.690002,119.779999,1226200,119.12574
2016-08-22,119.220001,119.790001,119.00,119.75,994000,119.095905
2016-08-19,118.68,119.839996,118.25,119.639999,1314800,118.986505
2016-08-18,118.800003,118.989998,118.389999,118.980003,938900,118.330114
2016-08-17,118.260002,119.07,118.00,118.989998,1096200,118.340054
2016-08-16,118.959999,119.139999,118.330002,118.360001,927200,117.713498
2016-08-15,118.849998,119.839996,118.849998,119.279999,967600,118.628471
2016-08-12,118.849998,119.190002,118.309998,118.889999,866300,118.240602
2016-08-11,117.910004,119.080002,117.800003,118.879997,1002200,118.230655
2016-08-10,118.379997,118.379997,117.269997,117.800003,1144000,117.156559
2016-08-09,117.57,118.080002,117.32,118.080002,1416900,117.435029
2016-08-08,117.18,117.660004,116.870003,117.459999,1626800,116.818413
2016-08-05,116.089996,116.870003,115.800003,116.839996,1077200,116.201796
2016-08-04,114.989998,116.410004,114.610001,115.639999,1112900,115.008354
2016-08-03,115.410004,115.410004,114.650002,115.150002,925800,114.521033
2016-08-02,115.410004,115.959999,113.989998,115.080002,1848600,114.451415
2016-08-01,114.919998,115.860001,114.309998,115.440002,1302700,114.80945
2016-07-29,115.32,115.739998,114.559998,115.400002,856400,114.769667
2016-07-28,115.470001,115.730003,114.269997,115.360001,988600,114.729885
2016-07-27,115.970001,116.32,114.75,115.75,1197200,115.117754
2016-07-26,114.970001,115.980003,114.50,115.900002,1316900,115.266936
2016-07-25,114.580002,114.830002,114.059998,114.809998,993500,114.182886
2016-07-22,114.029999,114.660004,113.730003,114.580002,1420000,113.954146
2016-07-21,114.160004,115.019997,113.690002,114.00,2244300,113.377313
2016-07-20,112.50,114.519997,112.160004,114.220001,2947000,113.596112
2016-07-19,110.190002,111.160004,109.860001,111.110001,1290700,110.503099
2016-07-18,111.110001,111.279999,110.279999,110.660004,919900,110.05556
2016-07-15,111.470001,111.559998,110.760002,111.220001,1230300,110.612499
2016-07-14,111.449997,111.779999,111.019997,111.050003,1321300,110.443429
2016-07-13,110.529999,110.779999,109.400002,110.589996,1708400,109.985935
2016-07-12,109.769997,110.160004,109.290001,110.019997,1289500,109.419049
2016-07-11,108.779999,109.440002,108.57,109.010002,1098900,108.414571
2016-07-08,106.809998,108.489998,106.690002,108.360001,1630400,107.76812
2016-07-07,105.360001,106.300003,104.989998,105.919998,1641700,105.341445
2016-07-06,103.449997,105.269997,103.080002,105.169998,1811200,104.595542
2016-07-05,104.260002,104.349998,103.269997,103.910004,1418600,103.34243
2016-07-01,104.160004,105.43,104.139999,104.809998,1603100,104.237508
2016-06-30,102.139999,104.160004,102.139999,104.160004,1609900,103.591064
2016-06-29,101.739998,102.00,101.199997,101.82,1495400,101.263842
2016-06-28,99.410004,100.550003,99.029999,100.529999,1944800,99.980887
2016-06-27,100.900002,100.940002,98.32,98.699997,2783300,97.613882
2016-06-24,103.290001,104.080002,101.209999,101.690002,3068700,100.570984
2016-06-23,106.349998,106.82,105.910004,106.82,1488600,105.64453
2016-06-22,106.190002,106.690002,105.75,105.800003,1445300,104.635758
2016-06-21,106.639999,106.739998,105.970001,106.07,1180200,104.902783
2016-06-20,107.040001,108.199997,106.699997,106.730003,1532500,105.555524
2016-06-17,105.470001,106.440002,105.129997,106.239998,2115200,105.070911
2016-06-16,104.910004,105.559998,103.860001,105.309998,1677200,104.151144
2016-06-15,106.18,106.440002,105.019997,105.18,2201300,104.022578
2016-06-14,105.379997,106.190002,104.940002,105.699997,1876800,104.536852
2016-06-13,106.75,107.160004,105.599998,105.629997,3368700,104.467623
2016-06-10,108.080002,108.550003,107.610001,108.089996,1279800,106.900551
2016-06-09,108.559998,108.980003,107.779999,108.800003,1481700,107.602745
2016-06-08,108.629997,109.540001,108.440002,109.389999,1422400,108.186249
2016-06-07,107.669998,109.059998,107.669998,108.529999,1797100,107.335712
2016-06-06,107.300003,108.00,107.150002,107.760002,1080700,106.574188
2016-06-03,107.120003,107.370003,106.470001,107.209999,1238500,106.030238
2016-06-02,106.440002,107.120003,105.93,107.120003,1376100,105.941232
2016-06-01,106.029999,106.75,104.599998,106.699997,2725300,105.525848
2016-05-31,105.470001,106.139999,104.919998,106.029999,2029400,104.863222
2016-05-27,105.25,105.50,104.839996,105.339996,836000,104.180813
2016-05-26,105.300003,105.82,104.989998,105.260002,834600,104.101699
2016-05-25,105.089996,105.900002,104.910004,105.139999,1286600,103.983017
2016-05-24,103.860001,105.18,102.610001,104.910004,931600,103.755552
2016-05-23,102.959999,103.529999,102.589996,103.239998,925900,102.103923
2016-05-20,103.339996,103.779999,103.010002,103.139999,1269200,102.005025
2016-05-19,102.580002,103.300003,101.68,102.760002,1233000,101.62921
2016-05-18,103.610001,104.330002,102.68,103.309998,1090400,102.173153
2016-05-17,104.279999,105.139999,103.400002,103.830002,1509900,102.687435
2016-05-16,103.260002,104.559998,103.160004,104.300003,1192400,103.152264
2016-05-13,104.410004,104.830002,102.720001,102.980003,1247900,101.84679
2016-05-12,104.519997,105.029999,103.769997,104.529999,1488400,103.379729
2016-05-11,105.279999,105.660004,104.279999,104.279999,947600,103.13248
2016-05-10,104.290001,105.669998,103.839996,105.339996,1181500,104.180813
2016-05-09,103.970001,104.389999,103.419998,104.089996,990400,102.944568
2016-05-06,103.099998,104.190002,103.010002,104.190002,979500,103.043474
2016-05-05,103.959999,104.349998,102.980003,103.160004,1369500,102.024809
2016-05-04,104.150002,104.300003,103.290001,103.529999,1255100,102.390733
2016-05-03,104.540001,104.75,103.889999,104.470001,1504000,103.320391
2016-05-02,104.239998,105.110001,102.900002,104.970001,1389500,103.814889
2016-04-29,104.160004,104.900002,103.629997,104.519997,1768500,103.369837
2016-04-28,104.699997,105.660004,104.300003,104.57,1279300,103.41929
2016-04-27,105.650002,106.029999,104.870003,105.489998,1124400,104.329164
2016-04-26,104.790001,105.43,104.050003,105.419998,1488800,104.259934
2016-04-25,104.489998,104.839996,104.07,104.480003,1315600,103.330284
2016-04-22,104.800003,105.419998,104.220001,104.660004,1765600,103.508303
2016-04-21,104.610001,106.139999,104.32,104.57,2086800,103.41929
2016-04-20,104.690002,105.650002,103.669998,104.349998,2930400,103.201709
2016-04-19,105.68,106.190002,105.300003,105.669998,2090900,104.507183
2016-04-18,104.410004,105.459999,104.410004,105.300003,1326100,104.14126
2016-04-15,105.050003,105.239998,104.800003,104.879997,1251100,103.725876
2016-04-14,105.150002,105.599998,104.629997,104.93,1133200,103.775329
2016-04-13,104.900002,105.050003,104.150002,104.970001,1863500,103.814889
2016-04-12,103.349998,105.00,103.269997,104.379997,1345900,103.231378
2016-04-11,103.370003,104.349998,103.080002,103.089996,1032800,101.955572
2016-04-08,103.620003,104.360001,102.790001,103.209999,1123800,102.074255
2016-04-07,102.07,103.410004,101.989998,102.559998,2046000,101.431406
2016-04-06,101.82,102.800003,100.790001,102.709999,1374600,101.579757
2016-04-05,102.040001,102.349998,101.360001,101.800003,1032800,100.679774
2016-04-04,103.470001,103.699997,102.339996,102.669998,1444700,101.540196
2016-04-01,101.75,103.610001,101.360001,103.440002,1170500,102.301727
2016-03-31,102.559998,102.980003,102.00,102.440002,1234200,101.312731
2016-03-30,102.110001,102.940002,101.949997,102.629997,1725800,101.500635
2016-03-29,100.419998,101.57,100.330002,101.410004,1609500,100.294067
2016-03-28,101.489998,101.730003,101.160004,101.400002,1442100,99.740229
2016-03-24,101.440002,101.82,101.220001,101.389999,1576600,99.73039
2016-03-23,102.300003,102.449997,101.68,102.099998,1731100,100.428768
2016-03-22,101.440002,102.470001,101.190002,102.279999,1696800,100.605822
2016-03-21,101.029999,101.910004,100.639999,101.75,1689000,100.084498
2016-03-18,100.879997,101.32,100.309998,101.32,2781300,99.661536
2016-03-17,98.449997,101.040001,98.410004,100.68,2363600,99.032013
2016-03-16,97.82,98.760002,97.57,98.32,1285600,96.710642
2016-03-15,97.099998,97.989998,96.739998,97.980003,1314200,96.376211
2016-03-14,97.779999,98.50,97.459999,98.040001,1306900,96.435226
2016-03-11,97.970001,98.669998,97.790001,98.169998,1474500,96.563096
2016-03-10,97.25,97.629997,96.129997,97.059998,1348800,95.471264
2016-03-09,97.400002,97.730003,96.57,96.879997,1312600,95.29421
2016-03-08,97.309998,97.559998,96.440002,97.099998,1302900,95.510611
2016-03-07,97.00,98.040001,97.00,97.779999,1377700,96.17948
2016-03-04,96.760002,98.110001,96.220001,97.730003,1546000,96.130303
2016-03-03,96.879997,97.059998,95.849998,96.57,1632000,94.989287
2016-03-02,96.400002,97.080002,96.099998,97.019997,1122800,95.431918
2016-03-01,95.129997,97.120003,94.709999,96.839996,1201500,95.254864
2016-02-29,95.129997,95.669998,94.25,94.25,1566700,92.707262
2016-02-26,95.50,95.730003,94.760002,94.93,1276500,93.376132
2016-02-25,94.639999,95.099998,93.970001,94.980003,1583000,93.425317
2016-02-24,93.620003,94.559998,92.989998,94.209999,2790200,92.667916
2016-02-23,96.190002,96.559998,94.68,94.75,1558400,93.199078
2016-02-22,96.25,97.339996,96.209999,96.43,1640700,94.851579
2016-02-19,95.139999,95.889999,94.32,95.860001,2579600,94.29091
2016-02-18,95.099998,95.849998,94.760002,95.57,1668600,94.005656
2016-02-17,94.00,95.209999,93.790001,94.93,2767700,93.376132
2016-02-16,93.010002,93.709999,91.68,93.540001,2250300,92.008885
2016-02-12,90.440002,92.099998,90.059998,91.879997,1587300,90.376053
2016-02-11,88.93,90.370003,88.32,89.599998,1779000,88.133375
2016-02-10,90.629997,91.860001,90.099998,90.419998,1682000,88.939952
2016-02-09,89.480003,91.040001,89.25,90.360001,1373800,88.880937
2016-02-08,89.330002,90.57,88.669998,90.260002,2372600,88.782575
2016-02-05,91.00,91.370003,89.940002,90.410004,1866400,88.930121
2016-02-04,89.57,92.709999,89.519997,91.459999,1751200,89.96293
2016-02-03,89.760002,90.00,88.00,89.980003,2023900,88.50716
2016-02-02,89.300003,89.699997,88.199997,88.599998,3340400,87.149743
2016-02-01,88.480003,90.279999,88.419998,89.919998,2481100,88.448137
2016-01-29,89.260002,90.07,88.699997,90.07,3257900,88.595683
2016-01-28,87.110001,88.769997,86.610001,88.760002,3301700,87.307128
2016-01-27,87.50,88.00,84.620003,86.209999,3423800,84.798865
2016-01-26,82.080002,84.339996,81.910004,84.309998,2525800,82.929964
2016-01-25,84.050003,84.050003,80.949997,81.050003,1654600,79.723331
2016-01-22,82.760002,83.209999,81.510002,82.160004,2039500,80.815162
2016-01-21,81.830002,82.510002,80.580002,81.650002,3716000,80.313508
2016-01-20,80.279999,82.160004,79.150002,81.339996,2990600,80.008577
2016-01-19,81.940002,82.290001,80.690002,81.690002,2432400,80.352854
2016-01-15,80.769997,81.989998,80.629997,81.25,2556000,79.920054
2016-01-14,82.830002,83.980003,81.82,82.830002,2530200,81.474193
2016-01-13,84.489998,84.879997,82.239998,82.480003,3002500,81.129924
2016-01-12,84.089996,84.519997,82.57,83.790001,2132700,82.418479
2016-01-11,84.370003,84.370003,81.809998,83.190002,4311200,81.828301
2016-01-08,85.18,85.489998,83.830002,84.019997,2159100,82.64471
2016-01-07,85.330002,85.989998,84.510002,84.730003,2606600,83.343095
2016-01-06,87.919998,88.669998,86.910004,87.519997,2547700,86.08742
2016-01-05,91.080002,91.50,89.129997,89.730003,2428600,88.261252
2016-01-04,92.68,92.68,89.910004,91.059998,1895500,89.569476
2015-12-31,92.790001,93.419998,92.410004,92.68,1071100,91.162961
2015-12-30,94.099998,94.419998,93.160004,93.190002,969200,91.664616
2015-12-29,94.099998,94.43,93.849998,94.25,800100,92.707262
2015-12-28,93.830002,94.019997,93.150002,93.730003,750000,91.65478
2015-12-24,94.00,94.440002,93.970001,94.129997,339000,92.045917
2015-12-23,93.440002,94.349998,93.150002,94.209999,1139300,92.124148
2015-12-22,92.580002,92.989998,91.75,92.82,1426200,90.764924
2015-12-21,91.690002,92.019997,90.959999,91.839996,1483300,89.806618
2015-12-18,92.080002,92.199997,90.870003,90.919998,2650800,88.906989
2015-12-17,93.949997,94.169998,92.540001,92.550003,2007600,90.500905
2015-12-16,92.529999,94.07,92.209999,93.970001,1565700,91.889464
2015-12-15,93.139999,93.50,92.089996,92.239998,1726400,90.197763
