Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,23.18,23.360001,22.860001,23.01,9517100,23.01
2016-09-30,22.889999,23.190001,22.60,23.129999,15056300,23.129999
2016-09-29,22.719999,23.200001,22.48,22.76,15824800,22.76
2016-09-28,21.959999,22.76,21.620001,22.74,18953500,22.74
2016-09-27,21.60,21.90,21.43,21.83,15198100,21.83
2016-09-26,22.00,22.360001,21.709999,21.780001,11506800,21.780001
2016-09-23,22.040001,22.469999,21.870001,21.940001,15729100,21.940001
2016-09-22,22.34,22.440001,22.030001,22.110001,13129600,22.110001
2016-09-21,22.09,22.23,21.969999,22.139999,17538600,22.139999
2016-09-20,21.98,22.139999,21.870001,21.879999,14542400,21.879999
2016-09-19,21.67,22.219999,21.530001,21.90,17056300,21.90
2016-09-16,21.280001,21.620001,21.219999,21.469999,30436600,21.469999
2016-09-15,21.67,21.92,21.540001,21.559999,13929100,21.559999
2016-09-14,21.709999,22.01,21.459999,21.549999,19026300,21.549999
2016-09-13,22.120001,22.32,21.68,21.860001,17567600,21.860001
2016-09-12,21.709999,22.60,21.450001,22.40,22352100,22.40
2016-09-09,22.48,22.48,22.120001,22.120001,20099700,22.120001
2016-09-08,22.84,23.00,22.440001,22.690001,32143300,22.690001
2016-09-07,22.459999,22.75,22.17,22.700001,13395200,22.700001
2016-09-06,22.030001,22.41,21.76,22.40,13721700,22.40
2016-09-02,21.799999,22.040001,21.73,21.92,7635600,21.92
2016-09-01,21.76,21.790001,21.309999,21.610001,12442300,21.610001
2016-08-31,21.50,21.91,21.41,21.85,13213100,21.85
2016-08-30,21.85,21.950001,21.700001,21.91,9114700,21.91
2016-08-29,21.389999,21.799999,21.23,21.77,10225400,21.77
2016-08-26,21.59,21.83,21.379999,21.469999,10852800,21.469999
2016-08-25,21.76,21.860001,21.43,21.51,12852200,21.51
2016-08-24,22.00,22.139999,21.690001,21.809999,12179300,21.809999
2016-08-23,21.959999,22.32,21.92,22.09,13164800,22.09
2016-08-22,22.030001,22.17,21.59,21.92,12893000,21.92
2016-08-19,22.549999,22.60,22.190001,22.280001,10609900,22.280001
2016-08-18,22.15,22.790001,22.01,22.709999,22879100,22.709999
2016-08-17,21.700001,21.969999,21.459999,21.75,16158400,21.75
2016-08-16,21.379999,22.08,21.27,21.780001,21117900,21.780001
2016-08-15,21.27,21.48,21.219999,21.299999,14321400,21.299999
2016-08-12,20.90,21.389999,20.85,21.07,13481800,21.07
