Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,52.84,52.849998,51.57,52.52,2191600,52.52
2016-09-30,52.290001,53.639999,51.849998,53.349998,2264000,53.349998
2016-09-29,52.939999,53.299999,52.07,52.169998,1497500,52.169998
2016-09-28,53.68,53.889999,52.779999,53.119999,1802300,53.119999
2016-09-27,53.57,54.110001,53.450001,53.700001,1544500,53.700001
2016-09-26,53.48,54.130001,53.220001,53.59,2370200,53.59
2016-09-23,53.950001,54.400002,53.509998,53.740002,2613600,53.740002
2016-09-22,55.150002,55.50,54.290001,54.349998,2636100,54.349998
2016-09-21,53.98,54.889999,53.23,54.619999,5552200,54.619999
2016-09-20,56.82,57.150002,55.66,55.759998,3980600,55.759998
2016-09-19,57.16,57.700001,56.560001,56.580002,4378600,56.580002
2016-09-16,56.610001,56.759998,55.889999,56.50,4597300,56.50
2016-09-15,56.740002,57.32,56.509998,56.900002,2349400,56.900002
2016-09-14,56.580002,57.060001,55.950001,56.73,1282800,56.73
2016-09-13,56.23,56.759998,55.720001,56.43,1853700,56.43
2016-09-12,54.939999,57.110001,54.720001,56.799999,2423700,56.799999
2016-09-09,58.189999,58.720001,55.220001,55.23,3476100,55.23
2016-09-08,60.299999,60.540001,59.939999,60.169998,1482100,60.169998
2016-09-07,59.66,60.810001,59.52,60.599998,3733400,60.599998
2016-09-06,59.990002,60.099998,59.240002,59.52,2402600,59.52
2016-09-02,59.52,60.119999,59.439999,60.060001,1028200,60.060001
2016-09-01,59.029999,59.48,58.389999,59.009998,1133500,59.009998
2016-08-31,59.52,59.529999,58.259998,58.950001,1455500,58.950001
2016-08-30,59.189999,59.73,58.880001,59.50,825400,59.50
2016-08-29,58.700001,59.689999,58.580002,59.48,1029700,59.48
2016-08-26,58.549999,59.549999,58.41,58.700001,1506600,58.700001
2016-08-25,57.900002,58.779999,57.900002,58.380001,1251900,58.380001
2016-08-24,58.959999,59.310001,58.09,58.220001,1302000,58.220001
2016-08-23,59.400002,59.779999,59.02,59.09,1692100,59.09
2016-08-22,59.200001,59.25,58.32,58.93,2357000,58.93
2016-08-19,58.93,59.549999,57.919998,59.299999,2947900,59.299999
2016-08-18,59.150002,59.509998,58.23,59.150002,3120000,59.150002
2016-08-17,60.080002,60.150002,58.509998,58.82,1978300,58.82
2016-08-16,60.34,60.490002,59.709999,60.16,1173100,60.16
2016-08-15,59.68,60.529999,59.48,60.509998,1441800,60.509998
2016-08-12,59.169998,60.34,59.130001,59.560001,1418100,59.560001
2016-08-11,58.91,59.810001,58.549999,59.169998,2072500,59.169998
2016-08-10,58.77,58.790001,58.139999,58.360001,954100,58.360001
2016-08-09,58.540001,59.650002,58.540001,58.740002,2145100,58.740002
2016-08-08,58.790001,58.939999,58.34,58.68,1323200,58.68
2016-08-05,58.18,59.59,58.16,58.849998,3295900,58.849998
2016-08-04,56.27,57.740002,56.27,57.52,2649800,57.52
2016-08-03,55.57,56.209999,54.860001,56.200001,2001500,56.200001
2016-08-02,57.970001,58.16,55.25,55.57,3079200,55.57
2016-08-01,58.07,58.380001,57.610001,58.139999,1226700,58.139999
2016-07-29,58.330002,58.48,57.720001,58.259998,1904000,58.259998
2016-07-28,58.09,58.48,57.09,58.349998,2012000,58.349998
2016-07-27,58.639999,58.919998,58.040001,58.439999,1360400,58.439999
2016-07-26,57.66,58.740002,57.639999,58.630001,1405600,58.630001
2016-07-25,57.869999,58.220001,57.369999,57.799999,1306600,57.799999
2016-07-22,57.560001,58.259998,57.009998,57.950001,1445500,57.950001
2016-07-21,57.110001,58.720001,56.580002,57.560001,4842900,57.560001
2016-07-20,55.049999,56.240002,55.029999,56.040001,2236500,56.040001
2016-07-19,54.950001,55.290001,54.490002,54.720001,1916300,54.720001
2016-07-18,55.110001,55.810001,54.98,55.470001,1987500,55.470001
2016-07-15,55.77,55.779999,55.09,55.23,1512300,55.23
2016-07-14,55.009998,55.549999,54.830002,55.400002,1769300,55.400002
