Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,238.710007,241.300003,237.539993,240.580002,1338300,240.580002
2016-09-30,243.059998,243.470001,237.330002,239.720001,2167000,239.720001
2016-09-29,246.080002,246.080002,240.960007,242.339996,1134100,242.339996
2016-09-28,246.130005,246.960007,244.860001,245.75,1352500,245.75
2016-09-27,246.039993,247.020004,245.300003,245.789993,946500,245.789993
2016-09-26,245.710007,247.479996,245.009995,245.529999,880700,245.529999
2016-09-23,246.080002,246.539993,244.639999,245.839996,858800,245.839996
2016-09-22,244.949997,247.029999,244.740005,246.619995,1173000,246.619995
2016-09-21,241.139999,243.869995,240.619995,243.820007,1660200,243.820007
2016-09-20,241.350006,242.240005,240.479996,240.479996,1007900,240.479996
2016-09-19,239.300003,241.889999,239.080002,240.880005,1456600,240.880005
2016-09-16,238.419998,238.639999,237.25,237.449997,2892900,237.449997
2016-09-15,237.410004,239.490005,236.699997,239.089996,1267100,239.089996
2016-09-14,237.410004,239.009995,236.910004,237.410004,1494500,237.410004
2016-09-13,237.669998,238.720001,237.00,237.410004,1609000,237.410004
2016-09-12,236.50,239.50,235.279999,238.800003,1822000,238.800003
2016-09-09,240.139999,240.639999,237.889999,237.940002,1574200,237.940002
2016-09-08,240.490005,242.25,240.00,241.630005,1249600,241.630005
2016-09-07,242.160004,243.00,241.149994,241.369995,1245900,241.369995
2016-09-06,244.240005,244.490005,242.259995,243.00,1599800,243.00
2016-09-02,243.75,245.00,242.259995,243.320007,1492700,243.320007
2016-09-01,243.130005,243.839996,241.899994,243.610001,1337100,243.610001
2016-08-31,239.00,243.619995,238.600006,242.970001,2890200,242.970001
2016-08-30,242.649994,243.309998,238.850006,239.449997,1887400,239.449997
2016-08-29,245.00,246.080002,244.039993,244.300003,1637600,242.650005
2016-08-26,249.00,249.800003,243.649994,244.440002,4697100,242.789059
2016-08-25,247.610001,250.190002,246.00,248.529999,4383900,246.851432
2016-08-24,248.759995,249.75,244.800003,248.119995,10559900,246.444197
2016-08-23,255.240005,255.240005,248.139999,249.75,10627900,248.063193
2016-08-22,254.369995,256.420013,253.75,254.199997,3791000,252.483135
2016-08-19,254.729996,255.00,252.699997,254.119995,2412700,252.403673
2016-08-18,255.639999,255.990005,254.100006,255.419998,2596300,253.694896
2016-08-17,256.700012,257.50,251.550003,255.639999,4381100,253.913412
2016-08-16,265.230011,266.049988,254.440002,256.769989,7884400,255.035769
2016-08-15,264.220001,266.929993,264.200012,266.50,9143800,264.700064
2016-08-12,262.48999,265.339996,261.670013,264.149994,13962300,262.36593
2016-08-11,261.50,264.070007,260.149994,262.540009,12648900,260.766818
2016-08-10,259.820007,262.100006,259.070007,261.299988,9565300,259.535173
