Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,18.98,19.09,18.879999,18.940001,1068400,18.940001
2016-09-30,18.90,19.200001,18.84,19.040001,3049300,19.040001
2016-09-29,18.85,18.950001,18.379999,18.74,2405300,18.74
2016-09-28,18.799999,18.92,18.610001,18.860001,1306900,18.860001
2016-09-27,18.58,18.809999,18.469999,18.76,1139800,18.76
2016-09-26,18.68,18.790001,18.540001,18.610001,1478500,18.610001
2016-09-23,19.02,19.120001,18.83,18.84,1382500,18.84
2016-09-22,19.24,19.280001,19.00,19.07,1161000,19.07
2016-09-21,19.040001,19.309999,18.969999,19.15,1848200,19.15
2016-09-20,19.07,19.129999,18.91,18.92,1431900,18.92
2016-09-19,19.059999,19.280001,18.940001,18.959999,940800,18.959999
2016-09-16,18.93,19.040001,18.799999,18.969999,2591900,18.969999
2016-09-15,18.77,19.15,18.76,19.08,1044300,19.08
2016-09-14,18.959999,19.08,18.76,18.85,1110500,18.787001
2016-09-13,19.129999,19.129999,18.51,19.01,1642300,18.946466
2016-09-12,18.83,19.450001,18.629999,19.379999,2011100,19.315228
2016-09-09,19.32,19.41,18.969999,18.98,1590000,18.916566
2016-09-08,19.200001,19.49,19.10,19.469999,1721900,19.404928
2016-09-07,18.77,19.209999,18.73,19.200001,1240200,19.135831
2016-09-06,19.02,19.08,18.77,18.84,1513400,18.777034
2016-09-02,19.01,19.15,18.85,19.030001,1003300,18.9664
2016-09-01,19.200001,19.219999,18.77,18.889999,1369300,18.826866
2016-08-31,19.030001,19.25,18.98,19.15,2055000,19.085997
2016-08-30,19.040001,19.18,18.92,19.09,1369900,19.026198
2016-08-29,18.85,19.139999,18.85,19.040001,1311000,18.976366
2016-08-26,18.92,19.040001,18.700001,18.82,1048500,18.7571
2016-08-25,18.52,18.90,18.52,18.83,899700,18.767067
2016-08-24,18.68,18.98,18.530001,18.57,1465600,18.507936
2016-08-23,18.76,18.84,18.620001,18.68,1068100,18.617569
2016-08-22,18.66,18.719999,18.559999,18.639999,979900,18.577702
2016-08-19,18.76,18.76,18.610001,18.700001,1043500,18.637503
2016-08-18,18.860001,19.00,18.77,18.860001,1111000,18.796968
2016-08-17,18.82,18.870001,18.67,18.83,852400,18.767067
2016-08-16,18.879999,18.99,18.700001,18.82,1066700,18.7571
2016-08-15,18.76,19.07,18.700001,18.92,1391500,18.856767
2016-08-12,18.700001,18.700001,18.469999,18.66,1106400,18.597635
2016-08-11,18.879999,18.93,18.77,18.780001,1150500,18.717235
2016-08-10,18.82,19.02,18.74,18.83,1630000,18.767067
2016-08-09,18.83,19.10,18.76,18.799999,1608000,18.737167
2016-08-08,18.889999,19.139999,18.77,18.809999,2284200,18.747134
2016-08-05,18.90,19.059999,18.809999,18.860001,2482200,18.796968
2016-08-04,17.90,18.879999,17.90,18.65,1850300,18.587668
2016-08-03,17.469999,18.01,17.469999,18.00,1471600,17.939841
2016-08-02,17.99,18.08,17.58,17.799999,1880900,17.740509
2016-08-01,18.27,18.43,18.049999,18.08,2128400,18.019574
2016-07-29,18.09,18.27,18.00,18.26,1101000,18.198973
2016-07-28,18.139999,18.18,17.98,18.139999,687100,18.079373
2016-07-27,18.139999,18.27,18.059999,18.17,1127000,18.109273
2016-07-26,18.120001,18.209999,18.08,18.120001,769800,18.059441
2016-07-25,18.16,18.18,18.040001,18.139999,788900,18.079373
2016-07-22,18.07,18.200001,18.030001,18.16,637800,18.099306
2016-07-21,18.059999,18.190001,18.01,18.08,1112200,18.019574
2016-07-20,17.969999,18.059999,17.780001,18.030001,992700,17.969742
2016-07-19,17.860001,18.059999,17.809999,17.92,974900,17.860109
2016-07-18,17.83,18.01,17.780001,17.940001,659700,17.880042
2016-07-15,17.969999,17.969999,17.690001,17.83,1279800,17.770409
2016-07-14,18.02,18.110001,17.84,17.860001,1148700,17.80031
2016-07-13,17.620001,17.809999,17.51,17.790001,1222400,17.730544
2016-07-12,17.65,17.709999,17.549999,17.59,1703800,17.531212
2016-07-11,17.549999,17.68,17.41,17.41,1207800,17.351813
2016-07-08,17.459999,17.549999,17.25,17.459999,2749900,17.401645
2016-07-07,17.27,17.50,16.98,17.17,1845700,17.112615
2016-07-06,16.709999,17.25,16.530001,17.24,2458200,17.182381
2016-07-05,17.309999,17.309999,16.82,16.879999,1354000,16.823584
2016-07-01,17.34,17.809999,17.299999,17.469999,2060300,17.411612
2016-06-30,16.719999,17.33,16.549999,17.33,2965100,17.27208
2016-06-29,16.440001,16.77,16.219999,16.690001,2230700,16.63422
2016-06-28,15.96,16.24,15.80,16.200001,2941100,16.145858
2016-06-27,15.93,15.97,15.48,15.65,3360800,15.597695
2016-06-24,16.91,17.200001,16.26,16.280001,4070400,16.22559
2016-06-23,17.43,17.98,17.43,17.98,2703300,17.919908
2016-06-22,17.07,17.280001,17.01,17.15,1183100,17.092682
2016-06-21,17.129999,17.17,16.969999,17.030001,1525000,16.973084
2016-06-20,17.280001,17.370001,17.08,17.09,1427400,17.032883
2016-06-17,16.940001,17.25,16.889999,17.030001,2004400,16.973084
2016-06-16,16.82,16.91,16.610001,16.889999,1657700,16.83355
2016-06-15,16.799999,17.26,16.700001,16.959999,1645400,16.903316
2016-06-14,17.200001,17.35,16.82,16.82,2082800,16.763785
2016-06-13,17.24,17.450001,17.139999,17.24,1781800,17.182381
2016-06-10,17.459999,17.48,17.27,17.32,1689800,17.262114
2016-06-09,17.790001,17.799999,17.52,17.690001,1686400,17.630878
2016-06-08,17.950001,18.15,17.82,18.00,1985500,17.877052
2016-06-07,17.77,17.98,17.68,17.940001,1747500,17.817462
2016-06-06,17.559999,17.84,17.459999,17.790001,1538500,17.668487
2016-06-03,17.940001,17.940001,17.389999,17.559999,2135400,17.440057
2016-06-02,17.99,18.219999,17.940001,18.030001,1869900,17.906848
2016-06-01,17.950001,18.10,17.889999,18.09,2582300,17.966437
2016-05-31,17.99,18.16,17.83,18.10,3506900,17.976369
2016-05-27,17.90,18.01,17.84,17.969999,1295100,17.847256
2016-05-26,17.90,18.07,17.860001,17.889999,1431400,17.767803
2016-05-25,17.82,18.110001,17.799999,17.90,1350800,17.777734
2016-05-24,17.48,17.809999,17.440001,17.780001,1498200,17.658555
2016-05-23,17.629999,17.73,17.469999,17.469999,1354300,17.350671
2016-05-20,17.85,18.190001,17.58,17.690001,2672300,17.56917
2016-05-19,17.60,17.790001,17.42,17.790001,2477300,17.668487
2016-05-18,17.459999,17.68,17.42,17.68,2015300,17.559238
2016-05-17,17.440001,17.639999,17.389999,17.469999,1946500,17.350671
2016-05-16,17.49,17.709999,17.370001,17.52,1713000,17.400331
2016-05-13,17.52,17.85,17.43,17.49,1773700,17.370535
2016-05-12,17.73,17.860001,17.32,17.57,2479300,17.449989
2016-05-11,17.65,17.93,17.639999,17.68,2974900,17.559238
2016-05-10,16.76,17.780001,16.76,17.709999,3580000,17.589032
2016-05-09,16.889999,16.969999,16.58,16.719999,1806200,16.605794
2016-05-06,16.33,17.049999,16.33,16.969999,2483400,16.854087
2016-05-05,16.00,16.790001,16.00,16.58,2655500,16.466751
2016-05-04,16.360001,16.48,16.16,16.219999,1426400,16.109209
2016-05-03,16.799999,16.85,16.40,16.469999,1996500,16.357502
2016-05-02,16.709999,17.120001,16.66,16.93,1953200,16.814361
2016-04-29,16.91,17.00,16.49,16.68,1644800,16.566068
2016-04-28,17.219999,17.309999,16.90,16.950001,1190600,16.834225
2016-04-27,17.309999,17.49,17.17,17.34,999400,17.22156
2016-04-26,16.99,17.360001,16.959999,17.309999,1371100,17.191764
2016-04-25,16.93,16.98,16.74,16.889999,1359400,16.774633
2016-04-22,16.99,17.09,16.90,17.01,1193100,16.893814
2016-04-21,17.01,17.059999,16.82,16.959999,1211200,16.844155
2016-04-20,16.950001,17.030001,16.83,17.00,1472100,16.883882
2016-04-19,16.91,17.040001,16.76,16.98,1610900,16.864018
2016-04-18,16.74,16.969999,16.66,16.889999,1338800,16.774633
2016-04-15,16.879999,17.01,16.709999,16.860001,1275500,16.744839
2016-04-14,16.65,17.18,16.530001,16.90,2517200,16.784565
2016-04-13,16.18,16.709999,16.16,16.68,2596700,16.566068
2016-04-12,15.69,16.08,15.61,16.059999,2030500,15.950302
2016-04-11,15.43,15.76,15.42,15.67,2238600,15.562967
2016-04-08,15.69,15.80,15.32,15.42,1314900,15.314674
2016-04-07,16.049999,16.17,15.47,15.53,1937700,15.423923
2016-04-06,16.00,16.18,15.86,16.16,1786300,16.04962
2016-04-05,15.93,16.17,15.91,15.98,2250000,15.870849
2016-04-04,16.23,16.27,15.96,16.059999,1674700,15.950302
2016-04-01,16.07,16.27,15.73,16.23,2510900,16.119141
2016-03-31,15.93,16.200001,15.88,16.17,2085100,16.059552
2016-03-30,15.89,16.049999,15.77,15.93,1797000,15.821191
2016-03-29,15.75,15.90,15.35,15.84,1829100,15.731806
2016-03-28,16.059999,16.08,15.65,15.87,1743400,15.761601
2016-03-24,15.81,16.08,15.78,16.030001,1945200,15.920509
2016-03-23,16.200001,16.33,15.99,16.00,2261100,15.890713
2016-03-22,16.450001,16.57,16.26,16.33,2081400,16.218459
2016-03-21,16.620001,16.75,16.43,16.559999,2008500,16.446887
2016-03-18,15.91,16.66,15.86,16.620001,5140100,16.506479
2016-03-17,15.14,15.79,14.96,15.79,4725000,15.682147
2016-03-16,14.43,15.26,14.31,15.18,4147700,15.076314
2016-03-15,15.17,15.25,14.40,14.52,4155200,14.420822
2016-03-14,15.20,15.44,15.00,15.39,2411500,15.28488
2016-03-11,15.20,15.38,15.10,15.26,4217000,15.155768
2016-03-10,15.23,15.35,14.92,15.08,3835700,14.976997
2016-03-09,15.53,15.55,15.19,15.19,1715700,15.023675
2016-03-08,15.72,15.85,15.41,15.43,1847700,15.261048
2016-03-07,15.59,15.86,15.46,15.85,2608900,15.676449
2016-03-04,15.60,15.90,15.54,15.69,1535200,15.5182
2016-03-03,15.54,15.62,15.50,15.59,1434200,15.419296
2016-03-02,15.24,15.67,15.24,15.57,1973300,15.399514
2016-03-01,14.54,15.27,14.46,15.26,2427900,15.092909
2016-02-29,14.86,14.91,14.41,14.45,2617000,14.291778
2016-02-26,14.74,15.05,14.56,14.83,2274300,14.667617
2016-02-25,14.66,14.89,14.27,14.62,2450000,14.459917
2016-02-24,14.58,14.66,14.33,14.62,2661900,14.459917
2016-02-23,15.01,15.11,14.76,14.76,1779000,14.598384
2016-02-22,14.99,15.25,14.95,15.04,2714900,14.875318
2016-02-19,14.95,14.98,14.67,14.76,1987900,14.598384
2016-02-18,15.26,15.27,14.92,14.98,1820400,14.815974
2016-02-17,15.04,15.24,14.88,15.23,2940800,15.063237
2016-02-16,14.98,15.07,14.75,14.79,1928000,14.628055
2016-02-12,14.78,15.04,14.56,14.78,2412900,14.618164
2016-02-11,14.75,14.86,14.33,14.61,2713400,14.450026
2016-02-10,15.00,15.27,14.89,14.92,1697400,14.756632
2016-02-09,15.32,15.47,14.83,14.96,2459800,14.796194
2016-02-08,15.96,15.96,15.23,15.45,2391300,15.280828
2016-02-05,16.370001,16.40,15.87,16.030001,2599700,15.854478
2016-02-04,16.41,16.85,16.32,16.41,1917300,16.230317
2016-02-03,16.07,16.42,15.79,16.379999,1885000,16.200645
2016-02-02,16.389999,16.42,15.87,15.99,2416200,15.814915
2016-02-01,16.469999,16.65,16.18,16.549999,1788000,16.368783
2016-01-29,16.26,16.58,16.25,16.559999,2871200,16.378674
2016-01-28,16.389999,16.469999,16.120001,16.18,1886700,16.002836
2016-01-27,16.299999,16.559999,16.129999,16.209999,5950700,16.032506
2016-01-26,16.50,16.860001,16.32,16.34,3464400,16.161083
2016-01-25,16.75,16.870001,16.32,16.48,2286000,16.29955
2016-01-22,16.799999,17.02,16.66,16.83,1972200,16.645718
2016-01-21,16.32,16.82,16.26,16.50,2779200,16.319331
2016-01-20,15.64,16.389999,15.48,16.280001,8304100,16.101741
2016-01-19,15.87,16.01,15.55,15.94,4849300,15.765463
2016-01-15,15.67,15.83,15.43,15.74,3566400,15.567653
2016-01-14,15.44,16.18,15.20,16.120001,3235200,15.943493
2016-01-13,15.75,15.90,15.38,15.40,2556700,15.231376
2016-01-12,16.00,16.02,15.51,15.67,2431900,15.49842
2016-01-11,16.049999,16.10,15.70,15.90,2086500,15.725901
2016-01-08,16.610001,16.620001,15.93,15.96,3198000,15.785244
2016-01-07,16.50,16.700001,16.40,16.549999,3611300,16.368783
2016-01-06,16.799999,16.98,16.700001,16.799999,1948200,16.616046
2016-01-05,17.059999,17.389999,16.889999,17.059999,1610400,16.873199
2016-01-04,17.040001,17.190001,16.77,17.02,2263100,16.833638
2015-12-31,17.01,17.450001,16.99,17.389999,2413900,17.199586
2015-12-30,17.08,17.18,17.02,17.10,1161300,16.912762
2015-12-29,17.120001,17.23,16.98,17.16,1389000,16.972105
2015-12-28,17.23,17.290001,16.98,17.01,1565700,16.823747
2015-12-24,17.43,17.469999,17.190001,17.33,456200,17.140243
2015-12-23,16.950001,17.48,16.91,17.43,2167500,17.239149
2015-12-22,16.68,16.90,16.43,16.85,1831200,16.665499
2015-12-21,16.549999,16.879999,16.469999,16.610001,2154400,16.428128
2015-12-18,16.309999,16.709999,16.190001,16.459999,5605300,16.279768
2015-12-17,16.459999,16.68,16.25,16.360001,5049200,16.180865
2015-12-16,17.00,17.040001,16.42,16.49,4502700,16.309441
2015-12-15,16.25,17.01,16.129999,16.959999,4747800,16.774294
2015-12-14,16.65,16.860001,15.93,16.08,5764600,15.90393
2015-12-11,17.030001,17.049999,16.60,16.629999,3962800,16.447907
2015-12-10,17.25,17.43,17.139999,17.219999,1784400,17.031447
2015-12-09,17.59,17.790001,17.309999,17.32,2858600,17.068042
2015-12-08,17.33,17.66,17.280001,17.639999,2716500,17.383386
2015-12-07,17.799999,17.82,17.450001,17.530001,2823100,17.274988
2015-12-04,18.00,18.040001,17.60,17.799999,5585200,17.541059
2015-12-03,18.040001,18.120001,17.90,17.959999,3373900,17.698731
2015-12-02,17.75,18.18,17.65,18.00,6149600,17.73815
2015-12-01,17.85,18.08,17.719999,17.74,4258400,17.481932
2015-11-30,17.90,17.90,17.67,17.68,3536500,17.422805
2015-11-27,17.99,18.049999,17.860001,17.879999,906000,17.619895
2015-11-25,18.01,18.02,17.91,17.950001,1801100,17.688878
2015-11-24,18.00,18.059999,17.83,18.01,4371500,17.748005
2015-11-23,18.08,18.24,17.99,18.049999,2709100,17.787422
2015-11-20,18.15,18.26,17.93,18.059999,2239300,17.797277
2015-11-19,18.35,18.40,18.059999,18.120001,1854200,17.856405
2015-11-18,18.219999,18.389999,17.98,18.35,1871900,18.083059
2015-11-17,18.42,18.530001,18.040001,18.110001,2136300,17.84655
