Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,46.310001,46.389999,45.419998,46.009998,3387000,46.009998
2016-09-30,46.610001,46.869999,46.23,46.380001,6115700,46.380001
2016-09-29,47.720001,47.720001,46.169998,46.43,3152400,46.43
2016-09-28,47.209999,47.68,46.869999,47.66,2441500,47.66
2016-09-27,47.080002,47.25,46.900002,47.060001,2639200,47.060001
2016-09-26,47.23,47.470001,46.560001,47.029999,2281700,47.029999
2016-09-23,47.139999,47.849998,47.119999,47.549999,3131300,47.549999
2016-09-22,48.00,48.00,45.200001,47.400002,11653300,47.400002
2016-09-21,48.310001,48.669998,47.849998,48.41,2439100,48.41
2016-09-20,49.48,49.529999,48.09,48.099998,2253900,48.099998
2016-09-19,48.91,49.400002,48.779999,49.139999,1765000,49.139999
2016-09-16,48.43,48.720001,48.189999,48.66,3237400,48.66
2016-09-15,48.150002,48.860001,47.990002,48.799999,1610500,48.799999
2016-09-14,48.34,48.560001,47.93,48.150002,3260100,48.150002
2016-09-13,49.09,49.150002,48.169998,48.459999,4559200,48.459999
2016-09-12,47.990002,49.779999,47.900002,49.639999,2783400,49.639999
2016-09-09,49.59,49.77,48.349998,48.349998,3113800,48.349998
2016-09-08,50.09,50.619999,49.93,50.040001,2463200,50.040001
2016-09-07,50.139999,50.25,49.880001,50.119999,2121800,50.119999
2016-09-06,50.16,50.470001,49.77,50.16,2067900,50.16
2016-09-02,50.00,50.400002,49.700001,50.130001,1547700,50.130001
2016-09-01,49.52,49.830002,49.470001,49.73,2250200,49.73
2016-08-31,49.82,49.82,49.290001,49.630001,2196200,49.630001
2016-08-30,49.669998,50.040001,49.580002,50.029999,2038700,50.029999
2016-08-29,49.34,49.689999,49.259998,49.630001,1227900,49.630001
2016-08-26,49.400002,49.98,48.860001,49.279999,1567800,49.279999
2016-08-25,49.450001,49.919998,49.259998,49.439999,1590700,49.439999
2016-08-24,49.98,50.27,49.50,49.669998,4303100,49.669998
2016-08-23,49.07,49.59,48.91,49.259998,2164000,49.259998
2016-08-22,48.279999,48.82,47.950001,48.77,2199800,48.77
2016-08-19,48.110001,48.59,47.580002,48.540001,2088600,48.540001
2016-08-18,48.490002,48.509998,47.950001,48.439999,1892300,48.439999
2016-08-17,48.900002,48.959999,48.040001,48.52,2351800,48.52
2016-08-16,49.459999,49.509998,48.59,48.689999,1601800,48.689999
2016-08-15,49.790001,49.860001,49.400002,49.580002,3030700,49.580002
2016-08-12,50.060001,50.060001,49.560001,49.73,1752700,49.73
2016-08-11,50.369999,50.450001,50.040001,50.139999,1497800,50.139999
2016-08-10,50.299999,50.330002,50.029999,50.25,1795800,50.25
2016-08-09,50.060001,50.549999,49.84,50.150002,2553200,50.150002
2016-08-08,49.540001,50.450001,49.48,50.07,3422600,50.07
2016-08-05,49.290001,49.560001,49.049999,49.27,1579200,49.27
2016-08-04,49.639999,49.639999,48.650002,48.98,1583600,48.98
2016-08-03,48.849998,49.27,48.490002,49.27,2373100,49.27
2016-08-02,49.599998,49.610001,48.07,48.82,4085400,48.82
2016-08-01,50.580002,50.779999,49.41,49.57,3513400,49.57
2016-07-29,50.740002,50.950001,50.130001,50.599998,3328300,50.599998
2016-07-28,52.25,52.50,50.43,50.889999,5027900,50.889999
2016-07-27,54.169998,54.50,51.959999,52.650002,7590900,52.650002
2016-07-26,56.130001,56.32,55.77,55.990002,3150400,55.990002
2016-07-25,56.849998,56.91,56.07,56.130001,2140800,56.130001
2016-07-22,56.490002,56.939999,56.34,56.900002,3209600,56.900002
2016-07-21,56.98,57.259998,56.25,56.369999,2079600,56.369999
2016-07-20,56.689999,57.209999,56.110001,57.18,2343600,57.18
2016-07-19,56.439999,56.599998,56.27,56.509998,1330800,56.509998
2016-07-18,56.470001,56.779999,56.240002,56.73,1386700,56.73
2016-07-15,56.880001,57.139999,56.48,56.66,1671800,56.66
2016-07-14,56.740002,57.049999,56.200001,56.549999,2299700,56.549999
2016-07-13,54.700001,57.59,54.25,56.299999,7938800,56.299999
2016-07-12,53.18,54.700001,53.18,54.380001,1949300,54.380001
2016-07-11,52.759998,53.310001,52.669998,52.939999,1435200,52.939999
2016-07-08,51.68,52.799999,51.540001,52.73,1575700,52.73
2016-07-07,51.119999,51.68,50.860001,51.209999,991500,51.209999
