Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,34.130001,34.400002,33.68,33.959999,2881400,33.959999
2016-09-30,34.450001,34.50,33.959999,34.310001,5534800,34.310001
2016-09-29,34.57,34.830002,34.110001,34.220001,2976600,34.220001
2016-09-28,34.82,34.970001,34.389999,34.549999,4165000,34.549999
2016-09-27,34.18,34.869999,34.09,34.82,4783400,34.82
2016-09-26,34.09,34.66,34.02,34.330002,3044200,34.330002
2016-09-23,34.380001,34.57,34.130001,34.27,3356500,34.27
2016-09-22,33.709999,34.349998,33.709999,34.330002,5907100,34.330002
2016-09-21,33.040001,33.43,32.700001,33.389999,4454800,33.389999
2016-09-20,33.16,33.16,32.610001,32.849998,4349800,32.849998
2016-09-19,33.099998,33.349998,32.84,32.93,3195700,32.93
2016-09-16,33.360001,33.380001,32.889999,32.900002,5304400,32.900002
2016-09-15,33.259998,33.68,33.200001,33.599998,2949000,33.599998
2016-09-14,33.080002,33.529999,33.040001,33.240002,4689700,33.240002
2016-09-13,33.330002,33.450001,32.889999,33.029999,5293100,33.029999
2016-09-12,33.040001,33.889999,32.889999,33.689999,5307600,33.689999
2016-09-09,34.860001,34.869999,33.060001,33.259998,6231100,33.259998
2016-09-08,35.169998,35.240002,34.950001,35.150002,2344300,35.150002
2016-09-07,35.240002,35.419998,35.07,35.279999,2447300,35.279999
2016-09-06,35.639999,35.700001,35.139999,35.310001,2216400,35.310001
2016-09-02,35.68,35.889999,35.299999,35.459999,2113000,35.459999
2016-09-01,35.50,35.82,35.220001,35.529999,4287400,35.529999
2016-08-31,35.259998,35.639999,35.110001,35.48,3850400,35.48
2016-08-30,35.490002,35.59,35.259998,35.41,2694400,35.41
2016-08-29,35.330002,35.650002,35.330002,35.459999,2427100,35.459999
2016-08-26,35.389999,35.540001,35.02,35.220001,1913000,35.220001
2016-08-25,35.279999,35.310001,35.119999,35.259998,1658400,35.259998
2016-08-24,35.619999,35.700001,35.16,35.279999,2707500,35.279999
2016-08-23,35.52,35.98,35.459999,35.709999,3133800,35.709999
2016-08-22,35.189999,35.400002,34.98,35.380001,2799200,35.380001
2016-08-19,35.07,35.360001,35.02,35.200001,3052600,35.200001
2016-08-18,35.470001,35.470001,35.209999,35.209999,3311000,35.209999
2016-08-17,35.419998,35.549999,35.080002,35.470001,3438600,35.470001
2016-08-16,36.040001,36.119999,35.490002,35.509998,2759000,35.509998
2016-08-15,36.139999,36.41,36.080002,36.150002,1929400,36.150002
2016-08-12,36.07,36.200001,35.779999,36.07,2324600,36.07
2016-08-11,36.310001,36.509998,36.080002,36.18,2932800,36.18
2016-08-10,36.290001,36.400002,36.080002,36.290001,1997800,36.290001
2016-08-09,36.560001,36.59,36.119999,36.23,2578300,36.23
2016-08-08,36.639999,36.700001,36.380001,36.48,2516900,36.48
2016-08-05,36.509998,36.75,36.389999,36.669998,2049700,36.669998
2016-08-04,36.57,36.619999,36.130001,36.279999,2781300,36.279999
2016-08-03,36.380001,36.59,36.169998,36.560001,2507600,36.560001
2016-08-02,36.299999,36.400002,36.099998,36.34,2913700,36.34
2016-08-01,36.529999,36.619999,36.18,36.360001,3707700,36.360001
2016-07-29,36.82,36.860001,36.360001,36.48,5926800,36.48
2016-07-28,36.43,37.380001,36.290001,36.869999,6729400,36.869999
2016-07-27,36.029999,36.650002,35.950001,36.439999,8044200,36.439999
2016-07-26,35.16,35.900002,34.950001,35.849998,9369900,35.849998
2016-07-25,33.82,34.290001,33.73,34.23,5565700,34.23
2016-07-22,33.349998,34.029999,33.099998,33.790001,7716700,33.790001
2016-07-21,34.330002,34.380001,33.310001,33.349998,8512700,33.349998
2016-07-20,33.970001,34.470001,33.830002,34.330002,2674700,34.330002
2016-07-19,33.830002,34.00,33.669998,33.790001,3051600,33.790001
2016-07-18,34.18,34.209999,33.790001,33.900002,3340500,33.900002
2016-07-15,34.09,34.169998,33.880001,34.080002,3222300,34.080002
2016-07-14,34.049999,34.240002,33.939999,34.02,5000500,34.02
2016-07-13,33.43,34.02,33.389999,33.75,6100700,33.75
2016-07-12,32.970001,33.52,32.91,33.400002,4124100,33.400002
2016-07-11,32.279999,32.919998,32.279999,32.799999,4260200,32.799999
2016-07-08,31.50,32.299999,31.440001,32.220001,4428800,32.220001
2016-07-07,31.01,31.23,30.950001,31.200001,2817800,31.200001
2016-07-06,30.379999,30.93,30.309999,30.92,2817900,30.92
2016-07-05,30.83,30.940001,30.309999,30.549999,2797000,30.455
2016-07-01,30.98,31.40,30.75,31.049999,3074900,30.953445
2016-06-30,30.50,31.15,30.26,30.940001,4391000,30.843788
2016-06-29,30.190001,30.60,30.120001,30.469999,3931100,30.375249
2016-06-28,29.57,30.01,29.41,29.92,5000500,29.82696
2016-06-27,29.77,29.879999,29.110001,29.280001,5570900,29.188951
2016-06-24,30.10,30.58,29.98,30.18,10161800,30.086152
2016-06-23,31.530001,31.700001,31.23,31.48,3273100,31.382108
2016-06-22,31.360001,31.73,31.18,31.209999,2703200,31.112947
2016-06-21,31.450001,31.52,31.26,31.360001,2066300,31.262482
2016-06-20,31.25,31.77,31.219999,31.370001,3037700,31.272452
2016-06-17,30.74,30.98,30.48,30.889999,4476100,30.793943
2016-06-16,30.07,30.75,29.84,30.67,5260200,30.574628
2016-06-15,30.51,30.57,30.15,30.190001,4493300,30.096121
2016-06-14,30.709999,30.93,30.08,30.41,4689500,30.315436
2016-06-13,31.030001,31.190001,30.84,30.85,3358600,30.754068
2016-06-10,31.57,31.57,31.08,31.24,2593300,31.142855
2016-06-09,31.709999,31.90,31.459999,31.84,1746700,31.740989
2016-06-08,31.940001,32.139999,31.799999,32.009998,3164400,31.910459
