Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,107.919998,109.470001,107.300003,109.279999,1454200,109.279999
2016-09-30,108.370003,109.029999,108.089996,108.279999,1672300,108.279999
2016-09-29,109.529999,110.449997,107.459999,107.75,1475300,107.75
2016-09-28,110.099998,110.160004,108.239998,109.57,1040200,109.57
2016-09-27,108.639999,110.029999,108.389999,109.989998,1054600,109.989998
2016-09-26,108.800003,109.830002,106.209999,108.989998,877100,108.989998
2016-09-23,109.779999,110.00,109.18,109.269997,770900,109.269997
2016-09-22,110.489998,110.529999,109.870003,110.160004,634600,110.160004
2016-09-21,108.949997,109.599998,107.959999,109.459999,954600,109.459999
2016-09-20,109.290001,109.699997,107.68,107.949997,1074500,107.949997
2016-09-19,108.379997,109.849998,108.059998,108.480003,570100,108.480003
2016-09-16,108.089996,108.690002,107.059998,108.480003,1120700,108.480003
2016-09-15,106.980003,108.949997,106.779999,108.699997,924600,108.699997
2016-09-14,107.32,108.110001,106.970001,107.32,563100,107.32
2016-09-13,107.190002,107.910004,106.50,107.32,903000,107.32
2016-09-12,105.669998,108.800003,105.410004,108.610001,1061600,108.610001
2016-09-09,109.199997,109.540001,106.620003,106.620003,918600,106.620003
2016-09-08,110.099998,110.660004,109.519997,109.940002,665600,109.940002
2016-09-07,109.68,110.830002,109.589996,110.150002,1418100,110.150002
2016-09-06,109.379997,110.339996,109.209999,110.089996,898500,110.089996
2016-09-02,109.139999,109.580002,108.809998,109.43,546800,109.43
2016-09-01,108.699997,108.980003,107.349998,108.550003,668000,108.550003
2016-08-31,108.169998,108.980003,107.440002,108.690002,927300,108.690002
2016-08-30,107.400002,108.699997,107.139999,108.239998,757200,108.239998
2016-08-29,106.360001,107.43,106.360001,107.160004,512100,107.160004
2016-08-26,106.010002,106.860001,105.389999,106.220001,518300,106.220001
2016-08-25,105.209999,106.019997,104.889999,105.699997,687900,105.699997
2016-08-24,105.480003,106.150002,105.309998,105.559998,592700,105.559998
2016-08-23,105.059998,106.279999,105.059998,105.629997,579200,105.629997
2016-08-22,104.279999,104.800003,103.790001,104.50,414800,104.50
2016-08-19,103.690002,104.809998,103.610001,104.580002,490500,104.580002
2016-08-18,103.970001,104.260002,103.739998,104.230003,388300,104.230003
2016-08-17,104.120003,104.360001,103.599998,104.150002,520800,103.780003
2016-08-16,104.50,104.580002,104.07,104.110001,467800,103.740144
2016-08-15,103.919998,105.470001,103.900002,105.07,633400,104.696733
2016-08-12,103.900002,104.389999,102.870003,103.459999,1233700,103.092452
2016-08-11,104.209999,105.00,104.150002,104.510002,605700,104.138724
2016-08-10,104.50,104.699997,103.449997,103.709999,547600,103.341564
2016-08-09,104.480003,105.029999,104.059998,104.239998,438400,103.869679
2016-08-08,104.760002,105.150002,104.330002,104.50,461500,104.128758
2016-08-05,104.510002,105.129997,104.410004,105.050003,989400,104.676807
2016-08-04,104.709999,105.029999,103.690002,103.910004,831700,103.540858
2016-08-03,104.260002,104.68,103.800003,104.589996,684000,104.218435
2016-08-02,105.00,105.300003,103.480003,104.190002,1113700,103.819862
2016-08-01,106.139999,106.489998,104.879997,105.269997,927200,104.896019
2016-07-29,106.080002,106.580002,105.330002,106.010002,775900,105.633396
2016-07-28,104.449997,106.580002,104.449997,106.18,698800,105.80279
2016-07-27,106.260002,106.57,105.010002,105.120003,1114300,104.746558
2016-07-26,105.699997,106.540001,104.790001,106.190002,1359600,105.812757
2016-07-25,105.349998,105.910004,105.120003,105.699997,911200,105.324492
2016-07-22,103.970001,105.50,101.709999,105.290001,1343000,104.915952
2016-07-21,103.919998,104.419998,103.709999,104.309998,1000900,103.93943
2016-07-20,104.00,104.440002,103.120003,104.230003,772300,103.85972
2016-07-19,103.440002,103.989998,102.989998,103.589996,702600,103.221987
2016-07-18,103.400002,104.120003,102.980003,103.959999,547000,103.590675
2016-07-15,103.379997,103.910004,102.870003,103.339996,793600,102.972875
2016-07-14,102.760002,103.790001,102.25,103.010002,1350000,102.644053
2016-07-13,100.00,101.849998,99.779999,101.720001,1353600,101.358635
2016-07-12,98.199997,100.550003,97.980003,100.169998,965900,99.814139
2016-07-11,97.120003,98.260002,97.040001,97.849998,778900,97.502381
2016-07-08,95.470001,97.050003,94.940002,96.730003,1007400,96.386365
2016-07-07,93.330002,94.940002,93.330002,94.230003,966900,93.895246
2016-07-06,92.25,93.150002,90.980003,92.970001,1300800,92.63972
2016-07-05,93.43,93.610001,91.870003,92.580002,947000,92.251106
2016-07-01,93.50,95.00,93.360001,94.080002,994300,93.745777
2016-06-30,91.940002,93.720001,91.32,93.709999,1656300,93.377089
2016-06-29,90.00,91.68,89.309998,91.580002,1399700,91.254659
2016-06-28,89.269997,89.540001,88.190002,89.099998,1714700,88.783466
2016-06-27,93.660004,93.660004,87.300003,87.879997,3520000,87.567799
2016-06-24,96.839996,97.489998,93.57,93.660004,3749700,93.327271
2016-06-23,99.620003,101.699997,99.379997,101.699997,718600,101.338702
2016-06-22,98.800003,99.080002,98.199997,98.260002,635100,97.910928
2016-06-21,98.900002,99.230003,98.110001,98.470001,878900,98.120181
2016-06-20,98.260002,99.760002,98.220001,98.650002,851800,98.299542
2016-06-17,96.980003,98.669998,96.580002,96.690002,1582100,96.346506
2016-06-16,97.480003,97.480003,96.25,96.970001,2692500,96.62551
2016-06-15,98.639999,99.50,98.139999,98.349998,1384500,98.000605
2016-06-14,97.900002,98.580002,97.480003,98.239998,1138000,97.890995
2016-06-13,99.00,99.489998,98.309998,98.32,1589300,97.970712
2016-06-10,99.970001,100.139999,98.889999,99.440002,1210600,99.086736
2016-06-09,100.470001,101.209999,100.129997,101.07,519800,100.710943
2016-06-08,100.120003,101.25,99.610001,101.07,718800,100.710943
2016-06-07,101.300003,101.470001,100.169998,100.190002,593900,99.834072
2016-06-06,98.809998,101.360001,98.809998,101.00,1383800,100.641192
2016-06-03,98.660004,98.940002,97.790001,98.760002,904900,98.409152
2016-06-02,98.720001,99.589996,98.349998,99.589996,971300,99.236197
2016-06-01,98.639999,98.949997,97.68,98.860001,712800,98.508795
2016-05-31,99.199997,99.339996,98.260002,98.639999,809200,98.289575
2016-05-27,97.870003,98.739998,97.870003,98.730003,486100,98.379259
2016-05-26,98.00,98.220001,97.32,97.559998,496900,97.21341
2016-05-25,98.019997,98.610001,97.940002,98.120003,885700,97.771426
2016-05-24,94.559998,98.040001,94.43,97.800003,1274400,97.452563
2016-05-23,93.800003,94.18,93.25,93.709999,1084300,93.377089
2016-05-20,93.610001,94.290001,93.50,93.830002,832800,93.496665
2016-05-19,93.959999,94.089996,92.400002,93.07,1071300,92.739363
2016-05-18,93.370003,94.919998,92.959999,94.160004,2156100,93.825495
2016-05-17,94.290001,95.010002,93.540001,93.699997,890200,92.998437
2016-05-16,94.00,95.25,93.779999,94.769997,795800,94.060426
2016-05-13,94.540001,95.25,93.419998,93.82,930200,93.117541
2016-05-12,95.550003,95.970001,93.900002,94.739998,1368300,94.030651
2016-05-11,95.860001,96.519997,94.879997,94.900002,1055500,94.189457
2016-05-10,94.980003,96.410004,94.559998,96.290001,860900,95.569049
2016-05-09,94.510002,94.900002,94.040001,94.660004,902900,93.951256
2016-05-06,93.00,94.839996,93.00,94.459999,992200,93.752749
2016-05-05,93.800003,94.419998,93.139999,93.290001,851200,92.591511
2016-05-04,93.75,94.150002,92.900002,93.669998,1368800,92.968663
2016-05-03,95.25,95.760002,93.82,94.57,1172500,93.861926
2016-05-02,95.790001,96.400002,94.599998,96.010002,1202600,95.291147
2016-04-29,95.800003,95.889999,92.120003,95.720001,4467300,95.003317
2016-04-28,99.540001,100.82,98.82,99.099998,1010900,98.358007
2016-04-27,99.099998,100.129997,98.879997,99.800003,667600,99.052771
2016-04-26,98.339996,99.910004,98.00,99.690002,787100,98.943594
2016-04-25,98.699997,99.349998,98.419998,98.879997,913700,98.139653
2016-04-22,98.879997,99.849998,98.50,98.779999,1374200,98.040404
2016-04-21,100.449997,100.989998,99.620003,99.629997,837800,98.884038
2016-04-20,99.550003,100.970001,99.150002,100.769997,1016200,100.015502
2016-04-19,99.209999,100.080002,98.940002,99.589996,867900,98.844336
2016-04-18,97.540001,98.980003,97.059998,98.639999,637500,97.901452
2016-04-15,97.989998,98.25,97.040001,97.790001,825100,97.057818
2016-04-14,97.860001,98.309998,97.410004,97.989998,957300,97.256318
2016-04-13,96.040001,98.43,96.040001,97.959999,1162000,97.226543
2016-04-12,94.300003,95.540001,94.019997,95.32,841300,94.606311
2016-04-11,93.800003,95.190002,93.389999,93.970001,1139800,93.26642
2016-04-08,93.709999,94.580002,92.879997,93.309998,733100,92.611358
2016-04-07,93.089996,94.419998,92.610001,92.860001,1166100,92.16473
2016-04-06,93.779999,94.699997,93.25,94.440002,1394200,93.732902
2016-04-05,94.949997,95.370003,93.589996,93.769997,1227100,93.067913
2016-04-04,97.690002,98.110001,96.199997,96.25,788200,95.529348
2016-04-01,95.639999,97.790001,95.580002,97.559998,1297300,96.829537
2016-03-31,95.720001,96.779999,95.389999,96.559998,1015300,95.837024
2016-03-30,95.860001,96.330002,95.50,95.860001,938600,95.142268
2016-03-29,92.889999,95.529999,92.889999,95.519997,1010200,94.80481
2016-03-28,93.150002,93.699997,92.389999,92.980003,1077900,92.283834
2016-03-24,93.519997,93.519997,91.93,92.949997,1804700,92.254053
2016-03-23,95.510002,96.239998,94.150002,94.260002,1514400,93.554249
2016-03-22,94.75,96.459999,94.660004,95.910004,1482900,95.191897
2016-03-21,96.900002,97.00,95.410004,95.940002,1109100,95.221671
2016-03-18,97.639999,98.559998,96.809998,97.059998,2122600,96.333281
2016-03-17,94.739998,98.339996,94.739998,97.50,1984800,96.769989
2016-03-16,93.00,94.940002,92.980003,94.720001,634200,94.010804
2016-03-15,93.089996,93.830002,92.559998,93.599998,761600,92.899187
2016-03-14,93.93,94.489998,93.080002,93.68,1019300,92.97859
2016-03-11,93.809998,94.900002,93.610001,94.50,1700200,93.79245
2016-03-10,93.139999,94.790001,92.239998,93.129997,1555300,92.432705
2016-03-09,93.580002,93.620003,92.25,93.059998,812000,92.36323
2016-03-08,93.269997,93.620003,92.620003,92.779999,1084300,92.085327
2016-03-07,94.480003,94.809998,93.599998,94.459999,1284300,93.752749
2016-03-04,94.980003,95.75,94.080002,95.400002,1462300,94.685713
2016-03-03,91.989998,95.019997,90.910004,94.860001,2190000,94.149756
2016-03-02,90.879997,92.540001,90.82,92.300003,1449900,91.608926
2016-03-01,89.57,93.230003,89.57,91.540001,3205900,90.854614
2016-02-29,88.18,89.839996,87.949997,88.800003,1460000,88.135131
2016-02-26,88.349998,89.379997,88.139999,88.599998,915000,87.936624
2016-02-25,86.720001,88.669998,86.720001,88.639999,1238900,87.976325
2016-02-24,85.900002,87.099998,83.709999,86.650002,1300700,86.001227
2016-02-23,87.529999,88.629997,86.669998,86.949997,1309600,86.298976
2016-02-22,86.470001,88.220001,86.239998,88.120003,1104700,87.460222
2016-02-19,85.449997,85.970001,84.68,85.660004,1011100,85.018642
2016-02-18,85.650002,86.199997,84.639999,85.730003,1155300,85.088117
2016-02-17,84.169998,85.93,83.68,85.720001,1361000,85.07819
2016-02-16,83.839996,84.900002,82.32,83.720001,1548700,82.725933
2016-02-12,79.800003,82.349998,79.260002,82.309998,1816200,81.332672
2016-02-11,78.230003,79.870003,77.760002,78.449997,2259200,77.518503
2016-02-10,80.919998,82.839996,79.989998,80.07,1199200,79.119271
2016-02-09,78.449997,80.580002,78.010002,80.029999,1702600,79.079745
2016-02-08,81.68,81.75,78.510002,79.379997,2781100,78.437461
