Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,43.709999,43.900002,43.369999,43.779999,5332800,43.779999
2016-09-30,43.330002,44.119999,43.220001,43.900002,9351000,43.900002
2016-09-29,43.189999,43.880001,43.110001,43.139999,8816400,43.139999
2016-09-28,43.110001,43.470001,43.060001,43.400002,6266300,43.400002
2016-09-27,43.389999,43.389999,42.75,43.16,8302200,42.97
2016-09-26,42.68,43.009998,42.650002,42.720001,5585900,42.531938
2016-09-23,43.34,43.43,43.09,43.16,4948100,42.97
2016-09-22,43.34,43.57,43.139999,43.369999,7446300,43.179075
2016-09-21,42.810001,43.060001,42.509998,42.93,10801400,42.741013
2016-09-20,43.279999,43.830002,42.799999,42.84,7264900,42.651409
2016-09-19,42.970001,43.380001,42.84,42.869999,13094700,42.681276
2016-09-16,42.66,43.07,42.540001,42.91,10721600,42.721101
2016-09-15,42.380001,43.09,42.279999,43.02,6936700,42.830617
2016-09-14,42.66,42.93,42.330002,42.540001,9360400,42.35273
2016-09-13,42.970001,43.18,42.540001,42.689999,11695500,42.502068
2016-09-12,42.419998,43.619999,41.959999,43.549999,14138000,43.358283
2016-09-09,43.09,43.27,42.09,42.09,10857200,41.904711
2016-09-08,43.990002,43.990002,43.450001,43.639999,6539800,43.447887
2016-09-07,44.439999,44.509998,43.540001,43.599998,7266100,43.408062
2016-09-06,44.529999,44.880001,43.900002,44.419998,5182200,44.224452
2016-09-02,44.220001,44.57,44.049999,44.189999,5968000,43.995465
2016-09-01,45.139999,45.200001,43.709999,43.950001,14287200,43.756523
2016-08-31,44.73,45.16,44.59,45.02,11220500,44.821813
2016-08-30,44.849998,45.09,44.209999,44.740002,14198400,44.543046
2016-08-29,43.169998,43.18,42.77,43.040001,4381900,42.850529
2016-08-26,43.16,43.560001,42.91,43.060001,4807800,42.870442
2016-08-25,43.02,43.290001,42.889999,43.080002,4833200,42.890354
2016-08-24,43.290001,43.360001,42.880001,43.00,4047800,42.810705
2016-08-23,43.32,43.470001,43.130001,43.209999,5753600,43.019779
2016-08-22,43.00,43.299999,42.799999,43.200001,3856900,43.009825
2016-08-19,43.07,43.279999,42.830002,43.060001,4704500,42.870442
2016-08-18,42.98,43.279999,42.869999,43.23,4605100,43.039692
2016-08-17,42.91,43.060001,42.400002,43.009998,5585300,42.820659
2016-08-16,42.950001,43.029999,42.669998,42.700001,4748400,42.512026
2016-08-15,43.25,43.310001,42.919998,42.959999,5194300,42.77088
2016-08-12,43.099998,43.290001,42.900002,43.169998,10827500,42.979954
2016-08-11,43.650002,43.700001,43.040001,43.139999,5343000,42.950088
2016-08-10,43.650002,43.799999,43.25,43.470001,3289400,43.278637
2016-08-09,43.57,43.84,43.259998,43.52,5518500,43.328416
2016-08-08,43.310001,43.57,43.189999,43.419998,4924600,43.228854
2016-08-05,42.759998,43.610001,42.619999,43.27,8541000,43.079516
2016-08-04,43.16,43.23,42.299999,42.50,8960600,42.312906
2016-08-03,42.98,43.23,42.759998,43.099998,5070900,42.910263
2016-08-02,43.619999,43.619999,42.689999,43.029999,6345200,42.840571
2016-08-01,43.91,43.98,43.279999,43.48,5903800,43.288591
2016-07-29,44.060001,44.400002,43.860001,43.98,8839900,43.78639
