Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,146.059998,146.220001,145.059998,145.789993,447100,145.789993
2016-09-30,146.160004,147.490005,145.369995,146.809998,720100,146.809998
2016-09-29,146.740005,146.75,144.860001,145.369995,647500,145.369995
2016-09-28,148.350006,148.740005,146.419998,146.830002,474300,146.830002
2016-09-27,147.440002,148.539993,147.259995,147.759995,563500,147.759995
2016-09-26,147.860001,148.460007,146.50,147.600006,486100,147.600006
2016-09-23,149.25,149.619995,148.320007,148.479996,542700,148.479996
2016-09-22,147.990005,149.479996,147.759995,148.940002,604100,148.940002
2016-09-21,147.00,147.600006,145.50,147.100006,859500,147.100006
2016-09-20,147.839996,148.330002,146.779999,147.100006,744500,147.100006
2016-09-19,146.809998,147.839996,145.800003,147.440002,966000,147.440002
2016-09-16,145.899994,146.899994,144.830002,146.309998,2299100,146.309998
2016-09-15,143.190002,147.169998,142.649994,146.350006,1879500,146.350006
2016-09-14,143.690002,145.160004,142.309998,142.899994,947000,142.899994
2016-09-13,147.149994,147.220001,143.470001,143.919998,1558200,143.919998
2016-09-12,147.160004,149.190002,146.309998,148.300003,1117700,148.300003
2016-09-09,150.550003,152.119995,147.520004,147.550003,1302800,147.550003
2016-09-08,152.059998,152.50,151.050003,152.119995,896500,152.119995
2016-09-07,153.839996,154.179993,151.880005,152.169998,636700,152.169998
2016-09-06,153.630005,153.919998,151.75,153.869995,1406900,153.869995
2016-09-02,154.720001,155.509995,153.130005,153.850006,581500,153.850006
2016-09-01,154.330002,155.179993,152.899994,154.330002,679900,154.330002
2016-08-31,153.970001,154.490005,152.929993,153.889999,1003800,153.889999
2016-08-30,155.850006,156.110001,153.130005,153.809998,874700,153.809998
2016-08-29,156.529999,157.059998,155.179993,155.940002,708400,155.940002
2016-08-26,157.759995,158.470001,156.589996,157.039993,535100,157.039993
2016-08-25,156.660004,158.660004,156.660004,157.460007,685000,157.460007
2016-08-24,157.089996,158.149994,156.429993,156.919998,600400,156.919998
2016-08-23,158.669998,159.199997,157.320007,157.380005,568400,157.380005
2016-08-22,159.649994,159.899994,158.610001,159.169998,442500,159.169998
2016-08-19,160.740005,161.619995,159.220001,159.449997,754900,159.449997
2016-08-18,160.210007,160.949997,159.889999,160.429993,606700,160.429993
2016-08-17,159.369995,160.820007,157.850006,159.710007,485800,159.710007
2016-08-16,161.410004,161.619995,159.570007,159.619995,450600,159.619995
2016-08-15,161.119995,161.740005,160.589996,161.429993,409400,161.429993
2016-08-12,161.130005,161.889999,160.470001,161.179993,440100,161.179993
2016-08-11,161.770004,162.580002,160.899994,161.710007,699500,161.710007
2016-08-10,159.199997,161.419998,159.00,160.899994,823100,160.899994
2016-08-09,158.779999,161.279999,158.619995,159.119995,1271800,159.119995
2016-08-08,162.089996,162.429993,158.289993,158.960007,902400,158.960007
2016-08-05,162.50,166.50,161.789993,162.520004,2466700,162.520004
2016-08-04,158.039993,159.460007,156.470001,158.589996,1298800,158.589996
2016-08-03,159.529999,159.529999,157.179993,157.770004,851900,157.770004
2016-08-02,160.660004,160.929993,157.619995,159.300003,809000,159.300003
2016-08-01,160.339996,162.190002,160.199997,161.080002,626000,161.080002
2016-07-29,159.759995,160.990005,159.119995,160.630005,575400,160.630005
2016-07-28,157.529999,160.179993,156.809998,159.440002,509400,159.440002
2016-07-27,158.119995,158.889999,155.850006,157.509995,662800,157.509995
2016-07-26,159.910004,160.070007,157.830002,158.619995,568500,158.619995
2016-07-25,160.339996,160.550003,159.25,160.070007,405300,160.070007
2016-07-22,159.309998,160.910004,158.740005,160.580002,515600,160.580002
2016-07-21,158.100006,159.210007,157.490005,158.059998,509300,158.059998
2016-07-20,157.610001,158.380005,156.869995,158.110001,586000,158.110001
2016-07-19,154.960007,157.869995,154.639999,157.369995,851600,157.369995
2016-07-18,158.899994,159.470001,152.75,155.539993,2021900,155.539993
2016-07-15,162.529999,162.669998,159.919998,161.600006,647400,161.600006
2016-07-14,162.089996,162.199997,160.679993,162.110001,511600,162.110001
2016-07-13,161.389999,162.770004,160.339996,161.779999,692200,161.779999
2016-07-12,161.089996,161.639999,160.00,160.789993,838900,160.789993
2016-07-11,161.50,162.559998,160.360001,161.00,705500,161.00
2016-07-08,161.919998,162.190002,160.990005,161.50,802600,161.50
2016-07-07,161.779999,162.330002,160.100006,161.119995,776800,161.119995
