Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,15.89,16.09,15.61,15.98,10435500,15.98
2016-09-30,15.95,16.16,15.76,15.81,19307900,15.81
2016-09-29,15.28,16.25,15.28,15.90,34965500,15.90
2016-09-28,14.21,15.24,13.84,15.18,30979900,15.18
2016-09-27,14.16,14.22,13.90,14.06,16028700,14.06
2016-09-26,14.55,14.85,14.38,14.41,11913000,14.41
2016-09-23,14.71,15.10,14.26,14.49,22031500,14.49
2016-09-22,14.80,15.23,14.74,14.87,17035300,14.87
2016-09-21,14.11,14.68,14.07,14.65,18859300,14.65
2016-09-20,14.02,14.31,13.80,13.87,15967200,13.87
2016-09-19,14.50,14.63,14.08,14.09,12868800,14.09
2016-09-16,13.95,14.28,13.90,14.24,12956500,14.24
2016-09-15,14.12,14.50,14.08,14.26,12191200,14.26
2016-09-14,14.30,14.58,13.95,14.01,18840400,14.01
2016-09-13,15.09,15.10,14.23,14.34,28846500,14.34
2016-09-12,15.40,15.74,15.07,15.47,18951200,15.47
2016-09-09,16.440001,16.610001,15.67,15.67,17156500,15.67
2016-09-08,15.89,16.90,15.77,16.74,26230500,16.74
2016-09-07,15.80,15.93,15.47,15.69,12819100,15.69
2016-09-06,15.57,15.71,15.28,15.64,10021700,15.64
2016-09-02,15.37,15.69,15.35,15.49,12584600,15.49
2016-09-01,14.96,15.26,14.82,15.11,14881800,15.11
2016-08-31,15.40,15.51,14.92,15.02,17317200,15.02
2016-08-30,15.99,16.16,15.42,15.55,15529300,15.55
2016-08-29,15.84,16.08,15.73,15.99,9884400,15.99
2016-08-26,16.07,16.32,15.75,15.95,15538800,15.95
2016-08-25,16.02,16.280001,15.91,16.01,11531900,16.01
2016-08-24,16.34,16.530001,15.97,16.059999,16495700,16.059999
2016-08-23,15.73,16.549999,15.67,16.43,29790900,16.43
2016-08-22,16.200001,16.25,15.45,15.64,26338000,15.64
2016-08-19,16.52,16.85,16.48,16.799999,16932800,16.799999
2016-08-18,15.87,16.73,15.80,16.68,26906000,16.68
2016-08-17,15.07,15.75,14.93,15.70,20862600,15.70
2016-08-16,15.12,15.25,14.71,15.17,18354900,15.17
2016-08-15,14.94,15.06,14.78,14.90,12045700,14.90
2016-08-12,14.60,14.92,14.55,14.72,13455700,14.67
2016-08-11,14.15,14.63,14.01,14.45,13615900,14.400917
2016-08-10,14.48,14.59,13.95,13.98,13540000,13.932513
2016-08-09,14.35,14.52,14.22,14.42,15450800,14.371019
2016-08-08,14.10,14.68,14.10,14.25,18392000,14.201596
2016-08-05,13.47,13.94,13.30,13.87,16909700,13.822887
2016-08-04,13.60,13.90,13.05,13.41,24445600,13.364449
2016-08-03,12.97,13.42,12.67,13.42,17171100,13.374416
2016-08-02,13.12,13.23,12.47,12.90,17163600,12.856182
2016-08-01,13.42,13.43,12.84,12.92,20926700,12.876114
2016-07-29,13.21,13.74,13.11,13.64,13855600,13.593669
2016-07-28,13.19,13.45,13.08,13.35,16668900,13.304654
2016-07-27,13.89,14.09,13.06,13.13,22775700,13.085401
2016-07-26,13.49,13.83,13.41,13.78,14112600,13.733193
2016-07-25,13.94,14.06,13.50,13.58,17377400,13.533872
