Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,32.02,32.150002,31.469999,31.950001,10243500,31.950001
2016-09-30,31.27,32.32,31.00,32.060001,16269700,32.060001
2016-09-29,31.77,32.110001,30.74,31.040001,12529700,31.040001
2016-09-28,31.440001,31.799999,31.32,31.77,7425100,31.77
2016-09-27,30.82,31.49,30.620001,31.35,9753500,31.35
2016-09-26,31.530001,31.57,30.959999,31.030001,10217700,31.030001
2016-09-23,32.119999,32.25,31.67,31.91,9400600,31.91
2016-09-22,32.130001,32.439999,31.98,32.240002,8185300,32.240002
2016-09-21,31.84,32.060001,31.50,31.92,10073600,31.92
2016-09-20,31.84,32.00,31.65,31.700001,8849000,31.700001
2016-09-19,31.719999,32.099998,31.52,31.60,7806500,31.60
2016-09-16,31.67,31.799999,31.379999,31.59,14756200,31.59
2016-09-15,31.549999,32.139999,31.50,31.950001,9947900,31.950001
2016-09-14,31.49,31.809999,31.309999,31.559999,11687600,31.559999
2016-09-13,31.690001,32.00,31.27,31.459999,13954100,31.459999
2016-09-12,31.32,32.32,31.139999,32.240002,13888100,32.240002
2016-09-09,31.98,32.27,31.59,31.59,16493900,31.59
2016-09-08,31.700001,32.209999,31.610001,32.040001,12696100,32.040001
2016-09-07,31.68,31.940001,31.58,31.690001,10845000,31.690001
2016-09-06,31.959999,32.220001,31.549999,31.75,14191400,31.75
2016-09-02,31.959999,32.209999,31.67,31.889999,12288200,31.889999
2016-09-01,32.139999,32.369999,31.440001,31.91,11986500,31.91
2016-08-31,32.130001,32.310001,31.719999,32.060001,15561200,32.060001
2016-08-30,31.41,32.189999,31.41,32.189999,13745600,32.189999
2016-08-29,31.209999,31.60,31.15,31.41,9167800,31.41
2016-08-26,31.120001,31.58,30.93,31.16,10693400,31.16
2016-08-25,30.91,31.059999,30.77,30.969999,7838700,30.969999
2016-08-24,30.82,31.16,30.719999,30.91,12453500,30.91
2016-08-23,30.799999,30.969999,30.67,30.719999,7907700,30.719999
2016-08-22,30.440001,30.700001,30.389999,30.60,6613900,30.60
2016-08-19,30.40,30.719999,30.26,30.549999,8831900,30.549999
2016-08-18,30.27,30.74,30.200001,30.549999,13369400,30.549999
2016-08-17,30.27,30.469999,30.120001,30.370001,12327000,30.370001
2016-08-16,29.99,30.370001,29.870001,30.25,22161900,30.25
2016-08-15,29.370001,29.799999,29.309999,29.66,9411000,29.66
2016-08-12,29.15,29.200001,28.860001,29.17,9749000,29.17
2016-08-11,29.190001,29.450001,29.030001,29.379999,8741100,29.379999
2016-08-10,29.389999,29.469999,29.049999,29.110001,8186700,29.110001
2016-08-09,29.15,29.49,29.15,29.34,11012600,29.34
2016-08-08,29.02,29.42,29.00,29.120001,9018600,29.120001
2016-08-05,28.60,29.18,28.59,29.01,11881900,29.01
2016-08-04,28.27,28.40,27.99,28.280001,12162900,28.280001
2016-08-03,27.969999,28.51,27.950001,28.42,10562000,28.42
2016-08-02,28.389999,28.559999,27.790001,28.00,16915500,28.00
2016-08-01,28.84,28.92,28.370001,28.50,10396000,28.50
2016-07-29,28.77,29.01,28.59,28.73,10498500,28.73
2016-07-28,28.90,29.030001,28.66,28.860001,11528400,28.860001
2016-07-27,29.030001,29.370001,28.93,29.02,13672200,29.02
2016-07-26,29.02,29.280001,28.870001,29.23,15019500,29.029999
2016-07-25,28.82,29.139999,28.790001,29.129999,10622900,28.930683
2016-07-22,28.77,29.07,28.73,28.92,12996700,28.72212
2016-07-21,28.719999,29.08,28.629999,28.870001,20312700,28.672463
2016-07-20,29.139999,29.139999,28.190001,28.780001,28606100,28.583079
2016-07-19,27.950001,28.40,27.77,28.190001,21511200,27.997116
2016-07-18,28.059999,28.23,27.860001,28.209999,14083900,28.016977
2016-07-15,28.25,28.280001,27.690001,28.01,18519800,27.818347
2016-07-14,27.799999,28.08,27.66,28.00,15436600,27.808415
2016-07-13,27.450001,27.48,26.940001,27.16,12911900,26.974163
2016-07-12,26.82,27.440001,26.790001,27.370001,15516900,27.182727
2016-07-11,26.690001,26.92,26.389999,26.459999,13213000,26.278951
2016-07-08,26.17,26.43,26.030001,26.370001,14141600,26.189569
2016-07-07,25.27,25.92,25.26,25.690001,13428700,25.514221
2016-07-06,24.73,25.23,24.57,25.15,14165000,24.977915
2016-07-05,25.50,25.57,24.83,25.00,13317300,24.828942
2016-07-01,25.77,26.40,25.76,25.92,8863400,25.742647
2016-06-30,25.34,26.00,25.18,25.98,19736300,25.802236
2016-06-29,24.940001,25.25,24.639999,25.23,13760800,25.057368
2016-06-28,24.26,24.629999,23.879999,24.610001,19792300,24.441611
2016-06-27,24.049999,24.110001,23.110001,23.610001,25434000,23.448454
2016-06-24,25.07,25.530001,24.51,24.52,49311900,24.352227
2016-06-23,26.93,27.290001,26.799999,27.290001,18027200,27.103274
2016-06-22,26.23,26.68,26.139999,26.389999,14542900,26.209431
2016-06-21,26.059999,26.299999,25.799999,26.200001,12357100,26.020732
2016-06-20,25.879999,26.299999,25.85,25.90,17426400,25.722784
2016-06-17,25.10,25.49,25.049999,25.309999,19295900,25.13682
2016-06-16,24.450001,25.110001,24.23,25.07,16309400,24.898463
2016-06-15,24.84,25.17,24.57,24.719999,17393000,24.550857
2016-06-14,25.09,25.42,24.42,24.60,15812900,24.431679
2016-06-13,25.309999,25.73,25.24,25.26,12824300,25.087163
2016-06-10,25.639999,25.85,25.440001,25.540001,13449800,25.365248
2016-06-09,26.27,26.309999,25.950001,26.08,9893000,25.901552
2016-06-08,26.459999,26.82,26.40,26.540001,10311500,26.358406
2016-06-07,26.91,26.940001,26.50,26.52,9949100,26.338542
2016-06-06,26.620001,27.01,26.549999,26.85,10174200,26.666284
2016-06-03,26.60,26.65,26.01,26.540001,14562600,26.358406
2016-06-02,27.459999,27.549999,27.219999,27.280001,8077400,27.093342
2016-06-01,27.110001,27.57,26.67,27.49,11175000,27.301905
2016-05-31,27.639999,27.870001,27.24,27.370001,12723400,27.182727
2016-05-27,27.450001,27.639999,27.309999,27.530001,10156100,27.341632
2016-05-26,27.91,27.91,27.35,27.42,10080100,27.232384
2016-05-25,27.610001,28.290001,27.60,27.780001,15856700,27.589921
2016-05-24,27.040001,27.66,26.959999,27.41,18026100,27.222452
2016-05-23,26.719999,26.940001,26.60,26.83,8913100,26.646421
2016-05-20,26.85,27.17,26.67,26.77,14313000,26.586832
2016-05-19,27.07,27.35,26.440001,26.610001,11487100,26.427927
2016-05-18,26.190001,27.290001,26.18,27.24,20335500,27.053615
2016-05-17,26.08,26.559999,25.950001,26.16,14474100,25.981005
2016-05-16,25.860001,26.42,25.85,26.209999,9883900,26.030662
2016-05-13,26.190001,26.65,25.889999,25.889999,13378800,25.712852
2016-05-12,26.559999,26.73,25.969999,26.23,9838300,26.050526
2016-05-11,26.59,26.99,26.35,26.360001,9589900,26.179637
2016-05-10,26.41,26.790001,26.280001,26.629999,11200000,26.447788
2016-05-09,26.24,26.50,26.040001,26.10,10734400,25.921416
2016-05-06,25.99,26.35,25.90,26.25,12002200,26.070389
2016-05-05,26.26,26.50,26.00,26.17,11909100,25.990937
2016-05-04,26.50,26.620001,26.049999,26.280001,15144500,26.100185
2016-05-03,26.879999,26.91,26.34,26.889999,16716600,26.70601
2016-05-02,27.10,27.52,26.84,27.26,14987500,27.073479
2016-04-29,27.01,27.24,26.860001,27.059999,15477400,26.874846
2016-04-28,27.23,27.82,27.08,27.23,11096600,27.043683
2016-04-27,27.33,27.83,27.190001,27.530001,12481700,27.341632
2016-04-26,27.51,27.67,27.33,27.549999,13779800,27.212521
2016-04-25,27.530001,27.709999,27.23,27.530001,11748800,27.192768
2016-04-22,27.32,27.82,27.290001,27.700001,19084100,27.360685
2016-04-21,27.35,27.879999,27.15,27.26,16579300,26.926075
2016-04-20,26.48,27.48,26.42,27.41,24836300,27.074237
2016-04-19,25.860001,26.49,25.799999,26.459999,23006500,26.135873
2016-04-18,26.18,26.200001,25.530001,25.73,29605100,25.414816
2016-04-15,26.309999,26.370001,25.709999,25.76,14899900,25.444449
2016-04-14,25.74,26.26,25.66,26.17,18678400,25.849427
2016-04-13,25.030001,25.879999,24.98,25.879999,18251000,25.562978
2016-04-12,24.219999,24.85,24.18,24.58,14947800,24.278904
2016-04-11,23.90,24.440001,23.870001,24.110001,12107600,23.814662
2016-04-08,24.01,24.18,23.66,23.75,10000600,23.459071
2016-04-07,24.23,24.309999,23.51,23.719999,17145400,23.429438
2016-04-06,24.34,24.73,24.27,24.42,14982000,24.120864
2016-04-05,24.629999,24.700001,24.24,24.379999,12860000,24.081353
2016-04-04,25.49,25.51,24.91,25.040001,11408300,24.73327
2016-04-01,24.889999,25.68,24.620001,25.530001,15484800,25.217267
2016-03-31,24.91,25.540001,24.889999,25.01,15492000,24.703637
2016-03-30,24.959999,25.43,24.76,25.07,11502400,24.762901
2016-03-29,24.559999,24.809999,24.120001,24.780001,13927200,24.476454
2016-03-28,24.98,25.07,24.68,24.719999,9540200,24.417188
2016-03-24,24.940001,24.940001,24.290001,24.93,15777900,24.624617
2016-03-23,25.83,25.870001,25.200001,25.27,10430600,24.960452
2016-03-22,25.610001,26.02,25.450001,25.84,13623900,25.523469
2016-03-21,26.17,26.610001,25.860001,25.940001,10054000,25.622245
2016-03-18,26.049999,26.549999,25.98,26.280001,24032000,25.95808
2016-03-17,25.01,26.030001,24.58,25.85,20718900,25.533347
2016-03-16,25.299999,25.790001,24.709999,25.16,17841100,24.851799
2016-03-15,25.629999,25.690001,25.120001,25.43,15900500,25.118492
2016-03-14,25.83,26.07,25.66,25.91,17603300,25.592611
2016-03-11,25.15,26.09,25.110001,26.00,24457300,25.681509
2016-03-10,24.91,25.15,24.450001,24.65,20117300,24.348046
2016-03-09,25.200001,25.26,24.440001,24.610001,23542300,24.308537
2016-03-08,25.700001,25.860001,24.940001,25.01,21715100,24.703637
2016-03-07,25.84,26.33,25.700001,26.09,9835300,25.770407
2016-03-04,26.26,26.50,25.91,26.129999,13629400,25.809916
2016-03-03,26.10,26.190001,25.809999,26.139999,11515400,25.819794
2016-03-02,26.00,26.290001,25.83,26.110001,16119300,25.790162
2016-03-01,25.09,26.120001,25.059999,26.09,17197000,25.770407
2016-02-29,25.01,25.15,24.67,24.700001,13301500,24.397434
2016-02-26,25.00,25.67,24.780001,25.16,19258000,24.851799
2016-02-25,23.799999,24.68,23.77,24.629999,17568600,24.32829
2016-02-24,23.16,23.709999,22.68,23.709999,20271400,23.41956
2016-02-23,24.450001,24.49,23.68,23.709999,14728800,23.41956
2016-02-22,24.40,24.74,24.33,24.540001,12182000,24.239395
2016-02-19,23.780001,24.190001,23.639999,24.00,12986200,23.706008
2016-02-18,24.360001,24.540001,23.780001,23.959999,17521200,23.666498
2016-02-17,24.219999,24.67,24.120001,24.23,19226500,23.933191
2016-02-16,24.07,24.139999,23.209999,23.719999,20565500,23.429438
2016-02-12,21.91,23.200001,21.860001,23.09,22802200,22.807156
2016-02-11,21.67,22.129999,21.16,21.690001,29160400,21.424306
2016-02-10,23.379999,23.780001,22.639999,22.700001,21564200,22.421934
2016-02-09,21.889999,23.290001,21.76,22.93,25642000,22.649116
2016-02-08,23.76,23.84,22.32,22.67,24258700,22.392301
2016-02-05,25.09,25.42,24.18,24.35,16106100,24.051721
2016-02-04,24.15,25.200001,24.120001,25.01,17497500,24.703637
2016-02-03,24.43,24.52,23.290001,24.32,25132900,24.022088
2016-02-02,25.360001,25.360001,24.389999,24.50,18326800,24.199884
2016-02-01,25.780001,25.93,25.42,25.709999,11177900,25.395061
2016-01-29,25.35,25.889999,25.120001,25.879999,18766500,25.562978
2016-01-28,25.67,25.84,24.940001,25.17,16015600,24.861676
2016-01-27,25.25,26.16,25.049999,25.370001,19796300,25.059227
2016-01-26,25.040001,25.66,25.030001,25.49,13362900,25.029593
2016-01-25,25.459999,25.51,24.940001,24.98,20144600,24.528805
2016-01-22,25.26,25.98,25.18,25.610001,22498400,25.147427
2016-01-21,25.290001,25.59,24.690001,24.780001,22130300,24.332419
2016-01-20,25.700001,25.77,24.67,25.24,25940900,24.784109
2016-01-19,26.83,27.129999,25.76,26.26,28788200,25.785686
2016-01-15,26.030001,26.41,25.51,25.969999,29462200,25.500923
2016-01-14,26.99,27.32,26.23,27.15,23814500,26.65961
2016-01-13,28.73,28.799999,26.50,26.889999,29721900,26.404306
2016-01-12,28.74,28.879999,28.00,28.459999,16041800,27.945948
2016-01-11,28.450001,28.60,27.809999,28.459999,19414800,27.945948
2016-01-08,29.41,29.49,28.299999,28.379999,15295600,27.867393
2016-01-07,29.879999,30.07,28.780001,28.98,18138200,28.456556
2016-01-06,30.629999,30.780001,30.25,30.50,13057400,29.949102
2016-01-05,31.48,31.700001,30.93,31.280001,9850500,30.715014
2016-01-04,30.700001,31.52,30.559999,31.48,15749200,30.9114
2015-12-31,31.91,32.299999,31.77,31.809999,8154300,31.23544
2015-12-30,32.50,32.650002,32.200001,32.23,5057200,31.647854
2015-12-29,32.439999,32.700001,32.330002,32.549999,6388200,31.962074
2015-12-28,32.360001,32.360001,31.950001,32.169998,5420300,31.588936
2015-12-24,32.57,32.709999,32.439999,32.48,2798200,31.893338
2015-12-23,32.470001,32.73,32.279999,32.599998,6807100,32.01117
