Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,30.40,31.02,29.91,30.870001,2477000,30.870001
2016-09-30,30.66,30.91,30.16,30.40,3827400,30.40
2016-09-29,28.90,31.00,28.879999,30.33,5725400,30.33
2016-09-28,26.16,28.99,26.040001,28.91,6313700,28.91
2016-09-27,26.030001,26.23,25.379999,25.98,3463700,25.98
2016-09-26,26.50,27.26,26.43,26.65,2838700,26.65
2016-09-23,27.209999,27.889999,25.92,26.08,5697800,26.08
2016-09-22,26.83,27.93,26.83,27.549999,4683200,27.549999
2016-09-21,25.450001,26.459999,25.35,26.41,3272800,26.41
2016-09-20,25.559999,25.83,25.040001,25.190001,2049500,25.190001
2016-09-19,26.51,26.719999,25.65,25.65,1842800,25.65
2016-09-16,25.219999,26.280001,25.17,26.190001,3953600,26.190001
2016-09-15,25.450001,26.360001,25.24,25.889999,2995300,25.889999
2016-09-14,26.030001,26.219999,24.74,25.139999,5387100,25.139999
2016-09-13,27.610001,27.620001,25.82,26.139999,4438200,26.139999
2016-09-12,27.540001,28.469999,27.25,28.27,2602400,28.27
2016-09-09,29.42,29.639999,27.940001,27.940001,4175300,27.940001
2016-09-08,28.190001,30.139999,28.040001,29.75,3944900,29.75
2016-09-07,27.57,28.26,27.32,27.85,3234700,27.85
2016-09-06,26.950001,27.34,26.73,27.33,2557100,27.33
2016-09-02,26.639999,27.24,26.620001,26.799999,3146000,26.799999
2016-09-01,26.469999,26.93,25.76,26.389999,3658000,26.389999
2016-08-31,28.08,28.129999,26.67,26.719999,4472200,26.719999
2016-08-30,28.93,29.450001,28.09,28.309999,2947600,28.309999
2016-08-29,28.690001,29.129999,28.610001,28.93,2300800,28.93
2016-08-26,29.10,29.60,28.51,28.84,1936200,28.84
2016-08-25,29.02,29.40,28.66,28.940001,1681800,28.940001
2016-08-24,29.610001,29.74,28.889999,29.02,1878200,29.02
2016-08-23,29.02,29.82,28.879999,29.82,2658900,29.82
2016-08-22,29.42,29.629999,28.83,29.07,2774200,29.07
2016-08-19,30.209999,30.25,29.59,30.059999,2347900,30.059999
2016-08-18,29.360001,30.49,29.35,30.469999,2744400,30.469999
2016-08-17,28.879999,29.209999,28.469999,29.07,2513300,29.07
2016-08-16,28.969999,29.200001,28.440001,28.969999,2212400,28.969999
2016-08-15,28.92,29.299999,28.66,29.120001,1910200,29.120001
