Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,67.279999,67.690002,66.769997,67.050003,995200,67.050003
2016-09-30,67.800003,68.080002,67.360001,67.540001,905300,67.540001
2016-09-29,68.309998,68.68,67.00,67.480003,889600,67.480003
2016-09-28,68.559998,68.559998,68.050003,68.209999,622100,68.209999
2016-09-27,68.739998,69.00,68.519997,68.550003,806700,68.550003
2016-09-26,69.18,70.00,68.790001,68.839996,687800,68.839996
2016-09-23,69.790001,70.559998,68.93,69.459999,1030200,69.459999
2016-09-22,71.00,71.010002,70.379997,70.440002,501300,70.440002
2016-09-21,69.93,70.720001,69.529999,70.669998,473200,70.669998
2016-09-20,70.099998,70.449997,69.360001,69.620003,706400,69.620003
2016-09-19,69.68,70.220001,69.599998,69.800003,808000,69.800003
2016-09-16,69.110001,69.620003,68.650002,69.470001,959300,69.470001
2016-09-15,68.68,69.639999,68.68,69.519997,603900,69.519997
2016-09-14,68.830002,69.25,68.620003,68.690002,768000,68.690002
2016-09-13,69.050003,69.50,68.57,69.059998,650100,68.739997
2016-09-12,68.709999,69.709999,68.220001,69.480003,956300,69.158056
2016-09-09,69.779999,70.019997,68.970001,68.980003,884700,68.660373
2016-09-08,70.75,70.980003,70.199997,70.209999,567400,69.884669
2016-09-07,70.650002,70.949997,70.050003,70.900002,527800,70.571475
2016-09-06,71.830002,71.870003,71.110001,71.50,430600,71.168693
2016-09-02,71.879997,71.919998,71.269997,71.669998,460900,71.337903
2016-09-01,71.230003,71.739998,71.080002,71.639999,575200,71.308044
2016-08-31,71.110001,71.470001,71.050003,71.209999,578000,70.880036
2016-08-30,71.050003,71.339996,70.379997,71.339996,508100,71.009431
2016-08-29,70.589996,71.639999,70.50,71.099998,520100,70.770545
2016-08-26,70.830002,70.980003,70.050003,70.489998,359600,70.163371
2016-08-25,70.239998,70.82,70.00,70.620003,747500,70.292773
2016-08-24,70.400002,70.459999,70.050003,70.279999,676300,69.954345
2016-08-23,70.669998,70.760002,70.269997,70.559998,480700,70.233046
2016-08-22,70.150002,70.610001,70.120003,70.480003,535300,70.153423
2016-08-19,70.120003,70.440002,69.870003,70.440002,697500,70.113607
2016-08-18,70.309998,70.769997,70.220001,70.32,550200,69.99416
2016-08-17,69.449997,70.300003,69.230003,70.209999,843200,69.884669
2016-08-16,69.900002,70.010002,69.260002,69.279999,396500,68.958978
2016-08-15,70.029999,70.239998,69.849998,70.089996,636900,69.765223
2016-08-12,69.879997,70.25,69.639999,70.150002,947100,69.82495
2016-08-11,70.669998,70.989998,69.629997,70.029999,1152300,69.705503
2016-08-10,70.059998,70.540001,69.959999,70.32,989000,69.99416
2016-08-09,70.669998,70.959999,70.110001,70.230003,937400,69.904581
2016-08-08,71.360001,71.379997,70.449997,70.50,1122900,70.173327
2016-08-05,71.580002,71.690002,71.120003,71.18,816200,70.850176
2016-08-04,71.510002,71.879997,71.150002,71.43,1027800,71.099018
2016-08-03,71.32,71.75,70.82,71.529999,995400,71.198553
2016-08-02,71.410004,71.410004,70.75,71.199997,570400,70.87008
2016-08-01,71.00,71.43,70.650002,71.419998,851200,71.089062
2016-07-29,70.650002,71.419998,70.559998,70.760002,808500,70.432124
2016-07-28,70.82,71.470001,70.419998,70.870003,878900,70.541615
2016-07-27,68.50,70.959999,68.470001,70.839996,1420800,70.511748
2016-07-26,68.470001,68.940002,68.089996,68.50,1247800,68.182594
2016-07-25,67.800003,68.440002,67.440002,68.440002,640800,68.122874
2016-07-22,67.32,67.93,67.220001,67.790001,534500,67.475885
2016-07-21,67.540001,67.610001,67.029999,67.370003,396400,67.057833
2016-07-20,68.160004,68.209999,67.639999,67.739998,402400,67.426113
2016-07-19,67.18,68.080002,67.18,68.07,517700,67.754586
