Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,39.040001,39.330002,37.849998,38.099998,5265900,38.099998
2016-09-30,39.48,39.869999,39.139999,39.290001,6140500,39.290001
2016-09-29,38.970001,39.360001,38.580002,39.049999,4168400,39.049999
2016-09-28,38.389999,39.369999,37.810001,39.209999,4896300,39.209999
2016-09-27,38.869999,38.869999,37.91,38.48,6278100,38.48
2016-09-26,39.540001,40.049999,39.240002,39.259998,5351500,39.259998
2016-09-23,40.41,40.91,39.310001,39.560001,7189000,39.560001
2016-09-22,41.509998,41.970001,40.25,40.77,7111600,40.77
2016-09-21,38.84,41.150002,38.68,41.029999,11186200,41.029999
2016-09-20,38.380001,38.669998,37.779999,38.150002,5386600,38.150002
2016-09-19,38.790001,38.880001,38.220001,38.43,5123800,38.43
2016-09-16,38.830002,38.939999,37.860001,38.259998,12826600,38.259998
2016-09-15,38.380001,39.400002,38.23,39.200001,7312300,39.200001
2016-09-14,39.18,39.459999,38.080002,38.599998,7504600,38.599998
2016-09-13,39.880001,40.060001,38.560001,39.02,6053500,39.02
2016-09-12,38.75,40.580002,38.400002,40.360001,7326400,40.335001
2016-09-09,41.279999,41.299999,39.139999,39.299999,7819700,39.275656
2016-09-08,41.970001,42.689999,41.470001,41.59,4776800,41.564239
2016-09-07,41.759998,42.119999,41.130001,42.09,5033400,42.063929
2016-09-06,41.09,42.00,40.259998,42.00,7722800,41.973985
2016-09-02,40.290001,40.990002,39.869999,40.52,8112400,40.494902
2016-09-01,38.029999,39.439999,37.619999,39.43,7784100,39.405577
2016-08-31,38.02,38.560001,37.759998,38.240002,8366200,38.216315
2016-08-30,40.91,40.91,38.27,38.599998,8804200,38.576089
2016-08-29,39.57,41.139999,39.52,40.91,5955100,40.88466
2016-08-26,40.779999,41.450001,39.48,39.93,7098800,39.905267
2016-08-25,39.91,40.970001,39.59,40.16,8047900,40.135124
2016-08-24,42.50,42.50,39.59,39.849998,11354500,39.825315
2016-08-23,43.759998,43.830002,43.080002,43.150002,3992300,43.123274
2016-08-22,43.490002,43.73,43.060001,43.32,4926400,43.293167
2016-08-19,43.650002,44.310001,43.25,44.169998,5301800,44.142639
2016-08-18,44.330002,44.700001,43.84,44.43,4809600,44.40248
2016-08-17,44.049999,44.349998,42.93,44.00,8498600,43.972746
2016-08-16,45.009998,45.099998,43.849998,44.290001,7402800,44.262567
2016-08-15,45.16,45.450001,44.790001,44.919998,3575600,44.892174
2016-08-12,45.98,46.07,44.970001,45.169998,4100300,45.142019
2016-08-11,45.689999,45.91,45.200001,45.43,4913000,45.40186
2016-08-10,45.759998,46.02,44.869999,45.57,6344500,45.541773
2016-08-09,44.77,45.470001,44.48,45.00,5432500,44.972126
2016-08-08,44.130001,45.09,44.130001,44.650002,5148700,44.622345
2016-08-05,43.790001,44.490002,43.59,44.43,7108700,44.40248
2016-08-04,45.09,45.439999,44.84,44.91,5411700,44.882182
2016-08-03,45.68,45.68,44.709999,45.02,6821300,44.992115
2016-08-02,44.880001,45.91,44.57,45.860001,10251900,45.831594
2016-08-01,43.779999,44.240002,42.950001,44.16,5980300,44.132647
2016-07-29,43.040001,44.169998,42.66,44.00,9261000,43.972746
2016-07-28,42.450001,42.810001,41.77,42.669998,6207000,42.643568
2016-07-27,41.369999,42.59,40.650002,42.32,9394800,42.293786
2016-07-26,40.389999,41.290001,40.169998,41.130001,5569700,41.104525
2016-07-25,41.049999,41.049999,39.66,40.130001,5869900,40.105144
2016-07-22,40.360001,41.490002,40.23,41.27,6333100,41.244437
