Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,43.419998,43.48,42.389999,43.18,2201000,43.18
2016-09-30,43.369999,43.880001,42.82,43.459999,2194900,43.459999
2016-09-29,42.040001,43.389999,41.700001,42.779999,4014000,42.779999
2016-09-28,39.830002,42.099998,39.369999,42.029999,3749300,42.029999
2016-09-27,40.369999,40.369999,39.25,39.50,2380500,39.50
2016-09-26,41.779999,42.02,41.02,41.09,2367900,41.09
2016-09-23,43.00,43.52,41.380001,41.639999,1974600,41.639999
2016-09-22,43.16,43.91,42.759998,43.299999,2701600,43.299999
2016-09-21,41.93,42.43,41.549999,42.389999,2041100,42.389999
2016-09-20,41.779999,42.16,41.16,41.189999,2009700,41.189999
2016-09-19,42.150002,42.59,41.68,41.970001,3306200,41.970001
2016-09-16,40.50,41.91,40.310001,41.84,6023700,41.84
2016-09-15,40.990002,42.040001,40.880001,41.169998,2650400,41.169998
2016-09-14,41.900002,42.330002,40.43,40.650002,3227400,40.650002
2016-09-13,43.529999,43.57,41.970001,42.080002,1978400,42.080002
2016-09-12,44.040001,44.759998,43.43,44.23,1736800,44.23
2016-09-09,45.380001,45.700001,44.52,44.529999,3321100,44.529999
2016-09-08,45.32,46.25,44.93,46.009998,2929600,46.009998
2016-09-07,45.150002,45.279999,44.43,44.91,2063300,44.91
2016-09-06,44.939999,45.25,44.07,44.889999,1798800,44.889999
2016-09-02,44.459999,45.23,44.369999,44.900002,2261000,44.900002
2016-09-01,43.099998,44.139999,42.84,44.119999,2185900,44.119999
2016-08-31,44.209999,44.48,43.09,43.360001,2334100,43.360001
2016-08-30,45.34,45.68,44.189999,44.57,1448900,44.57
2016-08-29,44.150002,45.130001,43.91,45.029999,2124200,45.029999
2016-08-26,44.529999,45.380001,43.75,44.150002,3188100,44.150002
2016-08-25,45.139999,45.150002,43.959999,44.310001,2950200,44.310001
2016-08-24,45.310001,45.59,44.950001,45.110001,1818200,45.110001
2016-08-23,44.950001,46.32,44.830002,45.720001,2197200,45.720001
2016-08-22,45.759998,45.759998,44.939999,45.040001,2149700,45.040001
2016-08-19,46.580002,46.610001,45.939999,46.400002,1947300,46.400002
2016-08-18,46.290001,46.830002,45.939999,46.779999,2460300,46.779999
2016-08-17,46.209999,46.259998,45.27,45.939999,2271300,45.939999
2016-08-16,46.799999,46.869999,45.560001,46.169998,2375700,46.169998
2016-08-15,46.860001,47.450001,46.720001,46.959999,3048200,46.959999
2016-08-12,47.400002,47.560001,46.59,46.880001,1952400,46.880001
2016-08-11,45.759998,47.490002,45.599998,47.209999,3884500,47.209999
2016-08-10,46.310001,46.720001,45.32,45.369999,2397900,45.369999
2016-08-09,46.529999,46.759998,45.630001,46.099998,1965300,46.099998
2016-08-08,45.740002,46.779999,45.740002,46.220001,2945700,46.220001
2016-08-05,45.380001,45.740002,44.34,45.279999,3671200,45.279999
2016-08-04,44.439999,46.619999,44.25,45.68,5344100,45.68
2016-08-03,40.830002,44.77,40.830002,44.66,7115800,44.66
2016-08-02,41.310001,41.900002,40.439999,41.549999,4290400,41.549999
2016-08-01,42.950001,42.950001,41.139999,41.290001,3308300,41.290001
2016-07-29,41.889999,43.369999,41.450001,43.299999,2136400,43.299999
2016-07-28,42.130001,42.91,41.57,42.380001,2140400,42.380001
2016-07-27,43.599998,43.900002,41.650002,42.07,3258300,42.07
2016-07-26,42.459999,43.50,42.220001,43.43,2095100,43.43
2016-07-25,43.939999,44.110001,42.02,42.66,3172100,42.66
2016-07-22,44.52,44.939999,43.91,44.43,1879600,44.43
2016-07-21,44.310001,45.220001,44.110001,44.400002,2987200,44.400002
2016-07-20,43.380001,44.549999,42.869999,44.419998,2488300,44.419998
2016-07-19,44.650002,44.75,43.720001,43.810001,1630400,43.810001
2016-07-18,44.490002,44.610001,43.869999,44.560001,1752700,44.560001
2016-07-15,44.84,45.080002,44.330002,44.52,1351400,44.52
2016-07-14,45.189999,45.240002,44.259998,44.599998,2155300,44.599998
2016-07-13,45.16,45.459999,43.610001,44.630001,3281900,44.630001
2016-07-12,44.599998,45.610001,44.389999,45.16,2921800,45.16
2016-07-11,44.18,44.490002,43.419998,43.68,2937500,43.68
2016-07-08,43.34,43.950001,42.59,43.82,1830600,43.82
2016-07-07,43.889999,44.16,42.240002,42.77,2577000,42.77
2016-07-06,43.150002,43.68,42.240002,43.32,4854200,43.32
2016-07-05,43.209999,43.299999,42.419998,43.259998,2583000,43.259998
2016-07-01,44.18,44.459999,43.279999,43.869999,3079200,43.869999
2016-06-30,44.400002,44.450001,43.549999,44.18,4162200,44.18
2016-06-29,43.490002,44.790001,43.490002,44.529999,4534000,44.529999
2016-06-28,42.27,43.02,41.91,42.849998,3406700,42.849998
2016-06-27,41.27,41.560001,39.939999,40.41,4659200,40.41
2016-06-24,40.919998,42.290001,40.919998,41.799999,5851000,41.799999
2016-06-23,43.759998,44.080002,42.639999,42.93,4209600,42.93
2016-06-22,41.50,43.110001,41.50,42.880001,5891700,42.880001
2016-06-21,39.91,40.919998,39.619999,40.869999,2406200,40.869999
2016-06-20,40.889999,40.970001,39.950001,40.130001,3964000,40.130001
2016-06-17,39.75,40.68,39.610001,40.139999,3086100,40.139999
2016-06-16,39.77,39.810001,38.490002,39.130001,2662900,39.130001
2016-06-15,40.439999,41.02,40.02,40.419998,2156600,40.419998
2016-06-14,39.380001,40.849998,39.220001,40.82,3372200,40.82
2016-06-13,39.50,40.209999,39.16,39.459999,2336500,39.459999
2016-06-10,40.73,41.110001,39.509998,39.860001,2072200,39.860001
2016-06-09,40.939999,41.549999,40.849998,41.27,2023100,41.27
2016-06-08,42.310001,42.529999,41.360001,41.68,2888100,41.68
2016-06-07,40.290001,42.119999,40.150002,41.810001,4594100,41.810001
2016-06-06,40.09,40.099998,39.48,39.939999,3067400,39.939999
2016-06-03,40.220001,40.369999,39.099998,39.599998,3111300,39.599998
2016-06-02,39.41,40.32,39.25,40.310001,2568300,40.310001
2016-06-01,40.77,40.77,39.279999,39.98,3632300,39.98
2016-05-31,40.540001,41.360001,40.32,40.77,11869400,40.77
2016-05-27,40.66,40.66,39.73,40.400002,2886800,40.400002
2016-05-26,41.639999,41.990002,40.619999,40.799999,2315300,40.799999
2016-05-25,41.09,41.669998,40.310001,41.16,2927700,41.16
2016-05-24,40.450001,41.139999,40.150002,40.810001,2977200,40.810001
2016-05-23,40.139999,40.34,39.25,40.130001,3353300,40.130001
2016-05-20,39.849998,40.759998,39.450001,40.630001,3802600,40.630001
2016-05-19,38.48,39.759998,38.189999,39.709999,2742700,39.709999
2016-05-18,39.52,40.41,38.880001,39.209999,3175500,39.209999
2016-05-17,39.209999,40.139999,39.119999,39.43,2802800,39.43
2016-05-16,38.959999,39.93,38.889999,39.200001,4222000,39.200001
2016-05-13,38.41,39.32,38.310001,38.599998,3817500,38.599998
2016-05-12,38.34,39.189999,37.830002,38.630001,3073000,38.630001
2016-05-11,37.619999,38.290001,36.849998,37.619999,3013800,37.619999
2016-05-10,36.939999,37.93,36.650002,37.919998,2513400,37.919998
2016-05-09,37.200001,37.310001,36.060001,36.830002,3907400,36.830002
2016-05-06,35.900002,38.060001,35.84,37.200001,4458600,37.200001
2016-05-05,35.810001,37.549999,35.810001,36.529999,5158800,36.529999
2016-05-04,36.529999,37.66,33.540001,34.650002,5690000,34.650002
2016-05-03,36.32,36.450001,34.959999,35.509998,5031600,35.509998
2016-05-02,36.43,37.369999,35.669998,37.169998,4108800,37.169998
2016-04-29,36.490002,37.09,34.990002,36.25,3740000,36.25
2016-04-28,37.880001,38.240002,36.029999,36.240002,5322800,36.240002
2016-04-27,37.889999,38.779999,37.400002,38.200001,3835000,38.200001
2016-04-26,36.810001,37.439999,36.360001,37.419998,2437400,37.419998
2016-04-25,36.57,36.700001,35.490002,36.27,2384300,36.27
2016-04-22,36.240002,37.119999,36.209999,36.860001,3961400,36.860001
2016-04-21,36.900002,36.990002,35.98,36.09,2838400,36.09
2016-04-20,36.369999,37.470001,36.099998,36.889999,2182400,36.889999
2016-04-19,36.540001,36.959999,36.130001,36.540001,2688500,36.540001
2016-04-18,33.810001,36.389999,33.150002,36.049999,2983200,36.049999
2016-04-15,35.330002,35.349998,34.330002,35.119999,2393800,35.119999
2016-04-14,35.130001,35.580002,34.790001,35.52,2161200,35.52
2016-04-13,35.459999,35.93,34.830002,35.080002,3386100,35.080002
2016-04-12,34.75,35.889999,34.099998,35.669998,5031300,35.669998
2016-04-11,34.369999,34.919998,34.240002,34.450001,2940900,34.450001
2016-04-08,33.860001,34.32,33.700001,34.049999,2644200,34.049999
2016-04-07,32.599998,33.259998,32.43,32.849998,2816200,32.849998
2016-04-06,31.940001,33.099998,31.65,33.009998,2637600,33.009998
2016-04-05,31.27,32.169998,30.879999,31.610001,2389900,31.610001
2016-04-04,32.709999,33.150002,31.68,31.73,2897200,31.73
2016-04-01,32.470001,32.810001,32.119999,32.630001,3053100,32.630001
2016-03-31,32.50,33.509998,32.259998,33.25,3997200,33.25
2016-03-30,32.68,32.98,32.16,32.66,4521500,32.66
2016-03-29,31.459999,32.16,31.18,32.119999,2798800,32.119999
2016-03-28,32.50,32.50,31.110001,31.860001,2758000,31.860001
2016-03-24,31.33,32.509998,31.139999,32.380001,4605000,32.380001
2016-03-23,32.82,33.00,31.84,32.119999,3639300,32.119999
2016-03-22,33.209999,33.82,32.939999,33.029999,3319100,33.029999
2016-03-21,33.57,34.209999,32.709999,33.48,2981500,33.48
2016-03-18,34.259998,34.970001,33.009998,33.82,9145800,33.82
2016-03-17,33.900002,34.169998,32.959999,33.720001,4001800,33.720001
2016-03-16,32.139999,33.630001,32.139999,33.490002,3974900,33.490002
2016-03-15,31.530001,32.189999,31.09,31.84,4500800,31.84
2016-03-14,31.209999,32.740002,30.84,32.150002,4765100,32.150002
2016-03-11,31.32,32.490002,31.120001,31.84,6146700,31.84
2016-03-10,30.57,30.610001,29.610001,30.48,6031700,30.48
2016-03-09,29.690001,31.17,29.219999,30.639999,6156400,30.639999
2016-03-08,29.49,29.629999,27.77,28.969999,5952200,28.969999
2016-03-07,30.16,30.51,28.719999,29.92,7826900,29.92
2016-03-04,29.67,31.610001,29.35,30.17,8983000,30.17
2016-03-03,29.25,29.879999,28.32,29.16,7576800,29.16
2016-03-02,28.200001,29.07,27.43,29.01,6196900,29.01
2016-03-01,27.459999,28.60,26.74,28.60,7236000,28.60
2016-02-29,26.780001,27.51,26.09,27.23,12015200,27.23
2016-02-26,25.83,26.50,24.83,26.030001,34690300,26.030001
2016-02-25,23.190001,25.32,23.030001,24.41,6504900,24.41
2016-02-24,22.66,23.49,22.33,23.42,4129900,23.42
2016-02-23,24.209999,24.469999,23.32,23.34,4381700,23.34
2016-02-22,23.799999,25.23,23.17,24.51,5316600,24.51
2016-02-19,22.049999,22.35,20.84,22.309999,6520000,22.309999
2016-02-18,25.059999,25.219999,22.540001,22.60,6222200,22.60
2016-02-17,24.17,24.99,22.76,24.870001,5614600,24.870001
2016-02-16,24.65,24.76,23.83,24.18,2572000,24.18
2016-02-12,24.110001,24.91,23.639999,24.17,3320500,24.17
2016-02-11,22.879999,23.879999,22.360001,23.66,6058500,23.66
2016-02-10,23.780001,24.67,23.10,23.57,4245200,23.57
2016-02-09,25.389999,25.389999,23.370001,23.799999,4402900,23.799999
2016-02-08,23.690001,25.540001,23.299999,25.469999,7424300,25.469999
2016-02-05,26.82,26.83,24.469999,24.879999,6087100,24.879999
2016-02-04,28.49,29.18,27.16,27.25,3358700,27.25
2016-02-03,27.43,28.32,25.870001,28.290001,3159300,28.290001
2016-02-02,27.49,27.49,26.25,26.620001,3599000,26.620001
2016-02-01,28.24,28.83,27.450001,28.17,3648400,28.17
2016-01-29,27.870001,29.219999,27.74,29.07,3808600,29.07
2016-01-28,28.17,28.530001,26.940001,27.58,4793800,27.58
2016-01-27,25.889999,27.08,25.129999,26.52,6740100,26.52
2016-01-26,25.129999,26.790001,24.25,25.93,3680000,25.93
2016-01-25,25.190001,26.25,24.450001,24.48,3294200,24.48
2016-01-22,26.60,27.73,25.35,26.00,7334900,26.00
2016-01-21,23.65,25.41,23.23,25.33,7614700,25.33
2016-01-20,23.879999,24.09,22.200001,23.709999,5275400,23.709999
2016-01-19,26.52,26.57,23.700001,24.370001,6047800,24.370001
2016-01-15,26.450001,27.23,25.52,26.23,6975300,26.23
2016-01-14,28.459999,28.82,26.92,27.870001,6595400,27.870001
2016-01-13,29.719999,30.389999,27.889999,28.17,3244400,28.17
2016-01-12,29.629999,29.90,28.34,29.309999,3356900,29.309999
2016-01-11,29.860001,30.15,28.469999,28.98,3776000,28.98
2016-01-08,29.700001,30.280001,29.01,29.26,3276900,29.26
2016-01-07,29.17,30.91,28.85,29.41,3902100,29.41
2016-01-06,31.35,31.35,29.690001,30.040001,4165600,30.040001
2016-01-05,32.369999,32.68,31.809999,32.490002,2181100,32.490002
2016-01-04,32.48,33.009998,31.82,32.27,3017600,32.27
2015-12-31,31.68,33.02,31.57,32.560001,2032500,32.560001
2015-12-30,31.83,32.759998,31.280001,31.85,2733700,31.85
2015-12-29,33.240002,33.380001,31.959999,32.689999,2070700,32.689999
2015-12-28,32.349998,32.57,31.459999,32.34,2006000,32.34
2015-12-24,33.27,33.529999,32.540001,33.09,1032800,33.09
2015-12-23,31.59,33.52,31.459999,33.27,4235900,33.27
2015-12-22,30.42,30.98,29.879999,30.629999,4650500,30.629999
2015-12-21,31.49,31.75,29.940001,30.41,5210100,30.41
2015-12-18,32.540001,32.759998,31.60,31.60,4397100,31.60
2015-12-17,34.369999,34.75,32.330002,32.610001,4474600,32.610001
2015-12-16,35.209999,35.439999,33.830002,34.439999,3307400,34.439999
2015-12-15,35.400002,35.860001,34.740002,35.049999,2815300,35.049999
2015-12-14,34.810001,35.669998,33.779999,34.790001,3891800,34.790001
2015-12-11,36.139999,36.279999,34.990002,35.259998,3960600,35.259998
2015-12-10,35.130001,36.799999,34.82,36.52,3007000,36.52
2015-12-09,36.209999,36.459999,34.639999,35.299999,3120800,35.299999
2015-12-08,34.48,35.459999,34.25,34.82,4855800,34.82
