Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,11.32,11.62,11.04,11.28,4946600,11.28
2016-09-30,11.18,11.26,11.04,11.21,4397900,11.21
2016-09-29,11.37,11.40,11.03,11.10,4856400,11.10
2016-09-28,11.24,11.49,11.20,11.42,5283600,11.42
2016-09-27,11.26,11.31,11.03,11.19,3556100,11.19
2016-09-26,11.49,11.54,11.25,11.30,4892900,11.30
2016-09-23,11.66,11.85,11.51,11.53,5562700,11.53
2016-09-22,11.98,12.09,11.51,11.76,5600400,11.76
2016-09-21,11.54,11.98,11.50,11.88,6697600,11.88
2016-09-20,11.27,11.53,11.16,11.43,5937700,11.43
2016-09-19,11.27,11.33,11.07,11.22,3089900,11.22
2016-09-16,10.98,11.30,10.86,11.26,9279500,11.26
2016-09-15,10.82,11.31,10.70,11.15,6636300,11.15
2016-09-14,10.98,11.15,10.76,10.89,6349800,10.89
2016-09-13,11.72,11.79,10.78,10.98,6640100,10.98
2016-09-12,11.79,12.05,11.57,11.98,4535100,11.98
2016-09-09,12.25,12.25,11.59,11.60,3863000,11.60
2016-09-08,12.29,12.51,12.22,12.42,5409300,12.42
2016-09-07,12.15,12.48,12.15,12.30,3561500,12.30
2016-09-06,11.98,12.24,11.84,12.15,2441100,12.15
2016-09-02,11.71,12.08,11.71,11.98,2527700,11.98
2016-09-01,12.10,12.17,11.56,11.60,4334300,11.60
2016-08-31,12.16,12.25,11.75,12.11,4021800,12.11
2016-08-30,12.54,12.63,12.16,12.19,2537100,12.19
2016-08-29,12.29,12.53,12.26,12.52,2509500,12.52
2016-08-26,12.41,12.68,12.21,12.26,3124300,12.26
2016-08-25,12.21,12.46,12.20,12.35,1913500,12.35
2016-08-24,12.55,12.62,12.14,12.20,3306900,12.20
2016-08-23,12.55,12.80,12.48,12.56,4414300,12.56
2016-08-22,12.29,12.50,12.19,12.49,3361900,12.49
2016-08-19,12.51,12.51,12.28,12.37,2549400,12.37
2016-08-18,12.39,12.57,12.35,12.57,3166300,12.57
2016-08-17,12.28,12.45,12.08,12.38,5199200,12.38
2016-08-16,12.64,12.73,12.28,12.30,4576600,12.30
2016-08-15,12.77,12.87,12.55,12.61,4669100,12.61
2016-08-12,13.02,13.15,12.67,12.72,3449000,12.72
2016-08-11,12.81,13.05,12.69,12.97,3624700,12.97
2016-08-10,12.85,13.11,12.54,12.75,5298800,12.75
2016-08-09,13.51,13.82,12.75,12.83,5769100,12.83
2016-08-08,13.70,13.88,13.50,13.52,4528000,13.52
2016-08-05,13.64,13.93,13.60,13.62,3833300,13.62
2016-08-04,14.10,14.25,13.56,13.80,4995500,13.80
2016-08-03,13.80,14.54,13.66,14.14,3950900,14.14
2016-08-02,13.68,13.87,13.54,13.77,3456900,13.77
2016-08-01,13.78,13.90,13.46,13.66,4738000,13.66
2016-07-29,14.03,14.13,13.77,13.84,4590400,13.84
2016-07-28,13.97,14.18,13.80,14.09,3548900,14.09
2016-07-27,14.87,14.99,13.88,13.98,5553900,13.949999
2016-07-26,14.84,15.05,14.67,14.77,2584700,14.738305
2016-07-25,14.81,15.03,14.66,14.79,2850600,14.758261
2016-07-22,14.62,14.89,14.52,14.79,3523400,14.758261
2016-07-21,14.65,14.86,14.50,14.57,4363300,14.538733
2016-07-20,14.53,14.78,14.18,14.67,5182100,14.638519
2016-07-19,15.48,15.53,14.61,14.64,4485200,14.608584
2016-07-18,15.47,15.54,15.35,15.53,3310900,15.496673
2016-07-15,15.35,15.55,15.23,15.47,3465000,15.436802
2016-07-14,15.61,16.02,15.29,15.31,5740000,15.277146
2016-07-13,15.81,15.88,15.50,15.87,4365900,15.835944
2016-07-12,15.49,15.97,15.49,15.78,4065800,15.746137
2016-07-11,14.95,15.37,14.93,15.36,3267700,15.327038
2016-07-08,14.69,15.07,14.68,15.07,3921300,15.03766
2016-07-07,14.65,14.94,14.36,14.56,3597900,14.528755
2016-07-06,14.40,14.71,14.32,14.63,2517200,14.598605
2016-07-05,14.85,14.93,14.20,14.50,3326900,14.468884
2016-07-01,15.03,15.41,14.96,15.02,4415500,14.987768
2016-06-30,14.75,15.01,14.31,14.99,5480100,14.957832
2016-06-29,14.37,14.84,14.36,14.71,5609900,14.678433
2016-06-28,13.59,14.27,13.59,14.19,6337900,14.159549
2016-06-27,13.81,13.98,13.22,13.32,5504900,13.291416
2016-06-24,14.17,14.35,13.87,13.99,7257900,13.959978
2016-06-23,14.27,14.55,14.21,14.53,3186600,14.498819
2016-06-22,14.30,14.36,13.88,14.14,4075800,14.109657
2016-06-21,14.26,14.46,14.07,14.33,3314300,14.299249
2016-06-20,14.44,14.72,14.24,14.25,3950400,14.21942
2016-06-17,14.02,14.72,14.02,14.39,6458200,14.35912
2016-06-16,13.84,14.21,13.62,13.97,8548500,13.940021
2016-06-15,14.12,14.34,13.76,13.95,6757400,13.920064
2016-06-14,14.80,14.89,14.09,14.23,7032800,14.199463
2016-06-13,14.85,15.18,14.66,14.88,5681300,14.848068
2016-06-10,16.360001,16.360001,14.86,14.90,9009700,14.868025
2016-06-09,16.91,16.92,16.049999,16.59,10766900,16.554399
2016-06-08,18.07,18.32,17.74,17.780001,4577600,17.741846
2016-06-07,17.809999,18.00,17.57,17.90,6320100,17.861587
2016-06-06,17.50,17.90,17.440001,17.870001,6683400,17.831653
2016-06-03,17.299999,17.57,17.059999,17.389999,6667200,17.352681
2016-06-02,16.75,17.35,16.75,17.15,4419400,17.113197
2016-06-01,16.34,16.93,16.299999,16.85,6392200,16.813841
2016-05-31,16.24,16.75,16.190001,16.379999,5780300,16.344849
2016-05-27,15.66,16.26,15.66,16.190001,3843500,16.155258
2016-05-26,15.93,16.09,15.56,15.65,7175600,15.616416
2016-05-25,15.62,15.95,15.43,15.85,6265700,15.815987
2016-05-24,16.01,16.209999,15.70,16.02,3819500,15.985622
2016-05-23,15.69,16.15,15.66,15.90,3280200,15.865879
2016-05-20,15.57,15.82,15.49,15.73,3024600,15.696244
2016-05-19,15.17,15.70,15.08,15.49,3255100,15.456759
