Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,84.459999,84.959999,84.230003,84.440002,931900,84.440002
2016-09-30,84.489998,85.400002,84.239998,85.00,1353400,85.00
2016-09-29,85.110001,85.410004,83.900002,84.050003,826000,84.050003
2016-09-28,85.019997,85.379997,84.580002,85.279999,777700,85.279999
2016-09-27,83.889999,85.019997,83.650002,84.959999,1039200,84.959999
2016-09-26,83.730003,83.980003,83.360001,83.870003,931000,83.870003
2016-09-23,84.900002,85.029999,84.230003,84.230003,1008300,84.230003
2016-09-22,85.230003,85.559998,84.879997,85.360001,740000,85.360001
2016-09-21,84.209999,85.019997,83.910004,84.900002,945600,84.900002
2016-09-20,83.959999,84.419998,83.660004,84.050003,1200200,84.050003
2016-09-19,84.339996,84.839996,83.910004,84.010002,1091000,83.460001
2016-09-16,84.239998,84.339996,83.599998,83.959999,1133000,83.410325
2016-09-15,83.489998,84.959999,83.199997,84.610001,997900,84.056071
2016-09-14,83.900002,84.25,83.25,83.559998,699400,83.012942
2016-09-13,84.589996,84.650002,83.510002,83.75,1365200,83.201701
2016-09-12,83.300003,85.480003,83.139999,85.300003,1429300,84.741556
2016-09-09,85.330002,85.470001,83.739998,83.75,1471300,83.201701
2016-09-08,86.809998,86.889999,86.010002,86.059998,1054600,85.496575
2016-09-07,86.120003,87.50,86.120003,87.150002,1019100,86.579443
2016-09-06,86.589996,86.690002,85.870003,86.370003,1024800,85.804551
2016-09-02,86.690002,86.830002,86.139999,86.699997,648200,86.132385
2016-09-01,86.25,86.480003,85.309998,86.25,859800,85.685334
2016-08-31,86.150002,86.480003,85.699997,86.129997,915500,85.566117
2016-08-30,86.040001,86.50,85.919998,86.360001,1649200,85.794614
2016-08-29,84.68,86.370003,84.620003,85.839996,1796200,85.278014
2016-08-26,84.480003,85.370003,84.089996,84.550003,682200,83.996466
2016-08-25,84.360001,84.629997,84.080002,84.379997,861400,83.827574
2016-08-24,86.279999,86.279999,84.300003,84.419998,1018000,83.867313
2016-08-23,84.75,84.989998,84.400002,84.669998,1019100,84.115676
2016-08-22,84.239998,84.669998,83.949997,84.43,892400,83.877249
2016-08-19,83.93,84.620003,83.610001,84.349998,1058500,83.797771
2016-08-18,84.389999,84.620003,84.050003,84.190002,1008600,83.638823
2016-08-17,83.870003,84.589996,83.870003,84.57,766700,84.016332
2016-08-16,84.889999,84.889999,83.849998,84.050003,1266500,83.49974
2016-08-15,84.790001,85.800003,84.400002,85.279999,2255400,84.721683
2016-08-12,83.309998,84.419998,82.910004,84.260002,1833500,83.708364
2016-08-11,82.25,83.220001,82.059998,83.150002,1104100,82.605631
2016-08-10,82.00,82.379997,81.830002,82.230003,718300,81.691655
2016-08-09,81.889999,82.199997,81.540001,81.870003,650000,81.334012
2016-08-08,82.589996,82.589996,81.82,81.940002,829900,81.403553
2016-08-05,81.879997,82.489998,81.739998,82.440002,790500,81.90028
2016-08-04,81.239998,81.830002,80.919998,81.529999,1059600,80.996234
2016-08-03,81.269997,81.410004,80.870003,81.110001,830200,80.578985
2016-08-02,82.709999,82.839996,80.629997,81.25,1296500,80.718068
2016-08-01,82.449997,82.730003,81.989998,82.599998,1415000,82.059228
2016-07-29,82.470001,82.599998,81.849998,82.290001,1113000,81.75126
2016-07-28,82.309998,83.00,82.309998,82.709999,1030300,82.168509
2016-07-27,82.599998,83.099998,82.230003,82.360001,1772700,81.820802
2016-07-26,82.769997,82.830002,81.790001,82.620003,980400,82.079102
2016-07-25,82.559998,83.00,82.389999,82.779999,1027300,82.23805
2016-07-22,82.00,83.010002,80.470001,82.669998,2077400,82.12877
2016-07-21,83.349998,83.349998,81.379997,81.830002,1905900,81.294273
2016-07-20,83.879997,83.900002,83.150002,83.68,1653500,83.132159
2016-07-19,82.800003,83.389999,82.50,83.32,1118200,82.774516
2016-07-18,82.720001,83.349998,82.440002,83.040001,1043400,82.49635
2016-07-15,83.610001,83.610001,82.370003,82.779999,1909100,82.23805
2016-07-14,83.089996,83.900002,82.120003,83.120003,2778500,82.575828
2016-07-13,84.57,85.419998,84.260002,84.959999,2508300,84.403778
2016-07-12,84.269997,85.290001,84.07,84.540001,2482700,83.98653
2016-07-11,83.120003,84.239998,82.440002,83.959999,1900800,83.410325
2016-07-08,82.879997,83.260002,82.489998,83.120003,1308800,82.575828
2016-07-07,81.50,82.510002,81.169998,82.309998,1879800,81.771126
2016-07-06,82.239998,83.199997,79.940002,81.419998,1812300,80.886953
2016-07-05,81.209999,81.209999,80.410004,80.739998,1622700,80.211405
2016-07-01,81.489998,81.970001,81.339996,81.690002,1489000,81.15519
2016-06-30,80.400002,81.489998,79.739998,81.489998,1600600,80.956495
2016-06-29,79.120003,80.18,75.610001,80.099998,2292600,79.575595
2016-06-28,78.269997,78.900002,77.870003,78.830002,1634700,78.313913
2016-06-27,79.849998,79.879997,77.32,77.57,2595500,77.06216
2016-06-24,82.169998,82.199997,80.550003,80.690002,3364300,80.161737
2016-06-23,84.830002,84.959999,84.32,84.959999,1328700,84.403778
2016-06-22,83.650002,84.089996,82.980003,83.839996,1574100,83.291108
2016-06-21,83.279999,83.650002,82.57,83.279999,1344000,82.734777
2016-06-20,82.330002,83.160004,82.209999,82.949997,1252500,82.406935
2016-06-17,81.57,81.589996,80.730003,81.349998,1445000,80.817412
2016-06-16,81.389999,81.910004,80.400002,81.709999,1374700,81.175056
2016-06-15,81.900002,82.25,81.519997,81.620003,1695400,81.085648
2016-06-14,82.019997,82.129997,81.050003,81.849998,2107600,81.314138
2016-06-13,82.790001,83.199997,79.449997,82.150002,1430800,81.612177
2016-06-10,83.940002,84.040001,83.230003,83.330002,1540300,82.784452
2016-06-09,84.269997,84.650002,83.989998,84.400002,1679600,83.847447
2016-06-08,83.459999,85.75,83.410004,85.370003,2527800,84.2647
2016-06-07,82.690002,83.400002,82.389999,83.269997,1474100,82.191883
2016-06-06,81.970001,82.639999,81.50,82.440002,1360000,81.372635
2016-06-03,82.699997,82.769997,81.160004,81.940002,2027700,80.879109
2016-06-02,82.970001,83.110001,82.519997,83.040001,1942500,81.964865
2016-06-01,83.139999,83.160004,82.599998,82.949997,1423700,81.876027
2016-05-31,82.769997,83.410004,82.400002,83.330002,1803600,82.251111
2016-05-27,82.419998,82.75,82.290001,82.639999,651200,81.570043
2016-05-26,81.970001,82.57,81.809998,82.190002,2193600,81.125872
2016-05-25,83.010002,83.209999,81.559998,82.059998,2143500,80.99755
2016-05-24,82.489998,83.040001,82.25,82.879997,1641700,81.806933
2016-05-23,82.93,83.080002,82.129997,82.190002,1549000,81.125872
2016-05-20,82.800003,83.309998,82.739998,82.790001,1626400,81.718102
2016-05-19,82.900002,83.00,81.919998,82.410004,1874200,81.343025
2016-05-18,83.260002,83.650002,82.730003,83.230003,1807600,82.152408
2016-05-17,84.050003,84.50,83.089996,83.300003,1266600,82.221501
2016-05-16,83.57,84.629997,83.419998,84.260002,1076700,83.169071
2016-05-13,84.029999,84.379997,83.339996,83.730003,1289900,82.645934
2016-05-12,84.360001,84.440002,83.720001,84.260002,1876000,83.169071
2016-05-11,84.019997,84.269997,83.540001,84.120003,2232600,83.030884
2016-05-10,83.669998,84.610001,83.50,84.580002,1460100,83.484927
2016-05-09,83.690002,84.459999,83.610001,83.669998,1044900,82.586706
2016-05-06,83.209999,84.199997,83.139999,83.959999,1320300,82.872952
2016-05-05,83.300003,83.57,82.830002,83.260002,1441100,82.182018
2016-05-04,82.959999,83.620003,82.809998,83.349998,1313800,82.270849
2016-05-03,83.209999,83.589996,83.07,83.449997,1331300,82.369553
2016-05-02,83.459999,83.800003,82.970001,83.610001,1129100,82.527485
2016-04-29,83.160004,83.190002,82.459999,82.970001,1643600,81.895772
2016-04-28,83.629997,83.959999,83.019997,83.18,1199100,82.103052
2016-04-27,83.82,84.379997,83.18,84.129997,1066700,83.040749
2016-04-26,83.809998,84.269997,83.339996,83.889999,1570300,82.803859
2016-04-25,83.50,83.730003,82.669998,83.519997,1824200,82.438646
2016-04-22,83.849998,85.00,83.489998,83.769997,1802900,82.68541
2016-04-21,83.599998,84.360001,83.440002,84.019997,1950800,82.932173
2016-04-20,84.370003,84.370003,82.910004,83.410004,2277000,82.330078
2016-04-19,84.419998,85.949997,84.07,84.739998,3071100,83.642852
2016-04-18,83.849998,85.540001,83.720001,85.25,2296300,84.146251
2016-04-15,83.629997,84.379997,83.43,84.300003,1489800,83.208554
2016-04-14,83.779999,83.93,83.269997,83.739998,2371300,82.655799
2016-04-13,84.57,84.779999,83.629997,84.419998,2104700,83.326995
2016-04-12,83.339996,84.480003,83.150002,84.339996,1164400,83.248029
2016-04-11,83.519997,84.239998,83.25,83.330002,1253000,82.251111
2016-04-08,83.540001,83.660004,82.910004,83.150002,847400,82.073442
2016-04-07,83.410004,83.660004,82.730003,82.910004,1343200,81.836551
2016-04-06,83.470001,84.080002,83.32,84.00,1131400,82.912435
2016-04-05,83.760002,83.870003,83.150002,83.32,1299800,82.241239
2016-04-04,83.849998,84.290001,83.459999,83.879997,1722500,82.793986
2016-04-01,82.290001,84.089996,82.190002,83.900002,2003300,82.813731
2016-03-31,83.410004,84.230003,83.00,83.230003,1680500,82.152408
2016-03-30,82.989998,83.860001,82.769997,83.32,1743100,82.241239
2016-03-29,82.199997,82.980003,81.93,82.800003,1158900,81.727975
2016-03-28,81.379997,82.510002,81.230003,82.199997,1617500,81.135737
2016-03-24,80.970001,81.400002,80.629997,81.339996,1186600,80.286871
2016-03-23,81.57,81.959999,80.989998,81.290001,1711200,80.237523
2016-03-22,81.150002,81.919998,80.889999,81.339996,1187300,80.286871
2016-03-21,80.669998,81.739998,80.529999,81.480003,1361200,80.425065
2016-03-18,80.580002,81.339996,80.529999,80.980003,2246300,79.931539
2016-03-17,79.839996,80.760002,79.75,80.459999,1591000,79.418267
2016-03-16,78.599998,79.839996,78.239998,79.690002,909000,78.65824
2016-03-15,78.32,79.190002,78.209999,78.889999,1222400,77.868595
2016-03-14,78.57,79.190002,77.739998,78.970001,745300,77.947561
2016-03-11,78.279999,79.269997,78.230003,78.949997,1606300,77.927815
2016-03-10,78.019997,78.540001,77.150002,77.580002,1569300,76.575558
2016-03-09,78.25,78.279999,77.150002,77.629997,1323200,76.624906
2016-03-08,77.93,78.389999,77.419998,77.860001,1322600,76.851931
2016-03-07,77.839996,78.620003,77.470001,78.50,1446500,77.483645
2016-03-04,78.470001,78.970001,77.889999,78.760002,2098900,77.246752
2016-03-03,78.529999,78.739998,77.239998,78.389999,4042000,76.883858
2016-03-02,78.709999,79.139999,77.980003,78.410004,2231300,76.903478
2016-03-01,78.629997,79.230003,78.279999,79.00,1961100,77.482138
2016-02-29,77.720001,78.690002,77.620003,77.809998,2051400,76.315
2016-02-26,78.00,78.25,77.349998,77.610001,1226700,76.118846
2016-02-25,77.080002,77.849998,76.300003,77.709999,1997000,76.216923
2016-02-24,75.919998,77.019997,75.400002,76.900002,1911500,75.422488
2016-02-23,77.040001,77.639999,76.720001,76.82,1350900,75.344023
2016-02-22,76.519997,77.599998,76.300003,77.120003,1341600,75.638262
2016-02-19,75.989998,76.519997,75.400002,76.519997,1466200,75.049784
2016-02-18,75.389999,76.519997,75.25,76.010002,2036300,74.549589
2016-02-17,76.199997,76.529999,75.099998,75.459999,2073200,74.010153
