Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,57.48,57.779999,57.110001,57.459999,2315700,57.459999
2016-09-30,57.43,58.119999,57.209999,57.869999,2444800,57.869999
2016-09-29,57.50,57.810001,57.139999,57.16,2489000,57.16
2016-09-28,58.880001,59.00,57.009998,57.50,6409400,57.50
2016-09-27,59.790001,60.360001,59.700001,60.27,2419100,60.27
2016-09-26,59.639999,59.959999,59.59,59.68,1535200,59.68
2016-09-23,60.330002,60.700001,59.91,59.91,1230700,59.91
2016-09-22,60.009998,60.48,59.93,60.369999,2017700,60.369999
2016-09-21,59.25,59.799999,59.02,59.68,1561000,59.68
2016-09-20,58.959999,59.52,58.77,59.220001,1610500,59.220001
2016-09-19,58.529999,58.990002,58.400002,58.610001,1263800,58.610001
2016-09-16,59.029999,59.09,58.009998,58.23,3858600,58.23
2016-09-15,58.23,59.110001,57.810001,59.009998,1616800,59.009998
2016-09-14,58.490002,58.790001,58.209999,58.380001,1717500,58.380001
2016-09-13,59.59,59.650002,58.220001,58.509998,3114300,58.509998
2016-09-12,59.00,60.009998,58.799999,59.849998,2921800,59.849998
2016-09-09,60.52,60.669998,59.290001,59.290001,3284500,59.290001
2016-09-08,61.25,61.470001,60.830002,61.07,1366300,61.07
2016-09-07,61.080002,61.619999,60.779999,61.540001,1302800,61.540001
2016-09-06,61.23,61.25,60.75,61.240002,1289900,61.240002
2016-09-02,61.360001,61.490002,60.849998,61.119999,1072300,61.119999
2016-09-01,60.799999,61.029999,60.48,60.990002,1214500,60.990002
2016-08-31,60.610001,60.799999,60.400002,60.669998,1448100,60.669998
2016-08-30,60.700001,60.779999,60.50,60.759998,841700,60.759998
2016-08-29,60.68,60.82,60.560001,60.650002,777500,60.650002
2016-08-26,60.75,61.189999,60.009998,60.50,1633000,60.50
2016-08-25,60.720001,60.98,60.50,60.73,1290400,60.73
2016-08-24,60.669998,60.77,60.509998,60.689999,988500,60.689999
2016-08-23,60.689999,60.869999,60.439999,60.650002,1171100,60.650002
2016-08-22,60.189999,60.41,60.009998,60.380001,1092700,60.380001
2016-08-19,59.740002,60.169998,59.450001,60.150002,1974900,60.150002
2016-08-18,59.43,59.860001,59.299999,59.830002,1125500,59.830002
2016-08-17,59.369999,59.57,59.099998,59.470001,1735800,59.470001
2016-08-16,59.759998,59.970001,59.290001,59.290001,1670100,59.290001
2016-08-15,60.02,60.25,59.900002,60.099998,1268200,60.099998
2016-08-12,59.669998,60.080002,59.669998,60.029999,1493300,60.029999
2016-08-11,59.490002,59.93,59.41,59.900002,1409600,59.900002
