Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,15.69,15.85,15.67,15.75,2882900,15.75
2016-09-30,15.70,15.90,15.53,15.82,3707500,15.82
2016-09-29,15.80,15.93,15.55,15.62,2836200,15.62
2016-09-28,15.70,15.85,15.61,15.84,2534700,15.84
2016-09-27,15.54,15.72,15.46,15.67,2723200,15.67
2016-09-26,15.69,15.72,15.51,15.53,2610500,15.53
2016-09-23,15.80,15.94,15.78,15.81,2955900,15.81
2016-09-22,15.97,15.97,15.67,15.85,1907100,15.85
2016-09-21,15.79,15.81,15.59,15.72,2046600,15.72
2016-09-20,15.79,15.83,15.66,15.68,2338300,15.68
2016-09-19,15.77,15.88,15.64,15.71,2362800,15.71
2016-09-16,15.78,15.84,15.64,15.71,5249800,15.71
2016-09-15,15.89,16.01,15.82,15.93,4432400,15.93
2016-09-14,15.94,16.059999,15.81,15.86,3370100,15.86
2016-09-13,16.049999,16.059999,15.81,16.00,3527500,16.00
2016-09-12,16.040001,16.209999,15.90,16.16,3241300,16.16
2016-09-09,16.26,16.34,16.08,16.08,3056600,16.08
2016-09-08,16.299999,16.34,16.209999,16.27,2598900,16.27
2016-09-07,16.09,16.309999,16.02,16.280001,2412900,16.280001
2016-09-06,16.379999,16.40,16.07,16.120001,2997700,16.120001
2016-09-02,16.200001,16.34,16.139999,16.33,2229700,16.33
2016-09-01,16.32,16.34,16.00,16.18,2653500,16.18
2016-08-31,16.18,16.25,16.02,16.25,3615900,16.25
2016-08-30,16.00,16.200001,15.95,16.190001,3187200,16.190001
2016-08-29,15.84,15.99,15.84,15.97,2284800,15.97
2016-08-26,15.91,15.97,15.72,15.87,2446700,15.87
2016-08-25,15.72,15.86,15.72,15.81,1879100,15.81
2016-08-24,15.69,15.75,15.66,15.70,1507000,15.70
2016-08-23,15.77,15.78,15.67,15.70,1932700,15.70
2016-08-22,15.61,15.72,15.56,15.69,1816700,15.69
2016-08-19,15.50,15.65,15.43,15.61,2416900,15.61
2016-08-18,15.50,15.54,15.43,15.52,2018300,15.52
2016-08-17,15.42,15.51,15.38,15.50,2446800,15.50
2016-08-16,15.43,15.53,15.35,15.43,2449100,15.43
2016-08-15,15.39,15.57,15.39,15.51,2030500,15.51
2016-08-12,15.43,15.44,15.27,15.39,2161600,15.39
2016-08-11,15.48,15.48,15.35,15.45,3476600,15.45
2016-08-10,15.52,15.54,15.32,15.40,3965100,15.40
2016-08-09,15.41,15.55,15.38,15.50,3354700,15.50
2016-08-08,15.52,15.59,15.40,15.44,2094200,15.44
2016-08-05,15.18,15.49,15.05,15.48,3237700,15.48
2016-08-04,15.09,15.23,15.06,15.08,2411200,15.08
2016-08-03,14.87,15.08,14.82,15.07,2731400,15.07
2016-08-02,14.93,14.99,14.79,14.84,2424100,14.84
2016-08-01,15.18,15.24,14.93,14.98,3514700,14.98
2016-07-29,15.14,15.24,15.03,15.16,10688700,15.16
2016-07-28,15.03,15.15,14.92,15.15,4765000,15.15
2016-07-27,15.29,15.45,15.23,15.25,3954500,15.08
2016-07-26,15.33,15.45,15.29,15.33,2521400,15.159108
2016-07-25,15.44,15.45,15.32,15.38,3678500,15.208551
2016-07-22,15.24,15.45,15.15,15.42,5983200,15.248105
2016-07-21,15.30,15.50,15.13,15.17,3810100,15.000892
2016-07-20,15.47,15.47,15.28,15.29,2850400,15.119554
2016-07-19,15.31,15.43,15.22,15.39,1871500,15.218439
2016-07-18,15.44,15.45,15.29,15.32,2892700,15.149219
2016-07-15,15.52,15.57,15.42,15.47,5069400,15.297548
2016-07-14,15.40,15.53,15.30,15.46,3635300,15.287659
2016-07-13,15.27,15.31,15.16,15.22,3126500,15.050334
2016-07-12,15.18,15.29,15.11,15.24,3046000,15.070111
2016-07-11,14.97,15.04,14.89,14.98,3072200,14.813009
2016-07-08,14.82,14.97,14.61,14.83,3445200,14.664682
2016-07-07,14.54,14.75,14.47,14.65,3618700,14.486688
2016-07-06,14.35,14.54,14.22,14.54,4341700,14.377914
