Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,58.48,58.919998,58.360001,58.77,984800,58.77
2016-09-30,58.400002,59.299999,57.990002,58.779999,2219700,58.779999
2016-09-29,58.380001,58.880001,57.790001,57.889999,1425700,57.889999
2016-09-28,57.490002,58.549999,57.490002,58.509998,1251900,58.509998
2016-09-27,57.099998,57.439999,56.77,57.380001,1501400,57.380001
2016-09-26,57.57,57.830002,57.139999,57.189999,1331900,57.189999
2016-09-23,58.419998,58.650002,57.099998,57.93,1437400,57.93
2016-09-22,58.330002,58.77,58.00,58.450001,1637400,58.450001
2016-09-21,57.400002,57.919998,57.25,57.779999,2080500,57.779999
2016-09-20,57.119999,57.509998,56.889999,57.279999,3261400,57.279999
2016-09-19,56.959999,57.330002,56.549999,56.68,1676200,56.68
2016-09-16,56.580002,56.959999,56.02,56.57,3212500,56.57
2016-09-15,56.75,57.110001,56.34,56.93,2743400,56.93
2016-09-14,55.189999,56.939999,55.189999,56.740002,1530200,56.740002
2016-09-13,56.610001,56.93,56.200001,56.360001,1668000,56.360001
2016-09-12,55.720001,57.259998,55.540001,57.169998,2281000,57.169998
2016-09-09,56.950001,57.310001,56.099998,56.110001,2291400,56.110001
2016-09-08,57.669998,57.669998,57.16,57.48,2798500,57.48
2016-09-07,57.990002,57.990002,57.349998,57.490002,5000800,57.490002
2016-09-06,58.919998,59.16,57.73,57.84,4053200,57.84
2016-09-02,59.950001,60.00,59.07,59.209999,2525100,59.209999
2016-09-01,59.990002,60.16,58.889999,59.549999,1867000,59.549999
2016-08-31,60.209999,60.380001,59.549999,59.84,1221100,59.84
2016-08-30,60.279999,60.57,59.98,60.50,1668000,60.50
2016-08-29,59.849998,60.52,59.50,60.279999,1139300,60.279999
2016-08-26,60.099998,60.75,59.599998,59.849998,1189100,59.849998
2016-08-25,59.700001,59.939999,59.52,59.93,850600,59.93
2016-08-24,59.869999,60.18,59.650002,59.75,1196900,59.75
2016-08-23,60.110001,60.490002,60.009998,60.02,1142700,60.02
2016-08-22,59.630001,60.130001,59.560001,59.91,1690600,59.91
2016-08-19,59.439999,59.970001,59.299999,59.919998,2448100,59.919998
2016-08-18,59.240002,59.540001,59.00,59.540001,1581200,59.540001
2016-08-17,58.919998,59.130001,57.790001,59.080002,1551200,59.080002
2016-08-16,58.599998,59.18,58.419998,58.880001,2633000,58.880001
