Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,108.769997,108.830002,107.470001,108.25,4530300,108.25
2016-09-30,108.370003,109.239998,108.370003,108.769997,7173300,108.769997
2016-09-29,109.50,109.709999,107.709999,107.760002,7249100,107.760002
2016-09-28,107.910004,107.910004,106.860001,107.379997,5030500,107.379997
2016-09-27,107.370003,107.870003,106.730003,107.489998,3779300,107.489998
2016-09-26,107.239998,107.379997,106.870003,107.029999,4440400,107.029999
2016-09-23,107.68,107.989998,107.040001,107.339996,3235900,107.339996
2016-09-22,107.489998,107.940002,107.309998,107.82,3869400,107.82
2016-09-21,106.300003,107.370003,105.879997,107.129997,3913900,107.129997
2016-09-20,106.099998,106.709999,105.959999,106.300003,3561700,106.300003
2016-09-19,105.209999,106.120003,104.919998,105.669998,3439300,105.669998
2016-09-16,105.00,105.50,104.580002,105.279999,4934100,105.279999
2016-09-15,104.949997,105.720001,104.699997,105.480003,3598600,105.480003
2016-09-14,104.82,105.639999,104.599998,105.050003,4007800,105.050003
2016-09-13,105.940002,105.949997,104.290001,104.589996,4597700,104.589996
2016-09-12,104.300003,106.220001,104.300003,106.019997,4569400,106.019997
2016-09-09,106.019997,106.190002,104.050003,104.050003,6134500,104.050003
2016-09-08,107.099998,107.339996,106.489998,106.879997,3491400,106.879997
2016-09-07,107.760002,107.970001,106.779999,107.209999,3260500,107.209999
2016-09-06,107.790001,108.120003,107.400002,107.919998,2913300,107.919998
2016-09-02,107.580002,108.25,107.50,107.870003,3671200,107.870003
2016-09-01,106.459999,107.339996,106.290001,107.290001,3799000,107.290001
2016-08-31,106.339996,106.879997,106.260002,106.75,3995000,106.75
2016-08-30,107.919998,108.059998,107.029999,107.209999,3708100,106.457002
2016-08-29,107.50,108.010002,107.400002,107.989998,2576400,107.231522
2016-08-26,107.919998,108.50,107.330002,107.449997,2868900,106.695314
2016-08-25,108.089996,108.379997,107.790001,107.879997,2129500,107.122294
2016-08-24,107.82,108.290001,107.550003,108.110001,3422600,107.350682
2016-08-23,108.25,108.550003,107.699997,107.879997,2473000,107.122294
2016-08-22,108.080002,108.209999,107.769997,107.959999,2304600,107.201734
2016-08-19,108.040001,108.260002,107.540001,108.169998,2846600,107.410258
2016-08-18,108.410004,108.82,108.199997,108.279999,2373000,107.519486
2016-08-17,107.949997,108.529999,107.599998,108.470001,2963900,107.708154
2016-08-16,108.25,108.690002,107.910004,108.00,2677200,107.241454
2016-08-15,108.709999,108.989998,108.639999,108.720001,2357800,107.956398
2016-08-12,108.639999,108.940002,108.370003,108.589996,2563400,107.827307
2016-08-11,109.010002,109.18,108.449997,108.480003,2786800,107.718086
2016-08-10,108.449997,108.959999,108.449997,108.82,2189900,108.055694
2016-08-09,108.25,108.75,108.059998,108.279999,2378200,107.519486
2016-08-08,108.419998,108.620003,107.669998,108.139999,3304200,107.38047
2016-08-05,108.739998,109.360001,108.370003,108.660004,3189400,107.896822
2016-08-04,108.169998,108.550003,107.980003,108.419998,3226900,107.658502
2016-08-03,108.93,108.980003,107.68,108.040001,3691900,107.281174
2016-08-02,109.25,109.25,108.279999,108.720001,3431600,107.956398
2016-08-01,108.720001,109.089996,108.339996,108.93,3880700,108.164923
2016-07-29,108.260002,109.110001,108.120003,108.919998,3995300,108.154991
2016-07-28,107.550003,108.379997,107.169998,108.129997,3446500,107.370538
2016-07-27,108.040001,108.040001,106.690002,107.480003,4724200,106.72511
2016-07-26,109.00,109.230003,108.029999,108.199997,3386100,107.440046
2016-07-25,109.239998,109.279999,108.379997,109.019997,3053100,108.254287
2016-07-22,108.779999,109.410004,108.779999,109.190002,2693100,108.423098
2016-07-21,108.709999,108.870003,108.110001,108.580002,2765400,107.817382
2016-07-20,109.860001,109.910004,108.68,108.919998,3021800,108.154991
2016-07-19,108.860001,109.559998,108.709999,109.529999,3987500,108.760707
2016-07-18,109.660004,109.699997,108.839996,109.209999,3688700,108.442955
2016-07-15,109.769997,110.489998,108.970001,109.660004,5230600,108.889799
2016-07-14,109.830002,110.940002,109.760002,109.959999,4834300,109.187687
2016-07-13,109.07,110.059998,108.889999,109.910004,5232100,109.138043
2016-07-12,108.419998,109.110001,108.370003,108.790001,4175800,108.025906
2016-07-11,108.160004,109.129997,107.769997,108.910004,6446600,108.145066
2016-07-08,108.040001,108.50,107.32,108.269997,6052800,107.509554
2016-07-07,108.529999,109.00,107.07,107.489998,9912800,106.735034
2016-07-06,106.589996,106.730003,105.629997,105.919998,6126500,105.176061
2016-07-05,105.669998,106.980003,105.629997,106.419998,5365200,105.67255
2016-07-01,106.230003,106.400002,105.379997,105.629997,4115700,104.888097
2016-06-30,103.75,106.00,103.529999,105.940002,7973200,105.195925
2016-06-29,102.82,103.330002,102.459999,103.120003,4898700,102.395732
2016-06-28,102.160004,102.339996,101.50,102.139999,5195100,101.422612
2016-06-27,101.769997,102.339996,101.300003,102.129997,6381900,101.41268
