Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,19.93,20.16,19.809999,20.040001,3082200,20.040001
2016-09-30,19.92,20.08,19.700001,20.040001,3621800,20.040001
2016-09-29,20.139999,20.23,19.73,19.809999,3544900,19.809999
2016-09-28,19.91,20.16,19.85,20.139999,3784200,20.139999
2016-09-27,19.799999,20.01,19.709999,19.889999,3538400,19.889999
2016-09-26,19.690001,19.860001,19.629999,19.77,3674300,19.77
2016-09-23,19.809999,19.99,19.719999,19.809999,3918400,19.809999
2016-09-22,19.549999,19.92,19.459999,19.860001,5603400,19.860001
2016-09-21,19.290001,19.450001,19.049999,19.41,5265200,19.41
2016-09-20,19.639999,19.68,19.10,19.290001,6366900,19.290001
2016-09-19,19.73,20.25,19.700001,19.870001,4408000,19.870001
2016-09-16,19.74,19.83,19.42,19.57,4480300,19.57
2016-09-15,19.870001,20.09,19.76,19.99,2662400,19.90
2016-09-14,19.799999,20.00,19.65,19.879999,5473600,19.790495
2016-09-13,20.09,20.24,19.549999,19.83,5735800,19.740721
2016-09-12,19.879999,20.27,19.799999,20.209999,5878300,20.119009
2016-09-09,20.709999,20.709999,19.82,20.040001,5448300,19.949776
2016-09-08,21.07,21.08,20.85,20.879999,2916700,20.785992
2016-09-07,20.799999,21.139999,20.799999,21.08,2809000,20.985093
2016-09-06,20.90,21.08,20.74,20.84,4834400,20.746174
2016-09-02,21.209999,21.33,20.870001,20.879999,4635100,20.785992
2016-09-01,21.40,21.559999,21.040001,21.10,4443100,21.005003
2016-08-31,21.360001,21.459999,21.18,21.370001,2801300,21.273788
2016-08-30,21.219999,21.40,21.18,21.360001,2870200,21.263833
2016-08-29,21.16,21.389999,21.16,21.18,3908900,21.084643
2016-08-26,21.57,21.73,21.040001,21.190001,3383200,21.094598
2016-08-25,21.52,21.690001,21.41,21.57,1875800,21.472886
2016-08-24,21.870001,21.98,21.540001,21.57,4716200,21.472886
2016-08-23,21.48,22.02,21.32,21.93,7253800,21.831266
2016-08-22,21.17,21.34,21.09,21.32,2457600,21.224012
2016-08-19,21.059999,21.27,21.049999,21.190001,2353500,21.094598
2016-08-18,21.110001,21.26,21.040001,21.139999,3588900,21.044822
2016-08-17,21.32,21.370001,20.84,21.07,4136700,20.975138
2016-08-16,21.41,21.629999,21.24,21.360001,3224100,21.263833
2016-08-15,21.200001,21.52,21.120001,21.42,4748000,21.323562
2016-08-12,21.389999,21.48,20.99,21.15,2604400,21.054777
2016-08-11,21.33,21.469999,21.17,21.389999,2310500,21.293697
2016-08-10,21.34,21.389999,21.110001,21.219999,3222400,21.124462
2016-08-09,21.219999,21.40,21.190001,21.290001,3766700,21.194148
2016-08-08,21.549999,21.639999,21.200001,21.26,5284700,21.164283
2016-08-05,21.110001,21.60,21.110001,21.540001,7951400,21.443023
2016-08-04,21.07,21.16,20.74,21.040001,5571600,20.945274
2016-08-03,20.91,21.18,20.90,21.01,4516200,20.915408
2016-08-02,21.34,21.450001,20.879999,20.950001,5242200,20.855679
2016-08-01,21.15,21.50,21.00,21.440001,5443400,21.343473
2016-07-29,21.719999,21.84,21.07,21.18,11743900,21.084643
2016-07-28,22.00,22.10,21.639999,21.719999,9137200,21.622211
2016-07-27,22.17,22.40,21.99,22.110001,4697900,22.010456
2016-07-26,21.940001,22.26,21.700001,22.10,8093500,22.000501
2016-07-25,22.290001,22.40,21.74,21.940001,9774500,21.841221
2016-07-22,21.790001,22.049999,21.40,21.85,9533200,21.751627
2016-07-21,21.030001,21.790001,20.65,21.51,13254900,21.413157
2016-07-20,20.389999,20.51,20.32,20.42,4333400,20.328064
2016-07-19,20.49,20.540001,20.280001,20.370001,2784600,20.27829
2016-07-18,20.43,20.50,20.309999,20.459999,2059600,20.367883
2016-07-15,20.459999,20.530001,20.16,20.370001,2334600,20.27829
2016-07-14,20.540001,20.65,20.35,20.370001,2219600,20.27829
2016-07-13,20.51,20.65,20.309999,20.43,2159300,20.33802
2016-07-12,20.530001,20.629999,20.360001,20.49,2715200,20.397749
2016-07-11,20.51,20.65,20.389999,20.41,3074700,20.318109
2016-07-08,20.17,20.67,20.17,20.48,4054100,20.387794
2016-07-07,19.67,20.049999,19.620001,19.969999,4776900,19.88009
2016-07-06,19.190001,19.66,19.08,19.66,4253500,19.571486
2016-07-05,19.42,19.43,19.040001,19.27,8055000,19.183242
2016-07-01,19.50,19.82,19.379999,19.48,3613500,19.392296
2016-06-30,19.07,19.51,18.950001,19.49,4903300,19.402251
2016-06-29,18.76,19.15,18.690001,19.00,5416100,18.914457
2016-06-28,18.26,18.690001,18.200001,18.559999,3622600,18.476438
2016-06-27,18.219999,18.25,17.709999,18.01,6377400,17.928915
2016-06-24,18.35,18.870001,18.33,18.40,9167500,18.317158
2016-06-23,19.17,19.18,18.940001,19.16,4986600,19.073737
2016-06-22,19.09,19.190001,18.85,18.870001,3617700,18.785044
2016-06-21,19.280001,19.370001,18.809999,19.10,6572400,19.014008
2016-06-20,19.280001,19.43,19.08,19.09,3990500,19.004052
2016-06-17,18.639999,19.16,18.59,19.049999,3801300,18.964232
2016-06-16,18.610001,18.700001,18.50,18.67,2059500,18.585943
2016-06-15,18.629999,18.99,18.559999,18.719999,2548600,18.635717
2016-06-14,18.790001,18.940001,18.49,18.59,2536900,18.506304
2016-06-13,19.120001,19.34,18.809999,18.83,3677600,18.745223
2016-06-10,19.370001,19.440001,19.15,19.219999,3579900,19.133466
2016-06-09,19.60,19.68,19.50,19.58,3059200,19.491846
2016-06-08,19.459999,19.799999,19.35,19.700001,5457500,19.611307
2016-06-07,18.690001,19.780001,18.620001,19.370001,11730300,19.282793
2016-06-06,18.85,18.889999,18.620001,18.700001,5898300,18.526213
2016-06-03,18.889999,18.889999,18.389999,18.790001,2415700,18.615377
2016-06-02,18.77,18.940001,18.66,18.889999,8995600,18.714446
2016-06-01,18.76,18.90,18.51,18.870001,2945300,18.694634
2016-05-31,18.889999,18.90,18.690001,18.76,3472700,18.585655
2016-05-27,18.83,19.040001,18.77,18.860001,2645100,18.684726
2016-05-26,18.709999,18.93,18.639999,18.860001,3283800,18.684726
2016-05-25,18.84,19.040001,18.68,18.700001,3291400,18.526213
2016-05-24,18.190001,18.860001,17.969999,18.73,6626800,18.555933
2016-05-23,18.02,18.15,17.790001,17.82,3061000,17.654391
2016-05-20,17.870001,18.120001,17.780001,18.059999,3356400,17.89216
2016-05-19,17.870001,18.030001,17.58,17.790001,3345500,17.624671
2016-05-18,18.129999,18.40,17.93,18.030001,4887500,17.86244
2016-05-17,18.17,18.42,18.059999,18.17,3300200,18.001138
2016-05-16,18.02,18.26,18.01,18.209999,2140600,18.040766
2016-05-13,18.110001,18.35,17.950001,17.98,3792300,17.812904
2016-05-12,18.24,18.32,18.08,18.190001,3175300,18.020953
2016-05-11,18.190001,18.360001,18.040001,18.15,4846800,17.981324
2016-05-10,18.360001,18.41,18.139999,18.24,4835300,18.070487
2016-05-09,18.219999,18.469999,18.16,18.280001,2430500,18.110117
2016-05-06,18.110001,18.450001,18.030001,18.23,4509200,18.06058
