Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,34.48,34.57,33.709999,33.950001,5277400,33.950001
2016-09-30,34.869999,35.07,34.400002,34.57,4998500,34.57
2016-09-29,35.02,35.049999,34.720001,34.82,4647400,34.82
2016-09-28,35.380001,35.48,34.82,35.110001,4123000,35.110001
2016-09-27,35.91,35.939999,35.139999,35.240002,4739100,35.240002
2016-09-26,35.669998,35.810001,35.48,35.759998,4682300,35.759998
2016-09-23,35.50,35.810001,35.400002,35.700001,4155500,35.700001
2016-09-22,35.619999,35.889999,35.57,35.82,3435500,35.82
2016-09-21,34.77,35.490002,34.75,35.450001,4460000,35.450001
2016-09-20,35.189999,35.25,34.75,34.77,4428400,34.77
2016-09-19,35.16,35.209999,34.889999,35.110001,3970200,35.110001
2016-09-16,34.599998,35.119999,34.419998,35.09,7192400,35.09
2016-09-15,34.110001,34.740002,33.98,34.68,4838600,34.68
2016-09-14,33.950001,34.470001,33.880001,34.130001,5171900,34.130001
2016-09-13,34.200001,34.209999,33.650002,33.75,4794400,33.75
2016-09-12,33.529999,34.25,33.52,34.209999,6921600,34.209999
2016-09-09,34.709999,34.709999,33.610001,33.630001,5697000,33.630001
2016-09-08,34.669998,35.00,34.669998,34.939999,4375200,34.939999
2016-09-07,34.93,34.950001,34.549999,34.709999,3798300,34.709999
2016-09-06,35.16,35.490002,35.110001,35.310001,4180000,34.930002
2016-09-02,34.610001,35.060001,34.599998,35.029999,4873000,34.653013
2016-09-01,34.75,34.84,34.380001,34.439999,4781500,34.069362
2016-08-31,34.509998,34.790001,34.349998,34.779999,6481300,34.405703
2016-08-30,34.959999,35.16,34.419998,34.509998,5063400,34.138609
2016-08-29,34.860001,35.060001,34.59,34.98,3079000,34.603552
2016-08-26,35.310001,35.610001,34.619999,34.66,3505300,34.286996
2016-08-25,35.34,35.41,35.200001,35.32,2701200,34.939893
2016-08-24,35.27,35.400002,34.93,35.259998,4336800,34.880537
2016-08-23,35.490002,35.759998,35.259998,35.259998,3456600,34.880537
2016-08-22,35.279999,35.439999,35.07,35.419998,4191400,35.038815
2016-08-19,35.380001,35.470001,34.950001,35.150002,4016700,34.771724
2016-08-18,35.27,35.599998,35.27,35.580002,4370200,35.197097
2016-08-17,34.93,35.470001,34.560001,35.369999,6565000,34.989354
2016-08-16,35.32,35.330002,34.939999,34.970001,4913200,34.593661
2016-08-15,36.259998,36.389999,35.380001,35.419998,5366500,35.038815
2016-08-12,36.560001,36.75,36.240002,36.259998,3372400,35.869776
2016-08-11,36.040001,36.41,35.900002,36.400002,4333000,36.008272
2016-08-10,36.09,36.200001,35.779999,36.029999,4498600,35.642251
2016-08-09,36.369999,36.599998,35.810001,36.25,5184400,35.859885
2016-08-08,36.889999,37.060001,36.610001,36.639999,4379100,36.245687
2016-08-05,36.799999,36.93,36.549999,36.759998,4534800,36.364395
2016-08-04,37.169998,37.259998,36.860001,36.959999,3035300,36.562243
2016-08-03,37.16,37.23,36.889999,37.099998,3503800,36.700736
2016-08-02,37.450001,37.560001,37.00,37.16,3725700,36.760091
2016-08-01,37.66,37.759998,37.439999,37.599998,2768400,37.195355
2016-07-29,37.220001,37.73,37.220001,37.709999,3644700,37.304172
2016-07-28,36.939999,37.310001,36.880001,37.240002,2564000,36.839232
2016-07-27,37.25,37.330002,36.77,37.02,3738600,36.621599
2016-07-26,37.509998,37.650002,36.959999,37.330002,4495300,36.928264
2016-07-25,37.650002,37.689999,37.25,37.529999,3406200,37.126109
2016-07-22,37.150002,37.740002,37.119999,37.700001,4067400,37.294281
2016-07-21,36.810001,37.16,36.689999,37.130001,3015500,36.730416
2016-07-20,37.209999,37.299999,36.900002,36.950001,3804400,36.552352
2016-07-19,37.32,37.419998,37.07,37.169998,3619200,36.769982
2016-07-18,37.240002,37.439999,37.169998,37.32,3456800,36.918369
