Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,27.83,28.07,27.549999,27.879999,2440100,27.879999
2016-09-30,27.780001,28.139999,27.73,27.99,1883900,27.99
2016-09-29,27.82,28.09,27.60,27.799999,2363000,27.799999
2016-09-28,26.99,27.85,26.969999,27.83,2942600,27.83
2016-09-27,26.33,26.959999,26.25,26.879999,2874700,26.879999
2016-09-26,26.120001,26.700001,26.030001,26.450001,2012100,26.450001
2016-09-23,26.110001,26.549999,26.01,26.209999,2181000,26.209999
2016-09-22,25.90,26.059999,25.66,25.940001,1613800,25.940001
2016-09-21,25.02,25.75,24.879999,25.709999,2397500,25.709999
2016-09-20,25.49,25.49,24.82,24.879999,1801500,24.879999
2016-09-19,25.129999,25.540001,25.110001,25.41,1500100,25.41
2016-09-16,24.780001,24.959999,24.49,24.93,2816300,24.93
2016-09-15,24.77,25.01,24.65,24.940001,1326600,24.940001
2016-09-14,24.870001,24.959999,24.59,24.67,1268200,24.67
2016-09-13,25.10,25.25,24.709999,24.870001,2188500,24.870001
2016-09-12,25.09,25.41,25.049999,25.309999,2711400,25.309999
2016-09-09,25.91,25.91,25.280001,25.32,2456600,25.32
2016-09-08,26.07,26.209999,26.030001,26.110001,1225000,26.110001
2016-09-07,26.16,26.190001,25.879999,26.01,1820600,26.01
2016-09-06,26.299999,26.389999,26.16,26.219999,1649300,26.219999
2016-09-02,25.940001,26.18,25.799999,26.16,1657500,26.16
2016-09-01,25.67,25.76,25.219999,25.74,1634300,25.74
2016-08-31,25.83,25.90,25.58,25.73,1616300,25.73
2016-08-30,26.190001,26.209999,25.870001,25.950001,1267100,25.950001
2016-08-29,26.01,26.23,25.99,26.120001,1348500,26.120001
2016-08-26,26.32,26.43,25.93,26.00,1779700,26.00
2016-08-25,26.26,26.450001,26.08,26.219999,1432800,26.219999
2016-08-24,26.32,26.52,26.139999,26.280001,2665700,26.280001
2016-08-23,26.10,26.370001,26.02,26.360001,1593400,26.360001
2016-08-22,25.82,26.02,25.690001,26.00,3064300,26.00
2016-08-19,25.959999,26.110001,25.860001,25.940001,2088200,25.940001
2016-08-18,25.49,26.18,25.469999,26.139999,3835200,26.139999
2016-08-17,25.34,25.459999,25.190001,25.440001,1706500,25.440001
2016-08-16,25.33,25.469999,25.280001,25.389999,1437900,25.389999
2016-08-15,24.93,25.43,24.889999,25.379999,1392600,25.379999
2016-08-12,25.09,25.25,24.66,24.90,2019800,24.90
2016-08-11,24.77,25.290001,24.77,25.07,2046000,25.07
2016-08-10,24.879999,24.99,24.639999,24.73,1504500,24.73
2016-08-09,24.709999,25.08,24.709999,24.790001,1493600,24.790001
2016-08-08,24.940001,25.17,24.58,24.639999,1766200,24.639999
2016-08-05,23.60,24.92,23.60,24.85,3935200,24.85
2016-08-04,24.42,24.610001,23.219999,23.450001,5867700,23.450001
