Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,185.00,186.419998,182.919998,185.389999,1445400,185.389999
2016-09-30,186.199997,187.990005,184.789993,185.649994,1896200,185.649994
2016-09-29,181.600006,187.740005,181.600006,185.360001,3189500,185.360001
2016-09-28,174.539993,184.070007,172.699997,183.429993,2455400,183.429993
2016-09-27,171.990005,174.25,170.309998,172.809998,1215100,172.770002
2016-09-26,176.059998,177.25,174.330002,174.570007,1113400,174.529604
2016-09-23,178.380005,179.25,173.339996,175.529999,1366200,175.489373
2016-09-22,184.050003,185.00,179.00,179.050003,1148700,179.008563
2016-09-21,178.080002,182.75,177.110001,182.410004,1569300,182.367786
2016-09-20,176.389999,177.929993,174.740005,175.75,1591700,175.709324
2016-09-19,178.369995,179.729996,176.429993,176.50,1378100,176.45915
2016-09-16,175.800003,177.460007,174.089996,177.119995,2548500,177.079002
2016-09-15,176.880005,181.059998,176.309998,178.479996,1579300,178.438687
2016-09-14,175.770004,179.080002,174.509995,176.309998,1767700,176.269192
2016-09-13,180.660004,181.149994,174.800003,176.869995,1773100,176.829059
2016-09-12,179.470001,184.679993,177.220001,183.210007,2063100,183.167604
2016-09-09,185.850006,187.660004,180.529999,180.600006,2669100,180.558207
2016-09-08,189.679993,190.940002,186.429993,187.509995,2240900,187.466596
2016-09-07,184.839996,188.600006,184.270004,188.309998,2035400,188.266414
2016-09-06,183.690002,184.899994,181.460007,183.50,1382300,183.45753
2016-09-02,182.00,183.919998,181.779999,183.710007,1247700,183.667488
2016-09-01,178.029999,180.339996,176.839996,180.220001,1548800,180.17829
2016-08-31,181.490005,182.860001,177.130005,179.050003,1701800,179.008563
2016-08-30,183.740005,185.00,181.100006,182.869995,1133400,182.827671
2016-08-29,179.309998,183.009995,178.389999,182.919998,1707400,182.877662
2016-08-26,181.300003,181.960007,178.580002,179.50,1294300,179.458456
2016-08-25,180.570007,181.039993,179.080002,180.410004,1697200,180.368249
2016-08-24,181.860001,182.580002,180.210007,180.580002,2035100,180.538208
2016-08-23,180.619995,182.889999,180.229996,182.25,2346700,182.207819
2016-08-22,183.149994,183.149994,180.139999,181.369995,2167700,181.328018
2016-08-19,183.449997,186.330002,183.309998,185.589996,2006300,185.547042
2016-08-18,181.899994,183.940002,181.00,183.910004,1647800,183.867439
2016-08-17,179.630005,180.449997,178.470001,180.300003,2228200,180.258274
2016-08-16,178.169998,179.759995,175.110001,178.770004,1778000,178.728629
2016-08-15,177.00,180.259995,176.929993,179.149994,1977400,179.108531
2016-08-12,175.009995,176.649994,173.360001,176.520004,1110800,176.47915
2016-08-11,173.039993,175.00,171.679993,174.199997,1431600,174.159679
2016-08-10,171.550003,172.850006,170.740005,171.770004,2078300,171.730249
2016-08-09,171.190002,172.160004,170.270004,171.300003,1761900,171.260357
2016-08-08,169.75,172.50,169.350006,170.649994,2059800,170.610498
2016-08-05,163.00,168.850006,161.889999,168.089996,2687400,168.051093
2016-08-04,161.550003,165.460007,160.199997,162.899994,2179600,162.862292
2016-08-03,160.00,163.600006,158.610001,163.110001,2218800,163.07225
2016-08-02,158.50,160.470001,155.630005,159.580002,1764200,159.543068
2016-08-01,161.039993,161.520004,156.520004,157.229996,2574900,157.193606
2016-07-29,157.619995,163.130005,157.369995,162.570007,2684300,162.532381
2016-07-28,153.25,158.800003,152.889999,157.539993,4030100,157.503531
