Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,181.160004,183.00,181.009995,182.089996,327300,182.089996
2016-09-30,182.419998,183.490005,180.880005,182.470001,539200,182.470001
2016-09-29,181.919998,183.119995,180.550003,181.300003,566600,181.300003
2016-09-28,179.929993,183.029999,179.889999,182.839996,463500,182.839996
2016-09-27,178.259995,179.779999,177.380005,179.580002,392300,179.580002
2016-09-26,179.610001,179.610001,178.039993,178.350006,319900,178.350006
2016-09-23,182.199997,182.210007,180.100006,180.100006,278900,180.100006
2016-09-22,178.309998,182.350006,178.309998,182.130005,457000,182.130005
2016-09-21,176.119995,178.240005,176.089996,178.050003,289300,178.050003
2016-09-20,177.830002,177.830002,175.979996,175.990005,569700,175.990005
2016-09-19,177.880005,178.429993,176.270004,176.699997,261300,176.699997
2016-09-16,177.539993,177.550003,175.389999,177.190002,601500,177.190002
2016-09-15,175.809998,178.50,175.490005,178.190002,375000,178.190002
2016-09-14,177.360001,178.610001,175.479996,176.259995,378400,176.259995
2016-09-13,178.580002,178.949997,177.279999,177.580002,432900,177.580002
2016-09-12,175.270004,180.029999,174.449997,179.800003,462300,179.800003
2016-09-09,178.75,179.289993,176.059998,176.059998,516500,176.059998
2016-09-08,179.639999,181.509995,178.910004,180.210007,539100,180.210007
2016-09-07,180.089996,180.330002,179.020004,179.710007,390500,179.710007
2016-09-06,182.199997,182.199997,179.509995,180.419998,546400,180.419998
2016-09-02,181.080002,182.240005,180.710007,182.149994,383300,182.149994
2016-09-01,177.119995,180.869995,176.929993,180.710007,560700,180.710007
2016-08-31,178.460007,178.770004,176.729996,177.550003,584300,177.550003
2016-08-30,178.729996,179.169998,178.210007,178.800003,387300,178.800003
2016-08-29,177.669998,178.669998,177.649994,178.570007,284500,178.570007
2016-08-26,177.229996,178.960007,176.729996,177.800003,606200,177.800003
2016-08-25,175.970001,176.880005,175.779999,176.830002,222000,176.830002
2016-08-24,176.820007,177.149994,176.070007,176.559998,431100,176.559998
2016-08-23,177.00,177.470001,176.419998,176.990005,385800,176.990005
2016-08-22,176.00,177.130005,175.229996,176.509995,543000,176.509995
2016-08-19,172.729996,176.429993,172.059998,176.399994,1481700,176.399994
2016-08-18,172.720001,173.220001,172.070007,173.220001,302000,173.220001
2016-08-17,172.869995,173.229996,171.850006,172.880005,553900,172.880005
2016-08-16,173.529999,173.75,172.610001,172.720001,341400,172.720001
2016-08-15,172.649994,174.259995,172.220001,173.789993,392700,173.789993
2016-08-12,174.080002,174.080002,172.050003,172.710007,331500,172.710007
2016-08-11,171.860001,174.600006,171.860001,174.449997,458400,174.449997
2016-08-10,171.610001,171.860001,170.509995,171.710007,275700,171.710007
2016-08-09,171.940002,172.610001,170.809998,171.339996,322400,171.339996
2016-08-08,171.119995,171.729996,170.589996,171.679993,411600,171.679993
2016-08-05,170.25,171.070007,169.639999,170.710007,338300,170.710007
2016-08-04,169.770004,170.220001,169.130005,169.570007,460200,169.570007
2016-08-03,169.50,170.289993,168.490005,169.070007,489900,169.070007
2016-08-02,171.229996,171.419998,169.220001,169.580002,628600,169.580002
2016-08-01,170.089996,172.00,170.089996,171.479996,708900,171.479996
2016-07-29,168.820007,171.610001,168.490005,170.360001,1030900,170.360001
2016-07-28,167.160004,169.429993,166.979996,169.119995,822500,169.119995
2016-07-27,165.559998,167.600006,165.160004,167.539993,1503800,167.539993
2016-07-26,162.619995,166.130005,162.119995,165.470001,1389400,165.470001
2016-07-25,165.00,166.869995,159.279999,163.330002,4247400,163.330002
2016-07-22,171.660004,173.369995,170.699997,173.309998,602000,173.309998
2016-07-21,173.539993,174.020004,171.570007,171.850006,334100,171.850006
2016-07-20,172.059998,174.559998,172.059998,173.729996,671900,173.729996
2016-07-19,170.020004,171.240005,169.699997,171.220001,426100,171.220001
2016-07-18,171.50,171.979996,170.470001,170.710007,367100,170.710007
2016-07-15,172.509995,173.570007,171.00,171.910004,439100,171.910004
2016-07-14,171.389999,172.699997,171.119995,172.020004,516100,172.020004
2016-07-13,170.360001,171.259995,169.509995,170.070007,1172400,170.070007
2016-07-12,171.779999,171.949997,169.600006,170.539993,927900,170.539993
2016-07-11,170.070007,171.160004,169.690002,170.610001,381300,170.610001
2016-07-08,168.619995,170.570007,168.619995,170.039993,399800,170.039993
2016-07-07,167.25,168.070007,166.100006,167.270004,383300,167.270004
2016-07-06,166.600006,167.070007,165.059998,166.740005,478400,166.740005
2016-07-05,169.149994,169.149994,166.559998,166.929993,621000,166.629996
2016-07-01,170.949997,171.929993,168.850006,169.919998,444600,169.614628
2016-06-30,167.410004,170.610001,167.330002,170.559998,493600,170.253477
2016-06-29,168.300003,168.949997,166.949997,167.149994,758100,166.849602
2016-06-28,166.279999,166.990005,164.800003,166.529999,417400,166.230721
2016-06-27,165.559998,166.110001,163.850006,164.770004,748900,164.47389
2016-06-24,167.449997,169.229996,167.330002,167.369995,1083800,167.069208
2016-06-23,171.580002,172.970001,171.220001,172.910004,270300,172.59926
2016-06-22,170.800003,171.880005,169.690002,169.929993,339100,169.624605
2016-06-21,170.169998,171.220001,170.130005,170.279999,398500,169.973982
2016-06-20,169.789993,171.339996,169.789993,170.460007,450600,170.153666
2016-06-17,168.789993,169.669998,166.869995,167.669998,573800,167.368672
2016-06-16,167.929993,169.020004,165.929993,168.619995,324900,168.316961
2016-06-15,169.639999,170.229996,168.179993,168.380005,303000,168.077403
2016-06-14,168.339996,169.25,167.330002,169.039993,417800,168.736205
2016-06-13,172.119995,172.580002,168.830002,168.899994,429000,168.596457
2016-06-10,173.690002,173.690002,171.539993,172.139999,242000,171.83064
2016-06-09,173.240005,175.00,172.729996,174.25,325700,173.936848
2016-06-08,174.259995,175.070007,172.610001,173.940002,385400,173.627408
2016-06-07,174.190002,174.910004,173.600006,174.020004,362300,173.707266
2016-06-06,172.479996,174.630005,172.179993,173.779999,502900,173.467692
2016-06-03,171.389999,172.449997,170.559998,171.779999,354700,171.471286
2016-06-02,170.880005,171.990005,170.25,171.649994,469000,171.341515
2016-06-01,170.160004,171.169998,169.270004,170.869995,466500,170.562918
2016-05-31,172.279999,172.289993,169.529999,171.080002,1501000,170.772547
2016-05-27,172.179993,172.369995,170.550003,172.00,1525400,171.690892
2016-05-26,173.899994,174.369995,170.229996,171.710007,793600,171.40142
2016-05-25,174.529999,176.149994,173.910004,174.080002,825800,173.767156
2016-05-24,173.440002,177.979996,173.440002,173.970001,1175900,173.657353
2016-05-23,179.00,179.300003,172.00,172.710007,2638800,172.399623
2016-05-20,181.179993,183.729996,181.179993,183.100006,912400,182.77095
2016-05-19,179.610001,180.520004,178.240005,179.990005,616200,179.666538
2016-05-18,179.979996,181.809998,179.25,181.139999,656000,180.814466
2016-05-17,178.50,181.289993,177.690002,180.389999,805500,180.065813
2016-05-16,176.669998,179.669998,175.610001,178.910004,543000,178.588477
2016-05-13,176.800003,177.970001,175.279999,176.320007,421900,176.003136
2016-05-12,176.229996,177.479996,174.809998,177.149994,424900,176.831631
2016-05-11,177.279999,178.210007,175.910004,175.970001,302200,175.653759
2016-05-10,175.070007,177.699997,175.070007,177.509995,326200,177.190984
2016-05-09,175.869995,176.600006,174.139999,174.660004,343000,174.346115
2016-05-06,174.210007,176.289993,173.649994,176.139999,283000,175.823451
2016-05-05,174.529999,175.860001,173.779999,174.369995,400600,174.056628
2016-05-04,174.639999,175.660004,172.679993,173.610001,487700,173.297999
2016-05-03,176.580002,176.580002,173.759995,176.199997,387500,175.883341
2016-05-02,176.029999,177.839996,175.179993,177.50,581800,177.181008
2016-04-29,175.869995,177.050003,175.020004,176.089996,555800,175.773538
2016-04-28,177.970001,179.50,176.350006,176.800003,510600,176.482269
2016-04-27,176.490005,180.169998,175.869995,179.229996,454500,178.907894
2016-04-26,179.789993,180.130005,176.860001,178.839996,655500,178.518596
2016-04-25,175.710007,181.149994,175.029999,179.660004,915200,179.33713
2016-04-22,177.570007,179.919998,177.570007,178.630005,482300,178.308982
2016-04-21,178.440002,179.75,177.479996,178.720001,399600,178.398816
2016-04-20,180.00,180.00,177.169998,178.550003,324800,178.229124
2016-04-19,179.539993,180.690002,178.179993,179.75,264400,179.426964
2016-04-18,176.25,179.119995,176.059998,178.830002,396500,178.508619
2016-04-15,177.309998,178.00,176.710007,177.149994,370200,176.831631
2016-04-14,178.779999,178.910004,176.729996,176.899994,425200,176.58208
2016-04-13,178.029999,178.910004,176.619995,178.160004,531300,177.839825
2016-04-12,177.309998,178.339996,176.089996,177.490005,301100,177.171031
2016-04-11,178.089996,178.539993,176.300003,176.679993,316500,176.362474
2016-04-08,178.029999,178.460007,177.070007,177.949997,381300,177.630196
2016-04-07,178.00,178.860001,176.009995,176.559998,555600,176.242695
2016-04-06,178.619995,179.330002,176.190002,178.940002,409000,178.618422
2016-04-05,179.020004,179.550003,178.429993,178.720001,454400,178.099352
2016-04-04,184.589996,184.589996,179.399994,180.399994,576900,179.773511
2016-04-01,181.240005,185.139999,180.619995,184.660004,506000,184.018726
2016-03-31,181.839996,183.690002,181.139999,182.770004,362300,182.135291
2016-03-30,183.740005,184.419998,181.660004,182.009995,371000,181.37792
2016-03-29,181.979996,183.029999,180.75,182.520004,377300,181.886159
2016-03-28,180.710007,182.190002,180.410004,182.00,366700,181.36796
2016-03-24,179.050003,180.669998,178.860001,180.529999,363100,179.903064
2016-03-23,182.149994,182.619995,179.279999,179.960007,409000,179.335051
2016-03-22,181.210007,182.619995,180.800003,182.020004,362400,181.387895
2016-03-21,181.149994,181.660004,180.619995,181.320007,331100,180.690329
2016-03-18,180.309998,182.550003,179.720001,181.850006,754400,181.218487
2016-03-17,177.690002,180.690002,177.520004,179.779999,542800,179.155669
2016-03-16,175.669998,177.589996,175.139999,177.429993,432400,176.813823
2016-03-15,173.949997,176.929993,173.949997,175.800003,305700,175.189494
2016-03-14,173.75,176.479996,173.529999,175.50,448700,174.890533
2016-03-11,171.850006,174.029999,170.899994,173.809998,439100,173.2064
2016-03-10,170.580002,171.509995,168.789993,170.460007,358400,169.868043
2016-03-09,171.690002,172.509995,170.080002,170.610001,378500,170.017516
2016-03-08,171.660004,172.440002,170.380005,170.779999,348900,170.186923
2016-03-07,171.679993,173.479996,171.679993,173.440002,363000,172.837689
2016-03-04,171.960007,172.899994,170.070007,172.50,503600,171.900951
2016-03-03,171.210007,172.470001,170.630005,172.380005,346400,171.781373
2016-03-02,171.009995,172.380005,170.300003,171.429993,398900,170.83466
2016-03-01,169.00,172.559998,168.580002,171.880005,491300,171.283109
2016-02-29,170.020004,170.50,166.869995,167.929993,682500,167.346815
2016-02-26,171.940002,172.080002,170.240005,170.339996,685600,169.748449
2016-02-25,171.220001,172.199997,169.25,171.00,507900,170.406161
2016-02-24,170.009995,170.869995,168.589996,170.220001,401400,169.62887
2016-02-23,172.399994,174.440002,170.300003,171.259995,440700,170.665252
2016-02-22,171.360001,173.679993,171.039993,173.009995,553600,172.409175
2016-02-19,170.660004,172.139999,168.949997,170.339996,648000,169.748449
2016-02-18,169.600006,172.360001,168.880005,170.50,634000,169.907897
2016-02-17,168.179993,170.179993,168.179993,169.710007,550600,169.120647
2016-02-16,165.059998,167.889999,163.389999,167.289993,602500,166.709038
2016-02-12,160.669998,164.610001,157.75,163.589996,396700,163.02189
2016-02-11,157.600006,161.110001,157.179993,159.970001,470700,159.414466
2016-02-10,161.220001,163.289993,159.919998,160.25,532700,159.693493
2016-02-09,160.600006,163.690002,160.190002,161.830002,596600,161.268007
2016-02-08,161.75,162.860001,159.539993,161.869995,465300,161.307862
2016-02-05,165.820007,165.820007,161.020004,163.119995,836800,162.553521
2016-02-04,162.039993,168.100006,160.490005,166.970001,723000,166.390157
2016-02-03,160.809998,162.139999,157.179993,162.110001,666900,161.547034
2016-02-02,161.899994,161.899994,155.789993,158.889999,1083500,158.338215
2016-02-01,157.339996,164.940002,157.309998,163.729996,2355500,163.161403
2016-01-29,170.300003,175.809998,169.240005,175.669998,961800,175.059941
2016-01-28,170.089996,171.240005,168.139999,169.720001,415400,169.130607
2016-01-27,169.270004,171.970001,167.369995,168.259995,302600,167.67567
2016-01-26,166.949997,169.330002,166.220001,169.279999,425100,168.692132
2016-01-25,168.279999,168.679993,165.940002,166.089996,525400,165.513208
2016-01-22,171.279999,172.229996,167.580002,168.520004,532200,167.934777
2016-01-21,167.690002,168.880005,165.220001,166.399994,584600,165.822129
2016-01-20,167.039993,168.940002,164.729996,167.619995,686100,167.037894
2016-01-19,171.979996,172.300003,168.369995,169.520004,493100,168.931304
2016-01-15,167.970001,171.070007,166.050003,169.429993,902100,168.841605
2016-01-14,170.949997,172.360001,168.800003,170.839996,834100,170.246713
2016-01-13,177.240005,178.559998,170.559998,170.759995,483600,170.166989
2016-01-12,175.179993,176.880005,173.240005,176.059998,553100,175.448586
2016-01-11,176.509995,177.929993,171.660004,173.470001,724300,172.867584
2016-01-08,179.229996,179.850006,175.240005,175.619995,489400,175.010112
2016-01-07,179.830002,181.259995,177.490005,177.889999,444300,177.272233
2016-01-06,184.529999,187.559998,182.979996,183.369995,471100,182.733198
2016-01-05,186.399994,188.080002,184.520004,187.559998,350200,186.609689
2016-01-04,186.380005,187.240005,184.259995,186.509995,514300,185.565006
2015-12-31,190.070007,191.160004,189.50,189.789993,247700,188.828386
2015-12-30,192.50,192.979996,190.410004,190.580002,185200,189.614392
2015-12-29,191.320007,193.320007,191.179993,192.619995,263400,191.644049
2015-12-28,188.729996,190.520004,188.279999,190.179993,194100,189.216409
2015-12-24,189.539993,190.350006,189.139999,189.839996,117600,188.878135
2015-12-23,188.160004,190.360001,188.070007,190.080002,291200,189.116925
2015-12-22,185.740005,187.740005,184.949997,187.220001,264800,186.271415
2015-12-21,184.570007,185.529999,183.389999,185.160004,245300,184.221855
2015-12-18,184.25,185.490005,183.220001,183.320007,855400,182.391181
2015-12-17,186.460007,188.320007,183.399994,184.600006,649200,183.664695
2015-12-16,182.979996,186.830002,182.75,186.419998,364500,185.475465
2015-12-15,185.720001,185.869995,182.089996,183.139999,378500,182.212085
2015-12-14,183.75,184.490005,182.529999,184.119995,310600,183.187116
2015-12-11,184.839996,185.850006,182.449997,183.270004,303900,182.341431
2015-12-10,185.110001,187.639999,184.380005,186.520004,286400,185.574965
2015-12-09,185.970001,188.020004,184.330002,185.449997,377500,184.510379
2015-12-08,186.809998,187.399994,185.350006,186.279999,395000,185.336175
2015-12-07,189.119995,189.470001,187.309998,188.259995,343900,187.306139
2015-12-04,187.979996,189.970001,186.419998,189.479996,589000,188.519959
2015-12-03,188.380005,189.259995,185.820007,187.619995,592200,186.669382
2015-12-02,191.050003,192.479996,187.309998,188.100006,615500,187.146961
2015-12-01,194.309998,194.979996,190.130005,191.679993,608500,190.708809
2015-11-30,195.00,195.929993,193.380005,193.490005,568700,192.509651
2015-11-27,194.009995,194.990005,192.639999,194.830002,130600,193.842858
2015-11-25,193.270004,194.979996,192.259995,193.839996,297100,192.857869
2015-11-24,190.779999,193.199997,190.100006,192.509995,307400,191.534605
2015-11-23,191.339996,192.380005,190.470001,192.279999,253200,191.305775
2015-11-20,190.179993,192.539993,189.880005,191.490005,353400,190.519784
2015-11-19,190.789993,191.809998,188.740005,189.440002,445400,188.480168
2015-11-18,186.320007,191.320007,185.589996,191.100006,497300,190.131761
2015-11-17,187.720001,188.080002,184.479996,185.75,407100,184.808862
2015-11-16,184.399994,187.00,183.899994,186.960007,355600,186.012738
2015-11-13,184.029999,186.300003,183.679993,184.479996,309400,183.545292
2015-11-12,185.779999,187.619995,184.25,184.330002,265800,183.396058
2015-11-11,186.410004,188.529999,185.979996,187.470001,247600,186.520148
2015-11-10,185.020004,186.270004,183.75,186.059998,276400,185.117289
2015-11-09,186.660004,187.899994,184.399994,185.660004,281100,184.719321
2015-11-06,186.869995,188.380005,186.160004,187.360001,264800,186.410705
2015-11-05,187.440002,188.820007,186.279999,187.910004,414600,186.957921
2015-11-04,187.270004,188.820007,186.580002,187.800003,317400,186.848478
2015-11-03,187.869995,188.75,186.25,186.970001,443300,186.022682
2015-11-02,186.350006,189.50,185.669998,188.850006,406700,187.893161
2015-10-30,184.679993,187.039993,184.160004,186.350006,621900,185.405828
2015-10-29,183.399994,184.570007,183.100006,184.240005,262500,183.306518
2015-10-28,182.940002,184.589996,181.149994,184.199997,482900,183.266712
2015-10-27,182.00,183.210007,180.149994,183.089996,529700,182.162336
2015-10-26,177.550003,184.589996,176.860001,182.910004,1076800,181.983255
2015-10-23,176.809998,177.490005,175.690002,176.860001,793500,175.963905
2015-10-22,173.860001,176.880005,172.990005,175.50,1001900,174.610795
2015-10-21,174.979996,175.729996,172.690002,172.949997,391900,172.073712
2015-10-20,173.649994,174.889999,173.100006,174.179993,525900,173.297476
2015-10-19,173.110001,174.610001,172.899994,174.550003,334400,173.665612
2015-10-16,174.979996,175.240005,172.600006,173.710007,414900,172.829871
2015-10-15,174.720001,174.899994,172.300003,174.639999,349500,173.755152
2015-10-14,173.979996,175.210007,173.210007,173.550003,447500,172.670678
2015-10-13,174.050003,175.860001,171.960007,174.149994,341700,173.267629
2015-10-12,173.770004,174.630005,172.770004,174.229996,287200,173.347226
2015-10-09,173.800003,174.899994,173.059998,173.699997,565600,172.819912
2015-10-08,167.899994,174.339996,166.029999,173.970001,710300,173.088549
2015-10-07,166.009995,168.470001,165.00,167.759995,694000,166.910006
2015-10-06,164.080002,165.600006,163.639999,165.020004,484400,163.935167
2015-10-05,160.770004,164.449997,160.009995,164.320007,677700,163.239772
2015-10-02,154.919998,159.809998,154.679993,159.710007,600600,158.660077
2015-10-01,157.589996,157.860001,156.25,157.75,586600,156.712955
2015-09-30,154.660004,156.919998,154.009995,156.699997,563600,155.669855
2015-09-29,153.350006,155.110001,152.490005,153.119995,512500,152.113388
2015-09-28,152.860001,153.889999,152.00,152.929993,790200,151.924635
2015-09-25,155.600006,155.619995,153.360001,154.210007,429500,153.196234
2015-09-24,151.800003,154.970001,150.910004,153.910004,651200,152.898203
2015-09-23,155.139999,155.179993,152.860001,153.339996,415200,152.331943
2015-09-22,156.309998,156.710007,154.119995,155.029999,428900,154.010835
2015-09-21,157.970001,159.580002,157.610001,158.220001,359500,157.179867
2015-09-18,160.00,160.559998,157.149994,157.490005,799500,156.45467
2015-09-17,162.059998,163.979996,161.029999,161.470001,456800,160.408501
2015-09-16,160.410004,162.779999,160.009995,162.339996,349300,161.272777
2015-09-15,159.369995,160.929993,158.520004,160.580002,324100,159.524353
2015-09-14,158.330002,159.119995,156.949997,158.679993,337700,157.636834
2015-09-11,156.820007,158.539993,156.279999,158.320007,425800,157.279216
2015-09-10,157.770004,160.139999,157.770004,159.039993,372700,157.994468
2015-09-09,162.149994,162.149994,158.050003,158.350006,249800,157.309017
2015-09-08,158.660004,160.649994,157.610001,160.630005,350500,159.574027
2015-09-04,157.759995,158.350006,155.369995,156.279999,319800,155.252618
2015-09-03,159.070007,162.529999,158.210007,158.740005,508200,157.696453
2015-09-02,157.600006,158.75,155.869995,158.729996,487000,157.686509
2015-09-01,158.789993,159.389999,154.839996,155.860001,632600,154.835381
2015-08-31,162.759995,164.029999,160.839996,162.089996,481100,161.024421
2015-08-28,162.490005,164.190002,162.059998,164.050003,356900,162.971542
2015-08-27,159.139999,163.899994,158.440002,163.25,633400,162.176799
2015-08-26,157.440002,157.990005,154.820007,157.449997,720900,156.414925
2015-08-25,158.759995,159.039993,154.029999,154.25,838300,153.235964
2015-08-24,155.059998,159.369995,152.789993,155.020004,982500,154.000907
2015-08-21,164.720001,164.960007,161.419998,161.740005,525300,160.676731
2015-08-20,167.899994,169.220001,165.690002,165.710007,352200,164.620633
2015-08-19,170.419998,171.080002,168.050003,169.220001,272200,168.107553
2015-08-18,171.080002,171.779999,170.669998,171.380005,272300,170.253357
2015-08-17,169.160004,171.539993,168.059998,171.210007,257600,170.084476
2015-08-14,168.470001,169.820007,166.320007,169.729996,372200,168.614195
2015-08-13,168.240005,169.800003,167.399994,169.059998,217000,167.948601
2015-08-12,167.490005,168.919998,166.339996,168.509995,293200,167.402214
2015-08-11,168.139999,169.050003,166.889999,168.919998,289500,167.809522
2015-08-10,169.389999,170.630005,168.679993,169.970001,308400,168.852623
2015-08-07,166.470001,168.300003,166.289993,168.270004,332400,167.163801
2015-08-06,167.389999,168.289993,166.270004,166.949997,343900,165.852472
2015-08-05,167.740005,169.410004,166.860001,167.389999,300400,166.289582
2015-08-04,165.410004,166.929993,165.029999,166.740005,462900,165.643861
2015-08-03,167.460007,167.720001,164.330002,165.410004,397800,164.322602
2015-07-31,167.889999,168.020004,166.460007,167.270004,427300,166.170375
2015-07-30,165.990005,167.630005,165.389999,167.070007,271400,165.971693
2015-07-29,164.179993,167.050003,163.800003,166.770004,427500,165.673662
2015-07-28,164.380005,164.970001,162.529999,164.25,1080100,163.170225
2015-07-27,161.970001,165.059998,158.210007,164.25,1700300,163.170225
2015-07-24,173.470001,174.240005,171.460007,172.110001,442500,170.978554
2015-07-23,174.779999,176.160004,173.630005,173.809998,384900,172.667375
2015-07-22,174.570007,176.210007,174.220001,175.00,326400,173.849554
2015-07-21,176.479996,176.889999,174.740005,174.970001,363200,173.819753
2015-07-20,176.889999,177.820007,176.520004,176.990005,175700,175.826478
2015-07-17,177.160004,177.270004,176.350006,176.960007,207200,175.796676
2015-07-16,177.25,177.970001,176.470001,177.080002,178400,175.915882
2015-07-15,176.809998,177.229996,175.580002,175.899994,269000,174.743632
2015-07-14,176.199997,177.009995,175.410004,176.809998,262800,175.647653
2015-07-13,174.190002,176.289993,173.820007,175.949997,449400,174.793306
2015-07-10,173.860001,173.940002,171.690002,172.350006,456300,171.216981
2015-07-09,173.470001,174.369995,171.300003,171.559998,341700,170.432166
2015-07-08,174.039993,174.360001,170.679993,171.320007,360700,170.193754
