Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,206.289993,206.289993,200.899994,201.839996,2016100,201.839996
2016-09-30,209.339996,209.889999,206.979996,207.009995,1697200,207.009995
2016-09-29,211.710007,211.990005,207.199997,207.580002,1362700,207.580002
2016-09-28,212.990005,213.729996,210.669998,212.610001,1149600,212.610001
2016-09-27,215.559998,215.559998,212.639999,212.929993,935500,212.929993
2016-09-26,213.179993,215.080002,212.50,214.759995,1073800,214.759995
2016-09-23,213.059998,214.160004,210.339996,213.490005,1208900,213.490005
2016-09-22,212.020004,214.470001,210.889999,213.490005,1173600,213.490005
2016-09-21,208.559998,211.130005,206.020004,210.869995,1498100,210.869995
2016-09-20,210.699997,210.940002,208.679993,208.690002,974700,208.690002
2016-09-19,209.899994,210.410004,208.820007,209.589996,960100,209.589996
2016-09-16,207.350006,209.029999,206.369995,208.729996,2460600,208.729996
2016-09-15,207.300003,208.330002,206.410004,207.910004,1230100,207.910004
2016-09-14,207.550003,210.279999,207.059998,207.779999,1212800,207.779999
2016-09-13,211.050003,211.199997,206.919998,206.919998,1406600,206.919998
2016-09-12,209.210007,213.539993,208.490005,212.279999,2081200,212.279999
2016-09-09,215.309998,215.309998,209.789993,209.899994,1693000,209.899994
2016-09-08,217.979996,218.580002,216.570007,217.089996,2414600,217.089996
2016-09-07,218.110001,219.059998,216.899994,218.949997,813600,218.949997
2016-09-06,217.119995,218.179993,215.399994,218.160004,1374700,218.160004
2016-09-02,216.919998,219.410004,215.610001,216.690002,939100,216.690002
2016-09-01,214.889999,216.649994,214.259995,216.020004,881900,216.020004
2016-08-31,215.490005,217.100006,214.330002,215.470001,1817500,215.470001
2016-08-30,216.039993,216.199997,213.160004,215.899994,944700,215.899994
2016-08-29,213.759995,216.289993,213.360001,215.690002,883700,215.690002
2016-08-26,216.160004,218.190002,212.899994,213.759995,1253500,213.759995
2016-08-25,214.389999,217.529999,214.320007,215.550003,1052200,215.550003
2016-08-24,212.270004,214.660004,211.119995,214.240005,1371100,214.240005
2016-08-23,213.369995,213.600006,211.919998,211.970001,677700,211.970001
2016-08-22,212.350006,213.259995,211.029999,212.490005,811700,212.490005
2016-08-19,213.539993,214.350006,211.059998,211.899994,973500,211.899994
2016-08-18,213.490005,215.070007,213.039993,214.350006,890800,214.350006
2016-08-17,211.570007,214.490005,210.339996,213.970001,1128900,213.970001
2016-08-16,213.830002,214.309998,210.270004,211.570007,1273100,211.570007
2016-08-15,214.350006,214.979996,213.380005,214.080002,1148100,214.080002
2016-08-12,214.850006,216.559998,214.130005,215.220001,1196500,213.569998
2016-08-11,219.039993,219.039993,213.490005,214.550003,2212900,212.905137
2016-08-10,219.880005,221.220001,218.350006,218.979996,1218800,217.301166
2016-08-09,220.00,221.369995,218.350006,220.630005,881800,218.938526
2016-08-08,219.690002,222.369995,219.270004,219.970001,1147500,218.283582
2016-08-05,220.119995,220.990005,218.470001,219.710007,1378700,218.025581
2016-08-04,222.550003,223.070007,219.369995,219.619995,1036300,217.936259
2016-08-03,222.199997,222.380005,220.350006,222.309998,1510600,220.605638
2016-08-02,226.580002,227.50,223.210007,223.610001,1301900,221.895675
2016-08-01,226.860001,228.470001,226.259995,227.600006,921600,225.855091
2016-07-29,223.929993,229.100006,223.929993,227.039993,1260500,225.299371
2016-07-28,221.809998,225.75,221.619995,224.070007,923600,222.352155
2016-07-27,225.149994,225.199997,219.050003,221.699997,1587600,220.000314
2016-07-26,224.509995,225.100006,223.479996,224.50,920600,222.778851
2016-07-25,225.850006,226.419998,224.080002,224.479996,800400,222.759
2016-07-22,223.889999,226.130005,223.539993,225.300003,967300,223.572721
2016-07-21,222.740005,224.350006,220.839996,224.199997,663200,222.481148
2016-07-20,223.440002,223.490005,221.809998,223.240005,751800,221.528516
2016-07-19,222.600006,223.029999,220.639999,223.029999,1077100,221.32012
2016-07-18,223.050003,223.460007,221.330002,222.279999,849000,220.57587
2016-07-15,222.630005,223.179993,219.940002,222.940002,1115200,221.230813
2016-07-14,224.229996,224.229996,221.50,222.169998,1159700,220.466712
2016-07-13,221.770004,224.25,221.039993,224.240005,1194200,222.52085
2016-07-12,221.330002,221.839996,219.179993,221.460007,1254200,219.762164
2016-07-11,219.800003,222.25,218.369995,221.740005,998200,220.040016
2016-07-08,216.789993,219.75,216.029999,219.559998,1152800,217.876722
2016-07-07,217.039993,217.660004,213.869995,215.589996,1235700,213.937157
2016-07-06,219.679993,220.330002,216.800003,217.539993,1397200,215.872204
2016-07-05,217.339996,220.25,217.289993,220.229996,1321800,218.541583
2016-07-01,217.529999,218.949997,216.520004,217.139999,1047900,215.475277
2016-06-30,215.729996,217.169998,213.899994,216.899994,2073000,215.237111
2016-06-29,213.899994,216.139999,212.929993,214.929993,1575600,213.282213
2016-06-28,209.210007,213.220001,208.00,213.089996,1732000,211.456323
2016-06-27,205.440002,208.110001,203.880005,207.949997,1760100,206.35573
2016-06-24,204.580002,208.820007,203.009995,206.50,1733900,204.91685
2016-06-23,209.779999,210.440002,208.470001,209.089996,730200,207.48699
2016-06-22,209.009995,209.50,207.740005,208.589996,1087900,206.990823
2016-06-21,207.270004,208.940002,207.009995,208.429993,1190800,206.832046
2016-06-20,207.910004,209.770004,206.440002,206.960007,1214400,205.37333
2016-06-17,206.080002,206.080002,203.619995,205.889999,1452700,204.311526
2016-06-16,203.729996,206.350006,202.800003,206.210007,843200,204.62908
2016-06-15,203.169998,205.300003,203.169998,204.220001,1261300,202.654331
2016-06-14,201.410004,204.300003,200.929993,202.820007,1257600,201.26507
2016-06-13,200.820007,202.529999,200.00,201.729996,999200,200.183415
2016-06-10,200.770004,201.820007,199.809998,200.259995,830200,198.724684
2016-06-09,201.300003,202.75,200.009995,201.649994,824100,200.104027
2016-06-08,199.360001,201.880005,199.009995,201.449997,1211600,199.905563
2016-06-07,198.669998,200.869995,198.649994,199.509995,881400,197.980434
2016-06-06,199.929993,201.419998,197.529999,198.669998,1370000,197.146877
2016-06-03,198.649994,199.820007,197.619995,199.490005,1374800,197.960598
2016-06-02,197.259995,198.300003,196.110001,197.399994,1115000,195.88661
2016-06-01,196.589996,199.259995,196.589996,198.259995,1205000,196.740017
2016-05-31,198.75,198.889999,196.070007,197.639999,1475100,196.124775
2016-05-27,197.190002,198.580002,196.679993,197.770004,886800,196.253783
2016-05-26,196.289993,198.149994,195.00,197.130005,843100,195.61869
2016-05-25,197.940002,198.380005,194.770004,196.089996,1531800,194.586655
2016-05-24,196.880005,199.410004,196.25,197.630005,1493400,196.114857
2016-05-23,195.449997,196.759995,194.179993,195.75,1280800,194.249265
2016-05-20,194.919998,196.869995,194.039993,195.130005,2266900,193.634024
2016-05-19,191.970001,194.259995,191.25,193.850006,1913900,192.363838
2016-05-18,194.639999,195.869995,190.820007,193.490005,2431800,192.006597
2016-05-17,198.149994,199.179993,194.350006,195.470001,1921900,193.971413
2016-05-16,196.529999,200.229996,195.470001,199.380005,1797400,197.851441
2016-05-13,200.800003,200.800003,195.119995,196.490005,3369700,194.983598
2016-05-12,204.009995,205.330002,199.75,204.039993,3067600,200.887977
2016-05-11,213.429993,213.470001,202.300003,203.240005,4023100,200.100347
2016-05-10,213.690002,214.800003,213.089996,213.919998,1133500,210.615355
2016-05-09,210.699997,213.089996,209.300003,213.039993,1206100,209.748944
2016-05-06,208.25,210.880005,207.729996,210.820007,1091000,207.563253
2016-05-05,206.619995,208.529999,205.949997,208.440002,1106000,205.220014
2016-05-04,203.270004,207.809998,203.270004,207.619995,1107800,204.412674
2016-05-03,203.270004,205.089996,203.169998,204.960007,758100,201.793778
2016-05-02,202.779999,205.00,202.679993,204.520004,872800,201.360572
2016-04-29,203.00,203.369995,200.119995,201.169998,1504900,198.062317
2016-04-28,202.970001,205.169998,202.919998,203.660004,759700,200.513857
2016-04-27,204.720001,205.470001,202.880005,204.570007,1407900,201.409803
2016-04-26,204.410004,204.610001,202.029999,203.949997,1439000,200.79937
2016-04-25,201.649994,203.669998,201.169998,203.669998,1245500,200.523697
2016-04-22,199.789993,202.690002,199.789993,202.139999,1397800,199.017334
2016-04-21,203.559998,204.479996,199.110001,199.289993,1704600,196.211355
2016-04-20,206.50,207.050003,203.350006,203.720001,2636900,200.572928
2016-04-19,209.419998,209.449997,208.00,208.259995,1007600,205.042787
2016-04-18,207.869995,209.429993,207.440002,209.070007,861100,205.840287
2016-04-15,207.759995,208.210007,206.059998,207.869995,1066700,204.658812
2016-04-14,207.720001,208.369995,205.800003,207.949997,1033600,204.737578
2016-04-13,209.149994,209.149994,206.699997,207.639999,800700,204.43237
2016-04-12,207.279999,208.940002,206.660004,208.110001,885900,204.89511
2016-04-11,207.990005,208.169998,206.619995,206.679993,943100,203.487193
2016-04-08,207.320007,208.160004,206.729996,207.100006,1050000,203.900718
2016-04-07,208.520004,208.869995,205.580002,206.789993,902300,203.595494
2016-04-06,206.429993,208.949997,205.889999,208.660004,939400,205.436617
2016-04-05,207.970001,208.509995,206.610001,207.050003,966900,203.851488
2016-04-04,209.429993,210.410004,207.419998,208.759995,823300,205.535063
2016-04-01,207.50,209.919998,206.899994,209.100006,1256800,205.869822
2016-03-31,206.240005,208.119995,205.929993,207.690002,1442300,204.4816
2016-03-30,207.380005,207.679993,205.649994,205.729996,929200,202.551872
2016-03-29,203.820007,207.059998,203.520004,206.940002,1085100,203.743186
2016-03-28,201.940002,203.729996,200.949997,203.070007,625800,199.932975
2016-03-24,200.369995,201.729996,199.779999,201.440002,731600,198.32815
2016-03-23,201.080002,203.179993,200.910004,201.50,1068200,198.387221
2016-03-22,202.559998,203.399994,201.389999,202.369995,1011700,199.243777
2016-03-21,205.580002,205.779999,202.369995,203.00,1082600,199.864049
2016-03-18,205.050003,206.880005,203.440002,204.960007,2486800,201.793778
2016-03-17,200.789993,206.00,200.039993,205.130005,1702300,201.96115
2016-03-16,198.759995,201.270004,197.169998,200.539993,915000,197.442045
2016-03-15,198.380005,199.940002,198.080002,199.639999,888900,196.555954
2016-03-14,200.259995,201.570007,197.639999,199.089996,1433900,196.014447
2016-03-11,200.520004,201.309998,198.179993,201.309998,1527700,198.200154
2016-03-10,198.869995,199.880005,195.990005,198.020004,1029000,194.960985
2016-03-09,198.139999,199.470001,197.350006,197.770004,1000600,194.714847
2016-03-08,198.320007,199.470001,197.039993,197.690002,1003800,194.636081
2016-03-07,198.059998,200.080002,197.25,199.649994,1193100,196.565794
2016-03-04,197.270004,198.589996,195.330002,198.520004,1503800,195.453261
2016-03-03,196.270004,197.550003,193.350006,197.410004,1366100,194.360407
2016-03-02,194.380005,195.729996,193.669998,195.289993,1099500,192.273147
2016-03-01,190.770004,194.660004,190.699997,194.559998,1226200,191.554428
