Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,126.059998,126.529999,124.519997,124.959999,1352800,124.959999
2016-09-30,126.089996,127.260002,125.910004,126.559998,1476000,126.559998
2016-09-29,127.540001,127.639999,124.480003,125.019997,1059700,125.019997
2016-09-28,127.010002,127.739998,125.690002,127.559998,1024400,127.559998
2016-09-27,124.639999,127.389999,124.029999,126.860001,998500,126.860001
2016-09-26,124.059998,125.919998,123.720001,124.93,995400,124.93
2016-09-23,126.389999,126.82,124.980003,124.980003,927900,124.980003
2016-09-22,127.900002,128.399994,126.559998,126.830002,1155100,126.830002
2016-09-21,125.699997,127.75,125.43,127.559998,964400,127.559998
2016-09-20,125.550003,125.959999,124.730003,124.779999,877200,124.779999
2016-09-19,123.709999,125.699997,123.709999,124.68,950300,124.68
2016-09-16,123.510002,123.879997,122.269997,123.269997,1145300,123.269997
2016-09-15,121.379997,124.739998,121.379997,124.110001,879400,124.110001
2016-09-14,121.970001,122.910004,121.099998,121.519997,757600,121.519997
2016-09-13,123.080002,123.449997,121.510002,122.120003,935200,122.120003
2016-09-12,121.290001,124.449997,120.949997,124.239998,974300,124.239998
2016-09-09,124.949997,125.540001,122.220001,122.220001,1002400,122.220001
2016-09-08,125.519997,126.519997,125.459999,125.730003,774900,125.730003
2016-09-07,125.629997,125.900002,124.93,125.690002,792100,125.690002
2016-09-06,125.620003,126.00,124.720001,125.790001,1021600,125.790001
2016-09-02,124.559998,125.550003,124.410004,125.43,706800,125.43
2016-09-01,123.519997,124.410004,122.639999,123.940002,811500,123.940002
2016-08-31,122.860001,124.550003,122.389999,123.540001,1324200,123.540001
2016-08-30,122.699997,122.970001,122.110001,122.970001,785100,122.970001
2016-08-29,121.779999,122.849998,121.599998,122.599998,1080700,122.599998
2016-08-26,121.589996,122.550003,120.989998,121.57,1266100,121.57
2016-08-25,120.599998,121.360001,120.599998,121.089996,488300,121.089996
2016-08-24,120.900002,121.769997,120.639999,120.940002,696900,120.940002
2016-08-23,121.00,121.970001,120.650002,121.269997,817900,120.909993
2016-08-22,120.290001,120.629997,119.830002,120.300003,379600,119.942879
2016-08-19,119.589996,120.75,119.00,120.300003,782600,119.942879
2016-08-18,120.300003,120.32,119.029999,120.029999,680300,119.673677
2016-08-17,120.199997,120.449997,119.089996,120.099998,828100,119.743468
2016-08-16,120.120003,120.25,119.589996,119.639999,674500,119.284835
2016-08-15,120.360001,120.599998,119.220001,120.260002,863400,119.902997
2016-08-12,120.199997,120.830002,119.68,119.910004,540400,119.554038
2016-08-11,120.120003,120.690002,119.809998,120.410004,741800,120.052553
2016-08-10,120.620003,120.980003,119.339996,119.830002,600600,119.474273
2016-08-09,120.440002,120.949997,120.150002,120.580002,582000,120.222047
2016-08-08,120.790001,121.00,119.919998,120.160004,677100,119.803296
2016-08-05,120.800003,121.470001,120.410004,120.900002,908100,120.541097
2016-08-04,120.050003,120.800003,119.459999,119.620003,434100,119.264898
2016-08-03,120.019997,120.510002,119.50,120.510002,755300,120.152255
2016-08-02,120.970001,121.050003,119.150002,120.110001,1030300,119.753441
2016-08-01,122.209999,122.75,120.809998,121.220001,727400,120.860146
2016-07-29,121.370003,122.709999,121.349998,122.199997,1305700,121.837233
2016-07-28,118.00,122.230003,117.510002,121.400002,1622700,121.039612
2016-07-27,118.129997,118.129997,116.529999,117.419998,843600,117.071424
2016-07-26,116.599998,117.620003,116.199997,117.550003,786700,117.201043
2016-07-25,117.260002,117.529999,116.360001,117.160004,599700,116.812201
2016-07-22,116.919998,117.339996,113.059998,117.309998,703600,116.96175
2016-07-21,116.849998,117.57,116.309998,116.830002,888000,116.483179
2016-07-20,117.400002,117.68,116.760002,117.110001,876000,116.762347
2016-07-19,116.129997,116.660004,115.580002,116.580002,818600,116.233921
2016-07-18,116.00,116.959999,116.00,116.860001,743700,116.513089
