Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,80.089996,80.330002,79.559998,79.760002,600100,79.760002
2016-09-30,80.639999,80.910004,79.599998,80.139999,1386700,80.139999
2016-09-29,81.43,81.639999,80.389999,80.50,1261400,80.50
2016-09-28,80.589996,81.959999,80.50,81.529999,1554500,81.529999
2016-09-27,79.949997,80.540001,79.779999,80.260002,1322600,80.260002
2016-09-26,79.029999,79.82,78.870003,79.739998,1069700,79.739998
2016-09-23,78.940002,79.949997,78.940002,79.540001,1068500,79.540001
2016-09-22,78.050003,79.339996,77.580002,79.260002,1353700,79.260002
2016-09-21,77.00,78.769997,77.00,78.00,1253200,78.00
2016-09-20,77.889999,78.239998,76.760002,77.010002,1957200,77.010002
2016-09-19,80.879997,80.900002,77.00,78.00,2361400,78.00
2016-09-16,82.379997,82.389999,80.730003,81.239998,1817800,81.239998
2016-09-15,81.190002,81.959999,81.019997,81.760002,658900,81.760002
2016-09-14,82.00,82.50,81.230003,81.599998,1283700,81.599998
2016-09-13,82.07,82.629997,81.709999,82.139999,1291900,82.139999
2016-09-12,82.139999,83.110001,81.910004,82.889999,827600,82.889999
2016-09-09,81.57,82.440002,81.559998,82.07,1341300,82.07
2016-09-08,82.849998,83.18,82.480003,82.639999,723800,82.639999
2016-09-07,83.220001,83.769997,82.019997,82.790001,1698900,82.790001
2016-09-06,84.400002,84.410004,83.260002,83.489998,1102300,83.489998
2016-09-02,85.360001,86.050003,84.139999,84.150002,992000,84.150002
2016-09-01,86.029999,86.029999,84.599998,85.360001,1119400,85.360001
2016-08-31,84.879997,86.019997,84.290001,85.980003,1558200,85.980003
2016-08-30,84.730003,85.080002,84.330002,84.839996,838800,84.839996
2016-08-29,83.739998,85.089996,83.739998,84.68,785000,84.68
2016-08-26,84.529999,85.580002,83.010002,83.650002,788800,83.650002
2016-08-25,84.629997,85.32,84.150002,84.709999,1049000,84.709999
2016-08-24,85.32,85.889999,84.730003,84.940002,536400,84.940002
2016-08-23,86.269997,86.440002,84.940002,85.349998,766500,85.349998
2016-08-22,84.889999,86.029999,84.550003,85.790001,759400,85.790001
2016-08-19,84.330002,85.220001,84.239998,85.129997,890800,85.129997
2016-08-18,85.480003,85.849998,84.970001,84.989998,1072200,84.989998
2016-08-17,86.150002,86.389999,84.519997,85.559998,1355700,85.559998
2016-08-16,86.849998,87.720001,85.760002,85.879997,876700,85.879997
2016-08-15,87.529999,87.849998,86.809998,87.040001,1043400,87.040001
2016-08-12,86.760002,87.209999,86.50,87.019997,1188300,87.019997
2016-08-11,88.68,88.68,86.760002,86.959999,1160800,86.959999
2016-08-10,87.660004,88.360001,87.300003,87.849998,709800,87.849998
2016-08-09,89.480003,89.480003,87.449997,87.669998,968600,87.669998
2016-08-08,90.129997,90.43,89.110001,89.489998,1159700,89.489998
2016-08-05,88.400002,90.449997,88.190002,89.940002,1650500,89.940002
2016-08-04,88.150002,88.540001,87.239998,88.190002,1372400,88.190002
2016-08-03,87.739998,88.050003,87.089996,87.989998,1876600,87.989998
2016-08-02,88.82,88.949997,87.519997,87.690002,2477000,87.690002
2016-08-01,89.860001,90.269997,88.389999,89.370003,2582600,89.370003
2016-07-29,96.709999,97.099998,81.989998,90.269997,11316000,90.269997
2016-07-28,106.449997,106.82,105.370003,105.93,1103200,105.93
2016-07-27,107.400002,107.739998,106.089996,106.480003,800700,106.480003
2016-07-26,106.279999,107.300003,106.230003,107.080002,557100,107.080002
2016-07-25,107.360001,107.559998,106.110001,106.410004,970400,106.410004
2016-07-22,106.57,107.389999,106.040001,107.25,764000,107.25
2016-07-21,106.050003,106.419998,105.860001,106.269997,507700,106.269997
2016-07-20,106.50,106.980003,106.160004,106.519997,638500,106.519997
2016-07-19,105.779999,106.529999,105.059998,106.370003,913000,106.370003
2016-07-18,105.910004,106.32,105.459999,105.860001,524900,105.860001
2016-07-15,106.519997,106.519997,105.489998,105.910004,691400,105.910004
2016-07-14,105.82,106.32,105.529999,106.190002,474600,106.190002
2016-07-13,105.660004,105.68,104.760002,104.900002,321400,104.900002
2016-07-12,104.690002,105.599998,103.720001,105.209999,576100,105.209999
2016-07-11,105.00,105.160004,104.279999,104.419998,656300,104.419998
2016-07-08,102.559998,104.779999,102.489998,104.699997,477300,104.699997
2016-07-07,102.790001,103.629997,101.709999,102.059998,484300,102.059998
2016-07-06,102.470001,102.93,101.309998,102.82,439800,102.82
2016-07-05,104.110001,104.410004,101.730003,102.550003,657000,102.550003
2016-07-01,104.120003,104.68,103.860001,104.330002,834600,104.330002
2016-06-30,102.449997,104.120003,101.470001,104.120003,740600,104.120003
2016-06-29,100.519997,102.099998,100.029999,101.980003,902500,101.980003
2016-06-28,99.43,99.989998,98.919998,99.949997,654800,99.949997
2016-06-27,100.00,100.379997,98.540001,99.169998,982000,99.169998
2016-06-24,99.489998,101.809998,99.239998,100.720001,1188700,100.720001
2016-06-23,102.519997,103.43,102.089996,103.379997,481400,103.379997
2016-06-22,101.760002,102.260002,101.510002,101.879997,457500,101.879997
2016-06-21,101.910004,102.440002,101.25,101.410004,625000,101.410004
2016-06-20,102.470001,103.00,101.599998,101.970001,679200,101.970001
2016-06-17,103.00,103.029999,100.940002,101.480003,1894400,101.480003
2016-06-16,100.779999,102.970001,100.620003,102.889999,1532100,102.889999
2016-06-15,100.900002,101.940002,100.519997,101.209999,1251000,101.209999
2016-06-14,100.510002,100.669998,99.669998,100.57,727800,100.57
2016-06-13,99.639999,100.709999,99.629997,100.370003,1061400,100.370003
2016-06-10,100.160004,100.610001,99.660004,100.080002,1169300,100.080002
2016-06-09,101.650002,101.970001,100.529999,100.860001,835400,100.860001
2016-06-08,101.690002,102.419998,101.339996,102.139999,961400,102.139999
2016-06-07,99.519997,102.040001,99.410004,102.00,2014100,102.00
2016-06-06,99.029999,99.449997,98.459999,99.360001,760700,99.360001
2016-06-03,98.610001,98.699997,97.870003,98.550003,1210900,98.550003
2016-06-02,98.160004,98.989998,98.160004,98.730003,834400,98.730003
2016-06-01,98.07,98.660004,97.620003,98.559998,1015200,98.559998
2016-05-31,97.410004,98.379997,96.830002,97.989998,3244300,97.989998
2016-05-27,98.720001,99.040001,97.279999,97.57,912300,97.57
2016-05-26,95.879997,98.919998,95.879997,98.339996,981800,98.339996
2016-05-25,98.480003,99.370003,97.080002,97.470001,1519200,97.470001
2016-05-24,96.739998,98.480003,96.309998,97.980003,1475400,97.980003
2016-05-23,96.239998,97.239998,95.889999,96.110001,1047000,96.110001
2016-05-20,98.199997,98.580002,96.059998,96.410004,1529200,96.410004
2016-05-19,97.989998,98.709999,96.629997,97.300003,1227500,97.300003
2016-05-18,97.120003,99.529999,96.800003,98.370003,2284300,98.370003
2016-05-17,95.709999,99.589996,95.510002,97.669998,2668200,97.669998
2016-05-16,94.110001,95.830002,93.68,95.470001,2261200,95.470001
2016-05-13,93.019997,94.540001,93.00,93.699997,1882200,93.699997
2016-05-12,95.169998,95.540001,93.120003,93.269997,1832000,93.269997
2016-05-11,95.849998,96.040001,94.379997,94.510002,1245600,94.510002
2016-05-10,96.260002,96.879997,95.32,96.040001,1138000,96.040001
2016-05-09,95.419998,96.910004,94.959999,96.010002,890700,96.010002
2016-05-06,94.620003,95.440002,94.489998,95.160004,1421700,95.160004
2016-05-05,97.709999,98.239998,94.800003,95.099998,1839000,95.099998
2016-05-04,94.290001,97.879997,94.129997,97.589996,3603800,97.589996
2016-05-03,95.040001,95.760002,94.040001,94.550003,2784200,94.550003
2016-05-02,96.160004,96.209999,94.279999,95.739998,3332300,95.739998
2016-04-29,99.940002,101.00,91.050003,95.559998,8670000,95.559998
2016-04-28,121.580002,124.32,121.470001,121.739998,1251100,121.739998
2016-04-27,122.410004,123.699997,122.089996,122.989998,1442800,122.989998
2016-04-26,123.300003,123.690002,121.720001,122.599998,1157700,122.599998
2016-04-25,123.849998,124.57,122.650002,122.800003,767200,122.800003
2016-04-22,123.779999,125.040001,122.989998,123.980003,947800,123.980003
2016-04-21,125.269997,125.980003,123.610001,123.709999,426800,123.709999
2016-04-20,125.50,126.169998,125.089996,125.440002,660000,125.440002
2016-04-19,125.910004,126.50,125.110001,125.370003,660500,125.370003
2016-04-18,125.620003,125.959999,124.989998,125.849998,1700700,125.849998
2016-04-15,125.610001,125.839996,125.099998,125.419998,717400,125.419998
2016-04-14,126.18,126.970001,125.18,125.370003,583800,125.370003
2016-04-13,126.059998,126.559998,125.480003,126.339996,700000,126.339996
2016-04-12,126.110001,126.690002,125.260002,125.529999,1050900,125.529999
2016-04-11,128.580002,128.75,126.089996,126.099998,737100,126.099998
2016-04-08,127.690002,128.940002,127.470001,128.199997,742000,128.199997
2016-04-07,126.360001,127.290001,125.75,127.239998,747300,127.239998
2016-04-06,126.400002,127.290001,125.949997,127.25,743500,127.25
2016-04-05,126.839996,126.940002,125.980003,126.800003,1100700,126.800003
2016-04-04,127.330002,128.210007,126.82,127.480003,818500,127.480003
2016-04-01,125.900002,127.739998,125.589996,127.629997,882300,127.629997
2016-03-31,125.540001,126.300003,125.160004,126.190002,1052400,126.190002
2016-03-30,126.00,126.529999,124.730003,125.68,988000,125.68
2016-03-29,123.830002,125.470001,123.690002,125.330002,431800,125.330002
2016-03-28,124.110001,124.459999,123.699997,124.339996,612300,124.339996
2016-03-24,123.57,124.410004,123.040001,124.110001,761800,124.110001
2016-03-23,123.699997,123.989998,123.050003,123.809998,960600,123.809998
2016-03-22,123.339996,123.839996,122.849998,123.620003,717800,123.620003
2016-03-21,121.889999,123.410004,121.629997,123.00,733100,123.00
2016-03-18,121.139999,122.660004,119.989998,122.099998,1817700,122.099998
2016-03-17,118.760002,121.239998,118.339996,120.690002,1233100,120.690002
2016-03-16,117.440002,119.290001,117.379997,118.879997,757800,118.879997
2016-03-15,114.919998,119.230003,114.809998,118.459999,1200000,118.459999
2016-03-14,115.959999,116.459999,115.239998,115.949997,653200,115.949997
2016-03-11,114.739998,116.010002,112.889999,116.010002,1464700,116.010002
2016-03-10,112.540001,114.470001,112.400002,113.519997,1431600,113.519997
2016-03-09,113.959999,114.68,113.82,114.089996,759000,114.089996
2016-03-08,114.040001,114.93,113.209999,113.720001,571400,113.720001
2016-03-07,114.18,114.989998,113.419998,114.709999,852200,114.709999
