Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,69.260002,70.260002,69.260002,69.82,1852600,69.82
2016-09-30,69.220001,69.93,68.669998,69.629997,3326700,69.629997
2016-09-29,69.75,70.690002,68.260002,68.589996,2594200,68.589996
2016-09-28,70.25,70.589996,69.669998,70.440002,2156600,70.060004
2016-09-27,68.989998,70.379997,68.739998,70.080002,2056400,69.701946
2016-09-26,69.860001,70.209999,69.120003,69.330002,1571500,68.955992
2016-09-23,70.639999,71.150002,70.370003,70.620003,2105700,70.239033
2016-09-22,71.480003,71.620003,70.620003,71.040001,2176800,70.656766
2016-09-21,70.43,71.300003,70.419998,71.07,1999800,70.686603
2016-09-20,69.919998,70.650002,69.639999,69.970001,2128600,69.592538
2016-09-19,69.760002,70.669998,68.989998,69.019997,3439600,68.647659
2016-09-16,69.720001,69.879997,68.970001,69.290001,6730500,68.916206
2016-09-15,69.419998,70.519997,69.139999,70.370003,2125500,69.990382
2016-09-14,69.150002,69.940002,68.919998,69.419998,2440200,69.045502
2016-09-13,69.720001,69.980003,68.669998,69.18,2701400,68.806799
2016-09-12,69.199997,70.940002,68.57,70.650002,2752200,70.26887
2016-09-09,70.529999,71.00,69.699997,69.699997,2868800,69.323991
2016-09-08,70.120003,70.980003,70.019997,70.540001,2569800,70.159463
2016-09-07,69.889999,70.629997,69.800003,70.57,1357500,70.1893
2016-09-06,70.419998,70.849998,69.949997,70.370003,1799300,69.990382
2016-09-02,70.199997,70.879997,69.839996,70.629997,1453600,70.248974
2016-09-01,70.540001,70.839996,69.379997,70.120003,1223900,69.741731
2016-08-31,70.349998,70.650002,69.459999,70.239998,2536600,69.861079
2016-08-30,69.779999,70.370003,69.50,70.339996,1639500,69.960538
2016-08-29,69.32,69.910004,69.260002,69.629997,1436300,69.254369
2016-08-26,69.330002,69.650002,68.839996,69.07,2520000,68.697392
2016-08-25,68.870003,69.190002,68.760002,69.040001,1633200,68.667555
2016-08-24,69.32,69.489998,68.910004,69.019997,1762100,68.647659
2016-08-23,69.470001,69.50,69.139999,69.32,1753800,68.946043
2016-08-22,68.959999,69.040001,68.550003,68.970001,1545000,68.597933
2016-08-19,68.75,69.330002,68.610001,69.019997,2037300,68.647659
2016-08-18,68.809998,69.220001,68.699997,69.050003,1834800,68.677503
2016-08-17,68.989998,69.349998,68.790001,69.089996,2266100,68.717281
2016-08-16,68.830002,69.459999,68.519997,68.989998,1755000,68.617822
2016-08-15,68.580002,69.300003,68.540001,69.209999,1489800,68.836636
2016-08-12,67.779999,68.300003,67.550003,68.239998,1130400,67.871868
2016-08-11,67.889999,68.800003,67.57,68.50,1584700,68.130467
2016-08-10,67.910004,68.07,67.449997,67.690002,1553000,67.324839
2016-08-09,68.18,68.440002,67.650002,67.809998,1879500,67.444187
2016-08-08,68.00,68.629997,67.860001,68.18,1902500,67.812194
2016-08-05,66.440002,68.029999,66.440002,67.949997,2153400,67.583431
2016-08-04,65.769997,66.019997,65.400002,65.790001,2528600,65.435088
2016-08-03,65.370003,66.120003,65.309998,65.849998,2279000,65.494762
2016-08-02,65.639999,66.360001,64.879997,65.330002,2775900,64.97757
2016-08-01,65.93,66.68,65.559998,65.940002,2829000,65.58428
2016-07-29,65.290001,66.129997,65.07,65.779999,2942400,65.42514
2016-07-28,63.830002,65.480003,63.580002,65.449997,3953500,65.096918
2016-07-27,60.330002,63.869999,60.330002,63.75,6012800,63.406092
2016-07-26,57.610001,58.369999,57.52,58.32,1750400,58.005384
2016-07-25,58.040001,58.169998,57.50,57.790001,1636300,57.478245
2016-07-22,57.43,58.27,57.299999,58.240002,2307300,57.925818
2016-07-21,57.720001,57.82,57.150002,57.299999,1502100,56.990887
2016-07-20,57.59,57.849998,57.029999,57.77,1836800,57.458352
2016-07-19,57.02,57.650002,57.02,57.459999,2405800,57.150023
2016-07-18,56.91,57.66,56.740002,57.619999,2233900,57.30916
2016-07-15,56.57,57.080002,55.880001,56.91,3982300,56.602991
2016-07-14,55.939999,56.400002,55.689999,56.220001,3510500,55.916715
2016-07-13,54.830002,55.060001,54.310001,54.810001,1937200,54.514321
2016-07-12,54.23,54.950001,54.23,54.709999,2358800,54.414858
2016-07-11,53.84,54.310001,53.540001,53.610001,2718300,53.320794
2016-07-08,52.970001,53.419998,52.880001,53.23,2554000,52.942843
2016-07-07,52.119999,52.91,51.880001,52.040001,4141600,51.759264
2016-07-06,52.049999,52.189999,51.220001,52.119999,3997500,51.83883
2016-07-05,53.150002,53.16,52.209999,52.599998,2852100,52.316241
2016-07-01,53.580002,54.400002,53.259998,53.84,2504400,53.549553
2016-06-30,52.59,53.93,52.529999,53.919998,6593600,53.629119
2016-06-29,51.73,52.200001,51.34,52.16,4752900,51.878616
2016-06-28,51.799999,51.939999,50.619999,51.27,4167600,50.655251
2016-06-27,53.900002,54.029999,50.599998,50.790001,4951200,50.181007
2016-06-24,56.009998,56.849998,54.98,54.990002,5170100,54.330648
2016-06-23,59.48,60.299999,59.48,60.27,2174000,59.547337
2016-06-22,58.779999,59.279999,58.459999,58.490002,3358000,57.788682
2016-06-21,58.98,59.029999,58.389999,58.779999,2678500,58.075201
2016-06-20,58.889999,59.73,58.59,58.650002,3799400,57.946763
2016-06-17,57.529999,58.169998,57.400002,57.939999,3731000,57.245273
2016-06-16,57.43,57.57,56.669998,57.549999,3313100,56.85995
2016-06-15,58.509998,58.82,57.869999,57.91,4224400,57.215634
2016-06-14,58.880001,59.48,57.860001,58.220001,3642800,57.521918
2016-06-13,58.91,60.099998,58.720001,59.110001,3181700,58.401246
2016-06-10,59.48,59.529999,58.98,59.18,5045500,58.470407
2016-06-09,61.009998,61.009998,60.119999,60.290001,2830800,59.567098
2016-06-08,61.77,62.119999,61.380001,61.540001,2687600,60.80211
2016-06-07,62.689999,62.689999,61.740002,61.77,2170900,61.029352
2016-06-06,61.25,62.869999,61.16,62.549999,2650700,61.799998
2016-06-03,61.799999,61.799999,60.43,61.009998,3327200,60.278462
2016-06-02,62.900002,63.00,62.380001,63.00,1632500,62.244603
2016-06-01,62.32,63.139999,61.73,62.959999,1846300,62.205082
2016-05-31,63.639999,63.639999,62.73,63.060001,2300300,62.303885
2016-05-27,63.209999,63.380001,62.889999,63.330002,1779600,62.570648
2016-05-26,63.560001,63.919998,62.799999,62.869999,2210300,62.116161
2016-05-25,62.950001,64.099998,62.73,63.68,2597500,62.91645
2016-05-24,61.73,62.700001,61.57,62.549999,1806500,61.799998
2016-05-23,61.310001,61.669998,60.799999,61.25,1679500,60.515586
2016-05-20,61.169998,61.73,60.91,61.43,2097100,60.693428
2016-05-19,61.029999,61.610001,60.09,60.720001,2224200,59.991942
2016-05-18,59.689999,61.630001,59.330002,61.50,2352600,60.762589
2016-05-17,59.529999,60.25,58.900002,59.689999,2314600,58.97429
2016-05-16,58.990002,60.119999,58.990002,59.709999,1650000,58.994051
2016-05-13,59.900002,60.73,59.130001,59.23,1724800,58.519806
2016-05-12,60.73,61.189999,59.610001,60.029999,1560500,59.310213
2016-05-11,60.900002,61.25,60.34,60.380001,1601100,59.656019
2016-05-10,60.110001,61.189999,60.02,61.110001,1961700,60.377266
2016-05-09,59.779999,60.509998,59.459999,59.799999,1476100,59.082972
2016-05-06,59.380001,59.82,58.860001,59.759998,1955900,59.04345
2016-05-05,60.110001,60.360001,59.540001,59.740002,1615700,59.023693
2016-05-04,60.41,60.880001,59.490002,60.02,3214900,59.300335
2016-05-03,61.84,61.93,60.18,61.060001,2877900,60.327866
2016-05-02,62.349998,63.00,61.700001,62.91,1807500,62.155682
2016-04-29,62.349998,62.759998,61.700001,62.299999,2381800,61.552996
2016-04-28,63.310001,63.889999,62.639999,62.810001,2426000,62.056883
2016-04-27,63.080002,64.690002,62.259998,63.93,3411700,63.163452
2016-04-26,61.639999,62.639999,61.389999,62.48,2991800,61.730838
