Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,38.560001,39.330002,38.200001,38.41,3671000,38.41
2016-09-30,37.939999,38.849998,37.939999,38.549999,3840000,38.549999
2016-09-29,38.119999,38.860001,37.41,37.790001,4046500,37.790001
2016-09-28,38.709999,39.040001,37.650002,38.209999,4971500,38.209999
2016-09-27,37.02,38.529999,37.00,38.419998,6853000,38.419998
2016-09-26,36.369999,37.419998,36.18,37.200001,5411700,37.200001
2016-09-23,36.169998,36.849998,36.169998,36.459999,2497600,36.459999
2016-09-22,36.759998,37.099998,36.360001,36.400002,2585400,36.400002
2016-09-21,35.400002,36.720001,35.400002,36.689999,3641100,36.689999
2016-09-20,36.169998,36.209999,35.330002,35.529999,2624600,35.529999
2016-09-19,36.279999,36.50,35.50,35.950001,4950100,35.950001
2016-09-16,37.32,37.32,36.110001,36.400002,8966600,35.770001
2016-09-15,36.130001,36.639999,36.029999,36.450001,4246900,35.819135
2016-09-14,36.09,36.630001,35.459999,36.07,4066300,35.445711
2016-09-13,36.049999,36.50,35.470001,36.139999,4716900,35.514499
2016-09-12,35.830002,36.709999,35.060001,36.549999,6149700,35.917403
2016-09-09,36.77,37.959999,35.990002,36.09,7724200,35.465365
2016-09-08,36.48,36.580002,35.849998,36.310001,4738300,35.681559
2016-09-07,35.560001,36.650002,35.279999,36.509998,9483800,35.878094
2016-09-06,34.099998,34.57,33.82,34.470001,4357200,33.873405
2016-09-02,33.790001,34.25,33.470001,33.919998,2723700,33.332921
2016-09-01,33.759998,34.080002,33.34,33.709999,4149500,33.126557
2016-08-31,33.599998,34.139999,33.32,33.740002,5297500,33.15604
2016-08-30,33.50,34.139999,33.50,33.919998,2928700,33.332921
2016-08-29,33.419998,33.970001,33.419998,33.73,3972300,33.146211
2016-08-26,32.23,33.48,32.209999,33.330002,6087200,32.753136
2016-08-25,31.41,32.25,31.41,32.049999,2591600,31.495288
2016-08-24,32.130001,32.400002,31.43,31.58,2772700,31.033423
2016-08-23,32.18,32.48,31.969999,32.119999,2565800,31.564076
2016-08-22,32.209999,32.330002,31.35,31.870001,2807000,31.318404
2016-08-19,31.91,32.720001,31.91,32.330002,2659100,31.770444
2016-08-18,31.82,32.490002,31.639999,32.07,2352500,31.514942
2016-08-17,32.490002,32.509998,31.50,31.780001,3514700,31.229962
2016-08-16,32.00,32.75,31.90,32.459999,3174100,31.898191
2016-08-15,31.57,32.380001,31.57,32.00,3627400,31.446154
2016-08-12,31.76,31.870001,31.33,31.549999,2250200,31.003941
2016-08-11,31.40,31.98,31.40,31.75,2330400,31.200481
2016-08-10,32.529999,32.630001,31.299999,31.379999,4537600,30.836884
2016-08-09,32.599998,32.650002,32.25,32.490002,3238800,31.927675
2016-08-08,32.23,32.75,32.189999,32.610001,5216500,32.045597
2016-08-05,31.48,32.48,31.48,32.130001,5094900,31.573905
2016-08-04,30.940001,31.389999,30.709999,31.26,4459400,30.718962
2016-08-03,30.639999,31.10,30.09,30.73,6056900,30.198134
2016-08-02,33.299999,33.75,30.27,30.65,14367000,30.119519
2016-08-01,32.00,32.439999,31.799999,32.43,7349600,31.868712
2016-07-29,32.09,32.41,31.26,32.029999,6416000,31.475633
2016-07-28,32.07,32.630001,31.76,32.599998,4133100,32.035768
2016-07-27,32.529999,33.029999,31.799999,32.049999,4490400,31.495288
2016-07-26,31.280001,32.470001,31.00,32.450001,4435500,31.888366
2016-07-25,31.620001,31.83,31.299999,31.440001,4319300,30.895846
2016-07-22,31.379999,31.76,31.059999,31.58,4602600,31.033423
2016-07-21,30.48,31.549999,30.40,31.219999,7436700,30.679653
2016-07-20,30.030001,30.50,29.709999,30.50,3760900,29.972115
2016-07-19,30.35,30.549999,29.709999,29.99,3351600,29.470942
2016-07-18,29.200001,30.469999,29.00,30.15,7113000,29.628173
2016-07-15,29.40,29.43,28.299999,28.90,6444400,28.399807
2016-07-14,30.030001,30.290001,29.040001,29.190001,7786500,28.684789
2016-07-13,29.35,30.15,28.969999,29.83,10546600,29.313711
2016-07-12,27.48,29.540001,27.469999,29.35,29492300,28.842019
2016-07-11,24.139999,24.33,23.940001,24.09,5236900,23.673058
2016-07-08,24.200001,24.209999,23.51,24.01,6369800,23.594442
2016-07-07,24.02,24.34,23.51,23.73,7493500,23.319288
2016-07-06,22.35,23.639999,22.09,23.52,6386800,23.112923
2016-07-05,23.780001,23.799999,22.889999,23.16,3785000,22.759154
2016-07-01,24.209999,24.209999,23.93,24.030001,4944400,23.614097
2016-06-30,23.799999,24.370001,23.200001,24.360001,8335400,23.938385
2016-06-29,23.24,24.059999,22.91,23.950001,8997000,23.535481
2016-06-28,21.48,22.60,21.43,22.530001,6165100,22.140058
2016-06-27,23.00,23.07,20.77,20.870001,6672700,20.508789
2016-06-24,23.41,23.92,23.01,23.16,6496800,22.759154
2016-06-23,24.16,24.68,24.110001,24.48,4714600,24.056307
2016-06-22,23.860001,24.24,23.77,23.870001,3949300,23.456866
2016-06-21,23.379999,23.92,23.200001,23.860001,3550500,23.447039
