Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,13.87,14.11,13.58,13.90,8633900,13.90
2016-09-30,13.30,13.98,13.24,13.84,12616500,13.84
2016-09-29,13.20,13.63,12.94,13.20,13909600,13.20
2016-09-28,13.15,13.65,12.92,13.42,11242900,13.42
2016-09-27,13.50,13.50,12.85,13.13,14360600,13.13
2016-09-26,13.90,14.32,13.65,13.71,7012200,13.71
2016-09-23,14.34,14.47,13.48,13.86,13431300,13.86
2016-09-22,14.92,14.98,14.13,14.34,11584800,14.34
2016-09-21,14.44,14.72,14.33,14.68,11557400,14.68
2016-09-20,14.06,14.47,13.86,14.25,9942200,14.25
2016-09-19,13.85,14.05,13.67,13.86,11667300,13.86
2016-09-16,13.74,13.96,13.57,13.68,20161500,13.68
2016-09-15,13.86,14.41,13.78,14.08,10241700,14.08
2016-09-14,14.19,14.65,13.76,13.89,11937400,13.89
2016-09-13,14.62,14.82,14.01,14.19,12209100,14.19
2016-09-12,14.60,15.04,14.28,14.94,8603200,14.94
2016-09-09,15.18,15.42,14.71,14.72,9891600,14.72
2016-09-08,14.61,15.59,14.56,15.44,15602000,15.44
2016-09-07,14.20,14.68,14.20,14.42,8078200,14.42
2016-09-06,14.00,14.21,13.78,14.20,9766600,14.20
2016-09-02,13.99,14.17,13.81,13.93,6314700,13.93
2016-09-01,13.85,14.10,13.59,13.79,8627000,13.79
2016-08-31,14.06,14.19,13.66,13.91,8598400,13.91
2016-08-30,14.43,14.80,14.05,14.20,6160800,14.20
2016-08-29,14.21,14.47,14.16,14.43,7134500,14.43
2016-08-26,14.21,14.81,14.14,14.36,16901700,14.36
2016-08-25,13.90,14.22,13.80,14.09,6258500,14.09
2016-08-24,14.01,14.32,13.84,13.92,7733900,13.92
2016-08-23,13.55,14.21,13.50,14.04,8022400,14.04
2016-08-22,13.62,13.68,13.33,13.47,9794800,13.47
2016-08-19,14.34,14.36,13.70,13.72,11085600,13.72
2016-08-18,13.98,14.41,13.83,14.38,14604100,14.38
2016-08-17,14.16,14.26,13.78,13.83,10448100,13.83
2016-08-16,14.34,14.35,13.88,14.16,6710500,14.16
2016-08-15,14.00,14.50,13.94,14.26,9975400,14.26
2016-08-12,13.74,14.00,13.60,13.86,8561800,13.86
2016-08-11,13.41,13.74,13.23,13.57,9230000,13.57
2016-08-10,13.75,13.91,13.29,13.32,13260100,13.32
2016-08-09,14.10,14.18,13.44,13.61,10589600,13.61
2016-08-08,14.07,14.35,14.02,14.12,9956800,14.12
2016-08-05,14.44,14.51,13.96,13.97,10179200,13.97
2016-08-04,14.38,14.85,14.21,14.33,13277600,14.33
2016-08-03,13.88,14.50,13.68,14.50,11546500,14.50
2016-08-02,13.84,14.12,13.29,13.77,9420700,13.77
2016-08-01,14.50,14.52,13.68,13.84,12925800,13.84
2016-07-29,14.35,14.73,14.30,14.58,18517500,14.58
2016-07-28,14.21,14.58,13.97,14.46,11391800,14.46
2016-07-27,14.48,14.81,14.00,14.25,10882200,14.25
2016-07-26,14.32,14.58,14.10,14.35,12143100,14.35
2016-07-25,14.33,14.77,14.27,14.47,14934100,14.47
2016-07-22,14.01,14.82,13.85,14.47,36629100,14.47
2016-07-21,13.21,13.72,13.12,13.21,17595400,13.21
2016-07-20,13.18,13.50,12.54,13.29,15158500,13.29
2016-07-19,13.50,13.83,13.28,13.39,11198400,13.39
2016-07-18,13.37,13.62,13.08,13.60,8382500,13.60
2016-07-15,13.48,13.65,13.21,13.40,8584600,13.40
2016-07-14,14.24,14.30,13.42,13.47,9969200,13.47
2016-07-13,14.22,14.36,13.68,13.96,11969900,13.96
2016-07-12,13.24,14.52,13.21,14.20,19850100,14.20
