Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,115.860001,116.540001,115.290001,116.449997,804100,116.449997
2016-09-30,116.309998,116.910004,115.970001,116.410004,1196900,116.410004
2016-09-29,116.889999,117.220001,115.110001,115.699997,662100,115.699997
2016-09-28,117.419998,117.550003,116.480003,117.309998,918600,117.309998
2016-09-27,116.639999,117.800003,116.089996,117.800003,1156200,117.420003
2016-09-26,117.18,117.480003,115.959999,116.209999,1387000,115.835128
2016-09-23,118.059998,118.199997,116.980003,117.760002,1235100,117.380132
2016-09-22,116.82,118.900002,116.379997,118.440002,1964900,118.057938
2016-09-21,114.68,116.559998,114.669998,116.440002,1090800,116.06439
2016-09-20,115.099998,115.290001,114.540001,114.599998,990300,114.230321
2016-09-19,114.349998,115.580002,114.190002,114.419998,1133400,114.050902
2016-09-16,113.709999,114.419998,113.00,114.32,2436900,113.951226
2016-09-15,110.949997,114.120003,110.610001,113.50,1985700,113.133871
2016-09-14,110.32,111.239998,110.129997,111.010002,1361900,110.651906
2016-09-13,112.209999,112.660004,110.32,110.519997,1064900,110.163481
2016-09-12,110.220001,112.860001,110.220001,112.699997,1740600,112.336449
2016-09-09,114.099998,114.129997,110.43,110.540001,2486300,110.183421
2016-09-08,114.790001,115.580002,114.639999,114.870003,1372400,114.499455
2016-09-07,116.440002,116.800003,114.849998,115.169998,1202000,114.798482
2016-09-06,115.599998,116.889999,115.00,116.889999,1144200,116.512935
2016-09-02,116.349998,116.349998,115.239998,115.599998,866100,115.227096
2016-09-01,115.900002,115.900002,114.410004,115.230003,939400,114.858294
2016-08-31,115.910004,116.379997,115.139999,115.660004,814900,115.286907
2016-08-30,116.110001,116.690002,115.440002,115.940002,874300,115.566003
2016-08-29,114.440002,116.389999,114.43,116.279999,1668600,115.904902
2016-08-26,113.669998,115.080002,113.239998,114.440002,1141900,114.070841
2016-08-25,112.32,113.720001,112.019997,113.309998,1203700,112.944482
2016-08-24,113.709999,113.849998,112.389999,112.620003,1051300,112.256713
2016-08-23,114.18,114.610001,113.480003,113.610001,893700,113.243517
2016-08-22,113.849998,114.400002,113.620003,114.139999,726900,113.771806
2016-08-19,113.32,113.800003,112.699997,113.769997,881300,113.402997
2016-08-18,113.019997,113.879997,112.550003,113.75,919400,113.383065
2016-08-17,113.50,113.639999,112.660004,113.150002,1101700,112.785002
2016-08-16,114.879997,114.910004,113.480003,113.480003,1052100,113.113939
2016-08-15,115.50,115.800003,115.230003,115.230003,568600,114.858294
2016-08-12,115.360001,115.57,114.800003,115.57,622000,115.197194
2016-08-11,115.519997,116.050003,115.07,115.529999,782300,115.157322
2016-08-10,115.489998,115.589996,114.849998,115.529999,615700,115.157322
2016-08-09,115.080002,115.910004,114.839996,115.449997,834500,115.077578
2016-08-08,114.989998,115.07,114.07,114.82,1013400,114.449613
2016-08-05,115.040001,115.330002,114.309998,114.900002,988000,114.529357
2016-08-04,115.120003,115.330002,114.440002,114.849998,942400,114.479515
2016-08-03,115.879997,115.970001,114.540001,114.82,1080200,114.449613
2016-08-02,116.75,116.870003,115.279999,115.699997,1009600,115.326772
2016-08-01,116.290001,117.650002,116.220001,117.019997,1019400,116.642513
2016-07-29,114.970001,116.620003,114.970001,116.279999,1453700,115.904902
2016-07-28,114.849998,116.160004,114.389999,114.959999,1215900,114.589161
2016-07-27,116.18,116.360001,114.449997,114.830002,1644200,114.459583
2016-07-26,115.800003,116.68,115.300003,116.440002,1596200,116.06439
2016-07-25,116.82,117.449997,114.959999,115.93,2027500,115.556033
2016-07-22,118.25,118.940002,115.779999,117.029999,4691900,116.652483
2016-07-21,122.209999,122.639999,121.669998,122.559998,1359700,122.164643
2016-07-20,122.300003,122.650002,121.769997,122.360001,1297400,121.965291
2016-07-19,121.470001,122.43,121.419998,121.760002,1271600,121.367228
2016-07-18,122.260002,123.00,120.949997,121.620003,1727400,121.227681
2016-07-15,122.970001,123.550003,121.290001,122.080002,2063500,121.686196
2016-07-14,123.279999,123.410004,122.190002,122.300003,1277700,121.905487
2016-07-13,123.199997,123.370003,122.160004,122.510002,1238600,122.114809
2016-07-12,122.93,123.209999,122.18,122.82,1228700,122.423807
2016-07-11,122.519997,123.099998,122.300003,122.650002,885700,122.254357
2016-07-08,121.739998,122.400002,121.07,122.290001,1283100,121.895517
2016-07-07,121.07,121.599998,120.790001,121.029999,1216700,120.63958
2016-07-06,120.580002,121.419998,120.32,121.089996,1499500,120.699384
2016-07-05,119.940002,121.599998,119.730003,121.209999,1123400,120.818999
2016-07-01,120.010002,120.510002,119.57,120.410004,874700,120.021585
2016-06-30,118.849998,119.830002,118.410004,119.830002,1814600,119.443454
2016-06-29,117.019997,118.870003,116.889999,118.809998,1545300,118.42674
2016-06-28,115.25,116.169998,114.790001,115.959999,1637400,115.585935
2016-06-27,115.860001,116.489998,114.300003,114.779999,1343300,114.030966
2016-06-24,114.870003,117.919998,114.410004,116.589996,4519300,115.829152
2016-06-23,117.370003,118.650002,117.120003,118.379997,1967300,117.607471
